x(m)	y(m)	z(m)	distfromvent(m)	ttlmassloading(kg/sq-m)	Md(phi)	5phi	4phi	3phi	2phi	1phi	0phi	-1phi	-2phi	-3phi	-4phi
686000	3519000	282	15422.6	6.8638e+00	1.579	4.3878e-07	1.1649e-02	6.2748e-01	3.2648e+00	2.4104e+00	5.1604e-01	3.2896e-02	5.0343e-04	1.7180e-06	1.2896e-09
687000	3519000	226	15966.6	9.5984e+00	1.499	4.6228e-07	1.1994e-02	6.4404e-01	4.3141e+00	3.8208e+00	7.6484e-01	4.1989e-02	5.6301e-04	1.6740e-06	1.0920e-09
688000	3519000	251	16553.1	1.1743e+01	1.419	4.8488e-07	1.1723e-02	5.6197e-01	4.8849e+00	5.2103e+00	1.0250e+00	4.8841e-02	5.7400e-04	1.4842e-06	8.3795e-10
689000	3519000	241	17177.9	1.3303e+01	1.331	5.0632e-07	9.4962e-03	4.1781e-01	4.9445e+00	6.5741e+00	1.3022e+00	5.3887e-02	5.5397e-04	1.2390e-06	6.0048e-10
690000	3519000	233	17836.9	1.4208e+01	1.244	5.2739e-07	6.7762e-03	2.7117e-01	4.5860e+00	7.7212e+00	1.5667e+00	5.6128e-02	5.0366e-04	9.6961e-07	4.0010e-10
691000	3519000	212	18526.4	1.4622e+01	1.164	5.4526e-07	4.3441e-03	1.5681e-01	3.9843e+00	8.6140e+00	1.8062e+00	5.5730e-02	4.3566e-04	7.1791e-07	2.4981e-10
692000	3519000	180	19243.2	1.4683e+01	1.094	5.6894e-07	2.6734e-03	8.2846e-02	3.3106e+00	9.2314e+00	2.0023e+00	5.2867e-02	3.5963e-04	5.0456e-07	1.4651e-10
693000	3519000	169	19984.4	1.4519e+01	1.038	5.9148e-07	1.5871e-03	4.0190e-02	2.6944e+00	9.6015e+00	2.1328e+00	4.7796e-02	2.8282e-04	3.3616e-07	8.0546e-11
694000	3519000	166	20747.3	1.4226e+01	0.995	6.1176e-07	9.7087e-04	1.8211e-02	2.1700e+00	9.7998e+00	2.1949e+00	4.1516e-02	2.1387e-04	2.1432e-07	4.1846e-11
695000	3519000	160	21529.6	1.3850e+01	0.964	6.3198e-07	6.7591e-04	7.9245e-03	1.7400e+00	9.8783e+00	2.1882e+00	3.4879e-02	1.5675e-04	1.3185e-07	2.0702e-11
696000	3519000	146	22329.3	1.3411e+01	0.942	6.5237e-07	5.6105e-04	3.4524e-03	1.3938e+00	9.8673e+00	2.1171e+00	2.8518e-02	1.1214e-04	7.8888e-08	9.8272e-12
697000	3519000	130	23144.6	1.2917e+01	0.930	6.7138e-07	5.1814e-04	1.6098e-03	1.1205e+00	9.7838e+00	1.9882e+00	2.2773e-02	7.8606e-05	4.6115e-08	4.5018e-12
698000	3519000	132	23973.9	1.2385e+01	0.925	6.8903e-07	4.8883e-04	8.5234e-04	9.1155e-01	9.6430e+00	1.8112e+00	1.7773e-02	5.4009e-05	2.6369e-08	1.9959e-12
699000	3519000	135	24815.7	1.1799e+01	0.925	7.0632e-07	4.6736e-04	5.7780e-04	7.4819e-01	9.4288e+00	1.6069e+00	1.3654e-02	3.6624e-05	1.4860e-08	8.6469e-13
700000	3519000	135	25668.9	1.1149e+01	0.929	7.2314e-07	4.5070e-04	5.1569e-04	6.1938e-01	9.1252e+00	1.3930e+00	1.0368e-02	2.4593e-05	8.2862e-09	3.6843e-13
