x(m)	y(m)	z(m)	distfromvent(m)	ttlmassloading(kg/sq-m)	Md(phi)	5phi	4phi	3phi	2phi	1phi	0phi	-1phi	-2phi	-3phi	-4phi
674000	3538000	1055	7055.2	8.8055e-09	-1.549	2.0195e-12	8.0704e-14	1.4441e-14	9.0946e-32	8.2590e-16	2.9543e-10	3.8967e-09	4.0901e-09	5.1247e-10	8.6907e-12
675000	3538000	1052	6546.0	4.1562e-08	-1.499	2.2496e-12	1.0094e-13	2.4088e-14	3.1805e-30	7.6781e-15	1.7301e-09	1.9496e-08	1.8208e-08	2.0921e-09	3.3736e-11
676000	3538000	1169	6158.2	2.1446e-07	-1.415	6.0413e-13	2.7214e-14	9.9205e-15	4.6969e-28	1.1898e-13	1.2476e-08	1.0915e-07	8.4320e-08	8.3871e-09	1.2285e-10
677000	3538000	818	5915.9	5.0950e-07	-1.410	2.5485e-10	2.0071e-11	1.1014e-12	5.9000e-25	2.6539e-13	2.9496e-08	2.5987e-07	1.9988e-07	1.9694e-08	2.8674e-10
678000	3538000	733	5837.1	1.5589e-06	-1.347	1.4824e-09	2.4452e-10	5.1302e-12	1.5003e-21	1.5986e-12	1.1153e-07	8.3428e-07	5.6127e-07	4.9411e-08	6.5838e-10
679000	3538000	646	5928.4	4.1366e-06	-1.277	5.5801e-09	2.4870e-09	2.4268e-11	3.6670e-19	8.3879e-12	3.6599e-07	2.3111e-06	1.3458e-06	1.0436e-07	1.2481e-09
680000	3538000	677	6182.2	1.0030e-05	-1.210	4.1705e-09	1.7320e-09	2.6979e-11	2.3979e-19	4.2391e-11	1.1199e-06	5.8396e-06	2.8717e-06	1.9125e-07	1.9978e-09
681000	3538000	602	6579.8	2.0273e-05	-1.137	1.0343e-08	9.0283e-09	9.5374e-11	3.3256e-18	1.6701e-10	2.7739e-06	1.2119e-05	5.0675e-06	2.9011e-07	2.6299e-09
682000	3538000	498	7097.0	3.5710e-05	-1.061	2.5612e-08	5.1827e-08	4.6136e-10	3.5305e-17	5.5117e-10	5.8860e-06	2.1662e-05	7.7025e-06	3.7768e-07	2.9468e-09
683000	3538000	370	7709.9	5.5765e-05	-0.978	5.2821e-08	2.3349e-07	2.3726e-09	2.2722e-16	1.5446e-09	1.0867e-05	3.3906e-05	1.0268e-05	4.3069e-07	2.8781e-09
684000	3538000	304	8397.4	8.0952e-05	-0.900	6.9788e-08	4.8575e-07	6.2596e-09	1.9283e-16	4.0390e-09	1.8590e-05	4.8853e-05	1.2495e-05	4.4485e-07	2.5260e-09
685000	3538000	257	9142.8	1.0871e-04	-0.827	8.5692e-08	7.6421e-07	1.3025e-08	7.8017e-17	9.6498e-09	2.9120e-05	6.4418e-05	1.3881e-05	4.1854e-07	2.0138e-09
686000	3538000	212	9933.0	1.3514e-04	-0.753	1.0037e-07	1.1880e-06	2.5364e-08	2.2695e-17	2.0776e-08	4.1601e-05	7.7720e-05	1.4127e-05	3.6117e-07	1.4731e-09
687000	3538000	196	10758.2	1.5803e-04	-0.683	1.0897e-07	1.5288e-06	4.6594e-08	4.3651e-18	4.1693e-08	5.5390e-05	8.7269e-05	1.3353e-05	2.8918e-07	9.9943e-10
688000	3538000	192	11610.9	1.7354e-04	-0.620	1.1490e-07	1.7082e-06	6.3410e-08	5.1981e-18	7.7412e-08	6.8533e-05	9.1092e-05	1.1732e-05	2.1536e-07	6.3141e-10
689000	3538000	168	12485.4	1.7888e-04	-0.549	1.2891e-07	2.1488e-06	9.7841e-08	1.3964e-17	1.3191e-07	7.8471e-05	8.8177e-05	9.5796e-06	1.4937e-07	3.7235e-10
690000	3538000	196	13377.6	1.7449e-04	-0.494	1.2247e-07	1.9251e-06	1.0666e-07	3.3732e-17	2.1147e-07	8.4599e-05	8.0109e-05	7.3233e-06	9.6880e-08	2.0529e-10
691000	3538000	180	14284.0	1.6043e-04	-0.423	1.3337e-07	2.2547e-06	1.5275e-07	8.2724e-17	3.1219e-07	8.4658e-05	6.7644e-05	5.2161e-06	5.8654e-08	1.0584e-10
692000	3538000	181	15202.2	1.3980e-04	-0.354	1.3779e-07	2.3614e-06	1.9623e-07	1.8890e-16	4.3244e-07	7.9638e-05	5.3526e-05	3.4777e-06	3.3205e-08	5.0980e-11
693000	3538000	199	16130.2	1.1553e-04	-0.289	1.3469e-07	2.1933e-06	2.2608e-07	4.0717e-16	5.6315e-07	7.0521e-05	3.9708e-05	2.1711e-06	1.7573e-08	2.2915e-11
694000	3538000	163	17066.2	9.1168e-05	-0.178	1.5471e-07	2.8392e-06	3.5512e-07	8.7273e-16	6.7747e-07	5.8344e-05	2.7520e-05	1.2694e-06	8.7107e-09	9.6298e-12
695000	3538000	184	18009.2	6.8361e-05	-0.094	1.5020e-07	2.5604e-06	3.9837e-07	1.7408e-15	7.7531e-07	4.5811e-05	1.7965e-05	6.9712e-07	4.0396e-09	3.7666e-12
696000	3538000	150	18958.0	4.9952e-05	0.090	1.6928e-07	3.1922e-06	6.0183e-07	3.4258e-15	8.2132e-07	3.3790e-05	1.1015e-05	3.6072e-07	1.7630e-09	1.3796e-12
697000	3538000	171	19911.8	3.4784e-05	0.241	1.6504e-07	2.8616e-06	6.7389e-07	6.4118e-15	8.2645e-07	2.3702e-05	6.3789e-06	1.7610e-07	7.2266e-10	4.7071e-13
698000	3538000	168	20869.9	2.4056e-05	0.509	1.7082e-07	2.9286e-06	8.5091e-07	1.1688e-14	7.7664e-07	1.5750e-05	3.4971e-06	8.1656e-08	2.8056e-10	1.5076e-13
699000	3538000	137	21831.8	1.7413e-05	0.998	1.8827e-07	3.4978e-06	1.2233e-06	2.0605e-14	6.8294e-07	9.9584e-06	1.8262e-06	3.6210e-08	1.0385e-10	4.5548e-14
700000	3538000	130	22796.9	1.2894e-05	1.534	1.9550e-07	3.6237e-06	1.5593e-06	3.4986e-14	5.6758e-07	6.0209e-06	9.1181e-07	1.5404e-08	3.6727e-11	1.2983e-14
701000	3538000	208	23765.0	7.9285e-06	1.662	1.6626e-07	2.1949e-06	1.1883e-06	5.8172e-14	4.4940e-07	3.4876e-06	4.3575e-07	6.2891e-09	1.2408e-11	3.4857e-15
702000	3538000	135	24735.6	8.3506e-06	2.582	2.0205e-07	3.4234e-06	2.2442e-06	8.9940e-14	3.2962e-07	1.9450e-06	2.0366e-07	2.5330e-09	4.1338e-12	9.1232e-16
703000	3538000	223	25708.4	4.9811e-06	2.652	1.6931e-07	1.9035e-06	1.5364e-06	1.4054e-13	2.3353e-07	1.0456e-06	9.1724e-08	9.8420e-10	1.3217e-12	2.2583e-16
704000	3538000	151	26683.3	6.9690e-06	3.184	2.0308e-07	2.9903e-06	3.0342e-06	1.9415e-13	1.5397e-07	5.4617e-07	4.0950e-08	3.8205e-10	4.2283e-13	5.5505e-17
705000	3538000	169	27659.9	6.5653e-06	3.290	1.9808e-07	2.6062e-06	3.3681e-06	2.6505e-13	9.7699e-08	2.7715e-07	1.7871e-08	1.4516e-10	1.3203e-13	1.3188e-17
706000	3538000	137	28638.2	8.1039e-06	3.362	2.1657e-07	3.0656e-06	4.6161e-06	3.4017e-13	5.9516e-08	1.3831e-07	7.7537e-09	5.4949e-11	4.1064e-14	3.1061e-18
707000	3538000	138	29617.9	8.7161e-06	3.356	2.1937e-07	2.9466e-06	5.4444e-06	4.1474e-13	3.4819e-08	6.7517e-08	3.3171e-09	2.0534e-11	1.2599e-14	7.1887e-19
708000	3538000	175	30598.9	8.0740e-06	3.315	2.0457e-07	2.2749e-06	5.5413e-06	4.7866e-13	1.9579e-08	3.2285e-08	1.3997e-09	7.5738e-12	3.8142e-15	1.6378e-19
709000	3538000	106	31581.1	1.4433e-05	3.257	2.3907e-07	3.3051e-06	1.0861e-05	5.1558e-13	1.0851e-08	1.5509e-08	5.9515e-10	2.8142e-12	1.1634e-15	3.7608e-20
710000	3538000	116	32564.4	1.3975e-05	3.247	2.3798e-07	3.0037e-06	1.0720e-05	5.2654e-13	5.7935e-09	7.2853e-09	2.4832e-10	1.0264e-12	3.4822e-16	8.4626e-21
711000	3538000	35	33548.7	2.7449e-05	3.194	2.9238e-07	4.7522e-06	2.2397e-05	5.5353e-13	3.1890e-09	3.5203e-09	1.0557e-10	3.7935e-13	1.0525e-16	1.9196e-21
712000	3538000	92	34533.9	2.4177e-05	3.153	2.5514e-07	3.1989e-06	2.0719e-05	4.6244e-13	1.5698e-09	1.5847e-09	4.2631e-11	1.3448e-13	3.0698e-17	4.2156e-22
713000	3538000	79	35519.9	2.8858e-05	3.135	2.6747e-07	3.3573e-06	2.5231e-05	4.0184e-13	8.0185e-10	7.3423e-10	1.7516e-11	4.8212e-14	9.0208e-18	9.3075e-23
714000	3538000	39	36506.7	3.7939e-05	3.123	2.9714e-07	4.0909e-06	3.3551e-05	3.4208e-13	4.1302e-10	3.4295e-10	7.2164e-12	1.7287e-14	2.6466e-18	2.0497e-23
715000	3538000	42	37494.1	4.2155e-05	3.106	2.9770e-07	3.8768e-06	3.7980e-05	2.5891e-13	2.0319e-10	1.5564e-10	2.9066e-12	6.0806e-15	7.6341e-19	4.4437e-24
716000	3538000	80	38482.3	4.0914e-05	3.085	2.7219e-07	2.9513e-06	3.7690e-05	1.7517e-13	9.5672e-11	6.8680e-11	1.1452e-12	2.0993e-15	2.1661e-19	9.4882e-25
717000	3538000	20	39471.0	5.7838e-05	3.081	3.1507e-07	4.0264e-06	5.3496e-05	1.3082e-13	4.8759e-11	3.1924e-11	4.6610e-13	7.4126e-16	6.2454e-20	2.0511e-25
718000	3538000	16	40460.3	6.5701e-05	3.070	3.1891e-07	3.9536e-06	6.1428e-05	8.5211e-14	2.3424e-11	1.4268e-11	1.8414e-13	2.5540e-16	1.7630e-20	4.3497e-26
719000	3538000	48	41450.0	6.3974e-05	3.059	2.9882e-07	3.1971e-06	6.0478e-05	4.9879e-14	1.0776e-11	6.1927e-12	7.1110e-14	8.6322e-17	4.8935e-21	9.0824e-27
720000	3538000	50	42440.3	7.0323e-05	3.052	2.9761e-07	3.0355e-06	6.6990e-05	2.9253e-14	5.0550e-12	2.7187e-12	2.7592e-14	2.9221e-17	1.3575e-21	1.8930e-27
721000	3538000	61	43431.0	7.4985e-05	3.044	2.9007e-07	2.7479e-06	7.1947e-05	1.6220e-14	2.3321e-12	1.1787e-12	1.0584e-14	9.7866e-18	3.7277e-22	3.9069e-28
722000	3538000	16	44422.2	9.7838e-05	3.042	3.2186e-07	3.4266e-06	9.4089e-05	9.6201e-15	1.1354e-12	5.2847e-13	4.1404e-15	3.3194e-18	1.0319e-22	8.1054e-29
723000	3538000	13	45413.7	1.0897e-04	3.037	3.2417e-07	3.3773e-06	1.0527e-04	5.1241e-15	5.2511e-13	2.2864e-13	1.5765e-15	1.1009e-18	2.8015e-23	1.6523e-29
724000	3538000	7	46405.6	1.2252e-04	3.033	3.2781e-07	3.3751e-06	1.1881e-04	2.6678e-15	2.4193e-13	9.8464e-14	5.9659e-16	3.6268e-19	7.5525e-24	3.3438e-30
725000	3538000	8	47397.8	1.3244e-04	3.030	3.2688e-07	3.2648e-06	1.2885e-04	1.3392e-15	1.0990e-13	4.1919e-14	2.2336e-16	1.1827e-19	2.0162e-24	6.7024e-31
726000	3538000	6	48390.3	1.4429e-04	3.027	3.2716e-07	3.1999e-06	1.4076e-04	6.6186e-16	4.9727e-14	1.7759e-14	8.3101e-17	3.8308e-20	5.3437e-25	1.3335e-31
727000	3538000	7	49383.2	1.5478e-04	3.024	3.2571e-07	3.1057e-06	1.5134e-04	3.2014e-16	2.2292e-14	7.4601e-15	3.0650e-17	1.2301e-20	1.4042e-25	2.6304e-32
728000	3538000	36	50376.3	1.4870e-04	3.022	3.0482e-07	2.6118e-06	1.4578e-04	1.4360e-16	9.5753e-15	3.0395e-15	1.1043e-17	3.8732e-21	3.6273e-26	5.1089e-33
729000	3538000	11	51369.7	1.7436e-04	3.020	3.2044e-07	2.9067e-06	1.7113e-04	7.1552e-17	4.3783e-15	1.2874e-15	4.0708e-18	1.2379e-21	9.4604e-27	9.9845e-34
730000	3538000	9	52363.3	1.8800e-04	3.019	3.2074e-07	2.8903e-06	1.8479e-04	3.3649e-17	1.9340e-15	5.3170e-16	1.4711e-18	3.8900e-22	2.4305e-27	1.9245e-34
731000	3538000	8	53357.2	1.9982e-04	3.017	3.1923e-07	2.8454e-06	1.9665e-04	1.5601e-17	8.4621e-16	2.1767e-16	5.2695e-19	1.2117e-22	6.1900e-28	3.6772e-35
732000	3538000	12	54351.3	2.0823e-04	3.016	3.1483e-07	2.7522e-06	2.0516e-04	7.1075e-18	3.6579e-16	8.8179e-17	1.8687e-19	3.7379e-23	1.5618e-28	6.9616e-36
733000	3538000	6	55345.7	2.2515e-04	3.015	3.1720e-07	2.8059e-06	2.2203e-04	3.2949e-18	1.5947e-16	3.5833e-17	6.6205e-20	1.1498e-23	3.9239e-29	1.3113e-36
734000	3538000	0	56340.2	2.4152e-04	3.014	3.1861e-07	2.8491e-06	2.3835e-04	1.5138e-18	6.9006e-17	1.4452e-17	2.3268e-20	3.5082e-24	9.7775e-30	2.4495e-37
735000	3538000	0	57334.9	2.5222e-04	3.014	3.1619e-07	2.8234e-06	2.4908e-04	6.8173e-19	2.9432e-17	5.7585e-18	8.0875e-21	1.0593e-24	2.4121e-30	4.5313e-38
736000	3538000	0	58329.8	2.6244e-04	3.013	3.1361e-07	2.8038e-06	2.5932e-04	3.0505e-19	1.2474e-17	2.2790e-18	2.7900e-21	3.1738e-25	5.9036e-31	8.3147e-39
737000	3538000	0	59324.9	2.7209e-04	3.013	3.1089e-07	2.7901e-06	2.6899e-04	1.3565e-19	5.2537e-18	8.9581e-19	9.5528e-22	9.4351e-26	1.4334e-31	1.5134e-39
738000	3538000	0	60320.1	2.8108e-04	3.012	3.0802e-07	2.7824e-06	2.7799e-04	5.9949e-20	2.1988e-18	3.4973e-19	3.2462e-22	2.7831e-26	3.4526e-32	2.7323e-40
739000	3538000	0	61315.5	2.8936e-04	3.012	3.0502e-07	2.7803e-06	2.8627e-04	2.6333e-20	9.1454e-19	1.3561e-19	1.0949e-22	8.1457e-27	8.2501e-33	4.8930e-41
740000	3538000	0	62311.0	2.9685e-04	3.011	3.0190e-07	2.7839e-06	2.9376e-04	1.1498e-20	3.7801e-19	5.2224e-20	3.6648e-23	2.3656e-27	1.9557e-33	8.6914e-42
674000	3537000	1279	6253.2	5.9525e-08	-1.468	2.0836e-13	6.2086e-15	1.7411e-15	8.9117e-29	2.0585e-14	2.8786e-09	2.8763e-08	2.5054e-08	2.7851e-09	4.4935e-11
675000	3537000	1213	5672.4	2.6202e-07	-1.435	3.8801e-13	1.5823e-14	5.0009e-15	1.9515e-27	1.4020e-13	1.4484e-08	1.3068e-07	1.0552e-07	1.1148e-08	1.7676e-10
676000	3537000	1148	5220.1	1.0229e-06	-1.395	8.1641e-13	4.2561e-14	1.6845e-14	7.8272e-26	8.7706e-13	6.5421e-08	5.2753e-07	3.9061e-07	3.8761e-08	5.9568e-10
677000	3537000	954	4931.9	2.9201e-06	-1.375	1.6252e-11	1.0482e-12	2.6584e-13	4.6779e-23	2.9960e-12	1.9975e-07	1.5319e-06	1.0834e-06	1.0345e-07	1.5543e-09
678000	3537000	842	4837.1	8.7932e-06	-1.319	2.2068e-10	2.0328e-11	1.8805e-12	2.1053e-19	1.6670e-11	7.2609e-07	4.8014e-06	3.0031e-06	2.5878e-07	3.5917e-09
679000	3537000	789	4946.9	2.3893e-05	-1.249	7.2081e-10	1.2185e-10	6.2409e-12	1.5789e-17	9.2507e-11	2.4575e-06	1.3590e-05	7.2884e-06	5.4892e-07	6.7933e-09
680000	3537000	1036	5248.4	7.0926e-05	-1.139	4.6272e-12	4.4774e-13	4.0251e-13	2.0270e-20	8.1591e-10	1.0068e-05	4.2054e-05	1.7708e-05	1.0834e-06	1.1226e-08
681000	3537000	986	5711.4	1.3469e-04	-1.069	1.1442e-11	1.3482e-12	1.1793e-12	7.1679e-20	2.7980e-09	2.2940e-05	8.1108e-05	2.9095e-05	1.5262e-06	1.3628e-08
682000	3537000	586	6300.3	1.8912e-04	-1.021	1.5914e-08	2.0803e-08	2.5264e-10	6.6773e-15	5.6862e-09	3.5997e-05	1.1461e-04	3.6751e-05	1.7070e-06	1.3349e-08
683000	3537000	472	6983.4	2.8481e-04	-0.948	3.7354e-08	1.1037e-07	1.1683e-09	2.1435e-14	1.5467e-08	6.4151e-05	1.7209e-04	4.6564e-05	1.8302e-06	1.2098e-08
684000	3537000	394	7735.8	3.9395e-04	-0.876	5.6572e-08	3.0590e-07	4.0073e-09	1.6801e-14	3.7804e-08	1.0379e-04	2.3457e-04	5.3407e-05	1.7710e-06	9.8518e-09
685000	3537000	281	8539.1	4.9322e-04	-0.806	8.7500e-08	9.0106e-07	1.5883e-08	1.8047e-14	7.9199e-08	1.4879e-04	2.8647e-04	5.5314e-05	1.5560e-06	7.3055e-09
686000	3537000	241	9380.3	5.9168e-04	-0.739	1.0257e-07	1.2728e-06	2.7991e-08	3.7389e-15	1.6066e-07	2.0362e-04	3.3136e-04	5.3855e-05	1.2788e-06	5.0509e-09
687000	3537000	185	10250.1	6.6288e-04	-0.670	1.2282e-07	2.2378e-06	7.2625e-08	9.6954e-16	2.9537e-07	2.5628e-04	3.5424e-04	4.8649e-05	9.7868e-07	3.2617e-09
688000	3537000	191	11141.7	7.1066e-04	-0.609	1.2527e-07	2.3463e-06	9.2152e-08	2.4002e-16	5.1891e-07	3.0682e-04	3.5860e-04	4.1454e-05	7.0523e-07	1.9829e-09
689000	3537000	155	12050.4	7.1590e-04	-0.546	1.4477e-07	3.1270e-06	1.5251e-07	4.5044e-16	8.3631e-07	3.4048e-04	3.3769e-04	3.2993e-05	4.7647e-07	1.1343e-09
690000	3537000	183	12972.5	6.8911e-04	-0.489	1.3894e-07	2.8603e-06	1.6726e-07	8.9833e-16	1.2808e-06	3.5885e-04	3.0074e-04	2.4762e-05	3.0313e-07	6.1107e-10
691000	3537000	174	13905.4	6.2685e-04	-0.430	1.4762e-07	3.1864e-06	2.2823e-07	1.8908e-15	1.8211e-06	3.5343e-04	2.5044e-04	1.7418e-05	1.8109e-07	3.0973e-10
692000	3537000	192	14847.0	5.4349e-04	-0.375	1.4502e-07	3.0144e-06	2.6406e-07	3.7404e-15	2.4531e-06	3.2946e-04	1.9653e-04	1.1527e-05	1.0165e-07	1.4740e-10
693000	3537000	159	15795.8	4.4661e-04	-0.310	1.6413e-07	3.7849e-06	4.0755e-07	7.4784e-15	3.0669e-06	2.8757e-04	1.4440e-04	7.1600e-06	5.3601e-08	6.5882e-11
694000	3537000	242	16750.6	3.5447e-04	-0.270	1.4032e-07	2.1866e-06	2.5320e-07	1.4281e-14	3.7942e-06	2.4279e-04	1.0107e-04	4.2017e-06	2.6522e-08	2.7476e-11
695000	3537000	144	17710.3	2.6360e-04	-0.173	1.8080e-07	4.3643e-06	7.0512e-07	2.5809e-14	4.0687e-06	1.8660e-04	6.5362e-05	2.3088e-06	1.2362e-08	1.0798e-11
696000	3537000	185	18674.3	1.8949e-04	-0.113	1.6786e-07	3.5181e-06	7.1130e-07	4.5294e-14	4.3381e-06	1.3921e-04	4.0337e-05	1.2008e-06	5.4086e-09	3.9478e-12
697000	3537000	168	19641.9	1.3148e-04	-0.007	1.8053e-07	3.9182e-06	9.6991e-07	7.9016e-14	4.2929e-06	9.8010e-05	2.3512e-05	5.9233e-07	2.2411e-09	1.3576e-12
698000	3537000	166	20612.6	8.8458e-05	0.124	1.8651e-07	3.9854e-06	1.2179e-06	1.3396e-13	4.0161e-06	6.5754e-05	1.3019e-05	2.7805e-07	8.8033e-10	4.3827e-13
699000	3537000	165	21585.9	5.8320e-05	0.306	1.9150e-07	3.9838e-06	1.5058e-06	2.2150e-13	3.5423e-06	4.2094e-05	6.8766e-06	1.2492e-07	3.2977e-10	1.3342e-13
700000	3537000	160	22561.6	3.8422e-05	0.579	1.9847e-07	4.0616e-06	1.8914e-06	3.5651e-13	2.9451e-06	2.5787e-05	3.4844e-06	5.4076e-08	1.1862e-10	3.8520e-14
701000	3537000	129	23539.3	2.6890e-05	1.071	2.1648e-07	4.7768e-06	2.6881e-06	5.5490e-13	2.3065e-06	1.5173e-05	1.7065e-06	2.2747e-08	4.1349e-11	1.0640e-14
702000	3537000	163	24518.8	1.7971e-05	1.428	2.0597e-07	3.8596e-06	2.7642e-06	8.4326e-13	1.7233e-06	8.6003e-06	8.0809e-07	9.2833e-09	1.3931e-11	2.8017e-15
703000	3537000	111	25500.0	1.6506e-05	2.241	2.3267e-07	5.1313e-06	4.8217e-06	1.2158e-12	1.2133e-06	4.7271e-06	3.7620e-07	3.7473e-09	4.6387e-12	7.2156e-16
704000	3537000	158	26482.5	1.1612e-05	2.514	2.1683e-07	3.7820e-06	4.1106e-06	1.7147e-12	8.1816e-07	2.5129e-06	1.7052e-07	1.4760e-09	1.5028e-12	1.7880e-16
705000	3537000	145	27466.3	1.1252e-05	2.921	2.2660e-07	3.9371e-06	5.1785e-06	2.2818e-12	5.2580e-07	1.3067e-06	7.6596e-08	5.7821e-10	4.8411e-13	4.3780e-17
706000	3537000	163	28451.2	1.0403e-05	3.105	2.2165e-07	3.4294e-06	5.7297e-06	2.9085e-12	3.2409e-07	6.6359e-07	3.3911e-08	2.2358e-10	1.5379e-13	1.0516e-17
707000	3537000	90	29437.1	1.9093e-05	3.220	2.6058e-07	5.1411e-06	1.3146e-05	3.5041e-12	1.9436e-07	3.3526e-07	1.5050e-08	8.6730e-11	4.9024e-14	2.5299e-18
708000	3537000	138	30424.0	1.3085e-05	3.261	2.4060e-07	3.6800e-06	8.8834e-06	3.9723e-12	1.1092e-07	1.6397e-07	6.5137e-09	3.2849e-11	1.5250e-14	5.9231e-19
709000	3537000	172	31411.7	1.2417e-05	3.240	2.2686e-07	2.9001e-06	9.1464e-06	4.2963e-12	6.1735e-08	7.9535e-08	2.8047e-09	1.2374e-11	4.7160e-15	1.3776e-19
710000	3537000	171	32400.1	1.3845e-05	3.222	2.3000e-07	2.7956e-06	1.0747e-05	4.3566e-12	3.3639e-08	3.8380e-08	1.2038e-09	4.6463e-12	1.4541e-15	3.1952e-20
711000	3537000	140	33389.2	1.7504e-05	3.206	2.4801e-07	3.2058e-06	1.4013e-05	4.1567e-12	1.8043e-08	1.8456e-08	5.1509e-10	1.7388e-12	4.4685e-16	7.3880e-21
712000	3537000	98	34379.0	3.1953e-05	3.137	2.6970e-07	3.8983e-06	2.7767e-05	3.7554e-12	9.5468e-09	8.8364e-09	2.1929e-10	6.4715e-13	1.3653e-16	1.6984e-21
713000	3537000	56	35369.3	4.2556e-05	3.128	3.0339e-07	4.8460e-06	3.7397e-05	3.3837e-12	5.0878e-09	4.2581e-09	9.3398e-11	2.4018e-13	4.1505e-17	3.8783e-22
714000	3537000	37	36360.2	5.1513e-05	3.113	3.1913e-07	5.1728e-06	4.6017e-05	2.7966e-12	2.6353e-09	2.0181e-09	3.9218e-11	8.8007e-14	1.2467e-17	8.7548e-23
715000	3537000	74	37351.5	5.0296e-05	3.091	2.9486e-07	3.9871e-06	4.6012e-05	2.0237e-12	1.2911e-09	9.2355e-10	1.6034e-11	3.1535e-14	3.6722e-18	1.9409e-23
716000	3537000	64	38343.3	5.8461e-05	3.080	3.0379e-07	4.0486e-06	5.4108e-05	1.4776e-12	6.4897e-10	4.2999e-10	6.6129e-12	1.1353e-14	1.0840e-18	4.3064e-24
717000	3537000	68	39335.5	6.4510e-05	3.068	3.0222e-07	3.7858e-06	6.0422e-05	1.0038e-12	3.1940e-10	1.9744e-10	2.6939e-12	4.0412e-15	3.1655e-19	9.4558e-25
718000	3537000	17	40328.1	8.7897e-05	3.063	3.3935e-07	4.8374e-06	8.2720e-05	7.0507e-13	1.6356e-10	9.2958e-11	1.1128e-12	1.4508e-15	9.2910e-20	2.0827e-25
719000	3537000	10	41321.1	1.0140e-04	3.054	3.4497e-07	4.8136e-06	9.6238e-05	4.4331e-13	8.0007e-11	4.2438e-11	4.4887e-13	5.1046e-16	2.6791e-20	4.5126e-26
720000	3537000	55	42314.4	9.3068e-05	3.046	3.1486e-07	3.6296e-06	8.9123e-05	2.4587e-13	3.6996e-11	1.8654e-11	1.7597e-13	1.7543e-16	7.5692e-21	9.5981e-27
721000	3537000	19	43308.0	1.1748e-04	3.042	3.4037e-07	4.2472e-06	1.1289e-04	1.4921e-13	1.8314e-11	8.5557e-12	7.0774e-14	6.1338e-17	2.1641e-21	2.0594e-27
722000	3537000	8	44301.9	1.3619e-04	3.037	3.4759e-07	4.3212e-06	1.3152e-04	8.4030e-14	8.7940e-12	3.8400e-12	2.7969e-14	2.1121e-17	6.1020e-22	4.3613e-28
723000	3537000	12	45296.0	1.4581e-04	3.033	3.4503e-07	4.0908e-06	1.4138e-04	4.4792e-14	4.1343e-12	1.6964e-12	1.0904e-14	7.1833e-18	1.7009e-22	9.1350e-29
724000	3537000	13	46290.4	1.5861e-04	3.029	3.4452e-07	3.9502e-06	1.5431e-04	2.3389e-14	1.9372e-12	7.4620e-13	4.2257e-15	2.4272e-18	4.7081e-23	1.8996e-29
725000	3537000	10	47285.0	1.7494e-04	3.026	3.4619e-07	3.8920e-06	1.7070e-04	1.2021e-14	9.0525e-13	3.2689e-13	1.6283e-15	8.1491e-19	1.2943e-23	3.9222e-30
726000	3537000	9	48279.9	1.8944e-04	3.024	3.4566e-07	3.7860e-06	1.8531e-04	6.0302e-15	4.1895e-13	1.4197e-13	6.2194e-16	2.7122e-19	3.5276e-24	8.0285e-31
727000	3537000	5	49275.0	2.0812e-04	3.021	3.4745e-07	3.7602e-06	2.0401e-04	2.9999e-15	1.9348e-13	6.1424e-14	2.3624e-16	8.9705e-20	9.5492e-25	1.6318e-31
728000	3537000	27	50270.2	2.0442e-04	3.019	3.3138e-07	3.2913e-06	2.0079e-04	1.3981e-15	8.6119e-14	2.5878e-14	8.7897e-17	2.9151e-20	2.5450e-25	3.2693e-32
729000	3537000	10	51265.7	2.3331e-04	3.018	3.4150e-07	3.4983e-06	2.2947e-04	6.9640e-16	3.9859e-14	1.1158e-14	3.3110e-17	9.5405e-21	6.8072e-26	6.5594e-33
730000	3537000	7	52261.3	2.5132e-04	3.017	3.4168e-07	3.4715e-06	2.4750e-04	3.3394e-16	1.8029e-14	4.7270e-15	1.2290e-17	3.0817e-21	1.7989e-26	1.3010e-33
731000	3537000	7	53257.1	2.6708e-04	3.015	3.4015e-07	3.4152e-06	2.6332e-04	1.5804e-16	8.0814e-15	1.9857e-15	4.5227e-18	9.8690e-22	4.7129e-27	2.5584e-34
732000	3537000	5	54253.1	2.8444e-04	3.014	3.3944e-07	3.3910e-06	2.8071e-04	7.4466e-17	3.6065e-15	8.2964e-16	1.6533e-18	3.1381e-22	1.2256e-27	4.9927e-35
733000	3537000	6	55249.1	2.9760e-04	3.013	3.3622e-07	3.3199e-06	2.9395e-04	3.4573e-17	1.5921e-15	3.4327e-16	5.9871e-19	9.8868e-23	3.1584e-28	9.6558e-36
734000	3537000	0	56245.4	3.1978e-04	3.013	3.3805e-07	3.3770e-06	3.1606e-04	1.6228e-17	7.0585e-16	1.4207e-16	2.1619e-19	3.1015e-23	8.0965e-29	1.8563e-36
735000	3537000	0	57241.7	3.3369e-04	3.012	3.3542e-07	3.3419e-06	3.3001e-04	7.4600e-18	3.0829e-16	5.8068e-17	7.7187e-20	9.6272e-24	2.0546e-29	3.5339e-37
736000	3537000	0	58238.2	3.4694e-04	3.011	3.3263e-07	3.3142e-06	3.4329e-04	3.4075e-18	1.3380e-16	2.3574e-17	2.7352e-20	2.9652e-24	5.1724e-30	6.6733e-38
