z	h(m)	phi4.0	phi3.9	phi3.8	phi3.7	phi3.6	phi3.5	phi3.4	phi3.3	phi3.2	phi3.1
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	-2901.4256	-2525.8377	-2198.8694	-1914.2270	-1666.4314	-1450.7128	-1262.9188	-1099.4347	-957.1135	-833.2157
43	4300.0	-8860.3339	-7713.3687	-6714.8775	-5845.6404	-5088.9255	-4430.1670	-3856.6844	-3357.4387	-2922.8202	-2544.4628
42	4200.0	-14945.8373	-13011.1071	-11326.8266	-9860.5753	-8584.1294	-7472.9186	-6505.5535	-5663.4133	-4930.2876	-4292.0647
41	4100.0	-21172.3926	-18431.6383	-16045.6731	-13968.5697	-12160.3463	-10586.1963	-9215.8191	-8022.8365	-6984.2849	-6080.1731
40	4000.0	-27545.9228	-23980.1186	-20875.9058	-18173.5315	-15820.9781	-13772.9614	-11990.0593	-10437.9529	-9086.7658	-7910.4891
39	3900.0	-34054.9290	-29646.5376	-25808.8100	-22467.8741	-19559.4204	-17027.4645	-14823.2688	-12904.4050	-11233.9370	-9779.7102
38	3800.0	-40687.8646	-35420.8434	-30835.6352	-26843.9796	-23369.0415	-20343.9323	-17710.4217	-15417.8176	-13421.9898	-11684.5208
37	3700.0	-47433.1409	-41292.9476	-35947.5988	-31294.2024	-27243.1855	-23716.5705	-20646.4738	-17973.7994	-15647.1012	-13621.5927
36	3600.0	-54279.1323	-47252.7292	-41135.8901	-35810.8723	-31175.1750	-27139.5662	-23626.3646	-20567.9450	-17905.4361	-15587.5875
35	3500.0	-61214.1810	-53290.0397	-46391.6741	-40386.2980	-35158.3145	-30607.0905	-26645.0199	-23195.8370	-20193.1490	-17579.1572
34	3400.0	-68226.6021	-59394.7069	-51706.0956	-45012.7706	-39185.8928	-34113.3011	-29697.3535	-25853.0478	-22506.3853	-19592.9464
33	3300.0	-75304.6896	-65556.5400	-57070.2828	-49682.5668	-43251.1865	-37652.3448	-32778.2700	-28535.1414	-24841.2834	-21625.5933
32	3200.0	-82436.7206	-71765.3335	-62475.3515	-54387.9525	-47347.4627	-41218.3603	-35882.6668	-31237.6758	-27193.9762	-23673.7313
31	3100.0	-89610.9610	-78010.8726	-67912.4091	-59121.1860	-51467.9818	-44805.4805	-39005.4363	-33956.2045	-29560.5930	-25733.9909
30	3000.0	-96923.3126	-84376.6444	-73454.1353	-63945.5389	-55667.8249	-48461.6563	-42188.3222	-36727.0677	-31972.7694	-27833.9124
29	2900.0	-104537.5116	-91005.1896	-79224.6190	-68969.0367	-60041.0338	-52268.7558	-45502.5948	-39612.3095	-34484.5184	-30020.5169
28	2800.0	-112502.7548	-97939.3366	-85261.1446	-74224.1375	-64615.8647	-56251.3774	-48969.6683	-42630.5723	-37112.0687	-32307.9323
27	2700.0	-120793.6008	-105156.9372	-91544.4309	-79694.0559	-69377.7053	-60396.8004	-52578.4686	-45772.2155	-39847.0280	-34688.8526
26	2600.0	-129384.4437	-112635.7004	-98055.0724	-85361.8985	-74311.8488	-64692.2219	-56317.8502	-49027.5362	-42680.9493	-37155.9244
25	2500.0	-138249.5688	-120353.2400	-104773.5809	-91210.6998	-79403.5261	-69124.7844	-60176.6200	-52386.7904	-45605.3499	-39701.7631
24	2400.0	-147363.2070	-128287.1229	-111680.4271	-97223.4587	-84637.9368	-73681.6035	-64143.5615	-55840.2136	-48611.7294	-42318.9684
23	2300.0	-156699.5903	-136414.9166	-118756.0825	-103383.1745	-90000.2808	-78349.7952	-68207.4583	-59378.0413	-51691.5873	-45000.1404
22	2200.0	-166233.0058	-144714.2368	-125981.0604	-109672.8831	-95475.7902	-83116.5029	-72357.1184	-62990.5302	-54836.4415	-47737.8951
21	2100.0	-175937.8499	-153162.7944	-133335.9569	-116075.6924	-101049.7594	-87968.9250	-76581.3972	-66667.9785	-58037.8462	-50524.8797
20	2000.0	-185770.5686	-161722.6731	-140787.7642	-122562.8674	-106697.1733	-92885.2843	-80861.3366	-70393.8821	-61281.4337	-53348.5866
19	1900.0	-195558.2652	-170243.3579	-148205.4511	-129020.3389	-112318.7287	-97779.1326	-85121.6789	-74102.7256	-64510.1695	-56159.3644
18	1800.0	-205136.0758	-178581.3263	-155464.0742	-135339.3374	-117819.7364	-102568.0379	-89290.6632	-77732.0371	-67669.6687	-58909.8682
17	1700.0	-214459.5257	-186697.8609	-162529.9280	-141490.5203	-123174.6522	-107229.7628	-93348.9304	-81264.9640	-70745.2602	-61587.3261
16	1600.0	-223485.9761	-194555.8424	-169370.6982	-147445.7567	-128358.9866	-111742.9881	-97277.9212	-84685.3491	-73722.8784	-64179.4933
15	1500.0	-232145.1985	-202094.1333	-175933.1616	-153158.7129	-133332.4038	-116072.5992	-101047.0666	-87966.5808	-76579.3565	-66666.2019
14	1400.0	-240321.8085	-209212.2858	-182129.8732	-158553.2637	-138028.6330	-120160.9043	-104606.1429	-91064.9366	-79276.6319	-69014.3165
13	1300.0	-247952.2479	-215854.9691	-187912.6649	-163587.4763	-142411.1696	-123976.1239	-107927.4845	-93956.3324	-81793.7381	-71205.5848
12	1200.0	-255041.3438	-222026.3855	-193285.1949	-168264.5353	-146482.7860	-127520.6719	-111013.1927	-96642.5975	-84132.2677	-73241.3930
11	1100.0	-261594.0443	-227730.8426	-198251.2133	-172587.7054	-150246.3242	-130797.0222	-113865.4213	-99125.6067	-86293.8527	-75123.1621
10	1000.0	-267094.7199	-232519.4588	-202419.9459	-176216.7979	-153405.6327	-133547.3599	-116259.7294	-101209.9729	-88108.3989	-76702.8163
9	900.0	-270916.0594	-235846.1281	-205315.9797	-178737.9418	-155600.4159	-135458.0297	-117923.0641	-102657.9898	-89368.9709	-77800.2079
8	800.0	-273508.8436	-238103.2779	-207280.9427	-180448.5414	-157089.5794	-136754.4218	-119051.6389	-103640.4713	-90224.2707	-78544.7897
7	700.0	-275768.7359	-240070.6284	-208993.6208	-181939.5143	-158387.5467	-137884.3680	-120035.3142	-104496.8104	-90969.7572	-79193.7733
6	600.0	-278031.6267	-242040.5892	-210708.5713	-183432.4654	-159687.2361	-139015.8133	-121020.2946	-105354.2856	-91716.2327	-79843.6180
5	500.0	-280297.2867	-244012.9608	-212425.6205	-184927.2436	-160988.5161	-140148.6433	-122006.4804	-106212.8102	-92463.6218	-80494.2580
4	400.0	-282565.5969	-245987.6395	-214144.6782	-186423.7702	-162291.3182	-141282.7984	-122993.8198	-107072.3391	-93211.8851	-81145.6591
3	300.0	-284836.5521	-247964.6209	-215865.7404	-187922.0419	-163595.6394	-142418.2761	-123982.3104	-107932.8702	-93961.0209	-81797.8197
2	200.0	-286926.9419	-249784.4109	-217449.9596	-189301.1848	-164796.2531	-143463.4709	-124892.2054	-108724.9798	-94650.5924	-82398.1265
1	100.0	-288359.4331	-251031.4669	-218535.5849	-190246.2766	-165619.0032	-144179.7166	-125515.7335	-109267.7925	-95123.1383	-82809.5016
0	0.0	-288837.8218	-251447.9285	-218898.1358	-190561.8954	-165893.7654	-144418.9109	-125723.9642	-109449.0679	-95280.9477	-82946.8827
