z	h(m)	phi-1.0	phi-1.1	phi-1.2	phi-1.3	phi-1.4	phi-1.5	phi-1.6	phi-1.7	phi-1.8	phi-1.9
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	-47.5289	-45.9099	-44.3460	-42.8354	-41.3763	-39.9669	-38.6055	-37.2904	-36.0202	-34.7932
43	4300.0	-145.5300	-140.5727	-135.7843	-131.1590	-126.6912	-122.3756	-118.2071	-114.1805	-110.2911	-106.5342
42	4200.0	-246.0785	-237.6962	-229.5994	-221.7784	-214.2238	-206.9266	-199.8779	-193.0693	-186.4927	-180.1400
41	4100.0	-349.3302	-337.4307	-325.9366	-314.8340	-304.1096	-293.7505	-283.7443	-274.0789	-264.7428	-255.7247
40	4000.0	-455.3624	-439.8511	-424.8682	-410.3956	-396.4160	-382.9126	-369.8692	-357.2701	-345.1002	-333.3448
39	3900.0	-563.9996	-544.7877	-526.2302	-508.3049	-490.9902	-474.2653	-458.1100	-442.5051	-427.4318	-412.8719
38	3800.0	-675.0634	-652.0682	-629.8564	-608.4012	-587.6768	-567.6584	-548.3218	-529.6440	-511.6024	-494.1753
37	3700.0	-788.3728	-761.5180	-735.5779	-710.5214	-686.3184	-662.9399	-640.3577	-618.5448	-597.4749	-577.1227
36	3600.0	-903.7446	-872.9598	-843.2236	-814.5003	-786.7554	-759.9556	-734.0687	-709.0637	-684.9104	-661.5798
35	3500.0	-1020.9929	-986.2142	-952.6201	-920.1704	-888.8260	-858.5493	-829.3040	-801.0548	-773.7680	-747.4106
34	3400.0	-1139.9297	-1101.0995	-1063.5920	-1027.3621	-992.3664	-958.5628	-925.9106	-894.3707	-863.9051	-834.4774
33	3300.0	-1260.3644	-1217.4318	-1175.9616	-1135.9040	-1097.2110	-1059.8359	-1023.7340	-988.8619	-955.1776	-922.6408
32	3200.0	-1382.1046	-1335.0251	-1289.5492	-1245.6224	-1203.1919	-1162.2068	-1122.6178	-1084.3773	-1047.4394	-1011.7598
31	3100.0	-1504.9556	-1453.6913	-1404.1732	-1356.3419	-1310.1399	-1265.5118	-1222.4038	-1180.7642	-1140.5431	-1101.6920
30	3000.0	-1630.5536	-1575.0110	-1521.3603	-1469.5372	-1419.4794	-1371.1267	-1324.4211	-1279.3064	-1235.7286	-1193.6351
29	2900.0	-1761.7809	-1701.7682	-1643.7997	-1587.8059	-1533.7194	-1481.4753	-1431.0108	-1382.2653	-1335.1803	-1289.6991
28	2800.0	-1899.5914	-1834.8843	-1772.3815	-1712.0076	-1653.6904	-1597.3596	-1542.9477	-1490.3892	-1439.6211	-1390.5823
27	2700.0	-2043.5913	-1973.9790	-1906.7381	-1841.7876	-1779.0495	-1718.4486	-1659.9119	-1603.3692	-1548.7526	-1495.9964
26	2600.0	-2193.3789	-2118.6644	-2046.4949	-1976.7838	-1909.4472	-1844.4045	-1781.5773	-1720.8902	-1662.2704	-1605.6473
