i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
0	192.7917	-280.1577	678155.7917	3531882.8423	120195.4358	2.9059e+02
1	225.9630	-334.5840	678188.9630	3531828.4160	142041.2651	2.6061e+02
2	266.4739	-402.1911	678229.4739	3531760.8089	178800.9087	2.3373e+02
3	314.0216	-480.3591	678277.0216	3531682.6409	220238.6040	2.0964e+02
4	368.8022	-564.4890	678331.8022	3531598.5110	265480.2392	1.8804e+02
5	430.6647	-652.3382	678393.6647	3531510.6618	316923.5526	1.6867e+02
6	499.0503	-742.6755	678462.0503	3531420.3245	376309.3784	1.5130e+02
7	573.6766	-834.6892	678536.6766	3531328.3108	444680.6160	1.3573e+02
8	653.8635	-927.3622	678616.8635	3531235.6378	522262.3889	1.2177e+02
9	738.7496	-1019.7529	678701.7496	3531143.2471	608228.8522	1.0925e+02
10	827.6524	-1111.1524	678790.6524	3531051.8476	702251.6171	9.8015e+01
11	920.4409	-1201.1014	678883.4409	3530961.8986	804329.5681	8.7943e+01
12	1017.0253	-1289.2431	678980.0253	3530873.7569	914361.8774	7.8909e+01
13	1116.7290	-1375.5918	679079.7290	3530787.4082	1032179.8224	7.0807e+01
14	1219.2926	-1460.0334	679182.2926	3530702.9666	1157548.3380	6.3539e+01
15	1324.8219	-1542.2568	679287.8219	3530620.7432	1290178.9377	5.7019e+01
16	1433.2244	-1622.0448	679396.2244	3530540.9552	1429747.7765	5.1171e+01
17	1543.7919	-1699.6644	679506.7919	3530463.3356	1575910.2156	4.5924e+01
18	1656.5427	-1774.9316	679619.5427	3530388.0684	1728286.0079	4.1217e+01
19	1771.7339	-1847.4170	679734.7339	3530315.5830	1886471.3186	3.6994e+01
20	1888.4601	-1917.6815	679851.4601	3530245.3185	2050066.0026	3.3204e+01
21	2007.0390	-1985.3075	679970.0390	3530177.6925	2218638.0943	2.9805e+01
22	2127.2666	-2050.4698	680090.2666	3530112.5302	2391755.8959	2.6754e+01
23	2248.4160	-2113.7415	680211.4160	3530049.2585	2565835.4007	2.4016e+01
24	2370.9342	-2175.6246	680333.9342	3529987.3754	2746142.9281	2.1560e+01
25	2493.6445	-2236.6629	680456.6445	3529926.3371	2929214.5325	1.9355e+01
26	2617.2471	-2296.7286	680580.2471	3529866.2714	3114546.4007	1.7376e+01
27	2741.0489	-2355.9090	680704.0489	3529807.0910	3301682.1183	1.5601e+01
28	2865.4320	-2414.1151	680828.4320	3529748.8849	3490169.6618	1.4007e+01
29	2989.9366	-2471.4145	680952.9366	3529691.5855	3679594.9835	1.2576e+01
30	3114.8608	-2527.7304	681077.8608	3529635.2696	3869553.2555	1.1292e+01
31	3239.7130	-2583.1598	681202.7130	3529579.8402	4059675.4122	1.0140e+01
32	3364.9629	-2637.5764	681327.9629	3529525.4236	4249596.0908	9.1051e+00
33	3489.8378	-2691.1762	681452.8378	3529471.8238	4438991.7766	8.1764e+00
34	3615.2187	-2743.7018	681578.2187	3529419.2982	4627527.9233	7.3426e+00
35	3740.1251	-2795.4380	681703.1251	3529367.5620	4814920.8108	6.5940e+00
36	3865.1537	-2846.1934	681828.1537	3529316.8066	5000874.6561	5.9220e+00
37	3989.9628	-2896.0804	681952.9628	3529266.9196	5185303.1162	5.3186e+00
38	4114.3285	-2945.1688	682077.3285	3529217.8312	5368703.6377	4.7769e+00
39	4238.8708	-2993.2389	682201.8708	3529169.7611	5550853.7103	4.2904e+00
40	4362.8202	-3040.5654	682325.8202	3529122.4346	5731479.1841	3.8536e+00
41	4486.4205	-3087.0560	682449.4205	3529075.9440	5910302.1251	3.4614e+00
42	4609.8901	-3132.6297	682572.8901	3529030.3703	6087059.1366	3.1092e+00
43	4732.7090	-3177.4925	682695.7090	3528985.5075	6261513.8041	2.7930e+00
44	4855.0575	-3221.5734	682818.0575	3528941.4266	6433429.5947	2.5089e+00
45	4977.2080	-3264.7635	682940.2080	3528898.2365	6602580.4296	2.2539e+00
46	5098.6588	-3307.2808	683061.6588	3528855.7192	6768766.1251	2.0248e+00
47	5219.4027	-3349.1351	683182.4027	3528813.8649	6931788.3115	1.8190e+00
48	5339.9301	-3390.1109	683302.9301	3528772.8891	7091449.7550	1.6342e+00
49	5459.8018	-3430.4159	683422.8018	3528732.5841	7247580.5562	1.4683e+00
50	5578.9260	-3470.1001	683541.9260	3528692.8999	7400013.7900	1.3192e+00
51	5697.2973	-3509.1747	683660.2973	3528653.8253	7548589.9534	1.1853e+00
52	5815.3824	-3547.4520	683778.3824	3528615.5480	7693149.8699	1.0650e+00
53	5932.7297	-3585.1323	683895.7297	3528577.8677	7824569.3246	9.5691e-01
54	6049.2628	-3622.2580	684012.2628	3528540.7420	7961126.4804	8.5984e-01
55	6164.9381	-3658.8334	684127.9381	3528504.1666	8093545.5758	7.7264e-01
56	6279.7762	-3694.8351	684242.7762	3528468.1649	8221356.1927	6.9430e-01
57	6394.0417	-3730.1501	684357.0417	3528432.8499	8344108.1366	6.2392e-01
58	6507.3075	-3764.9276	684470.3075	3528398.0724	8461389.1107	5.6068e-01
59	6619.5390	-3799.1713	684582.5390	3528363.8287	8572806.1741	5.0387e-01
60	6730.7032	-3832.8856	684693.7032	3528330.1144	8677993.4460	4.5283e-01
61	6840.7694	-3866.0759	684803.7694	3528296.9241	8776612.7309	4.0697e-01
62	6949.7086	-3898.7485	684912.7086	3528264.2515	8868354.0442	3.6576e-01
63	7055.4259	-3930.2591	685018.4259	3528232.7409	8952798.5022	3.2873e-01
64	7156.4666	-3960.1651	685119.4666	3528202.8349	9029598.6843	2.9546e-01
65	7256.9718	-3989.7875	685219.9718	3528173.2125	9098808.5557	2.6556e-01
66	7356.9215	-4019.1363	685319.9215	3528143.8637	9160234.6203	2.3869e-01
67	7456.2965	-4048.2217	685419.2965	3528114.7783	9213712.8904	2.1455e-01
68	7555.0782	-4077.0543	685518.0782	3528085.9457	9259108.9474	1.9285e-01
69	7653.2491	-4105.6453	685616.2491	3528057.3547	9296317.9435	1.7335e-01
70	7750.7921	-4134.0057	685713.7921	3528028.9943	9325264.5466	1.5583e-01
71	7847.6914	-4162.1471	685810.6914	3528000.8529	9345902.8352	1.4008e-01
72	7943.9444	-4190.0848	685906.9444	3527972.9152	9357356.9612	1.2593e-01
73	8039.9814	-4217.9576	686002.9814	3527945.0424	9357356.9612	1.1320e-01
74	8136.0184	-4245.8303	686099.0184	3527917.1697	9357356.9612	1.0177e-01
75	8232.0555	-4273.7030	686195.0555	3527889.2970	9357356.9612	9.1492e-02
76	8328.0925	-4301.5758	686291.0925	3527861.4242	9357356.9612	8.2254e-02
77	8424.1295	-4329.4485	686387.1295	3527833.5515	9357356.9612	7.3951e-02
78	8520.1665	-4357.3212	686483.1665	3527805.6788	9357356.9612	6.6487e-02
79	8616.2036	-4385.1939	686579.2036	3527777.8061	9357356.9612	5.9777e-02
80	8712.2406	-4413.0667	686675.2406	3527749.9333	9357356.9612	5.3746e-02
81	8808.2776	-4440.9394	686771.2776	3527722.0606	9357356.9612	4.8325e-02
82	8904.3147	-4468.8121	686867.3147	3527694.1879	9357356.9612	4.3451e-02
83	9000.3517	-4496.6849	686963.3517	3527666.3151	9357356.9612	3.9069e-02
84	9096.3887	-4524.5576	687059.3887	3527638.4424	9357356.9612	3.5130e-02
85	9192.4257	-4552.4303	687155.4257	3527610.5697	9357356.9612	3.1589e-02
86	9288.4628	-4580.3030	687251.4628	3527582.6970	9357356.9612	2.8405e-02
87	9384.4998	-4608.1758	687347.4998	3527554.8242	9357356.9612	2.5543e-02
88	9480.5368	-4636.0485	687443.5368	3527526.9515	9357356.9612	2.2969e-02
89	9576.5739	-4663.9212	687539.5739	3527499.0788	9357356.9612	2.0655e-02
90	9672.6109	-4691.7940	687635.6109	3527471.2060	9357356.9612	1.8575e-02
91	9768.6479	-4719.6667	687731.6479	3527443.3333	9357356.9612	1.6705e-02
92	9864.6850	-4747.5394	687827.6850	3527415.4606	9357356.9612	1.5023e-02
93	9960.7220	-4775.4122	687923.7220	3527387.5878	9357356.9612	1.3510e-02
94	10056.7590	-4803.2849	688019.7590	3527359.7151	9357356.9612	1.2150e-02
95	10152.7960	-4831.1576	688115.7960	3527331.8424	9357356.9612	1.0928e-02
96	10248.8331	-4859.0303	688211.8331	3527303.9697	9357356.9612	9.8281e-03
97	10344.8701	-4886.9031	688307.8701	3527276.0969	9357356.9612	8.8394e-03
98	10440.9071	-4914.7758	688403.9071	3527248.2242	9357356.9612	7.9502e-03
99	10536.9442	-4942.6485	688499.9442	3527220.3515	9357356.9612	7.1507e-03
100	10632.9812	-4970.5213	688595.9812	3527192.4787	9357356.9612	6.4316e-03
101	10729.0182	-4998.3940	688692.0182	3527164.6060	9357356.9612	5.7849e-03
102	10825.0552	-5026.2667	688788.0552	3527136.7333	9357356.9612	5.2034e-03
103	10921.0923	-5054.1394	688884.0923	3527108.8606	9357356.9612	4.6804e-03
104	11017.1293	-5082.0122	688980.1293	3527080.9878	9357356.9612	4.2100e-03
105	11113.1663	-5109.8849	689076.1663	3527053.1151	9357356.9612	3.7870e-03
106	11209.2034	-5137.7576	689172.2034	3527025.2424	9357356.9612	3.4065e-03
107	11305.2404	-5165.6304	689268.2404	3526997.3696	9357356.9612	3.0643e-03
108	11401.2774	-5193.5031	689364.2774	3526969.4969	9357356.9612	2.7565e-03
109	11497.3144	-5221.3758	689460.3144	3526941.6242	9357356.9612	2.4797e-03
110	11593.3515	-5249.2486	689556.3515	3526913.7514	9357356.9612	2.2307e-03
111	11689.3885	-5277.1213	689652.3885	3526885.8787	9357356.9612	2.0067e-03
112	11785.4255	-5304.9940	689748.4255	3526858.0060	9357356.9612	1.8053e-03
113	11881.4626	-5332.8667	689844.4626	3526830.1333	9357356.9612	1.6241e-03
