z	h(m)	phi-1.0	phi-1.1	phi-1.2	phi-1.3	phi-1.4	phi-1.5	phi-1.6	phi-1.7	phi-1.8	phi-1.9
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	5.1707	4.9946	4.8245	4.6601	4.5014	4.3481	4.2000	4.0569	3.9187	3.7852
43	4300.0	15.6697	15.1360	14.6204	14.1224	13.6413	13.1766	12.7278	12.2942	11.8754	11.4709
42	4200.0	26.2292	25.3357	24.4727	23.6390	22.8338	22.0560	21.3047	20.5790	19.8780	19.2009
41	4100.0	36.8451	35.5900	34.3777	33.2066	32.0755	30.9829	29.9275	28.9081	27.9234	26.9722
40	4000.0	47.5182	45.8995	44.3360	42.8258	41.3670	39.9579	38.5967	37.2820	36.0120	34.7853
39	3900.0	58.2486	56.2644	54.3478	52.4965	50.7083	48.9810	47.3125	45.7009	44.1442	42.6404
38	3800.0	69.0364	66.6848	64.4133	62.2191	60.0997	58.0525	56.0750	54.1649	52.3198	50.5376
37	3700.0	79.8820	77.1609	74.5325	71.9937	69.5413	67.1725	64.8843	62.6741	60.5392	58.4770
36	3600.0	90.7853	87.6928	84.7057	81.8203	79.0332	76.3410	73.7406	71.2287	68.8024	66.4587
35	3500.0	101.7465	98.2807	94.9329	91.6991	88.5755	85.5583	82.6439	79.8287	77.1094	74.4828
34	3400.0	112.7659	108.9247	105.2143	101.6303	98.1684	94.8244	91.5944	88.4743	85.4606	82.5495
33	3300.0	123.8435	119.6250	115.5501	111.6140	107.8120	104.1396	100.5922	97.1657	93.8558	90.6588
32	3200.0	134.9796	130.3817	125.9404	121.6504	117.5065	113.5038	109.6375	105.9028	102.2954	98.8108
31	3100.0	146.1742	141.1950	136.3854	131.7396	127.2520	122.9174	118.7304	114.6860	110.7793	107.0058
30	3000.0	157.4247	152.0622	146.8824	141.8790	137.0461	132.3778	127.8686	123.5129	119.3056	115.2416
29	2900.0	168.7326	162.9850	157.4331	152.0703	146.8903	141.8866	137.0535	132.3849	127.8754	123.5195
28	2800.0	180.1028	173.9678	168.0418	162.3177	156.7886	151.4478	146.2889	141.3058	136.4924	131.8429
27	2700.0	191.5353	185.0109	178.7088	172.6213	166.7412	161.0614	155.5750	150.2756	145.1566	140.2121
26	2600.0	203.0305	196.1146	189.4342	182.9814	176.7483	170.7276	164.9120	159.2945	153.8684	148.6270
25	2500.0	214.5886	207.2789	200.2182	193.3981	186.8102	180.4468	174.3001	168.3628	162.6277	157.0880
24	2400.0	226.2097	218.5042	211.0611	203.8716	196.9270	190.2190	183.7394	177.4806	171.4349	165.5952
23	2300.0	237.8942	229.7906	221.9631	214.4022	207.0989	200.0444	193.2301	186.6480	180.2901	174.1487
22	2200.0	249.6421	241.1384	232.9243	224.9901	217.3261	209.9232	202.7724	195.8652	189.1933	182.7487
21	2100.0	261.4538	252.5477	243.9450	235.6354	227.6087	219.8556	212.3665	205.1325	198.1449	191.3954
20	2000.0	273.3284	264.0178	255.0244	246.3373	237.9462	229.8409	222.0116	214.4491	207.1442	200.0881
19	1900.0	285.2700	275.5526	266.1663	257.0997	248.3419	239.8825	231.7112	223.8183	216.1942	208.8298
18	1800.0	297.2837	287.1572	277.3755	267.9271	258.8005	249.9848	241.4694	233.2441	225.2990	217.6244
17	1700.0	309.3702	298.8319	288.6526	278.8200	269.3224	260.1483	251.2866	242.7269	234.4587	226.4722
16	1600.0	321.5296	310.5771	299.9977	289.7787	279.9077	270.3731	261.1632	252.2670	243.6738	235.3734
15	1500.0	333.7616	322.3924	311.4105	300.8028	290.5563	280.6589	271.0986	261.8640	252.9440	244.3278
14	1400.0	346.0687	334.2803	322.8935	311.8946	301.2703	291.0079	281.0951	271.5200	262.2710	253.3371
13	1300.0	358.4544	346.2441	334.4497	323.0572	312.0526	301.4230	291.1554	281.2376	271.6576	262.4040
12	1200.0	370.9191	358.2842	346.0797	334.2910	322.9038	311.9045	301.2799	291.0172	281.1041	271.5287
11	1100.0	383.4633	370.4012	357.7839	345.5965	333.8242	322.4529	311.4690	300.8592	290.6109	280.7116
10	1000.0	396.0840	382.5919	369.5594	356.9709	344.8111	333.0656	321.7201	310.7612	300.1755	289.9504
9	900.0	408.7776	394.8531	381.4030	368.4110	355.8616	343.7396	332.0306	320.7204	309.7955	299.2427
8	800.0	421.5428	407.1835	393.3133	379.9156	366.9743	354.4738	342.3991	330.7358	319.4697	308.5874
7	700.0	434.3780	419.5815	405.2890	391.4834	378.1481	365.2669	352.8246	340.8061	329.1970	317.9833
6	600.0	447.2821	432.0461	417.3290	403.1132	389.3817	376.1179	363.3060	350.9304	338.9765	327.4297
5	500.0	460.2548	444.5768	429.4329	414.8048	400.6751	387.0266	373.8430	361.1086	348.8079	336.9262
4	400.0	473.2973	457.1750	441.6020	426.5594	412.0292	397.9940	384.4368	371.3415	358.6922	346.4739
3	300.0	486.4098	469.8409	453.8364	438.3771	423.4443	409.0203	395.0875	381.6294	368.6297	356.0728
2	200.0	499.5868	482.5690	466.1310	450.2528	434.9156	420.1007	405.7906	391.9679	378.6160	365.7189
1	100.0	512.8267	495.3579	478.4842	462.1853	446.4416	431.2341	416.5447	402.3557	388.6500	375.4111
0	0.0	526.1339	508.2119	490.9003	474.1784	458.0262	442.4241	427.3535	412.7963	398.7349	385.1526
