s	phi-3.0	phi-3.1	phi-3.2	phi-3.3	phi-3.4	phi-3.5	phi-3.6	phi-3.7	phi-3.8	phi-3.9
35	597.9633	374.9369	232.0058	141.6600	85.3399	50.7178	29.7316	17.1897	9.8006	5.5094
36	555.8423	347.6294	214.5354	130.6317	78.4715	46.4982	27.1746	15.6616	8.9001	4.9862
37	516.6884	322.3109	198.3806	120.4619	72.1559	42.6295	24.8375	14.2693	8.0823	4.5127
38	480.2925	298.8363	183.4423	111.0838	66.3486	39.0828	22.7014	13.0008	7.3397	4.0842
39	446.4603	277.0714	169.6289	102.4359	61.0087	35.8311	20.7490	11.8451	6.6653	3.6963
40	415.0114	256.8917	156.8556	94.4612	56.0986	32.8500	18.9645	10.7921	6.0528	3.3453
41	385.7777	238.1818	145.0441	87.1073	51.5836	30.1169	17.3335	9.8327	5.4967	3.0276
42	358.6032	220.8345	134.1221	80.3259	47.4320	27.6112	15.8427	8.9586	4.9916	2.7401
43	333.3430	204.7506	124.0226	74.0725	43.6146	25.3140	14.4802	8.1622	4.5330	2.4799
44	309.8620	189.8382	114.6835	68.3059	40.1044	23.2078	13.2349	7.4366	4.1165	2.2444
45	288.0351	176.0119	106.0477	62.9882	36.8767	21.2770	12.0966	6.7755	3.7382	2.0312
46	267.7457	163.1926	98.0621	58.0846	33.9087	19.5067	11.0563	6.1732	3.3947	1.8383
47	248.8855	151.3069	90.6779	53.5626	31.1797	17.8838	10.1054	5.6244	3.0828	1.6638
48	231.3539	140.2869	83.8498	49.3928	28.6703	16.3959	9.2363	5.1244	2.7996	1.5058
49	215.0571	130.0695	77.5358	45.5475	26.3628	15.0317	8.4419	4.6688	2.5423	1.3628
50	199.9084	120.5963	71.6972	42.0016	24.2410	13.7811	7.7159	4.2538	2.3087	1.2334
51	185.8267	111.8130	66.2983	38.7317	22.2901	12.6345	7.0523	3.8756	2.0966	1.1162
52	172.7369	103.6694	61.3060	35.7164	20.4961	11.5833	6.4458	3.5311	1.9039	1.0102
53	160.5692	96.1190	56.6895	32.9359	18.8465	10.6196	5.8914	3.2172	1.7290	0.9143
54	149.2586	89.1184	52.4208	30.3718	17.3297	9.7361	5.3847	2.9312	1.5701	0.8275
55	138.7447	82.6278	48.4734	28.0073	15.9350	8.9260	4.9216	2.6706	1.4259	0.7489
56	128.9714	76.6098	44.8233	25.8269	14.6525	8.1834	4.4984	2.4332	1.2949	0.6778
57	119.8866	71.0301	41.4480	23.8163	13.4732	7.5025	4.1115	2.2169	1.1759	0.6134
58	111.4417	65.8569	38.3269	21.9622	12.3889	6.8783	3.7579	2.0198	1.0678	0.5551
59	103.5917	61.0604	35.4409	20.2524	11.3918	6.3061	3.4347	1.8403	0.9697	0.5024
60	96.2946	56.6132	32.7721	18.6757	10.4749	5.7814	3.1393	1.6767	0.8806	0.4547
61	89.5115	52.4900	30.3043	17.2218	9.6319	5.3004	2.8693	1.5276	0.7997	0.4115
62	83.2063	48.6670	28.0224	15.8811	8.8567	4.8594	2.6225	1.3918	0.7262	0.3725
63	77.3452	45.1225	25.9123	14.6447	8.1439	4.4551	2.3970	1.2681	0.6595	0.3371
64	71.8969	41.8361	23.9610	13.5046	7.4884	4.0844	2.1908	1.1554	0.5989	0.3051
65	66.8324	38.7891	22.1567	12.4533	6.8857	3.7446	2.0024	1.0527	0.5439	0.2761
66	62.1247	35.9640	20.4883	11.4838	6.3316	3.4331	1.8302	0.9591	0.4939	0.2499
67	57.7486	33.3447	18.9455	10.5898	5.8220	3.1474	1.6728	0.8738	0.4485	0.2261
68	53.6808	30.9161	17.5189	9.7654	5.3534	2.8856	1.5289	0.7961	0.4073	0.2047
69	49.8994	28.6644	16.1997	9.0051	4.9226	2.6455	1.3974	0.7254	0.3699	0.1852
70	46.3845	26.5767	14.9798	8.3041	4.5264	2.4254	1.2773	0.6609	0.3359	0.1676
71	43.1171	24.6411	13.8518	7.6576	4.1621	2.2236	1.1674	0.6021	0.3050	0.1517
72	40.0799	22.8464	12.8088	7.0614	3.8271	2.0386	1.0670	0.5486	0.2770	0.1373
73	37.2567	21.1825	11.8443	6.5117	3.5191	1.8690	0.9752	0.4998	0.2515	0.1243
74	34.6323	19.6397	10.9524	6.0048	3.2359	1.7135	0.8914	0.4554	0.2284	0.1125
75	32.1928	18.2093	10.1276	5.5373	2.9754	1.5709	0.8147	0.4149	0.2074	0.1018
76	29.9251	16.8831	9.3650	5.1062	2.7360	1.4402	0.7446	0.3780	0.1884	0.0921
77	27.8171	15.6535	8.6598	4.7087	2.5158	1.3204	0.6806	0.3444	0.1711	0.0834
78	25.8577	14.5134	8.0077	4.3421	2.3133	1.2105	0.6221	0.3138	0.1554	0.0755
79	24.0362	13.4564	7.4047	4.0041	2.1271	1.1098	0.5686	0.2859	0.1411	0.0683
80	22.3431	12.4763	6.8471	3.6923	1.9559	1.0175	0.5197	0.2605	0.1281	0.0618
81	20.7693	11.5676	6.3315	3.4049	1.7985	0.9328	0.4750	0.2373	0.1163	0.0559
82	19.3063	10.7251	5.8548	3.1398	1.6538	0.8552	0.4341	0.2162	0.1057	0.0506
83	17.9463	9.9440	5.4139	2.8954	1.5207	0.7841	0.3968	0.1970	0.0959	0.0458
84	16.6822	9.2198	5.0062	2.6700	1.3983	0.7188	0.3627	0.1795	0.0871	0.0415
85	15.5071	8.5483	4.6292	2.4621	1.2857	0.6590	0.3315	0.1635	0.0791	0.0375
86	14.4147	7.9257	4.2807	2.2704	1.1823	0.6042	0.3030	0.1490	0.0719	0.0340
87	13.3993	7.3484	3.9583	2.0937	1.0871	0.5539	0.2769	0.1358	0.0653	0.0307
88	12.4555	6.8132	3.6603	1.9307	0.9996	0.5078	0.2531	0.1237	0.0593	0.0278
89	11.5781	6.3170	3.3846	1.7804	0.9192	0.4656	0.2313	0.1127	0.0538	0.0252
90	10.7625	5.8569	3.1298	1.6418	0.8452	0.4269	0.2114	0.1027	0.0489	0.0228
91	10.0044	5.4304	2.8941	1.5140	0.7772	0.3913	0.1932	0.0935	0.0444	0.0206
92	9.2997	5.0348	2.6762	1.3961	0.7146	0.3588	0.1766	0.0852	0.0403	0.0187
93	8.6446	4.6681	2.4746	1.2874	0.6571	0.3289	0.1614	0.0777	0.0366	0.0169
94	8.0357	4.3282	2.2883	1.1872	0.6042	0.3016	0.1476	0.0708	0.0332	0.0153
95	7.4696	4.0129	2.1160	1.0948	0.5556	0.2765	0.1349	0.0645	0.0302	0.0138
96	6.9435	3.7207	1.9566	1.0095	0.5109	0.2535	0.1233	0.0587	0.0274	0.0125
97	6.4544	3.4497	1.8093	0.9309	0.4698	0.2324	0.1127	0.0535	0.0249	0.0113
98	5.9997	3.1984	1.6731	0.8585	0.4319	0.2130	0.1030	0.0488	0.0226	0.0103
99	5.5771	2.9655	1.5471	0.7916	0.3972	0.1953	0.0941	0.0444	0.0205	0.0093
100	5.1842	2.7495	1.4306	0.7300	0.3652	0.1791	0.0860	0.0405	0.0186	0.0084
101	4.8191	2.5492	1.3229	0.6732	0.3358	0.1642	0.0786	0.0369	0.0169	0.0076
