z	h(m)	phi5.0	phi4.9	phi4.8	phi4.7	phi4.6	phi4.5	phi4.4	phi4.3	phi4.2	phi4.1
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	1262.6037	1099.1604	956.8747	833.0078	725.1754	631.3019	549.5802	478.4374	416.5039	362.5877
43	4300.0	3816.1478	3322.1496	2892.0992	2517.7186	2191.8014	1908.0739	1661.0748	1446.0496	1258.8593	1095.9007
42	4200.0	6372.5012	5547.5845	4829.4528	4204.2828	3660.0408	3186.2506	2773.7922	2414.7264	2102.1414	1830.0204
41	4100.0	8933.2594	7776.8540	6770.1446	5893.7532	5130.8102	4466.6297	3888.4270	3385.0723	2946.8766	2565.4051
40	4000.0	11499.4677	10010.8681	8714.9668	7586.8193	6604.7098	5749.7338	5005.4340	4357.4834	3793.4096	3302.3549
39	3900.0	14071.1196	12249.6211	10663.9145	9283.4768	8081.7360	7035.5598	6124.8105	5331.9573	4641.7384	4040.8680
38	3800.0	16648.2087	14493.1075	12616.9829	10983.7215	9561.8850	8324.1043	7246.5537	6308.4914	5491.8608	4780.9425
37	3700.0	19230.7287	16741.3217	14574.1670	12687.5493	11045.1532	9615.3643	8370.6608	7287.0835	6343.7747	5522.5766
36	3600.0	21818.6732	18994.2583	16535.4622	14394.9560	12531.5370	10909.3366	9497.1291	8267.7311	7197.4780	6265.7685
35	3500.0	24412.0360	21251.9117	18500.8637	16105.9373	14021.0328	12206.0180	10625.9558	9250.4318	8052.9686	7010.5164
34	3400.0	27010.8106	23514.2764	20470.3666	17820.4891	15513.6369	13505.4053	11757.1382	10235.1833	8910.2446	7756.8184
33	3300.0	29614.9909	25781.3470	22443.9662	19538.6074	17009.3457	14807.4955	12890.6735	11221.9831	9769.3037	8504.6728
32	3200.0	32224.5706	28053.1181	24421.6578	21260.2879	18508.1556	16112.2853	14026.5591	12210.8289	10630.1440	9254.0778
31	3100.0	34839.5434	30329.5842	26403.4366	22985.5266	20010.0631	17419.7717	15164.7921	13201.7183	11492.7633	10005.0316
30	3000.0	37459.5605	32610.4415	28389.0382	24714.0932	21514.8677	18729.7802	16305.2207	14194.5191	12357.0466	10757.4339
29	2900.0	40084.0423	34895.1856	30378.0235	26445.6054	23022.2367	20042.0211	17447.5928	15189.0117	13222.8027	11511.1184
28	2800.0	42712.7541	37183.6122	32370.2145	28179.9085	24532.0352	21356.3771	18591.8061	16185.1073	14089.9542	12266.0176
27	2700.0	45345.6923	39475.7180	34365.6085	29916.9998	26044.2611	22672.8461	19737.8590	17182.8043	14958.4999	13022.1305
26	2600.0	47982.8531	41771.4998	36364.2027	31656.8771	27558.9122	23991.4265	20885.7499	18182.1013	15828.4386	13779.4561
25	2500.0	50624.2328	44070.9544	38365.9942	33399.5379	29075.9865	25312.1164	22035.4772	19182.9971	16699.7689	14537.9932
24	2400.0	53269.8279	46374.0787	40370.9804	35144.9797	30595.4819	26634.9140	23187.0394	20185.4902	17572.4898	15297.7409
23	2300.0	55919.6347	48680.8695	42379.1584	36893.2002	32117.3962	27959.8174	24340.4347	21189.5792	18446.6001	16058.6981
22	2200.0	58573.6495	50991.3236	44390.5255	38644.1970	33641.7274	29286.8248	25495.6618	22195.2627	19322.0985	16820.8637
21	2100.0	61231.8688	53305.4378	46405.0789	40397.9676	35168.4735	30615.9344	26652.7189	23202.5395	20198.9838	17584.2367
20	2000.0	63894.1152	55623.0580	48422.6844	42154.3952	36697.5325	31947.0576	27811.5290	24211.3422	21077.1976	18348.7663
19	1900.0	66559.0332	57943.0038	50442.3146	43912.5854	38228.1260	33279.5166	28971.5019	25221.1573	21956.2927	19114.0630
18	1800.0	69225.4406	60264.2463	52463.0736	45671.7583	39759.5749	34612.7203	30132.1232	26231.5368	22835.8791	19879.7874
17	1700.0	71893.3375	62586.7854	54484.9613	47431.9138	41291.8792	35946.6687	31293.3927	27242.4807	23715.9569	20645.9396
16	1600.0	74562.7235	64910.6210	56507.9776	49193.0518	42825.0389	37281.3618	32455.3105	28253.9888	24596.5259	21412.5195
15	1500.0	77233.3605	67235.5455	58531.9420	50955.0151	44358.9171	38616.6803	33617.7728	29265.9710	25477.5076	22179.4586
14	1400.0	79904.5196	69560.9245	60556.3020	52717.3229	45893.0951	39952.2598	34780.4623	30278.1510	26358.6614	22946.5476
13	1300.0	82575.7101	71886.3310	62580.6859	54479.6514	47427.2912	41287.8551	35943.1655	31290.3430	27239.8257	23713.6456
12	1200.0	85246.9326	74211.7652	64605.0940	56242.0009	48961.5056	42623.4663	37105.8826	32302.5470	28121.0005	24480.7528
11	1100.0	87918.1873	76537.2274	66629.5265	58004.3718	50495.7385	43959.0936	38268.6137	33314.7632	29002.1859	25247.8693
10	1000.0	90590.4636	78863.5791	68654.7332	59767.4167	52030.5582	45295.2318	39431.7895	34327.3666	29883.7083	26015.2791
9	900.0	93265.0124	81191.9091	70681.6622	61531.9608	53566.6831	46632.5062	40595.9545	35340.8311	30765.9804	26783.3416
8	800.0	95942.4507	83522.7545	72710.7810	63298.4114	55104.4677	47971.2254	41761.3773	36355.3905	31649.2057	27552.2338
7	700.0	98623.3570	85856.6190	74742.5280	65067.1499	56644.2440	49311.6785	42928.3095	37371.2640	32533.5749	28322.1220
6	600.0	101308.0287	88193.7615	76777.1287	66838.3727	58186.1830	50654.0144	44096.8807	38388.5644	33419.1863	29093.0915
5	500.0	103996.6193	90534.3155	78814.6993	68612.1809	59730.3727	51998.3096	45267.1577	39407.3497	34306.0905	29865.1864
4	400.0	106689.2055	92878.3479	80855.2981	70388.6253	61276.8574	53344.6027	46439.1740	40427.6491	35194.3127	30638.4287
3	300.0	109385.7842	95225.8561	82898.9227	72167.7038	62825.6352	54692.8921	47612.9280	41449.4613	36083.8519	31412.8176
2	200.0	112086.5560	97577.0145	84945.7249	73949.5487	64376.8213	56043.2780	48788.5072	42472.8625	36974.7743	32188.4106
1	100.0	114792.0523	99932.2858	86996.1077	75734.5106	65930.7208	57396.0262	49966.1429	43498.0539	37867.2553	32965.3604
0	0.0	117502.6005	102291.9550	89050.3191	77522.8054	67487.5219	58751.3002	51145.9775	44525.1595	38761.4027	33743.7610
