i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
73	55038.3209	-36801.1076	733001.3209	3495361.8924	16043205.9953	1.4558e+07
74	55134.3580	-36828.9803	733097.3580	3495334.0197	16043205.9953	1.4447e+07
75	55230.3950	-36856.8530	733193.3950	3495306.1470	16043205.9953	1.4337e+07
76	55326.4320	-36884.7258	733289.4320	3495278.2742	16043205.9953	1.4228e+07
77	55422.4690	-36912.5985	733385.4690	3495250.4015	16043205.9953	1.4120e+07
78	55518.5061	-36940.4712	733481.5061	3495222.5288	16043205.9953	1.4013e+07
79	55614.5431	-36968.3440	733577.5431	3495194.6560	16043205.9953	1.3906e+07
80	55710.5801	-36996.2167	733673.5801	3495166.7833	16043205.9953	1.3800e+07
81	55806.6172	-37024.0894	733769.6172	3495138.9106	16043205.9953	1.3695e+07
82	55902.6542	-37051.9621	733865.6542	3495111.0379	16043205.9953	1.3591e+07
83	55998.6912	-37079.8349	733961.6912	3495083.1651	16043205.9953	1.3488e+07
84	56094.7283	-37107.7076	734057.7283	3495055.2924	16043205.9953	1.3386e+07
85	56190.7653	-37135.5803	734153.7653	3495027.4197	16043205.9953	1.3284e+07
86	56286.8023	-37163.4531	734249.8023	3494999.5469	16043205.9953	1.3183e+07
87	56382.8393	-37191.3258	734345.8393	3494971.6742	16043205.9953	1.3083e+07
88	56478.8764	-37219.1985	734441.8764	3494943.8015	16043205.9953	1.2984e+07
89	56574.9134	-37247.0713	734537.9134	3494915.9287	16043205.9953	1.2885e+07
90	56670.9504	-37274.9440	734633.9504	3494888.0560	16043205.9953	1.2788e+07
91	56766.9875	-37302.8167	734729.9875	3494860.1833	16043205.9953	1.2691e+07
92	56863.0245	-37330.6894	734826.0245	3494832.3106	16043205.9953	1.2595e+07
93	56959.0615	-37358.5622	734922.0615	3494804.4378	16043205.9953	1.2499e+07
94	57055.0985	-37386.4349	735018.0985	3494776.5651	16043205.9953	1.2405e+07
95	57151.1356	-37414.3076	735114.1356	3494748.6924	16043205.9953	1.2311e+07
96	57247.1726	-37442.1804	735210.1726	3494720.8196	16043205.9953	1.2217e+07
97	57343.2096	-37470.0531	735306.2096	3494692.9469	16043205.9953	1.2125e+07
98	57439.2467	-37497.9258	735402.2467	3494665.0742	16043205.9953	1.2033e+07
99	57535.2837	-37525.7985	735498.2837	3494637.2015	16043205.9953	1.1942e+07
100	57631.3207	-37553.6713	735594.3207	3494609.3287	16043205.9953	1.1852e+07
101	57727.3577	-37581.5440	735690.3577	3494581.4560	16043205.9953	1.1762e+07
102	57823.3948	-37609.4167	735786.3948	3494553.5833	16043205.9953	1.1673e+07
103	57919.4318	-37637.2895	735882.4318	3494525.7105	16043205.9953	1.1585e+07
104	58015.4688	-37665.1622	735978.4688	3494497.8378	16043205.9953	1.1498e+07
105	58111.5059	-37693.0349	736074.5059	3494469.9651	16043205.9953	1.1411e+07
106	58207.5429	-37720.9077	736170.5429	3494442.0923	16043205.9953	1.1325e+07
107	58303.5799	-37748.7804	736266.5799	3494414.2196	16043205.9953	1.1239e+07
108	58399.6169	-37776.6531	736362.6169	3494386.3469	16043205.9953	1.1154e+07
