676000	3534600	1686
676200	3534600	1664
675800	3534600	1647
676400	3534600	1621
676400	3534800	1617
675600	3535000	1605
676600	3534800	1596
675600	3534800	1594
676000	3534400	1579
676600	3535000	1578
675800	3534800	1568
675800	3535600	1559
675600	3534600	1558
676000	3535600	1557
676600	3534600	1557
676200	3534400	1552
675800	3534400	1550
676400	3535000	1548
676400	3535200	1541
681400	3529400	1536
676400	3534400	1535
681600	3529400	1531
675600	3535200	1523
675400	3535200	1518
675800	3535400	1514
676200	3535400	1514
676200	3534800	1513
676400	3535400	1509
676000	3535400	1508
675400	3535000	1507
676000	3534800	1505
676600	3535200	1504
676800	3534800	1504
676600	3534400	1500
675600	3534400	1490
675400	3534800	1485
676200	3535600	1479
675800	3535200	1476
675800	3535000	1470
676800	3535000	1470
676800	3534600	1470
675400	3534600	1468
676000	3534200	1464
681600	3529200	1464
681400	3529600	1463
676200	3534200	1461
675800	3534200	1458
676400	3534200	1454
676000	3535800	1448
675800	3535800	1440
675400	3535400	1440
676200	3535000	1439
681800	3529200	1438
676600	3534200	1436
681800	3529400	1435
675600	3535400	1433
681200	3529400	1432
676200	3535200	1431
681600	3529600	1430
681400	3529200	1429
676800	3535200	1428
676000	3535000	1428
675200	3535200	1427
676000	3535200	1422
675400	3534400	1422
676600	3535400	1419
678400	3532000	1419
676800	3534200	1418
677000	3534800	1417
676400	3535600	1416
675200	3535000	1410
675600	3534200	1410
681000	3529400	1410
676800	3534400	1409
675600	3535600	1407
675400	3533000	1407
678200	3531800	1402
676200	3534000	1400
677000	3535000	1399
676200	3535800	1397
675200	3534600	1397
675200	3534800	1396
677000	3534200	1396
678000	3533200	1392
681200	3529600	1390
682000	3529400	1390
678400	3532400	1389
677200	3534200	1388
676800	3534000	1388
681800	3529000	1387
677800	3531800	1386
675800	3534000	1385
677800	3533200	1385
676000	3534000	1384
676600	3534000	1384
676400	3534000	1383
675200	3533800	1383
678000	3532600	1383
675200	3535400	1382
675400	3535600	1381
677800	3533400	1381
678000	3533400	1380
675400	3534200	1379
