s	phi-1.0	phi-1.1	phi-1.2	phi-1.3	phi-1.4	phi-1.5	phi-1.6	phi-1.7	phi-1.8	phi-1.9
0	1749850.0531	1467481.2113	1218404.7426	1001515.3037	815023.6787	656642.7109	523761.9187	413603.5067	323355.0193	250276.2780
1	1687094.3955	1413031.1774	1171633.2744	961741.1679	781538.1855	628733.4636	500732.9616	394791.5328	308141.5728	238096.1129
2	1626589.3723	1360601.4803	1126657.2442	923546.6204	749428.4538	602010.4414	478716.5501	376835.1859	293643.8998	226508.7184
3	1568254.2679	1310117.1564	1083407.7298	886868.9295	718637.9601	576423.2263	457668.1644	359695.5496	279828.3240	215485.2463
4	1512011.2615	1261506.0239	1041818.4546	851647.8549	689112.5031	551923.5432	437545.2418	343335.4772	266662.7537	204998.2521
5	1457785.3232	1214698.5791	1001825.6861	817825.5486	660800.1084	528465.1686	418307.0913	327719.5118	254116.6069	195021.6272
6	1405504.1141	1169627.8972	963368.1387	785346.4598	633650.9370	506003.8440	399914.8109	312813.8091	242160.7405	185530.5335
7	1355097.8895	1126229.5367	926386.8789	754157.2442	607617.1974	484497.1918	382331.2090	298586.0641	230767.3826	176501.3417
8	1306499.4059	1084441.4470	890825.2359	724206.6758	582653.0619	463904.6356	365520.7295	285005.4412	219910.0678	167911.5724
9	1259643.8316	1044203.8800	856628.7142	695445.5629	558714.5854	444187.3236	349449.3793	272042.5073	209563.5760	159739.8404
10	1214468.6597	1005459.3045	823744.9103	667826.6677	535759.6284	425308.0554	334084.6601	259669.1679	199703.8736	151965.8011
11	1170913.6253	968152.3238	792123.4322	641304.6280	513747.7827	407231.2116	319395.5026	247858.6065	190308.0578	144570.1000
12	1128920.6246	932229.5968	761715.8225	615835.8836	492640.3004	389922.6869	305352.2034	236585.2261	181354.3033	137534.3246
13	1088433.6377	897639.7617	732475.4837	591378.6037	472400.0253	373349.8254	291926.3651	225824.5942	172821.8116	130840.9584
14	1049398.6538	864333.3622	704357.6075	567892.6192	452991.3280	357481.3593	279090.8391	215553.3892	164690.7630	124473.3375
15	1011763.5991	832262.7773	677319.1052	545339.3561	434380.0429	342287.3497	266819.6702	205749.3506	156942.2700	118415.6088
16	975478.2672	801382.1526	651318.5424	523681.7723	416533.4080	327739.1302	255088.0446	196391.2302	149558.3338	112652.6908
17	940494.2525	771647.3355	626316.0753	502884.2969	399420.0075	313809.2528	243872.2394	187458.7462	142521.8025	107170.2360
18	906764.8851	743015.8115	602273.3895	482912.7715	383009.7162	300471.4362	233149.5748	178932.5394	135816.3311	101954.5952
19	874245.1692	715446.6434	579153.6414	463734.3944	367273.6467	287700.5161	222898.3684	170794.1310	129426.3437	96992.7834
20	842891.7225	688900.4133	556921.4019	445317.6666	352184.0983	275472.3976	213097.8907	163025.8827	123336.9972	92272.4475
21	812662.7185	663339.1655	535542.6016	427632.3399	337714.5086	263764.0102	203728.3241	155610.9584	117534.1468	87781.8355
22	783517.8308	638726.3529	514984.4792	410649.3675	323839.4063	252553.2637	194770.7220	148533.2881	112004.3132	83509.7676
23	755418.1793	615026.7843	495215.5311	394340.8561	310534.3668	241819.0069	186206.9711	141777.5321	106734.6513	79445.6080
24	728326.2782	592206.5744	476205.4627	378680.0203	297775.9688	231540.9875	178019.7544	135329.0490	101712.9203	75579.2383
25	702205.9861	570233.0951	457925.1426	363641.1382	285541.7535	221699.8143	170192.5162	129173.8629	96927.4555	71901.0327
26	677022.4578	549074.9289	440346.5577	349199.5096	273810.1846	212276.9199	162709.4289	123298.6339	92367.1407	68401.8339
27	652742.0977	528701.8241	423442.7701	335331.4153	262560.6107	203254.5262	155555.3607	117690.6285	88021.3831	65072.9302
28	629332.5150	509084.6515	407187.8760	322014.0778	251773.2289	194615.6108	148715.8453	112337.6926	83880.0878	61906.0339
29	606762.4806	490195.3626	391556.9660	309225.6246	241429.0500	186343.8747	142177.0522	107228.2250	79933.6353	58893.2605
30	585001.8855	472006.9498	376526.0871	296945.0514	231509.8648	178423.7117	135925.7591	102351.1518	76172.8584	56027.1094
31	564021.7005	454493.4074	362072.2055	285152.1884	221998.2123	170840.1790	129949.3252	97695.9031	72589.0213	53300.4449
32	543793.9372	437629.6947	348173.1717	273827.6666	212877.3489	163578.9687	124235.6654	93252.3895	69173.7993	50706.4786
33	524291.6112	421391.7003	334807.6866	262952.8864	204131.2189	156626.3812	118773.2258	89010.9808	65919.2591	48238.7526
34	505488.7059	405756.2072	321955.2686	252509.9867	195744.4263	149969.2992	113550.9609	84962.4845	62817.8410	45891.1231
35	487360.1377	390700.8599	309596.2223	242481.8160	187702.2076	143595.1627	108558.3104	81098.1265	59862.3406	43657.7455
36	469881.7224	376204.1325	297711.6085	232851.9035	179990.4059	137491.9458	103785.1785	77409.5314	57045.8929	41533.0593
37	453030.1434	362245.2978	286283.2148	223604.4330	172595.4458	131648.1335	99221.9135	73888.7052	54361.9555	39511.7750
38	436782.9201	348804.3974	275293.5282	214724.2162	165504.3100	126052.7005	94859.2879	70528.0170	51804.2939	37588.8602
39	421118.3783	335862.2138	264725.7078	206196.6679	158704.5156	120695.0898	90688.4797	67320.1835	49366.9671	35759.5278
40	406015.6209	323400.2424	254563.5592	198007.7822	152184.0928	115565.1934	86701.0552	64258.2521	47044.3135	34019.2232
41	391454.5006	311400.6651	244791.5098	190144.1097	145931.5635	110653.3326	82888.9513	61335.5870	44830.9377	32363.6138
42	377415.5922	299846.3252	235394.5845	182592.7347	139935.9212	105950.2404	79244.4593	58545.8537	42721.6986	30788.5778
43	363880.1675	288720.7023	226358.3833	175341.2546	134186.6118	101447.0434	75760.2097	55883.0062	40711.6964	29290.1938
44	350830.1698	278007.8891	217669.0590	168377.7596	128673.5144	97135.2456	72429.1569	53341.2732	38796.2624	27864.7315
45	338248.1900	267692.5686	209313.2959	161690.8124	123386.9243	93006.7118	69244.5650	50915.1462	36970.9471	26508.6420
46	326117.4434	257759.9921	201278.2893	155269.4305	118317.5354	89053.6529	66199.9944	48599.3670	35231.5106	25218.5492
47	314421.7472	248195.9580	193551.7262	149103.0670	113456.4238	85268.6107	63289.2887	46388.9166	33573.9124	23991.2411
48	303145.4990	238986.7919	186121.7663	143181.5942	108795.0325	81644.4438	60506.5619	44279.0044	31994.3021	22823.6623
49	292273.6560	230119.3264	178977.0237	137495.2865	104325.1558	78174.3147	57846.1871	42265.0576	30489.0104	21712.9059
50	281791.7147	221580.8831	172106.5496	132034.8046	100038.9254	74851.6763	55302.7846	40342.7113	29054.5409	20656.2066
51	271685.6920	213359.2538	165499.8156	126791.1800	95928.7960	71670.2598	52871.2114	38507.7993	27687.5613	19650.9335
52	261942.1062	205442.6832	159146.6974	121755.8005	91987.5325	68624.0629	50546.5504	36756.3448	26384.8964	18694.5839
53	252547.9589	197819.8523	153037.4593	116920.3959	88208.1971	65707.3383	48324.1011	35084.5519	25143.5203	17784.7769
54	243490.7181	190479.8621	147162.7393	112277.0243	84584.1367	62914.5831	46199.3692	33488.7974	23960.5493	16919.2473
55	234758.3013	183412.2180	141513.5350	107818.0594	81108.9720	60240.5282	44168.0583	31965.6227	22833.2356	16095.8404
56	226339.0590	176606.8147	136081.1892	103536.1776	77776.5855	57680.1285	42226.0608	30511.7268	21758.9606	15312.5061
57	218221.7598	170053.9219	130857.3775	99424.3463	74581.1110	55228.5533	40369.4498	29123.9585	20735.2289	14567.2942
58	210395.5749	163744.1704	125834.0946	95475.8120	71516.9236	52881.1773	38594.4710	27799.3103	19759.6625	13858.3495
59	202850.0640	157668.5385	121003.6428	91684.0897	68578.6293	50633.5717	36897.5350	26534.9112	18829.9953	13183.9069
60	195575.1611	151818.3394	116358.6198	88042.9517	65761.0556	48481.4959	35275.2106	25328.0209	17944.0677	12542.2873
61	188561.1614	146185.2085	111891.9075	84546.4177	63059.2429	46420.8897	33724.2171	24176.0238	17099.8219	11931.8933
62	181798.7079	140761.0917	107596.6609	81188.7449	60468.4349	44447.8653	32241.4183	23076.4230	16295.2968	11351.2053
63	175278.7792	135538.2335	103466.2980	77964.4186	57984.0710	42558.7002	30823.8158	22026.8355	15528.6236	10798.7776
64	168992.6777	130509.1665	99494.4892	74868.1430	55601.7780	40749.8302	29468.5429	21024.9865	14798.0214	10273.2348
65	162932.0175	125666.7000	95675.1481	71894.8328	53317.3622	39017.8426	28172.8591	20068.7047	14101.7932	9773.2686
66	157088.7135	121003.9105	92002.4218	69039.6045	51126.8023	37359.4694	26934.1445	19155.9176	13438.3215	9297.6341
67	151454.9705	116514.1310	88470.6821	66297.7686	49026.2423	35771.5821	25749.8941	18284.6469	12806.0654	8845.1473
68	146023.2729	112190.9421	85074.5170	63664.8219	47011.9843	34251.1846	24617.7132	17453.0043	12203.5562	8414.6816
69	140786.3748	108028.1627	81808.7220	61136.4399	45080.4828	32795.4084	23535.3125	16659.1874	11629.3942	8005.1653
70	135737.2898	104019.8408	78668.2927	58708.4699	43228.3376	31401.5071	22500.5032	15901.4757	11082.2459	7615.5789
71	130869.2825	100160.2453	75648.4164	56376.9243	41452.2883	30066.8506	21511.1928	15178.2271	10560.8402	7244.9524
72	126175.8587	96443.8578	72744.4655	54137.9735	39749.2086	28788.9210	20565.3808	14487.8742	10063.9659	6892.3632
73	121650.7573	92865.3648	69951.9900	51987.9403	38116.1004	27565.3072	19661.1545	13828.9206	9590.4690	6556.9334
74	117287.9416	89419.6496	67266.7105	49923.2935	36550.0889	26393.7005	18796.6856	13199.9383	9139.2495	6237.8279
75	113081.5915	86101.7857	64684.5121	47940.6420	35048.4175	25271.8906	17970.2260	12599.5640	8709.2593	5934.2523
76	109026.0957	82907.0292	62201.4377	46036.7294	33608.4427	24197.7609	17180.1045	12026.4967	8299.4996	5645.4508
77	105116.0439	79830.8123	59813.6822	44208.4287	32227.6297	23169.2848	16424.7233	11479.4942	7909.0186	5370.7043
78	101346.2200	76868.7366	57517.5867	42452.7370	30903.5479	22184.5221	15702.5550	10957.3711	7536.9093	5109.3289
79	97711.5951	74016.5670	55309.6324	40766.7709	29633.8663	21241.6146	15012.1393	10458.9958	7182.3072	4860.6738
80	94207.3203	71270.2254	53186.4359	39147.7611	28416.3500	20338.7835	14352.0800	9983.2881	6844.3887	4624.1200
81	90828.7209	68625.7853	51144.7435	37593.0486	27248.8557	19474.3253	13721.0425	9529.2171	6522.3688	4399.0785
82	87571.2897	66079.4656	49181.4265	36100.0799	26129.3282	18646.6092	13117.7506	9095.7987	6215.4996	4184.9891
83	84430.6813	63627.6256	47293.4762	34666.4028	25055.7969	17854.0735	12540.9845	8682.0935	5923.0681	3981.3188
84	81402.7059	61266.7597	45477.9996	33289.6628	24026.3720	17095.2228	11989.5779	8287.2048	5644.3952	3787.5604
85	78483.3241	58993.4923	43732.2145	31967.5986	23039.2412	16368.6255	11462.4157	7910.2770	5378.8335	3603.2317
86	75668.6415	56804.5732	42053.4457	30698.0387	22092.6671	15672.9108	10958.4320	7550.4930	5125.7662	3427.8736
