i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
73	12736.3459	-7499.6869	690699.3459	3524663.3131	10034214.4053	4.5177e+05
74	12832.3829	-7527.5597	690795.3829	3524635.4403	10034214.4053	4.3422e+05
75	12928.4199	-7555.4324	690891.4199	3524607.5676	10034214.4053	4.1734e+05
76	13024.4570	-7583.3051	690987.4570	3524579.6949	10034214.4053	4.0113e+05
77	13120.4940	-7611.1778	691083.4940	3524551.8222	10034214.4053	3.8555e+05
78	13216.5310	-7639.0506	691179.5310	3524523.9494	10034214.4053	3.7058e+05
79	13312.5681	-7666.9233	691275.5681	3524496.0767	10034214.4053	3.5619e+05
80	13408.6051	-7694.7960	691371.6051	3524468.2040	10034214.4053	3.4237e+05
81	13504.6421	-7722.6688	691467.6421	3524440.3312	10034214.4053	3.2909e+05
82	13600.6792	-7750.5415	691563.6792	3524412.4585	10034214.4053	3.1632e+05
83	13696.7162	-7778.4142	691659.7162	3524384.5858	10034214.4053	3.0406e+05
84	13792.7532	-7806.2869	691755.7532	3524356.7131	10034214.4053	2.9227e+05
85	13888.7902	-7834.1597	691851.7902	3524328.8403	10034214.4053	2.8094e+05
86	13984.8273	-7862.0324	691947.8273	3524300.9676	10034214.4053	2.7005e+05
87	14080.8643	-7889.9051	692043.8643	3524273.0949	10034214.4053	2.5959e+05
88	14176.9013	-7917.7779	692139.9013	3524245.2221	10034214.4053	2.4954e+05
89	14272.9384	-7945.6506	692235.9384	3524217.3494	10034214.4053	2.3987e+05
90	14368.9754	-7973.5233	692331.9754	3524189.4767	10034214.4053	2.3059e+05
91	14465.0124	-8001.3961	692428.0124	3524161.6039	10034214.4053	2.2166e+05
92	14561.0494	-8029.2688	692524.0494	3524133.7312	10034214.4053	2.1309e+05
93	14657.0865	-8057.1415	692620.0865	3524105.8585	10034214.4053	2.0484e+05
94	14753.1235	-8085.0142	692716.1235	3524077.9858	10034214.4053	1.9692e+05
95	14849.1605	-8112.8870	692812.1605	3524050.1130	10034214.4053	1.8931e+05
96	14945.1976	-8140.7597	692908.1976	3524022.2403	10034214.4053	1.8199e+05
97	15041.2346	-8168.6324	693004.2346	3523994.3676	10034214.4053	1.7496e+05
98	15137.2716	-8196.5052	693100.2716	3523966.4948	10034214.4053	1.6820e+05
99	15233.3086	-8224.3779	693196.3086	3523938.6221	10034214.4053	1.6170e+05
100	15329.3457	-8252.2506	693292.3457	3523910.7494	10034214.4053	1.5546e+05
101	15425.3827	-8280.1233	693388.3827	3523882.8767	10034214.4053	1.4945e+05
102	15521.4197	-8307.9961	693484.4197	3523855.0039	10034214.4053	1.4368e+05
103	15617.4568	-8335.8688	693580.4568	3523827.1312	10034214.4053	1.3814e+05
104	15713.4938	-8363.7415	693676.4938	3523799.2585	10034214.4053	1.3281e+05
105	15809.5308	-8391.6143	693772.5308	3523771.3857	10034214.4053	1.2769e+05
106	15905.5679	-8419.4870	693868.5679	3523743.5130	10034214.4053	1.2276e+05
107	16001.6049	-8447.3597	693964.6049	3523715.6403	10034214.4053	1.1803e+05
108	16097.6419	-8475.2325	694060.6419	3523687.7675	10034214.4053	1.1348e+05
109	16193.6789	-8503.1052	694156.6789	3523659.8948	10034214.4053	1.0911e+05
110	16289.7160	-8530.9779	694252.7160	3523632.0221	10034214.4053	1.0490e+05
111	16385.7530	-8558.8506	694348.7530	3523604.1494	10034214.4053	1.0086e+05
112	16481.7900	-8586.7234	694444.7900	3523576.2766	10034214.4053	9.6978e+04
113	16577.8271	-8614.5961	694540.8271	3523548.4039	10034214.4053	9.3244e+04
114	16673.8641	-8642.4688	694636.8641	3523520.5312	10034214.4053	8.9654e+04
115	16769.9011	-8670.3416	694732.9011	3523492.6584	10034214.4053	8.6204e+04
116	16865.9381	-8698.2143	694828.9381	3523464.7857	10034214.4053	8.2887e+04
117	16961.9752	-8726.0870	694924.9752	3523436.9130	10034214.4053	7.9699e+04
118	17058.0122	-8753.9597	695021.0122	3523409.0403	10034214.4053	7.6633e+04
119	17154.0492	-8781.8325	695117.0492	3523381.1675	10034214.4053	7.3687e+04
120	17250.0863	-8809.7052	695213.0863	3523353.2948	10034214.4053	7.0854e+04
121	17346.1233	-8837.5779	695309.1233	3523325.4221	10034214.4053	6.8131e+04
122	17442.1603	-8865.4507	695405.1603	3523297.5493	10034214.4053	6.5513e+04
123	17538.1973	-8893.3234	695501.1973	3523269.6766	10034214.4053	6.2996e+04
124	17634.2344	-8921.1961	695597.2344	3523241.8039	10034214.4053	6.0576e+04
125	17730.2714	-8949.0689	695693.2714	3523213.9311	10034214.4053	5.8250e+04
126	17826.3084	-8976.9416	695789.3084	3523186.0584	10034214.4053	5.6014e+04
127	17922.3455	-9004.8143	695885.3455	3523158.1857	10034214.4053	5.3864e+04
128	18018.3825	-9032.6870	695981.3825	3523130.3130	10034214.4053	5.1796e+04
129	18114.4195	-9060.5598	696077.4195	3523102.4402	10034214.4053	4.9809e+04
130	18210.4565	-9088.4325	696173.4565	3523074.5675	10034214.4053	4.7898e+04
131	18306.4936	-9116.3052	696269.4936	3523046.6948	10034214.4053	4.6061e+04
132	18402.5306	-9144.1780	696365.5306	3523018.8220	10034214.4053	4.4295e+04
133	18498.5676	-9172.0507	696461.5676	3522990.9493	10034214.4053	4.2597e+04
134	18594.6047	-9199.9234	696557.6047	3522963.0766	10034214.4053	4.0964e+04
135	18690.6417	-9227.7961	696653.6417	3522935.2039	10034214.4053	3.9395e+04
136	18786.6787	-9255.6689	696749.6787	3522907.3311	10034214.4053	3.7885e+04
