i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
73	110607.2491	-74266.1101	788570.2491	3457896.8899	508280354.9763	3.9804e+06
74	110703.2861	-74293.9829	788666.2861	3457869.0171	508280354.9763	3.9643e+06
75	110799.3232	-74321.8556	788762.3232	3457841.1444	508280354.9763	3.9483e+06
76	110895.3602	-74349.7283	788858.3602	3457813.2717	508280354.9763	3.9324e+06
77	110991.3972	-74377.6010	788954.3972	3457785.3990	508280354.9763	3.9165e+06
78	111087.4343	-74405.4738	789050.4343	3457757.5262	508280354.9763	3.9007e+06
79	111183.4713	-74433.3465	789146.4713	3457729.6535	508280354.9763	3.8850e+06
80	111279.5083	-74461.2192	789242.5083	3457701.7808	508280354.9763	3.8693e+06
81	111375.5453	-74489.0920	789338.5453	3457673.9080	508280354.9763	3.8537e+06
82	111471.5824	-74516.9647	789434.5824	3457646.0353	508280354.9763	3.8381e+06
83	111567.6194	-74544.8374	789530.6194	3457618.1626	508280354.9763	3.8227e+06
84	111663.6564	-74572.7101	789626.6564	3457590.2899	508280354.9763	3.8072e+06
85	111759.6935	-74600.5829	789722.6935	3457562.4171	508280354.9763	3.7919e+06
86	111855.7305	-74628.4556	789818.7305	3457534.5444	508280354.9763	3.7766e+06
87	111951.7675	-74656.3283	789914.7675	3457506.6717	508280354.9763	3.7614e+06
88	112047.8045	-74684.2011	790010.8045	3457478.7989	508280354.9763	3.7462e+06
89	112143.8416	-74712.0738	790106.8416	3457450.9262	508280354.9763	3.7311e+06
90	112239.8786	-74739.9465	790202.8786	3457423.0535	508280354.9763	3.7161e+06
91	112335.9156	-74767.8193	790298.9156	3457395.1807	508280354.9763	3.7011e+06
92	112431.9527	-74795.6920	790394.9527	3457367.3080	508280354.9763	3.6862e+06
93	112527.9897	-74823.5647	790490.9897	3457339.4353	508280354.9763	3.6713e+06
94	112624.0267	-74851.4374	790587.0267	3457311.5626	508280354.9763	3.6566e+06
95	112720.0637	-74879.3102	790683.0637	3457283.6898	508280354.9763	3.6418e+06
96	112816.1008	-74907.1829	790779.1008	3457255.8171	508280354.9763	3.6272e+06
97	112912.1378	-74935.0556	790875.1378	3457227.9444	508280354.9763	3.6126e+06
98	113008.1748	-74962.9284	790971.1748	3457200.0716	508280354.9763	3.5980e+06
99	113104.2119	-74990.8011	791067.2119	3457172.1989	508280354.9763	3.5835e+06
100	113200.2489	-75018.6738	791163.2489	3457144.3262	508280354.9763	3.5691e+06
101	113296.2859	-75046.5465	791259.2859	3457116.4535	508280354.9763	3.5547e+06
102	113392.3229	-75074.4193	791355.3229	3457088.5807	508280354.9763	3.5404e+06
103	113488.3600	-75102.2920	791451.3600	3457060.7080	508280354.9763	3.5262e+06
104	113584.3970	-75130.1647	791547.3970	3457032.8353	508280354.9763	3.5120e+06
105	113680.4340	-75158.0375	791643.4340	3457004.9625	508280354.9763	3.4979e+06
106	113776.4711	-75185.9102	791739.4711	3456977.0898	508280354.9763	3.4838e+06
107	113872.5081	-75213.7829	791835.5081	3456949.2171	508280354.9763	3.4698e+06
108	113968.5451	-75241.6557	791931.5451	3456921.3443	508280354.9763	3.4559e+06
109	114064.5822	-75269.5284	792027.5822	3456893.4716	508280354.9763	3.4420e+06
110	114160.6192	-75297.4011	792123.6192	3456865.5989	508280354.9763	3.4281e+06
111	114256.6562	-75325.2738	792219.6562	3456837.7262	508280354.9763	3.4143e+06
112	114352.6932	-75353.1466	792315.6932	3456809.8534	508280354.9763	3.4006e+06
113	114448.7303	-75381.0193	792411.7303	3456781.9807	508280354.9763	3.3870e+06
114	114544.7673	-75408.8920	792507.7673	3456754.1080	508280354.9763	3.3733e+06
115	114640.8043	-75436.7648	792603.8043	3456726.2352	508280354.9763	3.3598e+06
116	114736.8414	-75464.6375	792699.8414	3456698.3625	508280354.9763	3.3463e+06
117	114832.8784	-75492.5102	792795.8784	3456670.4898	508280354.9763	3.3328e+06
118	114928.9154	-75520.3829	792891.9154	3456642.6171	508280354.9763	3.3195e+06
119	115024.9524	-75548.2557	792987.9524	3456614.7443	508280354.9763	3.3061e+06
120	115120.9895	-75576.1284	793083.9895	3456586.8716	508280354.9763	3.2929e+06
121	115217.0265	-75604.0011	793180.0265	3456558.9989	508280354.9763	3.2796e+06
122	115313.0635	-75631.8739	793276.0635	3456531.1261	508280354.9763	3.2665e+06
123	115409.1006	-75659.7466	793372.1006	3456503.2534	508280354.9763	3.2534e+06
124	115505.1376	-75687.6193	793468.1376	3456475.3807	508280354.9763	3.2403e+06
125	115601.1746	-75715.4921	793564.1746	3456447.5079	508280354.9763	3.2273e+06
126	115697.2116	-75743.3648	793660.2116	3456419.6352	508280354.9763	3.2143e+06
127	115793.2487	-75771.2375	793756.2487	3456391.7625	508280354.9763	3.2015e+06
128	115889.2857	-75799.1102	793852.2857	3456363.8898	508280354.9763	3.1886e+06
129	115985.3227	-75826.9830	793948.3227	3456336.0170	508280354.9763	3.1758e+06
130	116081.3598	-75854.8557	794044.3598	3456308.1443	508280354.9763	3.1631e+06
131	116177.3968	-75882.7284	794140.3968	3456280.2716	508280354.9763	3.1504e+06
132	116273.4338	-75910.6012	794236.4338	3456252.3988	508280354.9763	3.1378e+06
133	116369.4708	-75938.4739	794332.4708	3456224.5261	508280354.9763	3.1252e+06
134	116465.5079	-75966.3466	794428.5079	3456196.6534	508280354.9763	3.1127e+06
135	116561.5449	-75994.2193	794524.5449	3456168.7807	508280354.9763	3.1002e+06
136	116657.5819	-76022.0921	794620.5819	3456140.9079	508280354.9763	3.0878e+06
137	116753.6190	-76049.9648	794716.6190	3456113.0352	508280354.9763	3.0754e+06
138	116849.6560	-76077.8375	794812.6560	3456085.1625	508280354.9763	3.0631e+06
139	116945.6930	-76105.7103	794908.6930	3456057.2897	508280354.9763	3.0508e+06
140	117041.7301	-76133.5830	795004.7301	3456029.4170	508280354.9763	3.0386e+06
141	117137.7671	-76161.4557	795100.7671	3456001.5443	508280354.9763	3.0264e+06
142	117233.8041	-76189.3285	795196.8041	3455973.6715	508280354.9763	3.0143e+06
143	117329.8411	-76217.2012	795292.8411	3455945.7988	508280354.9763	3.0022e+06
144	117425.8782	-76245.0739	795388.8782	3455917.9261	508280354.9763	2.9902e+06
145	117521.9152	-76272.9466	795484.9152	3455890.0534	508280354.9763	2.9782e+06
146	117617.9522	-76300.8194	795580.9522	3455862.1806	508280354.9763	2.9663e+06
147	117713.9893	-76328.6921	795676.9893	3455834.3079	508280354.9763	2.9544e+06
148	117810.0263	-76356.5648	795773.0263	3455806.4352	508280354.9763	2.9426e+06
149	117906.0633	-76384.4376	795869.0633	3455778.5624	508280354.9763	2.9308e+06
150	118002.1003	-76412.3103	795965.1003	3455750.6897	508280354.9763	2.9191e+06
151	118098.1374	-76440.1830	796061.1374	3455722.8170	508280354.9763	2.9074e+06
152	118194.1744	-76468.0557	796157.1744	3455694.9443	508280354.9763	2.8958e+06
153	118290.2114	-76495.9285	796253.2114	3455667.0715	508280354.9763	2.8842e+06
154	118386.2485	-76523.8012	796349.2485	3455639.1988	508280354.9763	2.8727e+06
155	118482.2855	-76551.6739	796445.2855	3455611.3261	508280354.9763	2.8612e+06
156	118578.3225	-76579.5467	796541.3225	3455583.4533	508280354.9763	2.8498e+06
157	118674.3595	-76607.4194	796637.3595	3455555.5806	508280354.9763	2.8384e+06
158	118770.3966	-76635.2921	796733.3966	3455527.7079	508280354.9763	2.8270e+06
159	118866.4336	-76663.1649	796829.4336	3455499.8351	508280354.9763	2.8157e+06
160	118962.4706	-76691.0376	796925.4706	3455471.9624	508280354.9763	2.8045e+06
161	119058.5077	-76718.9103	797021.5077	3455444.0897	508280354.9763	2.7933e+06
162	119154.5447	-76746.7830	797117.5447	3455416.2170	508280354.9763	2.7821e+06
163	119250.5817	-76774.6558	797213.5817	3455388.3442	508280354.9763	2.7710e+06
164	119346.6188	-76802.5285	797309.6188	3455360.4715	508280354.9763	2.7599e+06
165	119442.6558	-76830.4012	797405.6558	3455332.5988	508280354.9763	2.7489e+06
166	119538.6928	-76858.2740	797501.6928	3455304.7260	508280354.9763	2.7379e+06
167	119634.7298	-76886.1467	797597.7298	3455276.8533	508280354.9763	2.7270e+06
168	119730.7669	-76914.0194	797693.7669	3455248.9806	508280354.9763	2.7161e+06
169	119826.8039	-76941.8921	797789.8039	3455221.1079	508280354.9763	2.7053e+06
170	119922.8409	-76969.7649	797885.8409	3455193.2351	508280354.9763	2.6945e+06
171	120018.8780	-76997.6376	797981.8780	3455165.3624	508280354.9763	2.6837e+06
