s	phi2.0	phi1.9	phi1.8	phi1.7	phi1.6	phi1.5	phi1.4	phi1.3	phi1.2	phi1.1
0	1331778.1206	1561491.1939	1812585.0347	2083089.8717	2370106.9344	2669793.7272	2977397.3155	3287340.1149	3593359.3925	3888697.8990
1	1324796.9368	1552720.0165	1801674.8516	2069654.4699	2353726.9737	2650023.2265	2953772.7377	3259392.1032	3560627.0521	3850745.3269
2	1317852.3484	1543998.1084	1790830.3384	2056305.7231	2337460.2159	2630399.1315	2930335.6124	3231681.6975	3528192.8746	3813163.1611
3	1310944.1636	1535325.1928	1780051.0997	2043043.0723	2321305.8787	2610920.3578	2907084.4523	3204206.8775	3496054.1438	3775947.7864
4	1304072.1915	1526700.9946	1769336.7426	2029865.9622	2305263.1852	2591585.8294	2884017.7818	3176965.6405	3464208.1686	3739095.6230
5	1297236.2422	1518125.2400	1758686.8766	2016773.8412	2289331.3638	2572394.4781	2861134.1370	3149956.0007	3432652.2822	3702603.1261
6	1290436.1271	1509597.6570	1748101.1135	2003766.1610	2273509.6482	2553345.2436	2838432.0657	3123175.9889	3401383.8421	3666466.7855
7	1283671.6581	1501117.9749	1737579.0675	1990842.3770	2257797.2775	2534437.0736	2815910.1272	3096623.6530	3370400.2300	3630683.1251
8	1276942.6485	1492685.9248	1727120.3550	1978001.9482	2242193.4960	2515668.9233	2793566.8922	3070297.0574	3339698.8513	3595248.7030
9	1270248.9124	1484301.2390	1716724.5949	1965244.3369	2226697.5532	2497039.7560	2771400.9428	3044194.2828	3309277.1352	3560160.1107
10	1263590.2649	1475963.6515	1706391.4082	1952569.0090	2211308.7039	2478548.5424	2749410.8722	3018313.4265	3279132.5341	3525413.9729
11	1256966.5220	1467672.8977	1696120.4183	1939975.4337	2196026.2079	2460194.2609	2727595.2849	2992652.6016	3249262.5237	3491006.9474
12	1250377.5008	1459428.7146	1685911.2508	1927463.0838	2180849.3302	2441975.8975	2705952.7964	2967209.9377	3219664.6029	3456935.7245
13	1243823.0192	1451230.8405	1675763.5335	1915031.4354	2165777.3409	2423892.4458	2684482.0333	2941983.5799	3190336.2930	3423197.0270
14	1237302.8963	1443079.0154	1665676.8968	1902679.9679	2150809.5150	2405942.9066	2663181.6330	2916971.6893	3161275.1383	3389787.6095
15	1230816.9518	1434972.9806	1655650.9727	1890408.1643	2135945.1328	2388126.2883	2642050.2437	2892172.4426	3132478.7051	3356704.2583
16	1224365.0067	1426912.4788	1645685.3960	1878215.5107	2121183.4792	2370441.6065	2621086.5244	2867584.0318	3103944.5820	3323943.7910
17	1217946.8827	1418897.2543	1635779.8034	1866101.4967	2106523.8444	2352887.8844	2600289.1447	2843204.6645	3075670.3797	3291503.0565
18	1211562.4025	1410927.0527	1625933.8339	1854065.6149	2091965.5233	2335464.1520	2579656.7847	2819032.5636	3047653.7304	3259378.9342
19	1205211.3898	1403001.6213	1616147.1285	1842107.3616	2077507.8157	2318169.4468	2559188.1351	2795065.9668	3019892.2882	3227568.3341
20	1198893.6691	1395120.7084	1606419.3305	1830226.2359	2063150.0262	2301002.8132	2538881.8968	2771303.1271	2992383.7283	3196068.1963
21	1192609.0659	1387284.0640	1596750.0854	1818421.7405	2048891.4643	2283963.3030	2518736.7813	2747742.3122	2965125.7471	3164875.4908
22	1186357.4066	1379491.4394	1587139.0407	1806693.3811	2034731.4442	2267049.9746	2498751.5100	2724381.8045	2938116.0621	3133987.2171
23	1180138.5186	1371742.5874	1577585.8462	1795040.6666	2020669.2849	2250261.8937	2478924.8147	2701219.9010	2911352.4116	3103400.4041
24	1173952.2299	1364037.2621	1568090.1536	1783463.1092	2006704.3102	2233598.1329	2459255.4370	2678254.9133	2884832.5544	3073112.1095
25	1167798.3698	1356375.2191	1558651.6167	1771960.2242	1992835.8482	2217057.7714	2439742.1288	2655485.1673	2858554.2697	3043119.4200
26	1161676.7682	1348756.2151	1549269.8917	1760531.5298	1979063.2321	2200639.8955	2420383.6517	2632909.0031	2832515.3571	3013419.4505
27	1155587.2561	1341180.0084	1539944.6364	1749176.5476	1965385.7994	2184343.5981	2401178.7772	2610524.7748	2806713.6360	2984009.3442
28	1149529.6652	1333646.3586	1530675.5111	1737894.8021	1951802.8924	2168167.9790	2382126.2864	2588330.8508	2781146.9459	2954886.2720
29	1143503.8283	1326155.0267	1521462.1778	1726685.8211	1938313.8576	2152112.1444	2363224.9703	2566325.6130	2755813.1458	2926047.4326
30	1137509.5787	1318705.7750	1512304.3008	1715549.1351	1924918.0465	2136175.2073	2344473.6294	2544507.4575	2730710.1144	2897490.0520
31	1131546.7511	1311298.3670	1503201.5462	1704484.2779	1911614.8147	2120356.2874	2325871.0736	2522874.7935	2705835.7494	2869211.3832
32	1125615.1806	1303932.5678	1494153.5822	1693490.7863	1898403.5223	2104654.5105	2307416.1224	2501426.0441	2681187.9681	2841208.7061
33	1119714.7034	1296608.1436	1485160.0792	1682568.1999	1885283.5341	2089069.0093	2289107.6046	2480159.6459	2656764.7063	2813479.3271
34	1113845.1565	1289324.8621	1476220.7091	1671716.0614	1872254.2189	2073598.9227	2270944.3583	2459074.0483	2632563.9189	2786020.5788
35	1108006.3778	1282082.4920	1467335.1463	1660933.9164	1859314.9501	2058243.3960	2252925.2308	2438167.7144	2608583.5794	2758829.8200
36	1102198.2060	1274880.8036	1458503.0669	1650221.3136	1846465.1055	2043001.5809	2235049.0787	2417439.1201	2584821.6797	2731904.4351
37	1096420.4806	1267719.5684	1449724.1489	1639577.8043	1833704.0669	2027872.6352	2217314.7674	2396886.7542	2561276.2299	2705241.8343
38	1090673.0421	1260598.5592	1440998.0723	1629002.9430	1821031.2208	2012855.7233	2199721.1715	2376509.1186	2537945.2585	2678839.4527
39	1084955.7316	1253517.5500	1432324.5191	1618496.2868	1808445.9574	1997950.0154	2182267.1744	2356304.7278	2514826.8117	2652694.7509
40	1079268.3914	1246476.3160	1423703.1731	1608057.3959	1795947.6716	1983154.6881	2164951.6686	2336272.1088	2491918.9536	2626805.2137
41	1073610.8641	1239474.6340	1415133.7201	1597685.8333	1783535.7623	1968468.9240	2147773.5550	2316409.8013	2469219.7659	2601168.3511
42	1067982.9937	1232512.2816	1406615.8478	1587381.1645	1771209.6325	1953891.9116	2130731.7436	2296716.3575	2446727.3478	2575781.6968
43	1062384.6245	1225589.0380	1398149.2456	1577142.9583	1758968.6894	1939422.8457	2113825.1529	2277190.3415	2424439.8158	2550642.8089
44	1056815.6020	1218704.6836	1389733.6050	1566970.7859	1746812.3442	1925060.9270	2097052.7099	2257830.3301	2402355.3036	2525749.2694
45	1051275.7724	1211858.9998	1381368.6192	1556864.2214	1734740.0122	1910805.3619	2080413.3502	2238634.9119	2380471.9619	2501098.6836
46	1045764.9825	1205051.7694	1373053.9834	1546822.8417	1722751.1130	1896655.3628	2063906.0178	2219602.6875	2358787.9582	2476688.6805
47	1040283.0802	1198282.7765	1364789.3944	1536846.2264	1710845.0697	1882610.1481	2047529.6652	2200732.2696	2337301.4766	2452516.9119
48	1034829.9141	1191551.8062	1356574.5511	1526933.9577	1699021.3099	1868668.9418	2031283.2530	2182022.2825	2316010.7180	2428581.0529
49	1029405.3334	1184858.6450	1348409.1539	1517085.6206	1687279.2649	1854830.9737	2015165.7503	2163471.3623	2294913.8995	2404878.8009
50	1024009.1885	1178203.0805	1340292.9054	1507300.8029	1675618.3699	1841095.4792	1999176.1342	2145078.1566	2274009.2544	2381407.8761
51	1018641.3301	1171584.9015	1332225.5095	1497579.0947	1664038.0641	1827461.6996	1983313.3900	2126841.3247	2253295.0322	2358166.0208
52	1013301.6101	1165003.8980	1324206.6724	1487920.0890	1652537.7905	1813928.8815	1967576.5109	2108759.5370	2232769.4983	2335150.9993
53	1007989.8808	1158459.8612	1316236.1017	1478323.3815	1641116.9961	1800496.2774	1951964.4983	2090831.4754	2212430.9340	2312360.5978
54	1002705.9957	1151952.5835	1308313.5069	1468788.5703	1629775.1315	1787163.1452	1936476.3614	2073055.8329	2192277.6361	2289792.6240
