s	phi4.0	phi3.9	phi3.8	phi3.7	phi3.6	phi3.5	phi3.4	phi3.3	phi3.2	phi3.1
752	1960.0003	2814.3091	3961.2015	5457.3216	7346.6975	9645.3415	12322.0452	15278.1197	18331.3695	21212.0598
753	1958.8296	2812.3782	3958.0797	5452.3815	7339.0587	9633.8223	12305.1425	15254.0481	18298.1964	21167.9717
754	1957.6595	2810.4486	3954.9604	5447.4459	7331.4278	9622.3168	12288.2629	15230.0143	18265.0833	21123.9753
755	1956.4902	2808.5203	3951.8435	5442.5147	7323.8048	9610.8250	12271.4066	15206.0185	18232.0302	21080.0703
756	1955.3215	2806.5934	3948.7291	5437.5880	7316.1898	9599.3470	12254.5733	15182.0605	18199.0369	21036.2565
757	1954.1536	2804.6677	3945.6171	5432.6658	7308.5827	9587.8827	12237.7631	15158.1402	18166.1033	20992.5339
758	1952.9863	2802.7434	3942.5076	5427.7480	7300.9835	9576.4321	12220.9760	15134.2576	18133.2293	20948.9021
759	1951.8198	2800.8204	3939.4006	5422.8346	7293.3922	9564.9951	12204.2119	15110.4126	18100.4148	20905.3609
760	1950.6539	2798.8988	3936.2960	5417.9257	7285.8088	9553.5718	12187.4708	15086.6052	18067.6597	20861.9103
761	1949.4887	2796.9784	3933.1938	5413.0213	7278.2333	9542.1622	12170.7527	15062.8353	18034.9638	20818.5500
762	1948.3243	2795.0594	3930.0941	5408.1213	7270.6657	9530.7661	12154.0575	15039.1029	18002.3271	20775.2798
763	1947.1605	2793.1417	3926.9968	5403.2257	7263.1059	9519.3837	12137.3852	15015.4078	17969.7495	20732.0996
764	1945.9974	2791.2253	3923.9020	5398.3345	7255.5540	9508.0149	12120.7358	14991.7501	17937.2309	20689.0091
765	1944.8351	2789.3102	3920.8096	5393.4478	7248.0100	9496.6597	12104.1092	14968.1297	17904.7710	20646.0081
766	1943.6734	2787.3964	3917.7196	5388.5655	7240.4738	9485.3180	12087.5054	14944.5464	17872.3699	20603.0965
767	1942.5124	2785.4840	3914.6321	5383.6877	7232.9454	9473.9898	12070.9244	14921.0004	17840.0275	20560.2742
768	1941.3521	2783.5728	3911.5470	5378.8142	7225.4248	9462.6752	12054.3662	14897.4914	17807.7436	20517.5408
769	1940.1925	2781.6630	3908.4644	5373.9451	7217.9121	9451.3741	12037.8307	14874.0195	17775.5181	20474.8962
770	1939.0336	2779.7545	3905.3841	5369.0805	7210.4072	9440.0865	12021.3178	14850.5845	17743.3509	20432.3403
771	1937.8753	2777.8472	3902.3063	5364.2203	7202.9101	9428.8124	12004.8276	14827.1865	17711.2419	20389.8728
772	1936.7178	2775.9413	3899.2309	5359.3644	7195.4208	9417.5518	11988.3600	14803.8253	17679.1910	20347.4936
773	1935.5610	2774.0367	3896.1580	5354.5130	7187.9392	9406.3046	11971.9150	14780.5010	17647.1982	20305.2025
