z	h(m)	phi2.0	phi1.9	phi1.8	phi1.7	phi1.6	phi1.5	phi1.4	phi1.3	phi1.2	phi1.1
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	-330.1329	-308.0249	-287.3974	-268.1513	-250.1940	-233.4392	-217.8065	-203.2207	-189.6116	-176.9139
43	4300.0	-1009.9462	-942.3131	-879.2092	-820.3312	-765.3961	-714.1398	-666.3160	-621.6948	-580.0618	-541.2168
42	4200.0	-1706.3525	-1592.0832	-1485.4662	-1385.9889	-1293.1734	-1206.5734	-1125.7728	-1050.3832	-980.0422	-914.4117
41	4100.0	-2420.6194	-2258.5178	-2107.2716	-1966.1539	-1834.4865	-1711.6364	-1597.0132	-1490.0660	-1390.2808	-1297.1778
40	4000.0	-3153.3291	-2942.1601	-2745.1324	-2561.2991	-2389.7766	-2229.7404	-2080.4214	-1941.1018	-1811.1120	-1689.8272
39	3900.0	-3903.2299	-3641.8422	-3397.9590	-3170.4078	-2958.0951	-2760.0003	-2575.1713	-2402.7198	-2241.8169	-2091.6891
38	3800.0	-4669.0559	-4356.3832	-4064.6492	-3792.4518	-3538.4827	-3301.5211	-3080.4281	-2874.1410	-2681.6684	-2502.0851
37	3700.0	-5449.5278	-5084.5892	-4744.0895	-4426.3920	-4129.9698	-3853.3981	-3595.3475	-3354.5778	-3129.9318	-2920.3296
36	3600.0	-6243.3534	-5825.2547	-5435.1548	-5071.1788	-4731.5771	-4414.7175	-4119.0771	-3843.2348	-3585.8649	-3345.7303
35	3500.0	-7049.2281	-6577.1624	-6136.7095	-5725.7524	-5342.3159	-4984.5570	-4650.7561	-4339.3089	-4048.7184	-3777.5878
34	3400.0	-7865.8353	-7339.0839	-6847.6074	-6389.0436	-5961.1885	-5561.9855	-5189.5160	-4841.9896	-4517.7361	-4215.1968
33	3300.0	-8691.8474	-8109.7804	-7566.6927	-7059.9739	-6587.1886	-6146.0643	-5734.4807	-5350.4597	-4992.1554	-4657.8457
32	3200.0	-9525.9261	-8888.0033	-8292.8003	-7737.4563	-7219.3020	-6735.8469	-6284.7674	-5863.8953	-5471.2078	-5104.8174
31	3100.0	-10366.7227	-9672.4943	-9024.7563	-8420.3954	-7856.5067	-7330.3799	-6839.4863	-6381.4664	-5954.1187	-5555.3891
30	3000.0	-11225.4477	-10473.7131	-9772.3198	-9117.8968	-8507.2985	-7937.5902	-7406.0335	-6910.0736	-6447.3267	-6015.5685
29	2900.0	-12121.6463	-11309.8959	-10552.5060	-9845.8363	-9186.4901	-8571.2983	-7997.3041	-7461.7486	-6962.0576	-6495.8294
28	2800.0	-13061.5884	-12186.8929	-11370.7732	-10609.3065	-9898.8330	-9235.9378	-8617.4346	-8040.3508	-7501.9126	-6999.5319
27	2700.0	-14042.4799	-13102.0970	-12224.6888	-11406.0379	-10642.2097	-9929.5327	-9264.5816	-8644.1603	-8065.2868	-7525.1786
26	2600.0	-15061.4839	-14052.8614	-13111.7833	-12233.7264	-11414.4703	-10650.0774	-9936.8736	-9271.4309	-8650.5509	-8071.2494
25	2500.0	-16115.7277	-15036.5056	-14029.5558	-13090.0384	-12213.4377	-11395.5403	-10632.4151	-9920.3940	-9256.0549	-8636.2046
24	2400.0	-17202.3084	-16050.3213	-14975.4793	-13972.6162	-13036.9119	-12163.8689	-11349.2910	-10589.2630	-9880.1317	-9218.4888
23	2300.0	-18318.3001	-17091.5784	-15947.0065	-14879.0832	-13882.6755	-12952.9942	-12085.5710	-11276.2364	-10521.1006	-9816.5340
22	2200.0	-19460.7599	-18157.5310	-16941.5755	-15807.0488	-14748.4981	-13760.8353	-12839.3133	-11979.5029	-11177.2714	-10428.7630
21	2100.0	-20626.7344	-19245.4237	-17956.6152	-16754.1144	-15632.1415	-14585.3038	-13608.5696	-12697.2444	-11846.9479	-11053.5933
20	2000.0	-21811.0675	-20350.4455	-18987.6371	-17716.0918	-16529.6981	-15422.7537	-14389.9380	-13426.2869	-12527.1687	-11688.2616
19	1900.0	-22993.6160	-21453.8023	-20017.1054	-18676.6197	-17425.9024	-16258.9418	-15170.1291	-14154.2310	-13206.3644	-12321.9737
18	1800.0	-24155.0347	-22537.4443	-21028.1791	-19619.9848	-18306.0931	-17080.1888	-15936.3797	-14869.1680	-13873.4243	-12944.3626
17	1700.0	-25289.7376	-23596.1596	-22015.9954	-20541.6500	-19166.0372	-17882.5450	-16685.0044	-15567.6596	-14525.1400	-13552.4348
16	1600.0	-26392.3033	-24624.8897	-22975.8345	-21437.2116	-20001.6256	-18662.1766	-17412.4265	-16246.3684	-15158.3977	-14143.2851
15	1500.0	-27453.8870	-25615.3823	-23899.9968	-22299.4855	-20806.1556	-19412.8296	-18112.8105	-16899.8498	-15768.1174	-14712.1737
14	1400.0	-28460.2737	-26554.3743	-24776.1073	-23116.9255	-21568.8542	-20124.4525	-18776.7781	-17519.3535	-16346.1348	-15251.4830
13	1300.0	-29403.4210	-27434.3619	-25597.1647	-23882.9992	-22283.6262	-20791.3584	-19399.0233	-18099.9288	-16887.8307	-15756.9032
12	1200.0	-30283.3735	-28255.3866	-26363.2078	-24597.7427	-22950.5054	-21413.5788	-19979.5754	-18641.6030	-17393.2307	-16228.4580
11	1100.0	-31100.1947	-29017.5077	-27074.2920	-25261.2077	-23569.5402	-21991.1586	-20518.4765	-19144.4155	-17862.3713	-16666.1817
10	1000.0	-31788.4813	-29659.7018	-27673.4803	-25820.2701	-24091.1639	-22477.8507	-20972.5763	-19568.1056	-18257.6881	-17035.0253
9	900.0	-32268.2067	-30107.3014	-28091.1055	-26209.9282	-24454.7277	-22817.0678	-21289.0770	-19863.4112	-18533.2180	-17292.1038
8	800.0	-32594.6879	-30411.9191	-28375.3239	-26475.1133	-24702.1542	-23047.9248	-21504.4742	-20064.3839	-18720.7322	-17467.0607
7	700.0	-32880.0457	-30678.1674	-28623.7423	-26706.8959	-24918.4150	-23249.7033	-21692.7402	-20240.0423	-18884.6272	-17619.9802
6	600.0	-33166.5344	-30945.4708	-28873.1452	-26939.5970	-25135.5328	-23452.2814	-21881.7522	-20416.3968	-19049.1717	-17773.5057
5	500.0	-33454.1092	-31213.7876	-29123.4936	-27173.1804	-25353.4738	-23655.6275	-22071.4809	-20593.4198	-19214.3401	-17927.6132
4	400.0	-33742.7667	-31483.1145	-29374.7845	-27407.6431	-25572.2352	-23859.7391	-22261.9238	-20771.1093	-19380.1303	-18082.3009
3	300.0	-34032.5085	-31753.4533	-29627.0195	-27642.9866	-25791.8185	-24064.6176	-22453.0821	-20949.4664	-19546.5433	-18237.5698
