s	phi1.0	phi0.9	phi0.8	phi0.7	phi0.6	phi0.5	phi0.4	phi0.3	phi0.2	phi0.1
0	4166339.0343	4419276.0682	4640801.5566	4824800.5774	4966030.0517	5060366.4194	5105005.3743	5098600.1780	5041329.0416	4934886.8787
1	4122773.6030	4369767.7684	4585102.5265	4762763.8033	4897626.1401	4985697.3214	5024314.0114	5012275.0620	4949903.2131	4839030.7859
2	4079663.7148	4320814.1006	4530071.9976	4701524.6915	4830164.4490	4912130.0161	4944898.0823	4927411.5286	4860135.4162	4745036.6183
3	4037004.6063	4272408.8513	4475701.9468	4641072.9858	4763631.9998	4839648.2456	4866737.4269	4843984.8316	4771995.5818	4652868.2096
4	3994791.5638	4224545.8767	4421984.4468	4581398.5616	4698015.9928	4768235.9922	4789812.2042	4761970.6438	4685454.1865	4562490.0960
5	3953019.9231	4177219.1018	4368911.6657	4522491.4249	4633303.8048	4697877.4745	4714102.8863	4681345.0497	4600482.2422	4473867.5024
6	3911685.0686	4130422.5197	4316475.8657	4464341.7099	4569482.9860	4628557.1439	4639590.2543	4602084.5389	4517051.2865	4386966.3293
7	3870782.4331	4084150.1907	4264669.4016	4406939.6777	4506541.2585	4560259.6812	4566255.3931	4524165.9989	4435133.3730	4301753.1396
8	3830307.4970	4038396.2417	4213484.7201	4350275.7148	4444466.5133	4492969.9934	4494079.6863	4447566.7086	4354701.0625	4218195.1456
9	3790255.7882	3993154.8653	4162914.3586	4294340.3311	4383246.8084	4426673.2100	4423044.8121	4372264.3318	4275727.4131	4136260.1964
10	3750622.8810	3948420.3194	4112950.9440	4239124.1586	4322870.3660	4361354.6800	4353132.7380	4298236.9100	4198185.9717	4055916.7658
11	3711404.3964	3904186.9261	4063587.1917	4184617.9499	4263325.5708	4296999.9688	4284325.7167	4225462.8569	4122050.7646	3977133.9399
12	3672596.0009	3860449.0709	4014815.9045	4130812.5761	4204600.9673	4233594.8544	4216606.2814	4153920.9515	4047296.2896	3899881.4051
13	3634193.4064	3817201.2025	3966629.9717	4077699.0262	4146685.2580	4171125.3250	4149957.2414	4083590.3322	3973897.5066	3824129.4369
14	3596192.3696	3774437.8316	3919022.3678	4025268.4047	4089567.3008	4109577.5754	4084361.6776	4014450.4905	3901829.8299	3749848.8879
15	3558588.6916	3732153.5306	3871986.1517	3973511.9305	4033236.1072	4048938.0041	4019802.9385	3946481.2651	3831069.1194	3677011.1771
16	3521378.2174	3690342.9324	3825514.4655	3922420.9356	3977680.8401	3989193.2102	3956264.6356	3879662.8363	3761591.6731	3605588.2786
17	3484556.8355	3649000.7304	3779600.5339	3871986.8633	3922890.8115	3930329.9909	3893730.6397	3813975.7197	3693374.2185	3535552.7108
18	3448120.4774	3608121.6771	3734237.6625	3822201.2669	3868855.4807	3872335.3378	3832185.0763	3749400.7609	3626393.9054	3466877.5258
19	3412065.1169	3567700.5839	3689419.2376	3773055.8084	3815564.4524	3815196.4347	3771612.3219	3685919.1297	3560628.2979	3399536.2996
20	3376386.7703	3527732.3205	3645138.7247	3724542.2571	3763007.4741	3758900.6544	3711997.0000	3623512.3150	3496055.3670	3333503.1208
21	3341081.4952	3488211.8139	3601389.6677	3676652.4878	3711174.4348	3703435.5560	3653323.9772	3562162.1189	3432653.4832	3268752.5820
22	3306145.3906	3449134.0478	3558165.6882	3629378.4801	3660055.3628	3648788.8824	3595578.3591	3501850.6515	3370401.4092	3205259.7687
23	3271574.5963	3410494.0625	3515460.4840	3582712.3166	3609640.4235	3594948.5570	3538745.4869	3442560.3260	3309278.2930	3143000.2508
24	3237365.2924	3372286.9535	3473267.8290	3536646.1817	3559919.9180	3541902.6818	3482810.9334	3384273.8534	3249263.6605	3081950.0725
25	3203513.6990	3334507.8714	3431581.5713	3491172.3602	3510884.2809	3489639.5339	3427760.4995	3326974.2373	3190337.4093	3022085.7434
26	3170016.0756	3297152.0211	3390395.6333	3446283.2363	3462524.0786	3438147.5639	3373580.2106	3270644.7690	3132479.8010	2963384.2293
27	3136868.7210	3260214.6612	3349704.0100	3401971.2920	3414830.0073	3387415.3923	3320256.3127	3215269.0228	3075671.4558	2905822.9435
28	3104067.9725	3223691.1035	3309500.7688	3358229.1060	3367792.8917	3337431.8080	3267775.2697	3160830.8512	3019893.3448	2849379.7381
29	3071610.2060	3187576.7121	3269780.0479	3315049.3524	3321403.6824	3288185.7650	3216123.7589	3107314.3799	2965126.7845	2794032.8952
30	3039491.8348	3151866.9033	3230536.0563	3272424.7995	3275653.4550	3239666.3803	3165288.6686	3054704.0035	2911353.4302	2739761.1190
31	3007709.3103	3116557.1446	3191763.0722	3230348.3085	3230533.4080	3191862.9316	3115257.0941	3002984.3808	2858555.2698	2686543.5270
32	2976259.1206	3081642.9544	3153455.4425	3188812.8326	3186034.8610	3144764.8549	3066016.3349	2952140.4303	2806714.6180	2634359.6427
33	2945137.7905	3047119.9011	3115607.5820	3147811.4155	3142149.2533	3098361.7419	3017553.8909	2902157.3259	2755814.1100	2583189.3872
34	2914341.8815	3012983.6030	3078213.9727	3107337.1902	3098868.1419	3052643.3379	2969857.4601	2853020.4924	2705836.6961	2533013.0716
35	2883867.9907	2979229.7272	3041269.1624	3067383.3782	3056183.2003	3007599.5396	2922914.9344	2804715.6015	2656765.6358	2483811.3893
36	2853712.7508	2945853.9896	3004767.7649	3027943.2881	3014086.2167	2963220.3927	2876714.3974	2757228.5676	2608584.4921	2435565.4090
37	2823872.8301	2912852.1540	2968704.4581	2989010.3145	2972569.0924	2919496.0899	2831244.1210	2710545.5433	2561277.1260	2388256.5669
