i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
0	1800.8496	-2617.8624	679763.8496	3529545.1376	1113564.1492	4.8257e+07
1	2092.2601	-3095.9331	680055.2601	3529067.0669	1209045.0878	4.7549e+07
2	2399.4591	-3608.2812	680362.4591	3528554.7188	1318092.3834	4.6852e+07
3	2725.4003	-4142.1890	680688.4003	3528020.8110	1429681.0256	4.6165e+07
4	3080.6333	-4687.2088	681043.6333	3527475.7912	1543071.9772	4.5489e+07
5	3469.6221	-5238.2886	681432.6221	3526924.7114	1660849.8674	4.4823e+07
6	3889.1263	-5791.0509	681852.1263	3526371.9491	1784823.0476	4.4167e+07
7	4336.9926	-6341.9199	682299.9926	3525821.0801	1916009.2927	4.3521e+07
8	4806.8645	-6884.1237	682769.8645	3525278.8763	2054586.9842	4.2884e+07
9	5292.1633	-7411.9645	683255.1633	3524751.0355	2199772.3815	4.2258e+07
10	5788.4628	-7922.5150	683751.4628	3524240.4850	2351351.3142	4.1641e+07
11	6296.1481	-8414.4641	684259.1481	3523748.5359	2509385.8187	4.1033e+07
12	6815.7176	-8886.8011	684778.7176	3523276.1989	2673825.1966	4.0435e+07
13	7341.7037	-9341.4873	685304.7037	3522821.5127	2844596.1880	3.9845e+07
14	7872.6150	-9779.0374	685835.6150	3522383.9626	3021513.3613	3.9265e+07
15	8410.5077	-10197.9164	686373.5077	3521965.0836	3204297.5455	3.8693e+07
16	8955.4482	-10597.2410	686918.4482	3521565.7590	3392648.7686	3.8130e+07
17	9501.3296	-10980.4848	687464.3296	3521182.5152	3586305.9134	3.7575e+07
18	10049.2131	-11346.8199	688012.2131	3520816.1801	3784899.1690	3.7029e+07
19	10602.5593	-11692.9756	688565.5593	3520470.0244	3988006.7230	3.6491e+07
20	11153.1603	-12024.8669	689116.1603	3520138.1331	4195330.3366	3.5961e+07
21	11705.0153	-12339.1554	689668.0153	3519823.8446	4406412.5554	3.5439e+07
22	12256.8450	-12637.9835	690219.8450	3519525.0165	4620853.8719	3.4925e+07
23	12802.9364	-12925.6987	690765.9364	3519237.3013	4835142.4398	3.4418e+07
24	13351.5168	-13201.7491	691314.5168	3518961.2509	5054463.3699	3.3920e+07
25	13891.6141	-13470.8669	691854.6141	3518692.1331	5275484.5500	3.3428e+07
26	14430.7604	-13732.1652	692393.7604	3518430.8348	5497631.4876	3.2945e+07
27	14962.4573	-13986.5557	692925.4573	3518176.4443	5720543.1680	3.2468e+07
28	15491.0129	-14233.4214	693454.0129	3517929.5786	5943736.6776	3.1999e+07
29	16012.2304	-14473.4845	693975.2304	3517689.5155	6166867.4556	3.1536e+07
30	16529.5432	-14706.1901	694492.5432	3517456.8099	6389510.3791	3.1081e+07
31	17038.3817	-14932.5026	695001.3817	3517230.4974	6611370.4715	3.0632e+07
32	17543.8910	-15151.3797	695506.8910	3517011.6203	6832041.1792	3.0190e+07
33	18038.5976	-15364.6638	696001.5976	3516798.3362	7051307.2475	2.9755e+07
34	18531.8019	-15570.0832	696494.8019	3516592.9168	7268742.1332	2.9326e+07
35	19013.8642	-15770.2792	696976.8642	3516392.7208	7484195.6447	2.8904e+07
36	19491.1794	-15963.5408	697454.1794	3516199.4592	7697313.0683	2.8488e+07
37	19960.5574	-16150.9268	697923.5574	3516012.0732	7908063.2137	2.8078e+07
38	20419.9868	-16333.0890	698382.9868	3515829.9110	8116979.9737	2.7674e+07
39	20876.0521	-16508.0029	698839.0521	3515654.9971	8323771.2969	2.7276e+07
40	21321.1312	-16678.1966	699284.1312	3515484.8034	8528265.5131	2.6885e+07
41	21757.9589	-16842.8045	699720.9589	3515320.1955	8730162.0944	2.6499e+07
42	22189.0021	-17001.0578	700152.0021	3515161.9422	8929178.4727	2.6118e+07
43	22609.1527	-17154.8481	700572.1527	3515008.1519	9125151.2964	2.5744e+07
44	23020.4809	-17303.4865	700983.4809	3514859.5135	9317829.5528	2.5375e+07
45	23425.9921	-17445.9265	701388.9921	3514717.0735	9506961.1361	2.5012e+07
46	23820.7306	-17584.1655	701783.7306	3514578.8345	9692417.3088	2.4653e+07
47	24204.8175	-17718.2583	702167.8175	3514444.7417	9874008.7216	2.4301e+07
48	24583.4918	-17846.1377	702546.4918	3514316.8623	10051483.6536	2.3953e+07
49	24952.4082	-17969.7056	702915.4082	3514193.2944	10224735.9925	2.3611e+07
50	25310.7936	-18089.3819	703273.7936	3514073.6181	10393618.1608	2.3274e+07
51	25658.7607	-18205.2172	703621.7607	3513957.7828	10557978.7703	2.2941e+07
52	26001.3059	-18315.4024	703964.3059	3513847.5976	10717611.8189	2.2614e+07
53	26333.9110	-18421.7407	704296.9110	3513741.2593	10863451.9525	2.2291e+07
54	26655.9577	-18524.4166	704618.9577	3513638.5834	11013777.0017	2.1974e+07
55	26967.1084	-18623.3403	704930.1084	3513539.6597	11159291.5076	2.1661e+07
56	27267.6960	-18718.2120	705230.6960	3513444.7880	11299500.0858	2.1352e+07
57	27560.6307	-18807.9046	705523.6307	3513355.0954	11433903.1371	2.1048e+07
58	27841.5575	-18893.7095	705804.5575	3513269.2905	11562117.3660	2.0749e+07
59	28110.2555	-18975.5735	706073.2555	3513187.4265	11683737.6925	2.0454e+07
60	28366.5316	-19053.4524	706329.5316	3513109.5476	11798387.7803	2.0164e+07
61	28610.2184	-19127.3099	706573.2184	3513035.6901	11905720.5306	1.9877e+07
62	28841.1724	-19197.1175	706804.1724	3512965.8825	12005418.4922	1.9595e+07
63	29039.0160	-19256.4708	707002.0160	3512906.5292	12095846.6016	1.9317e+07
64	29189.6474	-19300.9432	707152.6474	3512862.0568	12175816.1617	1.9043e+07
65	29333.7887	-19343.3828	707296.7887	3512819.6172	12247814.8537	1.8774e+07
66	29471.3996	-19383.7938	707434.3996	3512779.2062	12311647.8806	1.8508e+07
67	29602.4486	-19422.1828	707565.4486	3512740.8172	12367150.4629	1.8246e+07
68	29726.9123	-19458.5591	707689.9123	3512704.4409	12414187.8744	1.7988e+07
69	29844.7755	-19492.9342	707807.7755	3512670.0658	12452655.4229	1.7733e+07
70	29956.0307	-19525.3223	707919.0307	3512637.6777	12482478.3787	1.7483e+07
71	30060.6780	-19555.7395	708023.6780	3512607.2605	12503611.8566	1.7236e+07
72	30158.8506	-19584.2411	708121.8506	3512578.7589	12515188.6641	1.6993e+07
73	30254.8877	-19612.1139	708217.8877	3512550.8861	12515188.6641	1.6753e+07
74	30350.9247	-19639.9866	708313.9247	3512523.0134	12515188.6641	1.6517e+07
75	30446.9617	-19667.8593	708409.9617	3512495.1407	12515188.6641	1.6284e+07
76	30542.9987	-19695.7321	708505.9987	3512467.2679	12515188.6641	1.6055e+07
77	30639.0358	-19723.6048	708602.0358	3512439.3952	12515188.6641	1.5829e+07
78	30735.0728	-19751.4775	708698.0728	3512411.5225	12515188.6641	1.5606e+07
79	30831.1098	-19779.3503	708794.1098	3512383.6497	12515188.6641	1.5386e+07
80	30927.1469	-19807.2230	708890.1469	3512355.7770	12515188.6641	1.5170e+07
81	31023.1839	-19835.0957	708986.1839	3512327.9043	12515188.6641	1.4957e+07
82	31119.2209	-19862.9684	709082.2209	3512300.0316	12515188.6641	1.4747e+07
83	31215.2579	-19890.8412	709178.2579	3512272.1588	12515188.6641	1.4540e+07
84	31311.2950	-19918.7139	709274.2950	3512244.2861	12515188.6641	1.4336e+07
85	31407.3320	-19946.5866	709370.3320	3512216.4134	12515188.6641	1.4135e+07
