z	h(m)	phi-3.0	phi-3.1	phi-3.2	phi-3.3	phi-3.4	phi-3.5	phi-3.6	phi-3.7	phi-3.8	phi-3.9
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	80.9057	78.1497	75.4877	72.9163	70.4325	68.0333	65.7158	63.4773	61.3150	59.2264
43	4300.0	241.9072	233.6670	225.7074	218.0190	210.5925	203.4189	196.4897	189.7966	183.3314	177.0865
42	4200.0	399.5279	385.9186	372.7728	360.0747	347.8093	335.9616	324.5175	313.4633	302.7856	292.4716
41	4100.0	553.9439	535.0746	516.8480	499.2422	482.2362	465.8095	449.9423	434.6156	419.8110	405.5107
40	4000.0	705.3062	681.2809	658.0739	635.6575	614.0047	593.0894	572.8866	553.3720	534.5221	516.3144
39	3900.0	853.5758	824.4999	796.4144	769.2856	743.0809	717.7688	693.3190	669.7020	646.8895	624.8541
38	3800.0	998.7158	964.6959	931.8348	900.0931	869.4326	839.8165	811.2093	783.5765	756.8850	731.1027
37	3700.0	1140.6910	1101.8349	1064.3023	1028.0483	993.0292	959.2030	926.5290	894.9680	864.4821	835.0347
36	3600.0	1279.4684	1235.8850	1193.7862	1153.1215	1113.8420	1075.9004	1039.2513	1003.8506	969.6557	936.6257
35	3500.0	1415.0169	1366.8163	1320.2575	1275.2847	1231.8438	1189.8827	1149.3509	1110.1998	1072.3823	1035.8530
34	3400.0	1547.3076	1494.6006	1443.6890	1394.5117	1347.0095	1301.1254	1256.8043	1213.9929	1172.6399	1132.6955
33	3300.0	1676.3135	1619.2121	1564.0558	1510.7783	1459.3156	1409.6060	1361.5896	1315.2089	1270.4080	1227.1333
32	3200.0	1802.0098	1740.6267	1681.3346	1624.0621	1568.7406	1515.3036	1463.6868	1413.8282	1365.6680	1319.1484
31	3100.0	1924.3739	1858.8227	1795.5043	1734.3429	1675.2648	1618.1991	1563.0773	1509.8332	1458.4027	1408.7242
30	3000.0	2043.2722	1973.6709	1906.4404	1841.5000	1778.7718	1718.1803	1659.6528	1603.1189	1548.5108	1495.7628
29	2900.0	2158.5262	2084.9989	2013.9762	1945.3728	1879.1062	1815.0970	1753.2681	1693.5453	1635.8570	1580.1337
28	2800.0	2270.0237	2192.6984	2118.0070	2045.8600	1976.1705	1908.8548	1843.8322	1781.0245	1720.3563	1661.7546
27	2700.0	2377.6603	2296.6684	2218.4355	2142.8674	2069.8735	1999.3660	1931.2602	1865.4744	1801.9295	1740.5492
26	2600.0	2481.3409	2396.8173	2315.1729	2236.3096	2160.1327	2086.5506	2015.4751	1946.8206	1880.5047	1816.4478
25	2500.0	2580.9805	2493.0628	2408.1400	2326.1099	2246.8740	2170.3372	2096.4076	2024.9963	1956.0174	1889.3883
24	2400.0	2676.5040	2585.3325	2497.2666	2412.2005	2330.0321	2250.6627	2173.9968	2099.9425	2028.4108	1959.3156
23	2300.0	2767.8465	2673.5635	2582.4921	2494.5229	2409.5503	2327.4722	2248.1900	2171.6084	2097.6354	2026.1822
22	2200.0	2854.9531	2757.7029	2663.7655	2573.0278	2485.3810	2400.7198	2318.9425	2239.9508	2163.6499	2089.9480
21	2100.0	2937.7794	2837.7079	2741.0451	2647.6751	2557.4855	2470.3682	2386.2184	2304.9350	2226.4205	2150.5804
20	2000.0	3016.1291	2913.3887	2814.1480	2718.2878	2625.6929	2536.2522	2449.8581	2366.4069	2285.7984	2207.9357
19	1900.0	3088.8372	2983.6201	2881.9870	2783.8160	2688.9890	2597.3921	2508.9154	2423.4526	2340.9009	2261.1612
18	1800.0	3154.9912	3047.5206	2943.7109	2843.4373	2746.5794	2653.0208	2562.6492	2475.3559	2391.0362	2309.5887
17	1700.0	3214.7703	3105.2634	2999.4867	2897.3132	2798.6201	2703.2888	2611.2049	2522.2576	2436.3403	2353.3496
16	1600.0	3268.3779	3157.0450	3049.5044	2945.6271	2845.2882	2748.3673	2654.7478	2564.3173	2476.9673	2392.5927
15	1500.0	3316.6820	3203.7037	3094.5737	2989.1612	2887.3394	2788.9860	2693.9829	2602.2160	2513.5749	2427.9533
14	1400.0	3361.7955	3247.2804	3136.6661	3029.8197	2926.6129	2826.9218	2730.6264	2637.6113	2547.7645	2460.9783
13	1300.0	3405.0183	3289.0308	3176.9944	3068.7743	2964.2406	2863.2676	2765.7342	2671.5232	2580.5213	2492.6193
12	1200.0	3446.2379	3328.8464	3215.4537	3105.9235	3000.1244	2897.9291	2799.2150	2703.8635	2611.7600	2522.7938
11	1100.0	3485.3409	3366.6174	3251.9380	3141.1651	3034.1654	2930.8106	2830.9765	2734.5430	2641.3944	2551.4189
10	1000.0	3519.5190	3399.6313	3283.8274	3171.9681	3063.9193	2959.5509	2858.7378	2761.3587	2667.2966	2576.4387
9	900.0	3544.7844	3424.0360	3307.4007	3194.7385	3085.9140	2980.7965	2879.2596	2781.1814	2686.4442	2594.9340
8	800.0	3562.8934	3441.5281	3324.2971	3211.0593	3101.6788	2996.0243	2893.9687	2795.3895	2700.1682	2608.1906
7	700.0	3578.9640	3457.0514	3339.2915	3225.5430	3115.6692	3009.5380	2907.0221	2807.9983	2712.3475	2619.9550
6	600.0	3595.1232	3472.6601	3354.3685	3240.1064	3129.7365	3023.1262	2920.1474	2820.6765	2724.5939	2631.7842
5	500.0	3611.3751	3488.3584	3369.5321	3254.7535	3143.8846	3036.7924	2933.3481	2833.4275	2736.9105	2643.6813
