z	h(m)	phi2.0	phi1.9	phi1.8	phi1.7	phi1.6	phi1.5	phi1.4	phi1.3	phi1.2	phi1.1
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	1123.9324	1048.6660	978.4400	912.9168	851.7815	794.7402	741.5188	691.8615	645.5296	602.3004
43	4300.0	3357.6012	3132.7527	2922.9616	2727.2196	2544.5859	2374.1826	2215.1907	2066.8460	1928.4355	1799.2939
42	4200.0	5540.9852	5169.9220	4823.7078	4500.6785	4199.2816	3918.0682	3655.6869	3410.8765	3182.4603	2969.3405
41	4100.0	7677.4010	7163.2684	6683.5657	6235.9873	5818.3819	5428.7423	5065.1957	4725.9947	4409.5089	4114.2173
40	4000.0	9769.3041	9115.0830	8504.6732	7935.1407	7403.7480	6907.9412	6445.3370	6013.7121	5610.9918	5235.2404
39	3900.0	11816.2555	11024.9562	10286.6478	9597.7818	8955.0471	8355.3544	7795.8213	7273.7584	6786.6566	6332.1745
38	3800.0	13817.8436	12892.5040	12029.1316	11223.5766	10471.9673	9770.6909	9116.3770	8505.8805	7936.2671	7404.7991
37	3700.0	15773.6853	14717.3687	13731.7906	12812.2136	11954.2180	11153.6798	10406.7512	9709.8422	9059.6031	8452.9086
36	3600.0	17683.4253	16499.2192	15394.3159	14363.4046	13401.5304	12504.0700	11666.7098	10885.4251	10156.4608	9476.3130
35	3500.0	19546.7377	18237.7512	17016.4236	15876.8846	14813.6571	13821.6308	12896.0375	12032.4285	11226.6527	10474.8374
34	3400.0	21363.3256	19932.6876	18597.8551	17352.4124	16190.3732	15106.1524	14094.5385	13150.6695	12270.0085	11448.3227
33	3300.0	23132.9214	21583.7788	20138.3777	18789.7708	17531.4761	16357.4456	15262.0364	14239.9834	13286.3744	12396.6256
32	3200.0	24855.2876	23190.8034	21637.7846	20188.7669	18836.7856	17575.3424	16398.3743	15300.2243	14275.6140	13319.6188
31	3100.0	26530.2171	24753.5678	23095.8954	21549.2324	20106.1448	18759.6964	17503.4156	16331.2643	15237.6084	14217.1913
30	3000.0	28156.0541	26270.5274	24511.2688	22869.8224	21338.2988	19909.3368	18576.0681	17332.0844	16171.4065	15088.4558
29	2900.0	29730.2759	27739.3283	25881.7085	24148.4879	22531.3359	21022.4797	19614.6671	18301.1316	17075.5595	15932.0604
28	2800.0	31251.2232	29158.4223	27205.7700	25383.8809	23683.9984	22097.9518	20618.1181	19237.3844	17949.1143	16747.1159
27	2700.0	32717.6100	30526.6095	28482.3338	26574.9571	24795.3117	23134.8439	21585.5726	20140.0514	18791.3324	17532.9331
26	2600.0	34128.2865	31842.8172	29710.3990	27720.7825	25864.4046	24132.3428	22516.2720	21008.4246	19601.5533	18288.8959
25	2500.0	35482.2406	33106.1011	30889.0845	28820.5350	26890.5100	25089.7329	23409.5486	21841.8811	20379.1957	19014.4619
24	2400.0	36778.5996	34315.6468	32017.6306	29873.5056	27872.9663	26006.3972	24264.8265	22639.8837	21123.7584	19709.1635
23	2300.0	38016.6306	35470.7706	33095.3992	30879.0993	28811.2184	26881.8173	25081.6224	23401.9812	21834.8205	20372.6079
22	2200.0	39195.7422	36570.9206	34121.8755	31836.8355	29704.8179	27715.5751	25859.5460	24127.8095	22512.0423	21004.4782
21	2100.0	40315.4841	37615.6767	35096.6674	32746.3486	30553.4236	28507.3522	26598.3001	24817.0915	23155.1651	21604.5330
