i	x	y	z	R
132	392.9238	-443.3550	2458.1134	916.4082
133	398.1338	-447.6975	2465.4619	922.7958
134	403.3700	-452.0385	2472.7925	929.1805
135	408.6324	-456.3778	2480.1053	935.5625
136	413.9210	-460.7152	2487.4003	941.9414
137	419.2354	-465.0507	2494.6777	948.3172
138	424.5758	-469.3840	2501.9374	954.6899
139	429.9419	-473.7150	2509.1795	961.0593
140	435.3336	-478.0435	2516.4040	967.4254
141	440.7509	-482.3693	2523.6109	973.7880
142	446.1936	-486.6924	2530.8003	980.1471
143	451.6616	-491.0126	2537.9723	986.5025
144	457.1549	-495.3297	2545.1268	992.8542
145	462.6732	-499.6435	2552.2639	999.2021
146	468.2166	-503.9540	2559.3837	1005.5462
147	473.7848	-508.2610	2566.4861	1011.8862
148	479.3779	-512.5644	2573.5712	1018.2221
149	484.9956	-516.8639	2580.6391	1024.5539
150	490.6379	-521.1596	2587.6898	1030.8814
151	496.3047	-525.4512	2594.7232	1037.2046
152	501.9959	-529.7386	2601.7395	1043.5233
153	507.7113	-534.0217	2608.7387	1049.8375
154	513.4510	-538.3004	2615.7208	1056.1472
155	519.2147	-542.5745	2622.6858	1062.4521
156	525.0023	-546.8440	2629.6338	1068.7523
157	530.8139	-551.1086	2636.5648	1075.0476
158	536.6492	-555.3683	2643.4789	1081.3380
159	542.5081	-559.6230	2650.3760	1087.6234
160	548.3907	-563.8725	2657.2562	1093.9037
161	554.2967	-568.1167	2664.1196	1100.1788
162	560.2261	-572.3555	2670.9661	1106.4486
163	566.1787	-576.5889	2677.7958	1112.7131
164	572.1545	-580.8166	2684.6088	1118.9722
165	578.1534	-585.0386	2691.4050	1125.2258
166	584.1753	-589.2547	2698.1844	1131.4739
167	590.2200	-593.4649	2704.9472	1137.7162
168	596.2875	-597.6691	2711.6933	1143.9529
169	602.3777	-601.8671	2718.4228	1150.1838
170	608.4905	-606.0589	2725.1357	1156.4088
171	614.6258	-610.2443	2731.8320	1162.6279
172	620.7834	-614.4233	2738.5118	1168.8409
173	626.9634	-618.5957	2745.1751	1175.0478
174	633.1655	-622.7615	2751.8218	1181.2486
175	639.3898	-626.9205	2758.4521	1187.4432
176	645.6361	-631.0728	2765.0660	1193.6314
177	651.9043	-635.2180	2771.6635	1199.8133
178	658.1943	-639.3563	2778.2445	1205.9888
179	664.5060	-643.4875	2784.8092	1212.1577
180	670.8394	-647.6114	2791.3576	1218.3200
181	677.1943	-651.7281	2797.8897	1224.4757
182	683.5706	-655.8374	2804.4055	1230.6247
183	689.9683	-659.9393	2810.9051	1236.7669
184	696.3873	-664.0336	2817.3884	1242.9023
185	702.8274	-668.1203	2823.8556	1249.0307
186	709.2886	-672.1993	2830.3065	1255.1522
187	715.7708	-676.2705	2836.7413	1261.2667
188	722.2738	-680.3338	2843.1600	1267.3740
189	728.7977	-684.3892	2849.5626	1273.4742
190	735.3423	-688.4366	2855.9491	1279.5671
191	741.9075	-692.4758	2862.3195	1285.6528
192	748.4932	-696.5069	2868.6740	1291.7311
193	755.0993	-700.5298	2875.0124	1297.8021
194	761.7258	-704.5443	2881.3348	1303.8655
195	768.3725	-708.5505	2887.6413	1309.9215
196	775.0394	-712.5482	2893.9319	1315.9698
197	781.7264	-716.5373	2900.2065	1322.0105
198	788.4333	-720.5179	2906.4652	1328.0435
199	795.1602	-724.4897	2912.7081	1334.0688
200	801.9068	-728.4529	2918.9352	1340.0862
201	808.6732	-732.4072	2925.1464	1346.0958
202	815.4592	-736.3527	2931.3418	1352.0975
203	822.2647	-740.2893	2937.5215	1358.0911
204	829.0897	-744.2168	2943.6854	1364.0768
205	835.9341	-748.1353	2949.8336	1370.0543
206	842.7977	-752.0447	2955.9661	1376.0238
207	849.6806	-755.9449	2962.0828	1381.9850
208	856.5825	-759.8359	2968.1840	1387.9380
209	863.5034	-763.7176	2974.2694	1393.8827
210	870.4433	-767.5899	2980.3393	1399.8190
211	877.4020	-771.4528	2986.3936	1405.7470
212	884.3795	-775.3063	2992.4322	1411.6665
213	891.3757	-779.1502	2998.4553	1417.5775
214	898.3904	-782.9846	3004.4629	1423.4800
215	905.4237	-786.8093	3010.4550	1429.3738
216	912.4753	-790.6244	3016.4315	1435.2591
217	919.5453	-794.4297	3022.3926	1441.1356
218	926.6336	-798.2253	3028.3383	1447.0034
219	933.7400	-802.0110	3034.2685	1452.8624
220	940.8645	-805.7868	3040.1832	1458.7126
221	948.0070	-809.5527	3046.0826	1464.5539
222	955.1674	-813.3087	3051.9666	1470.3862
223	962.3456	-817.0546	3057.8353	1476.2096
224	969.5416	-820.7905	3063.6885	1481.0117
225	976.7520	-824.5226	3069.5265	1486.8155
226	983.9752	-828.2538	3075.3491	1492.6091
227	991.2113	-831.9841	3081.1564	1498.3923
228	998.4601	-835.7133	3086.9485	1504.1651
229	1005.7216	-839.4414	3092.7252	1509.9275
230	1012.9958	-843.1685	3098.4868	1515.6793
231	1020.2826	-846.8945	3104.2331	1521.4205
232	1027.5819	-850.6193	3109.9642	1527.1512
233	1034.8937	-854.3430	3115.6801	1532.8711
234	1042.2179	-858.0655	3121.3809	1538.5804
235	1049.5545	-861.7868	3127.0665	1544.2789
236	1056.9034	-865.5069	3132.7370	1549.9665
237	1064.2646	-869.2257	3138.3925	1555.6433
238	1071.6379	-872.9431	3144.0328	1561.3092
239	1079.0235	-876.6593	3149.6581	1566.9641
240	1086.4211	-880.3741	3155.2684	1572.6080
241	1093.8307	-884.0876	3160.8637	1578.2409
242	1101.2524	-887.7996	3166.4440	1583.8627
243	1108.6860	-891.5102	3172.0094	1589.4734
244	1116.1314	-895.2194	3177.5598	1595.0729
245	1123.5887	-898.9271	3183.0954	1600.6612
246	1131.0577	-902.6333	3188.6160	1606.2383
247	1138.5385	-906.3379	3194.1218	1611.8041
248	1146.0309	-910.0411	3199.6127	1617.3586
249	1153.5349	-913.7426	3205.0889	1622.9018
250	1161.0505	-917.4426	3210.5502	1628.4336
251	1168.5776	-921.1409	3215.9968	1633.9540
252	1176.1161	-924.8376	3221.4287	1639.4629
253	1183.6661	-928.5326	3226.8458	1644.9604
254	1191.2273	-932.2260	3232.2483	1650.4464
255	1198.7999	-935.9176	3237.6361	1655.9209
256	1206.3836	-939.6075	3243.0093	1661.3838
257	1213.9786	-943.2956	3248.3678	1666.8351
258	1221.5847	-946.9820	3253.7118	1672.2749
259	1229.2019	-950.6666	3259.0412	1677.7029
260	1236.8301	-954.3493	3264.3561	1683.1194
261	1244.4693	-958.0302	3269.6564	1688.5242
262	1252.1193	-961.7093	3274.9423	1693.9172
263	1259.7803	-965.3865	3280.2138	1699.2985
264	1267.4521	-969.0617	3285.4708	1704.6681
265	1275.1347	-972.7351	3290.7134	1710.0259
266	1282.8279	-976.4065	3295.9416	1715.3720
267	1290.5319	-980.0759	3301.1554	1720.7062
268	1298.2464	-983.7434	3306.3550	1726.0286
269	1305.9715	-987.4089	3311.5402	1731.3391
270	1313.7072	-991.0724	3316.7112	1736.6378
271	1321.4533	-994.7338	3321.8679	1741.9246
272	1329.2098	-998.3932	3327.0104	1747.1995
273	1336.9767	-1002.0505	3332.1387	1752.4625
274	1344.7539	-1005.7057	3337.2529	1757.7136
275	1352.5414	-1009.3588	3342.3529	1762.9527
276	1360.3391	-1013.0098	3347.4387	1768.1799
277	1368.1470	-1016.6587	3352.5105	1773.3950
278	1375.9649	-1020.3054	3357.5683	1778.5983
279	1383.7930	-1023.9499	3362.6120	1783.7895
280	1391.6311	-1027.5922	3367.6417	1788.9687
281	1399.4792	-1031.2323	3372.6574	1794.1359
282	1407.3372	-1034.8702	3377.6591	1799.2911
283	1415.2050	-1038.5059	3382.6469	1804.4342
284	1423.0828	-1042.1393	3387.6209	1809.5653
