i	x	y	z	R
1150	9505.0096	-3593.7748	4449.4779	2997.8611
1151	9514.6133	-3596.5621	4449.4779	2997.8611
1152	9524.2170	-3599.3494	4449.4779	2997.8611
1153	9533.8207	-3602.1366	4449.4779	2997.8611
1154	9543.4244	-3604.9239	4449.4779	2997.8611
1155	9553.0281	-3607.7112	4449.4779	2997.8611
1156	9562.6318	-3610.4985	4449.4779	2997.8611
1157	9572.2355	-3613.2857	4449.4779	2997.8611
1158	9581.8392	-3616.0730	4449.4779	2997.8611
1159	9591.4429	-3618.8603	4449.4779	2997.8611
1160	9601.0466	-3621.6475	4449.4779	2997.8611
1161	9610.6503	-3624.4348	4449.4779	2997.8611
1162	9620.2540	-3627.2221	4449.4779	2997.8611
1163	9629.8577	-3630.0094	4449.4779	2997.8611
1164	9639.4614	-3632.7966	4449.4779	2997.8611
1165	9649.0651	-3635.5839	4449.4779	2997.8611
1166	9658.6688	-3638.3712	4449.4779	2997.8611
1167	9668.2725	-3641.1585	4449.4779	2997.8611
1168	9677.8762	-3643.9457	4449.4779	2997.8611
1169	9687.4799	-3646.7330	4449.4779	2997.8611
1170	9697.0836	-3649.5203	4449.4779	2997.8611
1171	9706.6874	-3652.3075	4449.4779	2997.8611
1172	9716.2911	-3655.0948	4449.4779	2997.8611
1173	9725.8948	-3657.8821	4449.4779	2997.8611
1174	9735.4985	-3660.6694	4449.4779	2997.8611
1175	9745.1022	-3663.4566	4449.4779	2997.8611
1176	9754.7059	-3666.2439	4449.4779	2997.8611
1177	9764.3096	-3669.0312	4449.4779	2997.8611
1178	9773.9133	-3671.8185	4449.4779	2997.8611
1179	9783.5170	-3674.6057	4449.4779	2997.8611
1180	9793.1207	-3677.3930	4449.4779	2997.8611
1181	9802.7244	-3680.1803	4449.4779	2997.8611
1182	9812.3281	-3682.9675	4449.4779	2997.8611
1183	9821.9318	-3685.7548	4449.4779	2997.8611
1184	9831.5355	-3688.5421	4449.4779	2997.8611
1185	9841.1392	-3691.3294	4449.4779	2997.8611
1186	9850.7429	-3694.1166	4449.4779	2997.8611
1187	9860.3466	-3696.9039	4449.4779	2997.8611
1188	9869.9503	-3699.6912	4449.4779	2997.8611
1189	9879.5540	-3702.4785	4449.4779	2997.8611
1190	9889.1577	-3705.2657	4449.4779	2997.8611
1191	9898.7614	-3708.0530	4449.4779	2997.8611
1192	9908.3651	-3710.8403	4449.4779	2997.8611
1193	9917.9688	-3713.6275	4449.4779	2997.8611
1194	9927.5725	-3716.4148	4449.4779	2997.8611
1195	9937.1762	-3719.2021	4449.4779	2997.8611
1196	9946.7799	-3721.9894	4449.4779	2997.8611
1197	9956.3836	-3724.7766	4449.4779	2997.8611
1198	9965.9873	-3727.5639	4449.4779	2997.8611
1199	9975.5910	-3730.3512	4449.4779	2997.8611
1200	9985.1947	-3733.1385	4449.4779	2997.8611
1201	9994.7984	-3735.9257	4449.4779	2997.8611
1202	10004.4021	-3738.7130	4449.4779	2997.8611
1203	10014.0058	-3741.5003	4449.4779	2997.8611
1204	10023.6095	-3744.2876	4449.4779	2997.8611
1205	10033.2133	-3747.0748	4449.4779	2997.8611
1206	10042.8170	-3749.8621	4449.4779	2997.8611
1207	10052.4207	-3752.6494	4449.4779	2997.8611
1208	10062.0244	-3755.4366	4449.4779	2997.8611
1209	10071.6281	-3758.2239	4449.4779	2997.8611
1210	10081.2318	-3761.0112	4449.4779	2997.8611
1211	10090.8355	-3763.7985	4449.4779	2997.8611
1212	10100.4392	-3766.5857	4449.4779	2997.8611
1213	10110.0429	-3769.3730	4449.4779	2997.8611
1214	10119.6466	-3772.1603	4449.4779	2997.8611
1215	10129.2503	-3774.9476	4449.4779	2997.8611
1216	10138.8540	-3777.7348	4449.4779	2997.8611
1217	10148.4577	-3780.5221	4449.4779	2997.8611
1218	10158.0614	-3783.3094	4449.4779	2997.8611
1219	10167.6651	-3786.0966	4449.4779	2997.8611
1220	10177.2688	-3788.8839	4449.4779	2997.8611
1221	10186.8725	-3791.6712	4449.4779	2997.8611
1222	10196.4762	-3794.4585	4449.4779	2997.8611
1223	10206.0799	-3797.2457	4449.4779	2997.8611
1224	10215.6836	-3800.0330	4449.4779	2997.8611
1225	10225.2873	-3802.8203	4449.4779	2997.8611
1226	10234.8910	-3805.6076	4449.4779	2997.8611
1227	10244.4947	-3808.3948	4449.4779	2997.8611
1228	10254.0984	-3811.1821	4449.4779	2997.8611
1229	10263.7021	-3813.9694	4449.4779	2997.8611
1230	10273.3058	-3816.7566	4449.4779	2997.8611
1231	10282.9095	-3819.5439	4449.4779	2997.8611
1232	10292.5132	-3822.3312	4449.4779	2997.8611
1233	10302.1169	-3825.1185	4449.4779	2997.8611
1234	10311.7206	-3827.9057	4449.4779	2997.8611
1235	10321.3243	-3830.6930	4449.4779	2997.8611
1236	10330.9280	-3833.4803	4449.4779	2997.8611
1237	10340.5317	-3836.2676	4449.4779	2997.8611
1238	10350.1354	-3839.0548	4449.4779	2997.8611
1239	10359.7391	-3841.8421	4449.4779	2997.8611
1240	10369.3429	-3844.6294	4449.4779	2997.8611
1241	10378.9466	-3847.4167	4449.4779	2997.8611
1242	10388.5503	-3850.2039	4449.4779	2997.8611
1243	10398.1540	-3852.9912	4449.4779	2997.8611
1244	10407.7577	-3855.7785	4449.4779	2997.8611
1245	10417.3614	-3858.5657	4449.4779	2997.8611
1246	10426.9651	-3861.3530	4449.4779	2997.8611
1247	10436.5688	-3864.1403	4449.4779	2997.8611
1248	10446.1725	-3866.9276	4449.4779	2997.8611
1249	10455.7762	-3869.7148	4449.4779	2997.8611
1250	10465.3799	-3872.5021	4449.4779	2997.8611
1251	10474.9836	-3875.2894	4449.4779	2997.8611
1252	10484.5873	-3878.0767	4449.4779	2997.8611
1253	10494.1910	-3880.8639	4449.4779	2997.8611
1254	10503.7947	-3883.6512	4449.4779	2997.8611
1255	10513.3984	-3886.4385	4449.4779	2997.8611
1256	10523.0021	-3889.2257	4449.4779	2997.8611
1257	10532.6058	-3892.0130	4449.4779	2997.8611
1258	10542.2095	-3894.8003	4449.4779	2997.8611
1259	10551.8132	-3897.5876	4449.4779	2997.8611
1260	10561.4169	-3900.3748	4449.4779	2997.8611
1261	10571.0206	-3903.1621	4449.4779	2997.8611
1262	10580.6243	-3905.9494	4449.4779	2997.8611
1263	10590.2280	-3908.7367	4449.4779	2997.8611
1264	10599.8317	-3911.5239	4449.4779	2997.8611
1265	10609.4354	-3914.3112	4449.4779	2997.8611
1266	10619.0391	-3917.0985	4449.4779	2997.8611
1267	10628.6428	-3919.8857	4449.4779	2997.8611
1268	10638.2465	-3922.6730	4449.4779	2997.8611
1269	10647.8502	-3925.4603	4449.4779	2997.8611
1270	10657.4539	-3928.2476	4449.4779	2997.8611
1271	10667.0576	-3931.0348	4449.4779	2997.8611
1272	10676.6613	-3933.8221	4449.4779	2997.8611
1273	10686.2650	-3936.6094	4449.4779	2997.8611
1274	10695.8688	-3939.3967	4449.4779	2997.8611
1275	10705.4725	-3942.1839	4449.4779	2997.8611
1276	10715.0762	-3944.9712	4449.4779	2997.8611
1277	10724.6799	-3947.7585	4449.4779	2997.8611
1278	10734.2836	-3950.5457	4449.4779	2997.8611
1279	10743.8873	-3953.3330	4449.4779	2997.8611
1280	10753.4910	-3956.1203	4449.4779	2997.8611
1281	10763.0947	-3958.9076	4449.4779	2997.8611
1282	10772.6984	-3961.6948	4449.4779	2997.8611
1283	10782.3021	-3964.4821	4449.4779	2997.8611
1284	10791.9058	-3967.2694	4449.4779	2997.8611
1285	10801.5095	-3970.0567	4449.4779	2997.8611
1286	10811.1132	-3972.8439	4449.4779	2997.8611
1287	10820.7169	-3975.6312	4449.4779	2997.8611
1288	10830.3206	-3978.4185	4449.4779	2997.8611
1289	10839.9243	-3981.2058	4449.4779	2997.8611
1290	10849.5280	-3983.9930	4449.4779	2997.8611
1291	10859.1317	-3986.7803	4449.4779	2997.8611
1292	10868.7354	-3989.5676	4449.4779	2997.8611
1293	10878.3391	-3992.3548	4449.4779	2997.8611
1294	10887.9428	-3995.1421	4449.4779	2997.8611
1295	10897.5465	-3997.9294	4449.4779	2997.8611
1296	10907.1502	-4000.7167	4449.4779	2997.8611
1297	10916.7539	-4003.5039	4449.4779	2997.8611
1298	10926.3576	-4006.2912	4449.4779	2997.8611
1299	10935.9613	-4009.0785	4449.4779	2997.8611
1300	10945.5650	-4011.8658	4449.4779	2997.8611
1301	10955.1687	-4014.6530	4449.4779	2997.8611
1302	10964.7724	-4017.4403	4449.4779	2997.8611
1303	10974.3761	-4020.2276	4449.4779	2997.8611
1304	10983.9798	-4023.0148	4449.4779	2997.8611
1305	10993.5835	-4025.8021	4449.4779	2997.8611
1306	11003.1872	-4028.5894	4449.4779	2997.8611
1307	11012.7909	-4031.3767	4449.4779	2997.8611
1308	11022.3947	-4034.1639	4449.4779	2997.8611
1309	11031.9984	-4036.9512	4449.4779	2997.8611
1310	11041.6021	-4039.7385	4449.4779	2997.8611
1311	11051.2058	-4042.5258	4449.4779	2997.8611
1312	11060.8095	-4045.3130	4449.4779	2997.8611
1313	11070.4132	-4048.1003	4449.4779	2997.8611
1314	11080.0169	-4050.8876	4449.4779	2997.8611
1315	11089.6206	-4053.6748	4449.4779	2997.8611
1316	11099.2243	-4056.4621	4449.4779	2997.8611
1317	11108.8280	-4059.2494	4449.4779	2997.8611
1318	11118.4317	-4062.0367	4449.4779	2997.8611
1319	11128.0354	-4064.8239	4449.4779	2997.8611
1320	11137.6391	-4067.6112	4449.4779	2997.8611
1321	11147.2428	-4070.3985	4449.4779	2997.8611
1322	11156.8465	-4073.1858	4449.4779	2997.8611
1323	11166.4502	-4075.9730	4449.4779	2997.8611
1324	11176.0539	-4078.7603	4449.4779	2997.8611
1325	11185.6576	-4081.5476	4449.4779	2997.8611
1326	11195.2613	-4084.3349	4449.4779	2997.8611
1327	11204.8650	-4087.1221	4449.4779	2997.8611
1328	11214.4687	-4089.9094	4449.4779	2997.8611
1329	11224.0724	-4092.6967	4449.4779	2997.8611
1330	11233.6761	-4095.4839	4449.4779	2997.8611
1331	11243.2798	-4098.2712	4449.4779	2997.8611
1332	11252.8835	-4101.0585	4449.4779	2997.8611
1333	11262.4872	-4103.8458	4449.4779	2997.8611
1334	11272.0909	-4106.6330	4449.4779	2997.8611
1335	11281.6946	-4109.4203	4449.4779	2997.8611
1336	11291.2983	-4112.2076	4449.4779	2997.8611
1337	11300.9020	-4114.9949	4449.4779	2997.8611
1338	11310.5057	-4117.7821	4449.4779	2997.8611
1339	11320.1094	-4120.5694	4449.4779	2997.8611
1340	11329.7131	-4123.3567	4449.4779	2997.8611
1341	11339.3168	-4126.1439	4449.4779	2997.8611
1342	11348.9205	-4128.9312	4449.4779	2997.8611
1343	11358.5243	-4131.7185	4449.4779	2997.8611
1344	11368.1280	-4134.5058	4449.4779	2997.8611
1345	11377.7317	-4137.2930	4449.4779	2997.8611
1346	11387.3354	-4140.0803	4449.4779	2997.8611
1347	11396.9391	-4142.8676	4449.4779	2997.8611
1348	11406.5428	-4145.6549	4449.4779	2997.8611
1349	11416.1465	-4148.4421	4449.4779	2997.8611
1350	11425.7502	-4151.2294	4449.4779	2997.8611
1351	11435.3539	-4154.0167	4449.4779	2997.8611
1352	11444.9576	-4156.8039	4449.4779	2997.8611
1353	11454.5613	-4159.5912	4449.4779	2997.8611
1354	11464.1650	-4162.3785	4449.4779	2997.8611
1355	11473.7687	-4165.1658	4449.4779	2997.8611
1356	11483.3724	-4167.9530	4449.4779	2997.8611
1357	11492.9761	-4170.7403	4449.4779	2997.8611
1358	11502.5798	-4173.5276	4449.4779	2997.8611
1359	11512.1835	-4176.3149	4449.4779	2997.8611
1360	11521.7872	-4179.1021	4449.4779	2997.8611
1361	11531.3909	-4181.8894	4449.4779	2997.8611
1362	11540.9946	-4184.6767	4449.4779	2997.8611
1363	11550.5983	-4187.4639	4449.4779	2997.8611
1364	11560.2020	-4190.2512	4449.4779	2997.8611
1365	11569.8057	-4193.0385	4449.4779	2997.8611
1366	11579.4094	-4195.8258	4449.4779	2997.8611
1367	11589.0131	-4198.6130	4449.4779	2997.8611
1368	11598.6168	-4201.4003	4449.4779	2997.8611
1369	11608.2205	-4204.1876	4449.4779	2997.8611
1370	11617.8242	-4206.9749	4449.4779	2997.8611
1371	11627.4279	-4209.7621	4449.4779	2997.8611
1372	11637.0316	-4212.5494	4449.4779	2997.8611
1373	11646.6353	-4215.3367	4449.4779	2997.8611
1374	11656.2390	-4218.1240	4449.4779	2997.8611
1375	11665.8427	-4220.9112	4449.4779	2997.8611
1376	11675.4464	-4223.6985	4449.4779	2997.8611
1377	11685.0502	-4226.4858	4449.4779	2997.8611
1378	11694.6539	-4229.2730	4449.4779	2997.8611
1379	11704.2576	-4232.0603	4449.4779	2997.8611
1380	11713.8613	-4234.8476	4449.4779	2997.8611
1381	11723.4650	-4237.6349	4449.4779	2997.8611
1382	11733.0687	-4240.4221	4449.4779	2997.8611
1383	11742.6724	-4243.2094	4449.4779	2997.8611
1384	11752.2761	-4245.9967	4449.4779	2997.8611
1385	11761.8798	-4248.7840	4449.4779	2997.8611
1386	11771.4835	-4251.5712	4449.4779	2997.8611
1387	11781.0872	-4254.3585	4449.4779	2997.8611
1388	11790.6909	-4257.1458	4449.4779	2997.8611
1389	11800.2946	-4259.9330	4449.4779	2997.8611
1390	11809.8983	-4262.7203	4449.4779	2997.8611
1391	11819.5020	-4265.5076	4449.4779	2997.8611
1392	11829.1057	-4268.2949	4449.4779	2997.8611
1393	11838.7094	-4271.0821	4449.4779	2997.8611
1394	11848.3131	-4273.8694	4449.4779	2997.8611
1395	11857.9168	-4276.6567	4449.4779	2997.8611
1396	11867.5205	-4279.4440	4449.4779	2997.8611
1397	11877.1242	-4282.2312	4449.4779	2997.8611
1398	11886.7279	-4285.0185	4449.4779	2997.8611
1399	11896.3316	-4287.8058	4449.4779	2997.8611
1400	11905.9353	-4290.5930	4449.4779	2997.8611
1401	11915.5390	-4293.3803	4449.4779	2997.8611
1402	11925.1427	-4296.1676	4449.4779	2997.8611
1403	11934.7464	-4298.9549	4449.4779	2997.8611
1404	11944.3501	-4301.7421	4449.4779	2997.8611
1405	11953.9538	-4304.5294	4449.4779	2997.8611
1406	11963.5575	-4307.3167	4449.4779	2997.8611
1407	11973.1612	-4310.1040	4449.4779	2997.8611
1408	11982.7649	-4312.8912	4449.4779	2997.8611
1409	11992.3686	-4315.6785	4449.4779	2997.8611
1410	12001.9723	-4318.4658	4449.4779	2997.8611
1411	12011.5760	-4321.2531	4449.4779	2997.8611
1412	12021.1798	-4324.0403	4449.4779	2997.8611
1413	12030.7835	-4326.8276	4449.4779	2997.8611
1414	12040.3872	-4329.6149	4449.4779	2997.8611
1415	12049.9909	-4332.4021	4449.4779	2997.8611
1416	12059.5946	-4335.1894	4449.4779	2997.8611
1417	12069.1983	-4337.9767	4449.4779	2997.8611
1418	12078.8020	-4340.7640	4449.4779	2997.8611
1419	12088.4057	-4343.5512	4449.4779	2997.8611
1420	12098.0094	-4346.3385	4449.4779	2997.8611
1421	12107.6131	-4349.1258	4449.4779	2997.8611
1422	12117.2168	-4351.9131	4449.4779	2997.8611
1423	12126.8205	-4354.7003	4449.4779	2997.8611
1424	12136.4242	-4357.4876	4449.4779	2997.8611
1425	12146.0279	-4360.2749	4449.4779	2997.8611
1426	12155.6316	-4363.0621	4449.4779	2997.8611
1427	12165.2353	-4365.8494	4449.4779	2997.8611
1428	12174.8390	-4368.6367	4449.4779	2997.8611
1429	12184.4427	-4371.4240	4449.4779	2997.8611
1430	12194.0464	-4374.2112	4449.4779	2997.8611
1431	12203.6501	-4376.9985	4449.4779	2997.8611
1432	12213.2538	-4379.7858	4449.4779	2997.8611
1433	12222.8575	-4382.5731	4449.4779	2997.8611
1434	12232.4612	-4385.3603	4449.4779	2997.8611
1435	12242.0649	-4388.1476	4449.4779	2997.8611
1436	12251.6686	-4390.9349	4449.4779	2997.8611
1437	12261.2723	-4393.7221	4449.4779	2997.8611
1438	12270.8760	-4396.5094	4449.4779	2997.8611
1439	12280.4797	-4399.2967	4449.4779	2997.8611
1440	12290.0834	-4402.0840	4449.4779	2997.8611
1441	12299.6871	-4404.8712	4449.4779	2997.8611
1442	12309.2908	-4407.6585	4449.4779	2997.8611
1443	12318.8945	-4410.4458	4449.4779	2997.8611
1444	12328.4982	-4413.2331	4449.4779	2997.8611
1445	12338.1019	-4416.0203	4449.4779	2997.8611
1446	12347.7057	-4418.8076	4449.4779	2997.8611
1447	12357.3094	-4421.5949	4449.4779	2997.8611
1448	12366.9131	-4424.3821	4449.4779	2997.8611
1449	12376.5168	-4427.1694	4449.4779	2997.8611
1450	12386.1205	-4429.9567	4449.4779	2997.8611
1451	12395.7242	-4432.7440	4449.4779	2997.8611
1452	12405.3279	-4435.5312	4449.4779	2997.8611
1453	12414.9316	-4438.3185	4449.4779	2997.8611
1454	12424.5353	-4441.1058	4449.4779	2997.8611
1455	12434.1390	-4443.8931	4449.4779	2997.8611
1456	12443.7427	-4446.6803	4449.4779	2997.8611
1457	12453.3464	-4449.4676	4449.4779	2997.8611
1458	12462.9501	-4452.2549	4449.4779	2997.8611
1459	12472.5538	-4455.0422	4449.4779	2997.8611
1460	12482.1575	-4457.8294	4449.4779	2997.8611
1461	12491.7612	-4460.6167	4449.4779	2997.8611
1462	12501.3649	-4463.4040	4449.4779	2997.8611
1463	12510.9686	-4466.1912	4449.4779	2997.8611
1464	12520.5723	-4468.9785	4449.4779	2997.8611
1465	12530.1760	-4471.7658	4449.4779	2997.8611
1466	12539.7797	-4474.5531	4449.4779	2997.8611
1467	12549.3834	-4477.3403	4449.4779	2997.8611
1468	12558.9871	-4480.1276	4449.4779	2997.8611
1469	12568.5908	-4482.9149	4449.4779	2997.8611
1470	12578.1945	-4485.7022	4449.4779	2997.8611
1471	12587.7982	-4488.4894	4449.4779	2997.8611
1472	12597.4019	-4491.2767	4449.4779	2997.8611
1473	12607.0056	-4494.0640	4449.4779	2997.8611
1474	12616.6093	-4496.8512	4449.4779	2997.8611
1475	12626.2130	-4499.6385	4449.4779	2997.8611
1476	12635.8167	-4502.4258	4449.4779	2997.8611
1477	12645.4204	-4505.2131	4449.4779	2997.8611
1478	12655.0241	-4508.0003	4449.4779	2997.8611
1479	12664.6278	-4510.7876	4449.4779	2997.8611
1480	12674.2316	-4513.5749	4449.4779	2997.8611
1481	12683.8353	-4516.3622	4449.4779	2997.8611
1482	12693.4390	-4519.1494	4449.4779	2997.8611
1483	12703.0427	-4521.9367	4449.4779	2997.8611
1484	12712.6464	-4524.7240	4449.4779	2997.8611
1485	12722.2501	-4527.5112	4449.4779	2997.8611
1486	12731.8538	-4530.2985	4449.4779	2997.8611
1487	12741.4575	-4533.0858	4449.4779	2997.8611
1488	12751.0612	-4535.8731	4449.4779	2997.8611
1489	12760.6649	-4538.6603	4449.4779	2997.8611
1490	12770.2686	-4541.4476	4449.4779	2997.8611
1491	12779.8723	-4544.2349	4449.4779	2997.8611
1492	12789.4760	-4547.0222	4449.4779	2997.8611
1493	12799.0797	-4549.8094	4449.4779	2997.8611
1494	12808.6834	-4552.5967	4449.4779	2997.8611
1495	12818.2871	-4555.3840	4449.4779	2997.8611
1496	12827.8908	-4558.1713	4449.4779	2997.8611
1497	12837.4945	-4560.9585	4449.4779	2997.8611
1498	12847.0982	-4563.7458	4449.4779	2997.8611
1499	12856.7019	-4566.5331	4449.4779	2997.8611
1500	12866.3056	-4569.3203	4449.4779	2997.8611
1501	12875.9093	-4572.1076	4449.4779	2997.8611
1502	12885.5130	-4574.8949	4449.4779	2997.8611
1503	12895.1167	-4577.6822	4449.4779	2997.8611
1504	12904.7204	-4580.4694	4449.4779	2997.8611
1505	12914.3241	-4583.2567	4449.4779	2997.8611
1506	12923.9278	-4586.0440	4449.4779	2997.8611
1507	12933.5315	-4588.8313	4449.4779	2997.8611
1508	12943.1352	-4591.6185	4449.4779	2997.8611
1509	12952.7389	-4594.4058	4449.4779	2997.8611
1510	12962.3426	-4597.1931	4449.4779	2997.8611
1511	12971.9463	-4599.9803	4449.4779	2997.8611
1512	12981.5500	-4602.7676	4449.4779	2997.8611
1513	12991.1537	-4605.5549	4449.4779	2997.8611
1514	13000.7574	-4608.3422	4449.4779	2997.8611
1515	13010.3612	-4611.1294	4449.4779	2997.8611
1516	13019.9649	-4613.9167	4449.4779	2997.8611
1517	13029.5686	-4616.7040	4449.4779	2997.8611
1518	13039.1723	-4619.4913	4449.4779	2997.8611
1519	13048.7760	-4622.2785	4449.4779	2997.8611
1520	13058.3797	-4625.0658	4449.4779	2997.8611
1521	13067.9834	-4627.8531	4449.4779	2997.8611
1522	13077.5871	-4630.6403	4449.4779	2997.8611
1523	13087.1908	-4633.4276	4449.4779	2997.8611
1524	13096.7945	-4636.2149	4449.4779	2997.8611
1525	13106.3982	-4639.0022	4449.4779	2997.8611
1526	13116.0019	-4641.7894	4449.4779	2997.8611
1527	13125.6056	-4644.5767	4449.4779	2997.8611
1528	13135.2093	-4647.3640	4449.4779	2997.8611
1529	13144.8130	-4650.1513	4449.4779	2997.8611
1530	13154.4167	-4652.9385	4449.4779	2997.8611
1531	13164.0204	-4655.7258	4449.4779	2997.8611
1532	13173.6241	-4658.5131	4449.4779	2997.8611
1533	13183.2278	-4661.3004	4449.4779	2997.8611
1534	13192.8315	-4664.0876	4449.4779	2997.8611
1535	13202.4352	-4666.8749	4449.4779	2997.8611
1536	13212.0389	-4669.6622	4449.4779	2997.8611
1537	13221.6426	-4672.4494	4449.4779	2997.8611
1538	13231.2463	-4675.2367	4449.4779	2997.8611
1539	13240.8500	-4678.0240	4449.4779	2997.8611
1540	13250.4537	-4680.8113	4449.4779	2997.8611
1541	13260.0574	-4683.5985	4449.4779	2997.8611
1542	13269.6611	-4686.3858	4449.4779	2997.8611
1543	13279.2648	-4689.1731	4449.4779	2997.8611
1544	13288.8685	-4691.9604	4449.4779	2997.8611
1545	13298.4722	-4694.7476	4449.4779	2997.8611
1546	13308.0759	-4697.5349	4449.4779	2997.8611
1547	13317.6796	-4700.3222	4449.4779	2997.8611
1548	13327.2833	-4703.1094	4449.4779	2997.8611
1549	13336.8871	-4705.8967	4449.4779	2997.8611
1550	13346.4908	-4708.6840	4449.4779	2997.8611
1551	13356.0945	-4711.4713	4449.4779	2997.8611
1552	13365.6982	-4714.2585	4449.4779	2997.8611
1553	13375.3019	-4717.0458	4449.4779	2997.8611
1554	13384.9056	-4719.8331	4449.4779	2997.8611
1555	13394.5093	-4722.6204	4449.4779	2997.8611
1556	13404.1130	-4725.4076	4449.4779	2997.8611
1557	13413.7167	-4728.1949	4449.4779	2997.8611
1558	13423.3204	-4730.9822	4449.4779	2997.8611
1559	13432.9241	-4733.7694	4449.4779	2997.8611
1560	13442.5278	-4736.5567	4449.4779	2997.8611
1561	13452.1315	-4739.3440	4449.4779	2997.8611
1562	13461.7352	-4742.1313	4449.4779	2997.8611
1563	13471.3389	-4744.9185	4449.4779	2997.8611
1564	13480.9426	-4747.7058	4449.4779	2997.8611
1565	13490.5463	-4750.4931	4449.4779	2997.8611
1566	13500.1500	-4753.2804	4449.4779	2997.8611
1567	13509.7537	-4756.0676	4449.4779	2997.8611
1568	13519.3574	-4758.8549	4449.4779	2997.8611
1569	13528.9611	-4761.6422	4449.4779	2997.8611
1570	13538.5648	-4764.4294	4449.4779	2997.8611
1571	13548.1685	-4767.2167	4449.4779	2997.8611
1572	13557.7722	-4770.0040	4449.4779	2997.8611
1573	13567.3759	-4772.7913	4449.4779	2997.8611
1574	13576.9796	-4775.5785	4449.4779	2997.8611
1575	13586.5833	-4778.3658	4449.4779	2997.8611
1576	13596.1870	-4781.1531	4449.4779	2997.8611
1577	13605.7907	-4783.9404	4449.4779	2997.8611
1578	13615.3944	-4786.7276	4449.4779	2997.8611
1579	13624.9981	-4789.5149	4449.4779	2997.8611
1580	13634.6018	-4792.3022	4449.4779	2997.8611
1581	13644.2055	-4795.0895	4449.4779	2997.8611
1582	13653.8092	-4797.8767	4449.4779	2997.8611
1583	13663.4129	-4800.6640	4449.4779	2997.8611
1584	13673.0167	-4803.4513	4449.4779	2997.8611
1585	13682.6204	-4806.2385	4449.4779	2997.8611
1586	13692.2241	-4809.0258	4449.4779	2997.8611
1587	13701.8278	-4811.8131	4449.4779	2997.8611
1588	13711.4315	-4814.6004	4449.4779	2997.8611
1589	13721.0352	-4817.3876	4449.4779	2997.8611
1590	13730.6389	-4820.1749	4449.4779	2997.8611
1591	13740.2426	-4822.9622	4449.4779	2997.8611
1592	13749.8463	-4825.7495	4449.4779	2997.8611
1593	13759.4500	-4828.5367	4449.4779	2997.8611
1594	13769.0537	-4831.3240	4449.4779	2997.8611
1595	13778.6574	-4834.1113	4449.4779	2997.8611
1596	13788.2611	-4836.8985	4449.4779	2997.8611
1597	13797.8648	-4839.6858	4449.4779	2997.8611
1598	13807.4685	-4842.4731	4449.4779	2997.8611
1599	13817.0722	-4845.2604	4449.4779	2997.8611
1600	13826.6759	-4848.0476	4449.4779	2997.8611
1601	13836.2796	-4850.8349	4449.4779	2997.8611
1602	13845.8833	-4853.6222	4449.4779	2997.8611
1603	13855.4870	-4856.4095	4449.4779	2997.8611
1604	13865.0907	-4859.1967	4449.4779	2997.8611
1605	13874.6944	-4861.9840	4449.4779	2997.8611
1606	13884.2981	-4864.7713	4449.4779	2997.8611
1607	13893.9018	-4867.5585	4449.4779	2997.8611
1608	13903.5055	-4870.3458	4449.4779	2997.8611
1609	13913.1092	-4873.1331	4449.4779	2997.8611
1610	13922.7129	-4875.9204	4449.4779	2997.8611
1611	13932.3166	-4878.7076	4449.4779	2997.8611
1612	13941.9203	-4881.4949	4449.4779	2997.8611
1613	13951.5240	-4884.2822	4449.4779	2997.8611
1614	13961.1277	-4887.0695	4449.4779	2997.8611
1615	13970.7314	-4889.8567	4449.4779	2997.8611
1616	13980.3351	-4892.6440	4449.4779	2997.8611
1617	13989.9388	-4895.4313	4449.4779	2997.8611
1618	13999.5426	-4898.2186	4449.4779	2997.8611
1619	14009.1463	-4901.0058	4449.4779	2997.8611
1620	14018.7500	-4903.7931	4449.4779	2997.8611
1621	14028.3537	-4906.5804	4449.4779	2997.8611
1622	14037.9574	-4909.3676	4449.4779	2997.8611
1623	14047.5611	-4912.1549	4449.4779	2997.8611
1624	14057.1648	-4914.9422	4449.4779	2997.8611
1625	14066.7685	-4917.7295	4449.4779	2997.8611
1626	14076.3722	-4920.5167	4449.4779	2997.8611
1627	14085.9759	-4923.3040	4449.4779	2997.8611
1628	14095.5796	-4926.0913	4449.4779	2997.8611
1629	14105.1833	-4928.8786	4449.4779	2997.8611
1630	14114.7870	-4931.6658	4449.4779	2997.8611
1631	14124.3907	-4934.4531	4449.4779	2997.8611
1632	14133.9944	-4937.2404	4449.4779	2997.8611
1633	14143.5981	-4940.0276	4449.4779	2997.8611
1634	14153.2018	-4942.8149	4449.4779	2997.8611
1635	14162.8055	-4945.6022	4449.4779	2997.8611
1636	14172.4092	-4948.3895	4449.4779	2997.8611
1637	14182.0129	-4951.1767	4449.4779	2997.8611
1638	14191.6166	-4953.9640	4449.4779	2997.8611
1639	14201.2203	-4956.7513	4449.4779	2997.8611
1640	14210.8240	-4959.5386	4449.4779	2997.8611
1641	14220.4277	-4962.3258	4449.4779	2997.8611
1642	14230.0314	-4965.1131	4449.4779	2997.8611
1643	14239.6351	-4967.9004	4449.4779	2997.8611
1644	14249.2388	-4970.6876	4449.4779	2997.8611
1645	14258.8425	-4973.4749	4449.4779	2997.8611
1646	14268.4462	-4976.2622	4449.4779	2997.8611
1647	14278.0499	-4979.0495	4449.4779	2997.8611
1648	14287.6536	-4981.8367	4449.4779	2997.8611
