z	h(m)	phi5.0	phi4.9	phi4.8	phi4.7	phi4.6	phi4.5	phi4.4	phi4.3	phi4.2	phi4.1
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	39511.4295	34396.6972	29944.0641	26067.8219	22693.3570	19755.7147	17198.3486	14972.0321	13033.9109	11346.6785
43	4300.0	117828.3942	102575.5749	89297.2245	77737.7491	67674.6413	58914.1971	51287.7875	44648.6123	38868.8746	33837.3206
42	4200.0	194145.8566	169013.7848	147135.0456	128088.4968	111507.5130	97072.9283	84506.8924	73567.5228	64044.2484	55753.7565
41	4100.0	268641.8795	233866.3395	203592.4736	177237.5426	154294.2425	134320.9398	116933.1698	101796.2368	88618.7713	77147.1213
40	4000.0	341428.1840	297230.4979	258754.1774	225258.5949	196098.9966	170714.0920	148615.2489	129377.0887	112629.2974	98049.4983
39	3900.0	412496.8910	359099.4008	312614.1856	272146.4554	236917.2501	206248.4455	179549.7004	156307.0928	136073.2277	118458.6250
38	3800.0	481841.1322	419467.0691	365167.2933	317896.5928	276745.0580	240920.5661	209733.5345	182583.6466	158948.2964	138372.5290
37	3700.0	549455.0548	478328.4074	416409.0645	362505.1457	315579.0588	274727.5274	239164.2037	208204.5323	181252.5728	157789.5294
36	3600.0	615333.8258	535679.2086	466335.8368	405968.9254	353416.4767	307666.9129	267839.6043	233167.9184	202984.4627	176708.2384
35	3500.0	679473.6362	591516.1568	514944.7235	448285.4191	390255.1241	339736.8181	295758.0784	257472.3617	224142.7095	195127.5621
34	3400.0	741871.7051	645836.8307	562233.6168	489452.7918	426093.4036	370935.8525	322918.4154	281116.8084	244726.3959	213046.7018
33	3300.0	802526.2821	698639.7069	608201.1904	529469.8889	460930.3100	401263.1410	349319.8535	304100.5952	264734.9445	230465.1550
32	3200.0	861436.6511	749924.1619	652846.9015	568336.2379	494765.4320	430718.3256	374962.0809	326423.4508	284168.1189	247382.7160
31	3100.0	918603.1324	799690.4744	696170.9929	606052.0500	527598.9535	459301.5662	399845.2372	348085.4965	303026.0250	263799.4768
30	3000.0	973981.4754	847900.1220	738139.9288	642588.1308	559405.4593	486990.7377	423950.0610	369069.9644	321294.0654	279702.7296
29	2900.0	1027480.5016	894473.7294	778684.6090	677884.3250	590132.5810	513740.2508	447236.8647	389342.3045	338942.1625	295066.2905
28	2800.0	1079035.6547	939355.0971	817756.1089	711898.0412	619743.2408	539517.8274	469677.5485	408878.0544	355949.0206	309871.6204
27	2700.0	1128613.3611	982514.9973	855328.9843	744607.1291	648218.1557	564306.6806	491257.4986	427664.4922	372303.5646	324109.0778
26	2600.0	1176184.9096	1023928.4356	891381.4763	775992.6463	675540.8354	588092.4548	511964.2178	445690.7382	387996.3232	337770.4177
25	2500.0	1221726.4567	1063574.6551	925895.5151	806038.8622	701697.5856	610863.2284	531787.3276	462947.7576	403019.4311	350848.7928
