i	x	y	z	R
120	9985.1947	-3733.1385	4449.4779	2997.8611
121	10081.2318	-3761.0112	4449.4779	2997.8611
122	10177.2688	-3788.8839	4449.4779	2997.8611
123	10273.3058	-3816.7566	4449.4779	2997.8611
124	10369.3429	-3844.6294	4449.4779	2997.8611
125	10465.3799	-3872.5021	4449.4779	2997.8611
126	10561.4169	-3900.3748	4449.4779	2997.8611
127	10657.4539	-3928.2476	4449.4779	2997.8611
128	10753.4910	-3956.1203	4449.4779	2997.8611
129	10849.5280	-3983.9930	4449.4779	2997.8611
130	10945.5650	-4011.8658	4449.4779	2997.8611
131	11041.6021	-4039.7385	4449.4779	2997.8611
132	11137.6391	-4067.6112	4449.4779	2997.8611
133	11233.6761	-4095.4839	4449.4779	2997.8611
134	11329.7131	-4123.3567	4449.4779	2997.8611
135	11425.7502	-4151.2294	4449.4779	2997.8611
136	11521.7872	-4179.1021	4449.4779	2997.8611
137	11617.8242	-4206.9749	4449.4779	2997.8611
138	11713.8613	-4234.8476	4449.4779	2997.8611
139	11809.8983	-4262.7203	4449.4779	2997.8611
140	11905.9353	-4290.5930	4449.4779	2997.8611
141	12001.9723	-4318.4658	4449.4779	2997.8611
142	12098.0094	-4346.3385	4449.4779	2997.8611
143	12194.0464	-4374.2112	4449.4779	2997.8611
144	12290.0834	-4402.0840	4449.4779	2997.8611
145	12386.1205	-4429.9567	4449.4779	2997.8611
146	12482.1575	-4457.8294	4449.4779	2997.8611
147	12578.1945	-4485.7022	4449.4779	2997.8611
148	12674.2316	-4513.5749	4449.4779	2997.8611
149	12770.2686	-4541.4476	4449.4779	2997.8611
150	12866.3056	-4569.3203	4449.4779	2997.8611
151	12962.3426	-4597.1931	4449.4779	2997.8611
152	13058.3797	-4625.0658	4449.4779	2997.8611
153	13154.4167	-4652.9385	4449.4779	2997.8611
154	13250.4537	-4680.8113	4449.4779	2997.8611
155	13346.4908	-4708.6840	4449.4779	2997.8611
156	13442.5278	-4736.5567	4449.4779	2997.8611
157	13538.5648	-4764.4294	4449.4779	2997.8611
158	13634.6018	-4792.3022	4449.4779	2997.8611
159	13730.6389	-4820.1749	4449.4779	2997.8611
160	13826.6759	-4848.0476	4449.4779	2997.8611
161	13922.7129	-4875.9204	4449.4779	2997.8611
162	14018.7500	-4903.7931	4449.4779	2997.8611
163	14114.7870	-4931.6658	4449.4779	2997.8611
164	14210.8240	-4959.5386	4449.4779	2997.8611
165	14306.8610	-4987.4113	4449.4779	2997.8611
166	14402.8981	-5015.2840	4449.4779	2997.8611
167	14498.9351	-5043.1567	4449.4779	2997.8611
168	14594.9721	-5071.0295	4449.4779	2997.8611
169	14691.0092	-5098.9022	4449.4779	2997.8611
170	14787.0462	-5126.7749	4449.4779	2997.8611
171	14883.0832	-5154.6477	4449.4779	2997.8611
172	14979.1202	-5182.5204	4449.4779	2997.8611
173	15075.1573	-5210.3931	4449.4779	2997.8611
174	15171.1943	-5238.2658	4449.4779	2997.8611
175	15267.2313	-5266.1386	4449.4779	2997.8611
176	15363.2684	-5294.0113	4449.4779	2997.8611
177	15459.3054	-5321.8840	4449.4779	2997.8611
178	15555.3424	-5349.7568	4449.4779	2997.8611
179	15651.3795	-5377.6295	4449.4779	2997.8611
180	15747.4165	-5405.5022	4449.4779	2997.8611
181	15843.4535	-5433.3750	4449.4779	2997.8611
182	15939.4905	-5461.2477	4449.4779	2997.8611
183	16035.5276	-5489.1204	4449.4779	2997.8611
184	16131.5646	-5516.9931	4449.4779	2997.8611
185	16227.6016	-5544.8659	4449.4779	2997.8611
186	16323.6387	-5572.7386	4449.4779	2997.8611
187	16419.6757	-5600.6113	4449.4779	2997.8611
188	16515.7127	-5628.4841	4449.4779	2997.8611
189	16611.7497	-5656.3568	4449.4779	2997.8611
190	16707.7868	-5684.2295	4449.4779	2997.8611
191	16803.8238	-5712.1022	4449.4779	2997.8611
192	16899.8608	-5739.9750	4449.4779	2997.8611
193	16995.8979	-5767.8477	4449.4779	2997.8611
194	17091.9349	-5795.7204	4449.4779	2997.8611
195	17187.9719	-5823.5932	4449.4779	2997.8611
196	17284.0089	-5851.4659	4449.4779	2997.8611
197	17380.0460	-5879.3386	4449.4779	2997.8611
198	17476.0830	-5907.2114	4449.4779	2997.8611
199	17572.1200	-5935.0841	4449.4779	2997.8611
200	17668.1571	-5962.9568	4449.4779	2997.8611
201	17764.1941	-5990.8295	4449.4779	2997.8611
202	17860.2311	-6018.7023	4449.4779	2997.8611
203	17956.2681	-6046.5750	4449.4779	2997.8611
204	18052.3052	-6074.4477	4449.4779	2997.8611
205	18148.3422	-6102.3205	4449.4779	2997.8611
206	18244.3792	-6130.1932	4449.4779	2997.8611
207	18340.4163	-6158.0659	4449.4779	2997.8611
208	18436.4533	-6185.9387	4449.4779	2997.8611
209	18532.4903	-6213.8114	4449.4779	2997.8611
210	18628.5274	-6241.6841	4449.4779	2997.8611
211	18724.5644	-6269.5568	4449.4779	2997.8611
212	18820.6014	-6297.4296	4449.4779	2997.8611
213	18916.6384	-6325.3023	4449.4779	2997.8611
214	19012.6755	-6353.1750	4449.4779	2997.8611
215	19108.7125	-6381.0478	4449.4779	2997.8611
216	19204.7495	-6408.9205	4449.4779	2997.8611
217	19300.7866	-6436.7932	4449.4779	2997.8611
218	19396.8236	-6464.6659	4449.4779	2997.8611
219	19492.8606	-6492.5387	4449.4779	2997.8611
220	19588.8976	-6520.4114	4449.4779	2997.8611
221	19684.9347	-6548.2841	4449.4779	2997.8611
222	19780.9717	-6576.1569	4449.4779	2997.8611
223	19877.0087	-6604.0296	4449.4779	2997.8611
224	19973.0458	-6631.9023	4449.4779	2997.8611
225	20069.0828	-6659.7751	4449.4779	2997.8611
226	20165.1198	-6687.6478	4449.4779	2997.8611
227	20261.1568	-6715.5205	4449.4779	2997.8611
228	20357.1939	-6743.3932	4449.4779	2997.8611
229	20453.2309	-6771.2660	4449.4779	2997.8611
230	20549.2679	-6799.1387	4449.4779	2997.8611
231	20645.3050	-6827.0114	4449.4779	2997.8611
232	20741.3420	-6854.8842	4449.4779	2997.8611
233	20837.3790	-6882.7569	4449.4779	2997.8611
234	20933.4161	-6910.6296	4449.4779	2997.8611
235	21029.4531	-6938.5023	4449.4779	2997.8611
236	21125.4901	-6966.3751	4449.4779	2997.8611
237	21221.5271	-6994.2478	4449.4779	2997.8611
238	21317.5642	-7022.1205	4449.4779	2997.8611
239	21413.6012	-7049.9933	4449.4779	2997.8611
