i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
73	17863.1710	-11017.6170	695826.1710	3521145.3830	10751179.9985	5.0975e+06
74	17959.2080	-11045.4898	695922.2080	3521117.5102	10751179.9985	4.9670e+06
75	18055.2451	-11073.3625	696018.2451	3521089.6375	10751179.9985	4.8400e+06
76	18151.2821	-11101.2352	696114.2821	3521061.7648	10751179.9985	4.7163e+06
77	18247.3191	-11129.1079	696210.3191	3521033.8921	10751179.9985	4.5958e+06
78	18343.3562	-11156.9807	696306.3562	3521006.0193	10751179.9985	4.4785e+06
79	18439.3932	-11184.8534	696402.3932	3520978.1466	10751179.9985	4.3643e+06
80	18535.4302	-11212.7261	696498.4302	3520950.2739	10751179.9985	4.2531e+06
81	18631.4672	-11240.5989	696594.4672	3520922.4011	10751179.9985	4.1448e+06
82	18727.5043	-11268.4716	696690.5043	3520894.5284	10751179.9985	4.0393e+06
83	18823.5413	-11296.3443	696786.5413	3520866.6557	10751179.9985	3.9366e+06
84	18919.5783	-11324.2171	696882.5783	3520838.7829	10751179.9985	3.8366e+06
85	19015.6154	-11352.0898	696978.6154	3520810.9102	10751179.9985	3.7391e+06
86	19111.6524	-11379.9625	697074.6524	3520783.0375	10751179.9985	3.6443e+06
87	19207.6894	-11407.8352	697170.6894	3520755.1648	10751179.9985	3.5519e+06
88	19303.7264	-11435.7080	697266.7264	3520727.2920	10751179.9985	3.4619e+06
89	19399.7635	-11463.5807	697362.7635	3520699.4193	10751179.9985	3.3742e+06
90	19495.8005	-11491.4534	697458.8005	3520671.5466	10751179.9985	3.2888e+06
91	19591.8375	-11519.3262	697554.8375	3520643.6738	10751179.9985	3.2057e+06
92	19687.8746	-11547.1989	697650.8746	3520615.8011	10751179.9985	3.1247e+06
93	19783.9116	-11575.0716	697746.9116	3520587.9284	10751179.9985	3.0458e+06
94	19879.9486	-11602.9443	697842.9486	3520560.0557	10751179.9985	2.9689e+06
95	19975.9856	-11630.8171	697938.9856	3520532.1829	10751179.9985	2.8941e+06
96	20072.0227	-11658.6898	698035.0227	3520504.3102	10751179.9985	2.8212e+06
97	20168.0597	-11686.5625	698131.0597	3520476.4375	10751179.9985	2.7501e+06
98	20264.0967	-11714.4353	698227.0967	3520448.5647	10751179.9985	2.6809e+06
99	20360.1338	-11742.3080	698323.1338	3520420.6920	10751179.9985	2.6135e+06
100	20456.1708	-11770.1807	698419.1708	3520392.8193	10751179.9985	2.5479e+06
101	20552.2078	-11798.0535	698515.2078	3520364.9465	10751179.9985	2.4839e+06
102	20648.2449	-11825.9262	698611.2449	3520337.0738	10751179.9985	2.4216e+06
103	20744.2819	-11853.7989	698707.2819	3520309.2011	10751179.9985	2.3608e+06
104	20840.3189	-11881.6716	698803.3189	3520281.3284	10751179.9985	2.3017e+06
105	20936.3559	-11909.5444	698899.3559	3520253.4556	10751179.9985	2.2440e+06
106	21032.3930	-11937.4171	698995.3930	3520225.5829	10751179.9985	2.1879e+06
107	21128.4300	-11965.2898	699091.4300	3520197.7102	10751179.9985	2.1332e+06
108	21224.4670	-11993.1626	699187.4670	3520169.8374	10751179.9985	2.0799e+06
109	21320.5041	-12021.0353	699283.5041	3520141.9647	10751179.9985	2.0279e+06
110	21416.5411	-12048.9080	699379.5411	3520114.0920	10751179.9985	1.9773e+06
111	21512.5781	-12076.7807	699475.5781	3520086.2193	10751179.9985	1.9280e+06
112	21608.6151	-12104.6535	699571.6151	3520058.3465	10751179.9985	1.8800e+06
113	21704.6522	-12132.5262	699667.6522	3520030.4738	10751179.9985	1.8331e+06
114	21800.6892	-12160.3989	699763.6892	3520002.6011	10751179.9985	1.7875e+06
115	21896.7262	-12188.2717	699859.7262	3519974.7283	10751179.9985	1.7430e+06
116	21992.7633	-12216.1444	699955.7633	3519946.8556	10751179.9985	1.6997e+06
117	22088.8003	-12244.0171	700051.8003	3519918.9829	10751179.9985	1.6575e+06
118	22184.8373	-12271.8899	700147.8373	3519891.1101	10751179.9985	1.6164e+06
119	22280.8743	-12299.7626	700243.8743	3519863.2374	10751179.9985	1.5763e+06
120	22376.9114	-12327.6353	700339.9114	3519835.3647	10751179.9985	1.5372e+06
121	22472.9484	-12355.5080	700435.9484	3519807.4920	10751179.9985	1.4991e+06
122	22568.9854	-12383.3808	700531.9854	3519779.6192	10751179.9985	1.4620e+06
123	22665.0225	-12411.2535	700628.0225	3519751.7465	10751179.9985	1.4258e+06
124	22761.0595	-12439.1262	700724.0595	3519723.8738	10751179.9985	1.3905e+06
125	22857.0965	-12466.9990	700820.0965	3519696.0010	10751179.9985	1.3562e+06
126	22953.1336	-12494.8717	700916.1336	3519668.1283	10751179.9985	1.3227e+06
127	23049.1706	-12522.7444	701012.1706	3519640.2556	10751179.9985	1.2900e+06
128	23145.2076	-12550.6171	701108.2076	3519612.3829	10751179.9985	1.2582e+06
129	23241.2446	-12578.4899	701204.2446	3519584.5101	10751179.9985	1.2272e+06
130	23337.2817	-12606.3626	701300.2817	3519556.6374	10751179.9985	1.1970e+06
131	23433.3187	-12634.2353	701396.3187	3519528.7647	10751179.9985	1.1675e+06
132	23529.3557	-12662.1081	701492.3557	3519500.8919	10751179.9985	1.1388e+06
133	23625.3928	-12689.9808	701588.3928	3519473.0192	10751179.9985	1.1108e+06
134	23721.4298	-12717.8535	701684.4298	3519445.1465	10751179.9985	1.0835e+06
135	23817.4668	-12745.7263	701780.4668	3519417.2737	10751179.9985	1.0569e+06
136	23913.5038	-12773.5990	701876.5038	3519389.4010	10751179.9985	1.0309e+06
137	24009.5409	-12801.4717	701972.5409	3519361.5283	10751179.9985	1.0057e+06
138	24105.5779	-12829.3444	702068.5779	3519333.6556	10751179.9985	9.8101e+05
139	24201.6149	-12857.2172	702164.6149	3519305.7828	10751179.9985	9.5698e+05
140	24297.6520	-12885.0899	702260.6520	3519277.9101	10751179.9985	9.3355e+05
141	24393.6890	-12912.9626	702356.6890	3519250.0374	10751179.9985	9.1071e+05
142	24489.7260	-12940.8354	702452.7260	3519222.1646	10751179.9985	8.8844e+05
143	24585.7630	-12968.7081	702548.7630	3519194.2919	10751179.9985	8.6673e+05
144	24681.8001	-12996.5808	702644.8001	3519166.4192	10751179.9985	8.4556e+05
145	24777.8371	-13024.4535	702740.8371	3519138.5465	10751179.9985	8.2492e+05
146	24873.8741	-13052.3263	702836.8741	3519110.6737	10751179.9985	8.0480e+05
147	24969.9112	-13080.1990	702932.9112	3519082.8010	10751179.9985	7.8518e+05
148	25065.9482	-13108.0717	703028.9482	3519054.9283	10751179.9985	7.6605e+05
