s	phi-4.0	phi-4.1	phi-4.2	phi-4.3	phi-4.4	phi-4.5	phi-4.6	phi-4.7	phi-4.8	phi-4.9
41	13053.5626	10349.4424	8137.7363	6344.5434	4903.6046	3756.2440	2851.1303	2143.8945	1596.6415	1177.3889
42	11667.1766	9213.6994	7215.0679	5601.3683	4310.2369	3286.7310	2483.0326	1858.0254	1376.7779	1009.9673
43	10428.0352	8202.5922	6397.0130	4945.2457	3788.6705	2875.9049	2162.4585	1610.2744	1187.1903	866.3527
44	9320.4999	7302.4435	5671.7103	4365.9788	3330.2170	2516.4301	1883.2724	1395.5588	1023.7097	743.1596
45	8330.5931	6501.0767	5028.6435	3854.5650	2927.2393	2201.8880	1640.1308	1209.4735	882.7409	637.4843
46	7445.8219	5787.6515	4458.4885	3403.0562	2573.0246	1926.6622	1428.3803	1048.2011	761.1841	546.8358
47	6655.0199	5152.5173	3952.9786	3004.4354	2261.6720	1685.8384	1243.9680	908.4329	656.3662	469.0772
48	5948.2070	4587.0824	3504.7841	2652.5075	1987.9952	1475.1164	1083.3644	787.3015	565.9820	402.3756
49	5316.4630	4083.6980	3107.4065	2341.8031	1747.4350	1290.7337	943.4957	682.3219	488.0442	345.1589
50	4751.8148	3635.5549	2755.0842	2067.4934	1535.9841	1129.3980	821.6848	591.3404	420.8386	296.0782
51	4247.1366	3236.5908	2442.7088	1825.3152	1350.1201	988.2285	715.6005	512.4905	362.8875	253.9767
52	3796.0589	2881.4088	2165.7509	1611.5049	1186.7469	864.7045	623.2123	444.1545	312.9165	217.8619
53	3392.8891	2565.2043	1920.1949	1422.7395	1043.1429	756.6205	542.7519	384.9305	269.8267	186.8825
54	3032.5389	2283.6999	1702.4804	1256.0853	916.9159	662.0464	472.6794	333.6034	232.6706	160.3083
55	2710.4606	2033.0878	1509.4507	1108.9523	805.9632	579.2937	411.6537	289.1204	200.6309	137.5129
56	2422.5894	1809.9776	1338.3069	979.0540	708.4365	506.8847	358.5068	250.5688	173.0033	117.9589
57	2165.2923	1611.3515	1186.5677	864.3714	622.7111	443.5264	312.2215	217.1577	149.1801	101.1855
58	1935.3221	1434.5225	1052.0329	763.1223	547.3590	388.0877	271.9118	188.2017	128.6374	86.7972
59	1729.7764	1277.0987	932.7519	673.7331	481.1251	339.5785	236.8064	163.1067	110.9235	74.4549
60	1546.0612	1136.9505	826.9951	594.8146	422.9058	297.1328	206.2333	141.3579	95.6489	63.8676
61	1381.8579	1012.1820	733.2292	525.1403	371.7315	259.9926	179.6074	122.5091	82.4777	54.7858
62	1235.0943	901.1056	650.0946	463.6274	326.7496	227.4947	156.4190	106.1736	71.1202	46.9954
63	1103.9180	802.2187	576.3859	409.3199	287.2108	199.0589	136.2244	92.0163	61.3267	40.3128
64	986.6737	714.1836	511.0345	361.3738	252.4565	174.1775	118.6370	79.7467	52.8818	34.5804
65	881.8816	635.8094	453.0926	319.0438	221.9076	152.4061	103.3203	69.1132	45.5998	29.6632
66	788.2192	566.0360	401.7203	281.6723	195.0554	133.3561	89.9810	59.8976	39.3205	25.4451
67	704.5044	503.9195	356.1727	248.6783	171.4524	116.6872	78.3640	51.9108	33.9059	21.8269
