resolution x y mass_100 mass_res abs_diff rel_diff
300 671100 3549900 2.23020000e-07 2.23020000e-07 0.00000000e+00 0.00000000e+00
300 671400 3549900 2.23840000e-07 2.23840000e-07 0.00000000e+00 0.00000000e+00
300 671700 3549900 2.24760000e-07 2.24760000e-07 0.00000000e+00 0.00000000e+00
300 672000 3549900 2.25560000e-07 2.25560000e-07 0.00000000e+00 0.00000000e+00
300 672300 3549900 2.26350000e-07 2.26350000e-07 0.00000000e+00 0.00000000e+00
300 672600 3549900 2.27140000e-07 2.27140000e-07 0.00000000e+00 0.00000000e+00
300 672900 3549900 2.27790000e-07 2.27790000e-07 0.00000000e+00 0.00000000e+00
300 673200 3549900 2.28430000e-07 2.28430000e-07 0.00000000e+00 0.00000000e+00
300 673500 3549900 2.29060000e-07 2.29060000e-07 0.00000000e+00 0.00000000e+00
300 673800 3549900 2.29550000e-07 2.29550000e-07 0.00000000e+00 0.00000000e+00
300 674100 3549900 2.29890000e-07 2.29890000e-07 0.00000000e+00 0.00000000e+00
300 674400 3549900 2.30220000e-07 2.30220000e-07 0.00000000e+00 0.00000000e+00
300 674700 3549900 2.30520000e-07 2.30520000e-07 0.00000000e+00 0.00000000e+00
300 675000 3549900 2.30680000e-07 2.30680000e-07 0.00000000e+00 0.00000000e+00
300 675300 3549900 2.30680000e-07 2.30680000e-07 0.00000000e+00 0.00000000e+00
300 675600 3549900 2.30650000e-07 2.30650000e-07 0.00000000e+00 0.00000000e+00
300 675900 3549900 2.30460000e-07 2.30460000e-07 0.00000000e+00 0.00000000e+00
300 676200 3549900 2.30250000e-07 2.30250000e-07 0.00000000e+00 0.00000000e+00
300 676500 3549900 2.29860000e-07 2.29860000e-07 0.00000000e+00 0.00000000e+00
300 676800 3549900 2.29310000e-07 2.29310000e-07 0.00000000e+00 0.00000000e+00
300 677100 3549900 2.28730000e-07 2.28730000e-07 0.00000000e+00 0.00000000e+00
300 677400 3549900 2.27970000e-07 2.27970000e-07 0.00000000e+00 0.00000000e+00
300 677700 3549900 2.27170000e-07 2.27170000e-07 0.00000000e+00 0.00000000e+00
300 678000 3549900 2.26050000e-07 2.26050000e-07 0.00000000e+00 0.00000000e+00
300 678300 3549900 2.24890000e-07 2.24890000e-07 0.00000000e+00 0.00000000e+00
300 678600 3549900 2.23550000e-07 2.23550000e-07 0.00000000e+00 0.00000000e+00
300 678900 3549900 2.22160000e-07 2.22160000e-07 0.00000000e+00 0.00000000e+00
300 679200 3549900 2.20450000e-07 2.20450000e-07 0.00000000e+00 0.00000000e+00
300 679500 3549900 2.19560000e-07 2.19560000e-07 0.00000000e+00 0.00000000e+00
300 679800 3549900 2.19120000e-07 2.19120000e-07 0.00000000e+00 0.00000000e+00
300 680100 3549900 2.18530000e-07 2.18530000e-07 0.00000000e+00 0.00000000e+00
300 680400 3549900 2.17790000e-07 2.17790000e-07 0.00000000e+00 0.00000000e+00
300 680700 3549900 2.16900000e-07 2.16900000e-07 0.00000000e+00 0.00000000e+00
300 681000 3549900 2.15960000e-07 2.15960000e-07 0.00000000e+00 0.00000000e+00
300 681300 3549900 2.14760000e-07 2.14760000e-07 0.00000000e+00 0.00000000e+00
300 681600 3549900 2.13510000e-07 2.13510000e-07 0.00000000e+00 0.00000000e+00
300 681900 3549900 2.12090000e-07 2.12090000e-07 0.00000000e+00 0.00000000e+00
300 682200 3549900 2.10500000e-07 2.10500000e-07 0.00000000e+00 0.00000000e+00
300 682500 3549900 2.08750000e-07 2.08750000e-07 0.00000000e+00 0.00000000e+00
300 682800 3549900 2.06830000e-07 2.06830000e-07 0.00000000e+00 0.00000000e+00
300 683100 3549900 2.04840000e-07 2.04840000e-07 0.00000000e+00 0.00000000e+00
300 683400 3549900 2.02570000e-07 2.02570000e-07 0.00000000e+00 0.00000000e+00
300 683700 3549900 2.00240000e-07 2.00240000e-07 0.00000000e+00 0.00000000e+00
300 684000 3549900 1.97840000e-07 1.97840000e-07 0.00000000e+00 0.00000000e+00
300 684300 3549900 1.95160000e-07 1.95160000e-07 0.00000000e+00 0.00000000e+00
300 684600 3549900 1.92310000e-07 1.92310000e-07 0.00000000e+00 0.00000000e+00
300 684900 3549900 1.89390000e-07 1.89390000e-07 0.00000000e+00 0.00000000e+00
300 685200 3549900 1.86300000e-07 1.86300000e-07 0.00000000e+00 0.00000000e+00
300 685500 3549900 1.83040000e-07 1.83040000e-07 0.00000000e+00 0.00000000e+00
300 685800 3549900 1.79720000e-07 1.79720000e-07 0.00000000e+00 0.00000000e+00
300 686100 3549900 1.76360000e-07 1.76360000e-07 0.00000000e+00 0.00000000e+00
300 686400 3549900 1.73990000e-07 1.73990000e-07 0.00000000e+00 0.00000000e+00
300 686700 3549900 1.71490000e-07 1.71490000e-07 0.00000000e+00 0.00000000e+00
300 687000 3549900 1.68860000e-07 1.68860000e-07 0.00000000e+00 0.00000000e+00
300 687300 3549900 1.66080000e-07 1.66080000e-07 0.00000000e+00 0.00000000e+00
