i	x_from_vent	y_from_vent	x_coord	y_coord	cloud_sigma2	mass_released
0	39377.3893	-58198.6707	717340.3893	3473964.3293	888108217.2863	2.7922e+05
1	45025.9159	-67631.7406	722988.9159	3464531.2594	1061292817.3609	2.7880e+05
2	50785.8892	-77098.4632	728748.8892	3455064.5368	1239224204.4801	2.7838e+05
3	56860.7992	-86510.6351	734823.7992	3445652.3649	1424276750.3222	2.7796e+05
4	63277.6235	-95805.8430	741240.6235	3436357.1570	1616496015.0864	2.7754e+05
5	69983.2590	-104925.6192	747946.2590	3427237.3808	1814816672.8096	2.7713e+05
6	76900.8535	-113818.6970	754863.8535	3418344.3030	2017843871.2961	2.7671e+05
7	84072.6724	-122471.2197	762035.6724	3409691.7803	2224130182.0694	2.7630e+05
8	91379.2801	-130763.1210	769342.2801	3401399.8790	2432238983.5355	2.7588e+05
9	98623.3274	-138665.1410	776586.3274	3393497.8590	2641563326.1385	2.7547e+05
10	105842.4202	-146182.2095	783805.4202	3385980.7905	2851849594.0725	2.7506e+05
11	113092.1737	-153307.9828	791055.1737	3378855.0172	3062821025.4455	2.7465e+05
12	120202.8539	-160125.3661	798165.8539	3372037.6339	3274357962.7135	2.7423e+05
13	127365.3990	-166582.4981	805328.3990	3365580.5019	3486013964.6052	2.7382e+05
14	134408.1744	-172758.2363	812371.1744	3359404.7637	3697640584.7789	2.7341e+05
15	141416.9492	-178633.0652	819379.9492	3353529.9348	3908856610.0170	2.7300e+05
16	148346.3861	-184233.0904	826309.3861	3347929.9096	4119396889.7838	2.7259e+05
17	155200.0973	-189569.7709	833163.0973	3342593.2291	4328952543.7676	2.7219e+05
18	161966.9227	-194652.1816	839929.9227	3337510.8184	4537230144.8012	2.7178e+05
19	168657.1358	-199485.1194	846620.1358	3332677.8806	4743918296.8486	2.7137e+05
20	175210.8272	-204105.1079	853173.8272	3328057.8921	4948786561.8308	2.7097e+05
21	181724.4090	-208462.8057	859687.4090	3323700.1943	5151433344.2776	2.7056e+05
22	188019.1907	-212672.4723	865982.1907	3319490.5277	5351782669.5912	2.7016e+05
23	194335.2900	-216582.7904	872298.2900	3315580.2096	5549262281.9470	2.6975e+05
24	200438.3674	-220354.2125	878401.3674	3311808.7875	5743885564.8917	2.6935e+05
25	206422.1640	-223924.4456	884385.1640	3308238.5544	5935266215.1879	2.6895e+05
26	212313.6356	-227279.1297	890276.6356	3304883.8703	6123104166.9464	2.6854e+05
27	217991.2216	-230510.6708	895954.2216	3301652.3292	6307306989.6422	2.6814e+05
28	223574.8839	-233545.8630	901537.8839	3298617.1370	6487447113.5447	2.6774e+05
29	229015.6271	-236419.6324	906978.6271	3295743.3676	6663359166.0384	2.6734e+05
30	234243.3103	-239179.8409	912206.3103	3292983.1591	6834546753.8332	2.6694e+05
31	239334.4573	-241806.3684	917297.4573	3290356.6316	7001473279.7583	2.6654e+05
32	244300.4479	-244299.6116	922263.4479	3287863.3884	7163589731.1287	2.6615e+05
33	249059.5577	-246688.5757	927022.5577	3285474.4243	7320933919.2519	2.6575e+05
34	253616.2056	-248975.4945	931579.2056	3283187.5055	7473393623.7176	2.6535e+05
35	258080.6152	-251152.2381	936043.6152	3281010.7619	7620634929.0088	2.6496e+05
36	262369.1775	-253229.3322	940332.1775	3278933.6678	7762751613.4751	2.6456e+05
37	266461.5472	-255211.0592	944424.5472	3276951.9408	7899712943.9823	2.6416e+05
38	270361.4813	-257099.2536	948324.4813	3275063.7464	8031443442.2947	2.6377e+05
39	274118.3084	-258889.9949	952081.3084	3273273.0051	8157770385.9707	2.6338e+05
40	277745.6391	-260583.6704	955708.6391	3271579.3296	8278605875.5885	2.6298e+05
41	281185.2817	-262189.4444	959148.2817	3269973.5556	8394034075.9443	2.6259e+05
42	284440.3616	-263708.7903	962403.3616	3268454.2097	8504005914.2325	2.6220e+05
43	287513.8364	-265143.1035	965476.8364	3267019.8965	8608477810.0839	2.6181e+05
44	290408.5048	-266493.7048	968371.5048	3265669.2952	8707411391.0403	2.6142e+05
45	293180.6170	-267753.7668	971143.6170	3264409.2332	8800644987.6473	2.6103e+05
46	295796.0234	-268929.9952	973759.0234	3263233.0048	8888235874.5981	2.6064e+05
47	298235.2102	-270026.8060	976198.2102	3262136.1940	8970212410.7007	2.6025e+05
48	300500.4789	-271045.2477	978463.4789	3261117.7523	9046555170.2037	2.5986e+05
49	302594.0049	-271986.3123	980557.0049	3260176.6877	9117248997.1890	2.5948e+05
50	304517.8444	-272850.9379	982480.8444	3259312.0621	9182282896.6229	2.5909e+05
51	306273.9411	-273640.0121	984236.9411	3258522.9879	9241649942.7358	2.5870e+05
52	307864.1321	-274354.3744	985827.1321	3257808.6256	9295347202.6181	2.5832e+05
53	309290.1543	-274994.8192	987253.1543	3257168.1808	9343375673.2428	2.5793e+05
54	310553.6496	-275562.0980	988516.6496	3256600.9020	9385740230.4007	2.5755e+05
55	311038.9497	-275777.9955	989001.9497	3256385.0045	9401726226.7625	2.5717e+05
56	311293.4149	-275889.8778	989256.4149	3256273.1222	9409620249.7493	2.5678e+05
57	311517.6551	-275988.4120	989480.6551	3256174.5880	9416149174.0743	2.5640e+05
58	311711.9126	-276073.7176	989674.9126	3256089.2824	9421322554.1914	2.5602e+05
59	311876.4168	-276145.9086	989839.4168	3256017.0914	9425149701.3991	2.5564e+05
60	312011.3847	-276205.0931	989974.3847	3255957.9069	9427639713.1803	2.5526e+05
61	312117.0219	-276251.3742	990080.0219	3255911.6258	9428801502.3343	2.5488e+05
62	312208.6249	-276291.4853	990171.6249	3255871.5147	9428801502.3343	2.5450e+05
63	312300.2278	-276331.5964	990263.2278	3255831.4036	9428801502.3343	2.5412e+05
64	312391.8307	-276371.7076	990354.8307	3255791.2924	9428801502.3343	2.5374e+05
65	312483.4337	-276411.8187	990446.4337	3255751.1813	9428801502.3343	2.5337e+05
66	312575.0366	-276451.9298	990538.0366	3255711.0702	9428801502.3343	2.5299e+05
67	312666.6396	-276492.0409	990629.6396	3255670.9591	9428801502.3343	2.5261e+05
68	312758.2425	-276532.1520	990721.2425	3255630.8480	9428801502.3343	2.5224e+05
69	312849.8455	-276572.2631	990812.8455	3255590.7369	9428801502.3343	2.5186e+05
70	312941.4484	-276612.3742	990904.4484	3255550.6258	9428801502.3343	2.5149e+05
71	313033.0513	-276652.4853	990996.0513	3255510.5147	9428801502.3343	2.5112e+05
72	313124.6543	-276692.5964	991087.6543	3255470.4036	9428801502.3343	2.5074e+05
73	313216.2572	-276732.7075	991179.2572	3255430.2925	9428801502.3343	2.5037e+05
74	313307.8602	-276772.8186	991270.8602	3255390.1814	9428801502.3343	2.5000e+05
75	313399.4631	-276812.9298	991362.4631	3255350.0702	9428801502.3343	2.4963e+05
76	313491.0660	-276853.0409	991454.0660	3255309.9591	9428801502.3343	2.4926e+05
77	313582.6690	-276893.1520	991545.6690	3255269.8480	9428801502.3343	2.4889e+05
78	313674.2719	-276933.2631	991637.2719	3255229.7369	9428801502.3343	2.4852e+05
79	313765.8749	-276973.3742	991728.8749	3255189.6258	9428801502.3343	2.4815e+05
80	313857.4778	-277013.4853	991820.4778	3255149.5147	9428801502.3343	2.4778e+05
81	313949.0808	-277053.5964	991912.0808	3255109.4036	9428801502.3343	2.4741e+05
82	314040.6837	-277093.7075	992003.6837	3255069.2925	9428801502.3343	2.4705e+05
83	314132.2866	-277133.8186	992095.2866	3255029.1814	9428801502.3343	2.4668e+05
84	314223.8896	-277173.9297	992186.8896	3254989.0703	9428801502.3343	2.4632e+05
85	314315.4925	-277214.0408	992278.4925	3254948.9592	9428801502.3343	2.4595e+05
86	314407.0955	-277254.1519	992370.0955	3254908.8481	9428801502.3343	2.4559e+05
87	314498.6984	-277294.2631	992461.6984	3254868.7369	9428801502.3343	2.4522e+05
88	314590.3014	-277334.3742	992553.3014	3254828.6258	9428801502.3343	2.4486e+05
89	314681.9043	-277374.4853	992644.9043	3254788.5147	9428801502.3343	2.4450e+05
90	314773.5072	-277414.5964	992736.5072	3254748.4036	9428801502.3343	2.4413e+05
91	314865.1102	-277454.7075	992828.1102	3254708.2925	9428801502.3343	2.4377e+05
92	314956.7131	-277494.8186	992919.7131	3254668.1814	9428801502.3343	2.4341e+05
93	315048.3161	-277534.9297	993011.3161	3254628.0703	9428801502.3343	2.4305e+05
94	315139.9190	-277575.0408	993102.9190	3254587.9592	9428801502.3343	2.4269e+05
95	315231.5219	-277615.1519	993194.5219	3254547.8481	9428801502.3343	2.4233e+05
96	315323.1249	-277655.2630	993286.1249	3254507.7370	9428801502.3343	2.4197e+05
97	315414.7278	-277695.3741	993377.7278	3254467.6259	9428801502.3343	2.4161e+05
98	315506.3308	-277735.4852	993469.3308	3254427.5148	9428801502.3343	2.4126e+05
99	315597.9337	-277775.5964	993560.9337	3254387.4036	9428801502.3343	2.4090e+05
100	315689.5367	-277815.7075	993652.5367	3254347.2925	9428801502.3343	2.4054e+05
101	315781.1396	-277855.8186	993744.1396	3254307.1814	9428801502.3343	2.4019e+05
102	315872.7425	-277895.9297	993835.7425	3254267.0703	9428801502.3343	2.3983e+05
103	315964.3455	-277936.0408	993927.3455	3254226.9592	9428801502.3343	2.3948e+05
104	316055.9484	-277976.1519	994018.9484	3254186.8481	9428801502.3343	2.3912e+05
105	316147.5514	-278016.2630	994110.5514	3254146.7370	9428801502.3343	2.3877e+05
106	316239.1543	-278056.3741	994202.1543	3254106.6259	9428801502.3343	2.3842e+05
107	316330.7572	-278096.4852	994293.7572	3254066.5148	9428801502.3343	2.3807e+05
108	316422.3602	-278136.5963	994385.3602	3254026.4037	9428801502.3343	2.3771e+05
109	316513.9631	-278176.7074	994476.9631	3253986.2926	9428801502.3343	2.3736e+05
110	316605.5661	-278216.8186	994568.5661	3253946.1814	9428801502.3343	2.3701e+05
111	316697.1690	-278256.9297	994660.1690	3253906.0703	9428801502.3343	2.3666e+05
112	316788.7720	-278297.0408	994751.7720	3253865.9592	9428801502.3343	2.3631e+05
113	316880.3749	-278337.1519	994843.3749	3253825.8481	9428801502.3343	2.3596e+05
114	316971.9778	-278377.2630	994934.9778	3253785.7370	9428801502.3343	2.3562e+05
115	317063.5808	-278417.3741	995026.5808	3253745.6259	9428801502.3343	2.3527e+05
116	317155.1837	-278457.4852	995118.1837	3253705.5148	9428801502.3343	2.3492e+05
117	317246.7867	-278497.5963	995209.7867	3253665.4037	9428801502.3343	2.3457e+05
118	317338.3896	-278537.7074	995301.3896	3253625.2926	9428801502.3343	2.3423e+05
119	317429.9926	-278577.8185	995392.9926	3253585.1815	9428801502.3343	2.3388e+05
120	317521.5955	-278617.9296	995484.5955	3253545.0704	9428801502.3343	2.3354e+05
121	317613.1984	-278658.0407	995576.1984	3253504.9593	9428801502.3343	2.3319e+05
122	317704.8014	-278698.1519	995667.8014	3253464.8481	9428801502.3343	2.3285e+05
123	317796.4043	-278738.2630	995759.4043	3253424.7370	9428801502.3343	2.3251e+05
124	317888.0073	-278778.3741	995851.0073	3253384.6259	9428801502.3343	2.3216e+05
125	317979.6102	-278818.4852	995942.6102	3253344.5148	9428801502.3343	2.3182e+05
126	318071.2131	-278858.5963	996034.2131	3253304.4037	9428801502.3343	2.3148e+05
127	318162.8161	-278898.7074	996125.8161	3253264.2926	9428801502.3343	2.3114e+05
128	318254.4190	-278938.8185	996217.4190	3253224.1815	9428801502.3343	2.3080e+05
129	318346.0220	-278978.9296	996309.0220	3253184.0704	9428801502.3343	2.3046e+05
130	318437.6249	-279019.0407	996400.6249	3253143.9593	9428801502.3343	2.3012e+05
131	318529.2279	-279059.1518	996492.2279	3253103.8482	9428801502.3343	2.2978e+05
132	318620.8308	-279099.2629	996583.8308	3253063.7371	9428801502.3343	2.2944e+05
133	318712.4337	-279139.3741	996675.4337	3253023.6259	9428801502.3343	2.2910e+05
134	318804.0367	-279179.4852	996767.0367	3252983.5148	9428801502.3343	2.2877e+05
135	318895.6396	-279219.5963	996858.6396	3252943.4037	9428801502.3343	2.2843e+05
136	318987.2426	-279259.7074	996950.2426	3252903.2926	9428801502.3343	2.2810e+05
137	319078.8455	-279299.8185	997041.8455	3252863.1815	9428801502.3343	2.2776e+05
138	319170.4484	-279339.9296	997133.4484	3252823.0704	9428801502.3343	2.2742e+05
139	319262.0514	-279380.0407	997225.0514	3252782.9593	9428801502.3343	2.2709e+05
140	319353.6543	-279420.1518	997316.6543	3252742.8482	9428801502.3343	2.2676e+05
141	319445.2573	-279460.2629	997408.2573	3252702.7371	9428801502.3343	2.2642e+05
142	319536.8602	-279500.3740	997499.8602	3252662.6260	9428801502.3343	2.2609e+05
143	319628.4632	-279540.4851	997591.4632	3252622.5149	9428801502.3343	2.2576e+05
144	319720.0661	-279580.5962	997683.0661	3252582.4038	9428801502.3343	2.2543e+05
145	319811.6690	-279620.7074	997774.6690	3252542.2926	9428801502.3343	2.2509e+05
146	319903.2720	-279660.8185	997866.2720	3252502.1815	9428801502.3343	2.2476e+05
147	319994.8749	-279700.9296	997957.8749	3252462.0704	9428801502.3343	2.2443e+05
148	320086.4779	-279741.0407	998049.4779	3252421.9593	9428801502.3343	2.2410e+05
149	320178.0808	-279781.1518	998141.0808	3252381.8482	9428801502.3343	2.2378e+05
150	320269.6838	-279821.2629	998232.6838	3252341.7371	9428801502.3343	2.2345e+05
151	320361.2867	-279861.3740	998324.2867	3252301.6260	9428801502.3343	2.2312e+05
152	320452.8896	-279901.4851	998415.8896	3252261.5149	9428801502.3343	2.2279e+05
153	320544.4926	-279941.5962	998507.4926	3252221.4038	9428801502.3343	2.2246e+05
154	320636.0955	-279981.7073	998599.0955	3252181.2927	9428801502.3343	2.2214e+05
155	320727.6985	-280021.8184	998690.6985	3252141.1816	9428801502.3343	2.2181e+05
156	320819.3014	-280061.9295	998782.3014	3252101.0705	9428801502.3343	2.2149e+05
157	320910.9043	-280102.0407	998873.9043	3252060.9593	9428801502.3343	2.2116e+05
158	321002.5073	-280142.1518	998965.5073	3252020.8482	9428801502.3343	2.2084e+05
159	321094.1102	-280182.2629	999057.1102	3251980.7371	9428801502.3343	2.2051e+05
160	321185.7132	-280222.3740	999148.7132	3251940.6260	9428801502.3343	2.2019e+05
161	321277.3161	-280262.4851	999240.3161	3251900.5149	9428801502.3343	2.1987e+05
162	321368.9191	-280302.5962	999331.9191	3251860.4038	9428801502.3343	2.1955e+05
163	321460.5220	-280342.7073	999423.5220	3251820.2927	9428801502.3343	2.1922e+05
164	321552.1249	-280382.8184	999515.1249	3251780.1816	9428801502.3343	2.1890e+05
165	321643.7279	-280422.9295	999606.7279	3251740.0705	9428801502.3343	2.1858e+05
166	321735.3308	-280463.0406	999698.3308	3251699.9594	9428801502.3343	2.1826e+05
167	321826.9338	-280503.1517	999789.9338	3251659.8483	9428801502.3343	2.1794e+05
168	321918.5367	-280543.2629	999881.5367	3251619.7371	9428801502.3343	2.1762e+05
169	322010.1396	-280583.3740	999973.1396	3251579.6260	9428801502.3343	2.1730e+05
170	322101.7426	-280623.4851	1000064.7426	3251539.5149	9428801502.3343	2.1699e+05
171	322193.3455	-280663.5962	1000156.3455	3251499.4038	9428801502.3343	2.1667e+05
172	322284.9485	-280703.7073	1000247.9485	3251459.2927	9428801502.3343	2.1635e+05
173	322376.5514	-280743.8184	1000339.5514	3251419.1816	9428801502.3343	2.1603e+05
174	322468.1544	-280783.9295	1000431.1544	3251379.0705	9428801502.3343	2.1572e+05
175	322559.7573	-280824.0406	1000522.7573	3251338.9594	9428801502.3343	2.1540e+05
176	322651.3602	-280864.1517	1000614.3602	3251298.8483	9428801502.3343	2.1509e+05
177	322742.9632	-280904.2628	1000705.9632	3251258.7372	9428801502.3343	2.1477e+05
178	322834.5661	-280944.3739	1000797.5661	3251218.6261	9428801502.3343	2.1446e+05
