x(m)	y(m)	z(m)	distfromvent(m)	ttlmassloading(kg/sq-m)	F(percent)	Mean(phi)	5phi	4phi	3phi	2phi	1phi	0phi	-1phi	-2phi	-3phi	-4phi
738000	3514000	0	62724.3	1.0329e-03	100.0000	3.0078	5.1149e-07	7.0519e-06	1.0253e-03	6.5013e-16	6.3582e-14	1.4563e-14	1.1185e-17	1.2298e-21	1.2537e-27	2.6197e-36
739000	3514000	0	63682.1	9.3243e-04	100.0000	3.0081	5.1314e-07	6.5402e-06	9.2538e-04	1.1447e-16	1.0918e-14	2.3931e-15	1.6207e-18	1.5583e-22	1.3008e-28	2.0320e-37
740000	3514000	0	64641.2	8.3745e-04	100.0000	3.0085	5.1441e-07	6.0792e-06	8.3086e-04	1.9354e-17	1.7854e-15	3.7249e-16	2.2117e-19	1.8540e-23	1.2643e-29	1.4736e-38
741000	3514000	0	65601.5	7.4866e-04	100.0000	3.0089	5.1530e-07	5.6634e-06	7.4249e-04	3.1426e-18	2.7807e-16	5.4923e-17	2.8425e-20	2.0711e-24	1.1509e-30	9.9902e-40
742000	3514000	0	66563.0	6.6651e-04	100.0000	3.0095	5.1581e-07	5.2880e-06	6.6071e-04	4.9006e-19	4.1252e-17	7.6716e-18	3.4404e-21	2.1723e-25	9.8126e-32	6.3287e-41
743000	3514000	0	67525.6	5.9119e-04	100.0000	3.0101	5.1594e-07	4.9486e-06	5.8572e-04	7.3391e-20	5.8302e-18	1.0152e-18	3.9217e-22	2.1392e-26	7.8366e-33	3.7345e-42
744000	3514000	0	68489.3	5.2268e-04	100.0000	3.0109	5.1571e-07	4.6415e-06	5.1752e-04	1.0555e-20	7.8513e-19	1.2728e-19	4.2102e-23	1.9780e-27	5.8620e-34	1.8637e-43
745000	3514000	0	69454.0	4.6081e-04	100.0000	3.0117	5.1511e-07	4.3636e-06	4.5593e-04	1.4580e-21	1.0076e-19	1.5119e-20	4.2568e-24	1.7172e-28	4.1072e-35	0.0000e+00
746000	3514000	0	70419.7	4.0529e-04	100.0000	3.0127	5.1415e-07	4.1119e-06	4.0066e-04	1.9343e-22	1.2327e-20	1.7017e-21	4.0536e-25	1.3998e-29	2.6953e-36	0.0000e+00
747000	3514000	0	71386.3	3.5574e-04	100.0000	3.0138	5.1285e-07	3.8840e-06	3.5134e-04	2.4646e-23	1.4378e-21	1.8150e-22	3.6355e-26	1.0713e-30	1.6568e-37	0.0000e+00
748000	3514000	0	72353.8	3.1174e-04	100.0000	3.0151	5.1121e-07	3.6776e-06	3.0755e-04	3.0161e-24	1.5993e-22	1.8345e-23	3.0709e-27	7.6987e-32	9.5384e-39	0.0000e+00
749000	3514000	0	73322.2	2.7284e-04	100.0000	3.0165	5.0925e-07	3.4908e-06	2.6884e-04	3.5454e-25	1.6971e-23	1.7572e-24	2.4432e-28	5.1945e-33	5.1434e-40	0.0000e+00
750000	3514000	0	74291.5	2.3857e-04	100.0000	3.0182	5.0696e-07	3.3219e-06	2.3474e-04	4.0032e-26	1.7185e-24	1.5952e-25	1.8307e-29	3.2908e-34	2.5962e-41	0.0000e+00
650000	3513000	31	33899.1	2.3281e-08	100.0000	4.7538	1.7550e-08	5.7309e-09	1.1815e-16	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
651000	3513000	28	33079.1	2.6042e-08	100.0000	4.7260	1.8906e-08	7.1362e-09	3.2895e-16	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
652000	3513000	26	32269.1	2.9064e-08	100.0000	4.6968	2.0253e-08	8.8109e-09	8.9704e-16	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
653000	3513000	25	31470.2	3.2449e-08	100.0000	4.6662	2.1618e-08	1.0831e-08	2.4115e-15	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
654000	3513000	24	30683.0	3.6290e-08	100.0000	4.6340	2.3008e-08	1.3281e-08	6.3958e-15	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
655000	3513000	23	29908.5	4.0707e-08	100.0000	4.6002	2.4434e-08	1.6273e-08	1.6748e-14	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
656000	3513000	23	29147.8	4.5831e-08	100.0000	4.5649	2.5890e-08	1.9941e-08	4.3229e-14	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
657000	3513000	24	28401.9	5.1834e-08	100.0000	4.5281	2.7376e-08	2.4458e-08	1.0981e-13	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
658000	3513000	24	27672.0	5.8942e-08	100.0000	4.4901	2.8885e-08	3.0056e-08	2.7418e-13	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
659000	3513000	25	26959.5	6.7621e-08	100.0000	4.4505	3.0465e-08	3.7155e-08	6.7641e-13	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
660000	3513000	26	26265.8	7.8440e-08	100.0000	4.4097	3.2137e-08	4.6301e-08	1.6499e-12	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
661000	3513000	26	25592.3	9.2520e-08	100.0000	4.3674	3.3998e-08	5.8518e-08	4.0137e-12	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
662000	3513000	25	24940.7	1.1172e-07	100.0000	4.3238	3.6182e-08	7.5532e-08	9.8451e-12	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
663000	3513000	23	24312.8	1.3923e-07	100.0000	4.2790	3.8869e-08	1.0034e-07	2.4820e-11	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
664000	3513000	18	23710.5	1.7980e-07	100.0000	4.2341	4.2164e-08	1.3757e-07	6.6824e-11	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
665000	3513000	12	23135.7	2.4121e-07	100.0000	4.1904	4.6139e-08	1.9486e-07	2.1344e-10	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
666000	3513000	6	22590.6	3.2937e-07	100.0000	4.1501	5.0157e-08	2.7848e-07	7.3192e-10	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
