i	x_from_vent	y_from_vent	x_coord	y_coord	cloud_sigma2	mass_released
0	2234.1450	-3299.7373	680197.1450	3528863.2627	1296047.2970	1.4562e+07
1	2561.3640	-3846.1825	680524.3640	3528316.8175	1405027.8965	1.4321e+07
2	2900.1194	-4403.5424	680863.1194	3527759.4576	1514298.4957	1.4085e+07
3	3260.1562	-4961.7968	681223.1562	3527201.2032	1626266.8589	1.3853e+07
4	3642.3254	-5515.7380	681605.3254	3526647.2620	1742793.1460	1.3624e+07
5	4043.3968	-6061.4280	682006.3968	3526101.5720	1864435.1524	1.3400e+07
6	4458.9926	-6595.6438	682421.9926	3525567.3562	1991048.4355	1.3179e+07
7	4891.0288	-7117.0328	682854.0288	3525045.9672	2122044.0622	1.2962e+07
8	5332.8700	-7618.9491	683295.8700	3524544.0509	2256286.3947	1.2749e+07
9	5773.8195	-8099.9237	683736.8195	3524063.0763	2392987.3309	1.2539e+07
10	6215.5561	-8559.8079	684178.5561	3523603.1921	2531767.1840	1.2334e+07
11	6660.6753	-8997.8880	684623.6753	3523165.1120	2672425.1664	1.2131e+07
12	7100.2640	-9418.9329	685063.2640	3522744.0671	2814847.1335	1.1932e+07
13	7543.9845	-9819.5511	685506.9845	3522343.4489	2958682.0887	1.1736e+07
14	7982.8908	-10204.3573	685945.8908	3521958.6427	3103768.6148	1.1544e+07
15	8421.2726	-10572.0213	686384.2726	3521590.9787	3249787.6248	1.1355e+07
16	8856.6905	-10924.0273	686819.6905	3521238.9727	3396489.4150	1.1169e+07
17	9289.2566	-11260.9432	687252.2566	3520902.0568	3543594.2515	1.0986e+07
18	9718.2957	-11583.2717	687681.2957	3520579.7283	3690830.0036	1.0807e+07
19	10144.2650	-11891.2245	688107.2650	3520271.7755	3837913.7720	1.0630e+07
20	10564.0587	-12186.8979	688527.0587	3519976.1021	3984604.9205	1.0457e+07
21	10982.4564	-12467.4218	688945.4564	3519695.5782	4130574.5810	1.0286e+07
22	11390.4496	-12739.3139	689353.4496	3519423.6861	4275658.4422	1.0118e+07
23	11799.9499	-12993.9627	689762.9499	3519169.0373	4419448.2949	9.9533e+06
24	12199.2399	-13240.4566	690162.2399	3518922.5434	4561821.6471	9.7912e+06
25	12592.9124	-13475.2831	690555.9124	3518687.7169	4702464.4811	9.6318e+06
26	12982.2592	-13697.6281	690945.2592	3518465.3719	4841107.5808	9.4751e+06
27	13361.2256	-13912.6850	691324.2256	3518250.3150	4977576.0657	9.3210e+06
28	13735.7192	-14116.3536	691698.7192	3518046.6464	5111556.3199	9.1695e+06
29	14103.2718	-14310.5951	692066.2718	3517852.4049	5242901.7004	9.0206e+06
30	14460.2919	-14498.2455	692423.2919	3517664.7545	5368229.0555	8.8742e+06
31	14810.3526	-14678.4941	692773.3526	3517484.5059	5494298.5996	8.7302e+06
32	15153.9945	-14851.3677	693116.9945	3517311.6323	5617463.5936	8.5887e+06
33	15487.1546	-15018.5524	693450.1546	3517144.4476	5737630.5382	8.4495e+06
34	15810.0395	-15180.1675	693773.0395	3516982.8325	5854664.6487	8.3127e+06
35	16128.0519	-15335.5905	694091.0519	3516827.4095	5968371.5245	8.1782e+06
36	16437.0775	-15485.5414	694400.0775	3516677.4586	6078694.7945	8.0459e+06
37	16736.1087	-15630.2941	694699.1087	3516532.7059	6185544.9134	7.9159e+06
38	17025.3219	-15769.9492	694988.3219	3516393.0508	6288824.4025	7.7880e+06
39	17307.1211	-15904.2209	695270.1211	3516258.7791	6388413.0522	7.6623e+06
40	17582.1649	-16033.1156	695545.1649	3516129.8844	6484221.1667	7.5387e+06
41	17847.6024	-16157.2338	695810.6024	3516005.7662	6576212.9720	7.4171e+06
42	18103.5799	-16276.6584	696066.5799	3515886.3416	6664318.1407	7.2976e+06
43	18350.2359	-16391.4688	696313.2359	3515771.5312	6748472.1234	7.1801e+06
44	18587.7008	-16501.7404	696550.7008	3515661.2596	6828615.8449	7.0645e+06
45	18818.7061	-16607.0233	696781.7061	3515555.9767	6904660.0162	6.9509e+06
46	19041.5847	-16707.7432	697004.5847	3515455.2568	6976579.9827	6.8391e+06
47	19255.3820	-16804.1789	697218.3820	3515358.8211	7044346.1197	6.7293e+06
48	19460.2043	-16896.3921	697423.2043	3515266.6079	7107918.9259	6.6212e+06
49	19656.1522	-16984.4421	697619.1522	3515178.5579	7167263.3868	6.5150e+06
50	19843.3203	-17068.3851	697806.3203	3515094.6149	7222348.8539	6.4105e+06
51	20021.7976	-17148.2751	697984.7976	3515014.7249	7273148.9422	6.3078e+06
52	20191.6680	-17224.1633	698154.6680	3514938.8367	7319641.4442	6.2067e+06
53	20353.0104	-17296.0990	698316.0104	3514866.9010	7361808.2580	6.1074e+06
54	20505.8992	-17364.1290	698468.8992	3514798.8710	7399635.3281	6.0097e+06
55	20617.9588	-17413.6361	698580.9588	3514749.3639	7430398.8160	5.9136e+06
56	20717.9509	-17457.6309	698680.9509	3514705.3691	7456492.7869	5.8191e+06
57	20816.4095	-17500.8868	698779.4095	3514662.1132	7478791.0001	5.7262e+06
58	20913.3364	-17543.4179	698876.3364	3514619.5821	7497290.4831	5.6348e+06
59	21008.7329	-17585.2375	698971.7329	3514577.7625	7511992.4081	5.5449e+06
60	21102.5999	-17626.3590	699065.5999	3514536.6410	7522902.0700	5.4565e+06
61	21194.9377	-17666.7954	699157.9377	3514496.2046	7530028.8700	5.3696e+06
62	21286.5407	-17706.9065	699249.5407	3514456.0935	7530028.8700	5.2841e+06
63	21378.1436	-17747.0176	699341.1436	3514415.9824	7530028.8700	5.2000e+06
64	21469.7465	-17787.1287	699432.7465	3514375.8713	7530028.8700	5.1174e+06
65	21561.3495	-17827.2399	699524.3495	3514335.7601	7530028.8700	5.0360e+06
66	21652.9524	-17867.3510	699615.9524	3514295.6490	7530028.8700	4.9561e+06
67	21744.5554	-17907.4621	699707.5554	3514255.5379	7530028.8700	4.8774e+06
68	21836.1583	-17947.5732	699799.1583	3514215.4268	7530028.8700	4.8000e+06
69	21927.7613	-17987.6843	699890.7613	3514175.3157	7530028.8700	4.7239e+06
70	22019.3642	-18027.7954	699982.3642	3514135.2046	7530028.8700	4.6491e+06
71	22110.9671	-18067.9065	700073.9671	3514095.0935	7530028.8700	4.5755e+06
72	22202.5701	-18108.0176	700165.5701	3514054.9824	7530028.8700	4.5031e+06
73	22294.1730	-18148.1287	700257.1730	3514014.8713	7530028.8700	4.4318e+06
74	22385.7760	-18188.2398	700348.7760	3513974.7602	7530028.8700	4.3618e+06
75	22477.3789	-18228.3509	700440.3789	3513934.6491	7530028.8700	4.2929e+06
76	22568.9819	-18268.4621	700531.9819	3513894.5379	7530028.8700	4.2251e+06
77	22660.5848	-18308.5732	700623.5848	3513854.4268	7530028.8700	4.1585e+06
78	22752.1877	-18348.6843	700715.1877	3513814.3157	7530028.8700	4.0929e+06
79	22843.7907	-18388.7954	700806.7907	3513774.2046	7530028.8700	4.0284e+06
80	22935.3936	-18428.9065	700898.3936	3513734.0935	7530028.8700	3.9650e+06
81	23026.9966	-18469.0176	700989.9966	3513693.9824	7530028.8700	3.9026e+06
82	23118.5995	-18509.1287	701081.5995	3513653.8713	7530028.8700	3.8412e+06
83	23210.2024	-18549.2398	701173.2024	3513613.7602	7530028.8700	3.7808e+06
84	23301.8054	-18589.3509	701264.8054	3513573.6491	7530028.8700	3.7214e+06
85	23393.4083	-18629.4620	701356.4083	3513533.5380	7530028.8700	3.6630e+06
