i	x_from_vent	y_from_vent	x_coord	y_coord	cloud_sigma2	mass_released
0	486.2699	-718.3911	678449.2699	3531444.6089	289405.7521	2.6958e+07
1	567.5678	-854.1462	678530.5678	3531308.8538	331283.9793	2.5287e+07
2	656.6583	-1001.1996	678619.6583	3531161.8004	377105.6200	2.3721e+07
3	754.3115	-1152.9379	678717.3115	3531010.0621	428577.0764	2.2253e+07
4	860.2048	-1306.6669	678823.2048	3530856.3331	487247.5867	2.0876e+07
5	973.4018	-1460.8271	678936.4018	3530702.1729	553583.9659	1.9586e+07
6	1092.8107	-1614.2545	679055.8107	3530548.7455	627404.3703	1.8376e+07
7	1218.6600	-1766.2479	679181.6600	3530396.7521	708111.9065	1.7241e+07
8	1349.3665	-1915.0844	679312.3665	3530247.9156	794505.2747	1.6177e+07
9	1482.3943	-2060.1546	679445.3943	3530102.8454	885547.4048	1.5180e+07
10	1617.8280	-2201.0891	679580.8280	3529961.9109	980646.0751	1.4244e+07
11	1755.9961	-2337.4850	679718.9961	3529825.5150	1079448.8972	1.3367e+07
12	1894.8999	-2470.2228	679857.8999	3529692.7772	1181630.0399	1.2544e+07
13	2036.3910	-2598.4040	679999.3910	3529564.5960	1286804.1271	1.1772e+07
14	2178.5108	-2722.9477	680141.5108	3529440.0523	1394645.6141	1.1048e+07
15	2322.0379	-2843.4707	680285.0379	3529319.5293	1504793.3749	1.0369e+07
16	2466.3763	-2960.2359	680429.3763	3529202.7641	1616913.4958	9.7326e+06
17	2611.4669	-3073.3117	680574.4669	3529089.6883	1730671.5493	9.1353e+06
18	2757.0917	-3182.7686	680720.0917	3528980.2314	1845742.6925	8.5749e+06
19	2903.2746	-3288.6173	680866.2746	3528874.3827	1961806.1578	8.0493e+06
20	3049.3150	-3391.2906	681012.3150	3528771.7094	2078559.5222	7.5562e+06
21	3196.1233	-3490.1438	681159.1233	3528672.8562	2195682.4340	7.0935e+06
22	3341.8130	-3586.5765	681304.8130	3528576.4235	2312905.8230	6.6595e+06
23	3488.7416	-3678.7158	681451.7416	3528484.2842	2429899.4535	6.2522e+06
24	3634.4867	-3768.5195	681597.4867	3528394.4805	2546417.1305	5.8701e+06
25	3779.9263	-3855.2281	681742.9263	3528307.7719	2662165.5980	5.5115e+06
26	3925.2752	-3938.6660	681888.2752	3528224.3340	2776869.2727	5.1751e+06
