i	x_from_vent	y_from_vent	x_coord	y_coord	cloud_sigma2	mass_released
0	1119.0172	-1653.0608	679082.0172	3530509.9392	653274.7312	2.7534e+07
1	1289.7646	-1938.1971	679252.7646	3530224.8029	719560.2485	2.6686e+07
2	1469.7480	-2234.6266	679432.7480	3529928.3734	788481.0356	2.5864e+07
3	1662.9998	-2534.4765	679625.9998	3529628.5235	861994.0634	2.5068e+07
4	1869.6268	-2834.1258	679832.6268	3529328.8742	941759.0855	2.4297e+07
5	2087.8570	-3131.1362	680050.8570	3529031.8638	1028273.6867	2.3550e+07
6	2315.3972	-3423.5797	680278.3972	3528739.4203	1121367.3560	2.2827e+07
7	2553.1057	-3710.5242	680516.1057	3528452.4758	1220446.6224	2.2127e+07
8	2797.5463	-3988.4267	680760.5463	3528174.5733	1324330.8526	2.1448e+07
9	3043.1723	-4256.3264	681006.1723	3527906.6736	1432068.9700	2.0791e+07
10	3290.6541	-4513.9353	681253.6541	3527649.0647	1543146.5752	2.0154e+07
11	3541.1612	-4760.7418	681504.1612	3527402.2582	1657267.6091	1.9538e+07
12	3790.1329	-4999.0160	681753.1329	3527163.9840	1774179.1487	1.8940e+07
13	4042.3132	-5226.9751	682005.3132	3526936.0249	1893512.4664	1.8361e+07
14	4293.1535	-5446.8588	682256.1535	3526716.1412	2014997.6792	1.7801e+07
15	4544.7327	-5657.9487	682507.7327	3526505.0513	2138290.7722	1.7258e+07
16	4795.7715	-5860.9447	682758.7715	3526302.0553	2263087.3369	1.6732e+07
17	5046.2723	-6056.0971	683009.2723	3526106.9029	2389072.8384	1.6222e+07
18	5295.8483	-6243.6306	683258.8483	3525919.3694	2515941.2875	1.5728e+07
19	5544.6826	-6423.6297	683507.6826	3525739.3703	2643385.8605	1.5249e+07
20	5791.1802	-6597.1261	683754.1802	3525565.8739	2771125.2088	1.4786e+07
21	6037.6914	-6762.6723	684000.6914	3525400.3277	2898838.0187	1.4337e+07
22	6279.6750	-6923.5176	684242.6750	3525239.4824	3026289.2348	1.3902e+07
23	6523.0519	-7075.3502	684486.0519	3525087.6498	3153125.6933	1.3480e+07
24	6761.9305	-7222.7102	684724.9305	3524940.2898	3279140.8200	1.3071e+07
25	6998.5759	-7363.8397	684961.5759	3524799.1603	3404035.9322	1.2675e+07
26	7233.6043	-7498.3318	685196.6043	3524664.6682	3527538.3544	1.2292e+07
27	7463.9601	-7628.7851	685426.9601	3524534.2149	3649426.1652	1.1920e+07
28	7692.5700	-7753.1531	685655.5700	3524409.8469	3769411.6671	1.1560e+07
29	7918.1743	-7872.4211	685881.1743	3524290.5789	3887325.5428	1.1211e+07
30	8138.9127	-7988.0911	686101.9127	3524174.9089	3999757.5938	1.0872e+07
31	8356.4497	-8099.9590	686319.4497	3524063.0410	4113480.8397	1.0545e+07
32	8571.0348	-8208.0475	686534.0348	3523954.9525	4224838.9118	1.0227e+07
33	8780.6215	-8313.1997	686743.6215	3523849.8003	4333700.5986	9.9190e+06
34	8985.2989	-8415.4759	686948.2989	3523747.5241	4439920.3563	9.6206e+06
35	9187.7550	-8514.5658	687150.7550	3523648.4342	4543328.6241	9.3313e+06
36	9385.9197	-8610.8308	687348.9197	3523552.1692	4643830.1825	9.0510e+06
37	9579.2771	-8704.4096	687542.2771	3523458.5904	4741318.1369	8.7793e+06
38	9767.9038	-8795.3544	687730.9038	3523367.6456	4835686.1717	8.5160e+06
39	9952.9907	-8883.5245	687915.9907	3523279.4755	4926820.8268	8.2607e+06
40	10134.8567	-8968.9257	688097.8567	3523194.0743	5014627.8343	8.0133e+06
41	10312.0661	-9051.8608	688275.0661	3523111.1392	5099043.5710	7.7735e+06
42	10484.6827	-9132.3742	688447.6827	3523030.6258	5179990.5997	7.5411e+06
43	10652.7664	-9210.5085	688615.7664	3522952.4915	5257397.6417	7.3157e+06
44	10816.3735	-9286.3048	688779.3735	3522876.6952	5331199.2541	7.0973e+06
45	10976.8614	-9359.5413	688939.8614	3522803.4587	5401317.8378	6.8855e+06
46	11133.3884	-9430.4343	689096.3884	3522732.5657	5467710.9310	6.6802e+06
47	11285.4691	-9499.1266	689248.4691	3522663.8734	5530336.2933	6.4812e+06
48	11433.1494	-9565.6529	689396.1494	3522597.3471	5589149.3530	6.2883e+06
49	11576.4720	-9630.0463	689539.4720	3522532.9537	5644110.3023	6.1012e+06
50	11715.4771	-9692.3387	689678.4771	3522470.6613	5695183.9610	5.9199e+06
51	11850.2025	-9752.5610	689813.2025	3522410.4390	5742339.6601	5.7441e+06
52	11980.6833	-9810.7425	689943.6833	3522352.2575	5785551.1418	5.5736e+06
53	12106.9525	-9866.9118	690069.9525	3522296.0882	5824796.4746	5.4083e+06
54	12229.0410	-9921.0962	690192.0410	3522241.9038	5860057.9812	5.2481e+06
55	12330.7547	-9965.9911	690293.7547	3522197.0089	5889965.2883	5.0927e+06
56	12426.4685	-10008.1056	690389.4685	3522154.8944	5915709.1390	4.9420e+06
57	12521.4434	-10049.8306	690484.4434	3522113.1694	5937722.2630	4.7959e+06
58	12615.6747	-10091.1770	690578.6747	3522071.8230	5956001.1420	4.6542e+06
59	12709.1572	-10132.1554	690672.1572	3522030.8446	5970546.4315	4.5169e+06
