i	x_from_vent	y_from_vent	x_coord	y_coord	cloud_sigma2	mass_released
784	1300918.6957	-1125727.9075	1978881.6957	2406435.0925	275984985431.8572	1.9988e+04
785	1301010.2986	-1125768.0186	1978973.2986	2406394.9814	275984985431.8572	1.9981e+04
786	1301101.9016	-1125808.1297	1979064.9016	2406354.8703	275984985431.8572	1.9973e+04
787	1301193.5045	-1125848.2409	1979156.5045	2406314.7591	275984985431.8572	1.9966e+04
788	1301285.1074	-1125888.3520	1979248.1074	2406274.6480	275984985431.8572	1.9958e+04
789	1301376.7104	-1125928.4631	1979339.7104	2406234.5369	275984985431.8572	1.9951e+04
790	1301468.3133	-1125968.5742	1979431.3133	2406194.4258	275984985431.8572	1.9944e+04
791	1301559.9163	-1126008.6853	1979522.9163	2406154.3147	275984985431.8572	1.9936e+04
792	1301651.5192	-1126048.7964	1979614.5192	2406114.2036	275984985431.8572	1.9929e+04
793	1301743.1221	-1126088.9075	1979706.1221	2406074.0925	275984985431.8572	1.9921e+04
794	1301834.7251	-1126129.0186	1979797.7251	2406033.9814	275984985431.8572	1.9914e+04
795	1301926.3280	-1126169.1297	1979889.3280	2405993.8703	275984985431.8572	1.9907e+04
796	1302017.9310	-1126209.2408	1979980.9310	2405953.7592	275984985431.8572	1.9899e+04
797	1302109.5339	-1126249.3519	1980072.5339	2405913.6481	275984985431.8572	1.9892e+04
798	1302201.1369	-1126289.4631	1980164.1369	2405873.5369	275984985431.8572	1.9884e+04
799	1302292.7398	-1126329.5742	1980255.7398	2405833.4258	275984985431.8572	1.9877e+04
800	1302384.3427	-1126369.6853	1980347.3427	2405793.3147	275984985431.8572	1.9870e+04
801	1302475.9457	-1126409.7964	1980438.9457	2405753.2036	275984985431.8572	1.9862e+04
802	1302567.5486	-1126449.9075	1980530.5486	2405713.0925	275984985431.8572	1.9855e+04
803	1302659.1516	-1126490.0186	1980622.1516	2405672.9814	275984985431.8572	1.9847e+04
804	1302750.7545	-1126530.1297	1980713.7545	2405632.8703	275984985431.8572	1.9840e+04
805	1302842.3574	-1126570.2408	1980805.3574	2405592.7592	275984985431.8572	1.9833e+04
806	1302933.9604	-1126610.3519	1980896.9604	2405552.6481	275984985431.8572	1.9825e+04
807	1303025.5633	-1126650.4630	1980988.5633	2405512.5370	275984985431.8572	1.9818e+04
808	1303117.1663	-1126690.5741	1981080.1663	2405472.4259	275984985431.8572	1.9810e+04
809	1303208.7692	-1126730.6852	1981171.7692	2405432.3148	275984985431.8572	1.9803e+04
810	1303300.3722	-1126770.7964	1981263.3722	2405392.2036	275984985431.8572	1.9796e+04
811	1303391.9751	-1126810.9075	1981354.9751	2405352.0925	275984985431.8572	1.9788e+04
812	1303483.5780	-1126851.0186	1981446.5780	2405311.9814	275984985431.8572	1.9781e+04
813	1303575.1810	-1126891.1297	1981538.1810	2405271.8703	275984985431.8572	1.9774e+04
814	1303666.7839	-1126931.2408	1981629.7839	2405231.7592	275984985431.8572	1.9766e+04
815	1303758.3869	-1126971.3519	1981721.3869	2405191.6481	275984985431.8572	1.9759e+04
816	1303849.9898	-1127011.4630	1981812.9898	2405151.5370	275984985431.8572	1.9752e+04
817	1303941.5928	-1127051.5741	1981904.5928	2405111.4259	275984985431.8572	1.9744e+04
818	1304033.1957	-1127091.6852	1981996.1957	2405071.3148	275984985431.8572	1.9737e+04
819	1304124.7986	-1127131.7963	1982087.7986	2405031.2037	275984985431.8572	1.9730e+04
820	1304216.4016	-1127171.9074	1982179.4016	2404991.0926	275984985431.8572	1.9722e+04
821	1304308.0045	-1127212.0185	1982271.0045	2404950.9815	275984985431.8572	1.9715e+04
822	1304399.6075	-1127252.1297	1982362.6075	2404910.8703	275984985431.8572	1.9708e+04
823	1304491.2104	-1127292.2408	1982454.2104	2404870.7592	275984985431.8572	1.9700e+04
824	1304582.8133	-1127332.3519	1982545.8133	2404830.6481	275984985431.8572	1.9693e+04
825	1304674.4163	-1127372.4630	1982637.4163	2404790.5370	275984985431.8572	1.9686e+04
826	1304766.0192	-1127412.5741	1982729.0192	2404750.4259	275984985431.8572	1.9678e+04
827	1304857.6222	-1127452.6852	1982820.6222	2404710.3148	275984985431.8572	1.9671e+04
828	1304949.2251	-1127492.7963	1982912.2251	2404670.2037	275984985431.8572	1.9664e+04
829	1305040.8281	-1127532.9074	1983003.8281	2404630.0926	275984985431.8572	1.9656e+04
830	1305132.4310	-1127573.0185	1983095.4310	2404589.9815	275984985431.8572	1.9649e+04
831	1305224.0339	-1127613.1296	1983187.0339	2404549.8704	275984985431.8572	1.9642e+04
832	1305315.6369	-1127653.2407	1983278.6369	2404509.7593	275984985431.8572	1.9635e+04
833	1305407.2398	-1127693.3519	1983370.2398	2404469.6481	275984985431.8572	1.9627e+04
834	1305498.8428	-1127733.4630	1983461.8428	2404429.5370	275984985431.8572	1.9620e+04
835	1305590.4457	-1127773.5741	1983553.4457	2404389.4259	275984985431.8572	1.9613e+04
836	1305682.0486	-1127813.6852	1983645.0486	2404349.3148	275984985431.8572	1.9605e+04
837	1305773.6516	-1127853.7963	1983736.6516	2404309.2037	275984985431.8572	1.9598e+04
838	1305865.2545	-1127893.9074	1983828.2545	2404269.0926	275984985431.8572	1.9591e+04
839	1305956.8575	-1127934.0185	1983919.8575	2404228.9815	275984985431.8572	1.9584e+04
840	1306048.4604	-1127974.1296	1984011.4604	2404188.8704	275984985431.8572	1.9576e+04
841	1306140.0634	-1128014.2407	1984103.0634	2404148.7593	275984985431.8572	1.9569e+04
842	1306231.6663	-1128054.3518	1984194.6663	2404108.6482	275984985431.8572	1.9562e+04
843	1306323.2692	-1128094.4629	1984286.2692	2404068.5371	275984985431.8572	1.9554e+04
844	1306414.8722	-1128134.5740	1984377.8722	2404028.4260	275984985431.8572	1.9547e+04
845	1306506.4751	-1128174.6852	1984469.4751	2403988.3148	275984985431.8572	1.9540e+04
846	1306598.0781	-1128214.7963	1984561.0781	2403948.2037	275984985431.8572	1.9533e+04
