i	x_from_vent	y_from_vent	x_coord	y_coord	cloud_sigma2	mass_released
0	245.0797	-362.3877	678208.0797	3531800.6123	149953.9588	9.2843e+06
1	292.8664	-442.1790	678255.8664	3531720.8210	182688.2899	8.1844e+06
2	348.0175	-533.4552	678311.0175	3531629.5448	219884.5977	7.2160e+06
3	410.0775	-630.0470	678373.0775	3531532.9530	263149.1721	6.3631e+06
4	478.5665	-729.5902	678441.5665	3531433.4098	313986.3058	5.6119e+06
5	552.8595	-830.8357	678515.8595	3531332.1643	372848.0934	4.9502e+06
6	632.3062	-932.8850	678595.3062	3531230.1150	439545.3234	4.3671e+06
7	716.9212	-1035.1317	678679.9212	3531127.8683	513480.5445	3.8533e+06
8	805.7946	-1136.4943	678768.7946	3531026.5057	593440.2926	3.4004e+06
9	897.4597	-1236.4418	678860.4597	3530926.5582	678349.0069	3.0013e+06
10	991.7901	-1334.5759	678954.7901	3530828.4241	767586.0207	2.6493e+06
11	1088.8216	-1430.5403	679051.8216	3530732.4597	860779.4745	2.3390e+06
12	1187.4509	-1524.6610	679150.4509	3530638.3390	957570.6019	2.0653e+06
13	1288.5164	-1616.4015	679251.5164	3530546.5985	1057573.4856	1.8239e+06
14	1390.9636	-1706.1540	679353.9636	3530456.8460	1160436.1788	1.6110e+06
15	1495.1153	-1793.6733	679458.1153	3530369.3267	1265793.6473	1.4231e+06
16	1600.6144	-1879.0490	679563.6144	3530283.9510	1373299.3773	1.2573e+06
17	1707.3775	-1962.2814	679670.3775	3530200.7186	1482611.4872	1.1110e+06
18	1815.2463	-2043.3791	679778.2463	3530119.6209	1593397.6319	9.8186e+05
19	1924.1874	-2122.3261	679887.1874	3530040.6739	1705332.0534	8.6783e+05
20	2033.8084	-2199.3225	679996.8084	3529963.6775	1818102.5097	7.6716e+05
21	2144.5249	-2274.0332	680107.5249	3529888.9668	1931391.9452	6.7826e+05
22	2255.3567	-2347.1489	680218.3567	3529815.8511	2044912.9253	5.9974e+05
23	2367.4478	-2417.7267	680330.4478	3529745.2733	2158351.2726	5.3038e+05
24	2479.5539	-2486.7416	680442.5539	3529676.2584	2271438.5617	4.6910e+05
25	2592.0829	-2553.8121	680555.0829	3529609.1879	2383886.4907	4.1496e+05
26	2705.1123	-2618.8507	680668.1123	3529544.1493	2495419.2003	3.6712e+05
27	2817.9815	-2682.4194	680780.9815	3529480.5806	2605780.0185	3.2483e+05
28	2931.2391	-2744.0836	680894.2391	3529418.9164	2714699.6950	2.8745e+05
29	3044.5901	-2804.0623	681007.5901	3529358.9377	2821991.8926	2.5440e+05
30	3157.5565	-2862.8099	681120.5565	3529300.1901	2924226.2948	2.2519e+05
31	3270.2802	-2920.5956	681233.2802	3529242.4044	3028184.8498	1.9935e+05
32	3382.7794	-2977.4380	681345.7794	3529185.5620	3130203.4631	1.7650e+05
33	3494.6176	-3033.5215	681457.6176	3529129.4785	3230122.5152	1.5629e+05
34	3605.7912	-3088.8597	681568.7912	3529074.1403	3327787.9515	1.3840e+05
35	3716.8195	-3143.3792	681679.8195	3529019.6208	3423048.0059	1.2258e+05
36	3827.2669	-3197.1660	681790.2669	3528965.8340	3515778.2621	1.0858e+05
37	3937.0113	-3250.2540	681900.0113	3528912.7460	3605858.5252	9.6195e+04
