calc_step	x	y	z	R	time
2255	19579.0143	-9321.4843	3518.8322	2108.7651	873.9735
2256	19588.1746	-9325.4955	3518.8322	2108.7651	874.3473
2257	19597.3349	-9329.5066	3518.8322	2108.7651	874.7211
2258	19606.4952	-9333.5177	3518.8322	2108.7651	875.0949
2259	19615.6555	-9337.5288	3518.8322	2108.7651	875.4687
2260	19624.8158	-9341.5399	3518.8322	2108.7651	875.8425
2261	19633.9761	-9345.5510	3518.8322	2108.7651	876.2162
2262	19643.1364	-9349.5621	3518.8322	2108.7651	876.5900
2263	19652.2967	-9353.5732	3518.8322	2108.7651	876.9638
2264	19661.4569	-9357.5843	3518.8322	2108.7651	877.3376
2265	19670.6172	-9361.5954	3518.8322	2108.7651	877.7114
2266	19679.7775	-9365.6066	3518.8322	2108.7651	878.0852
2267	19688.9378	-9369.6177	3518.8322	2108.7651	878.4590
2268	19698.0981	-9373.6288	3518.8322	2108.7651	878.8327
2269	19707.2584	-9377.6399	3518.8322	2108.7651	879.2065
2270	19716.4187	-9381.6510	3518.8322	2108.7651	879.5803
2271	19725.5790	-9385.6621	3518.8322	2108.7651	879.9541
2272	19734.7393	-9389.6732	3518.8322	2108.7651	880.3279
2273	19743.8996	-9393.6843	3518.8322	2108.7651	880.7017
2274	19753.0599	-9397.6954	3518.8322	2108.7651	881.0755
2275	19762.2202	-9401.7066	3518.8322	2108.7651	881.4492
2276	19771.3805	-9405.7177	3518.8322	2108.7651	881.8230
2277	19780.5408	-9409.7288	3518.8322	2108.7651	882.1968
2278	19789.7011	-9413.7399	3518.8322	2108.7651	882.5706
2279	19798.8614	-9417.7510	3518.8322	2108.7651	882.9444
2280	19808.0217	-9421.7621	3518.8322	2108.7651	883.3182
2281	19817.1819	-9425.7732	3518.8322	2108.7651	883.6919
2282	19826.3422	-9429.7843	3518.8322	2108.7651	884.0657
2283	19835.5025	-9433.7954	3518.8322	2108.7651	884.4395
2284	19844.6628	-9437.8066	3518.8322	2108.7651	884.8133
2285	19853.8231	-9441.8177	3518.8322	2108.7651	885.1871
2286	19862.9834	-9445.8288	3518.8322	2108.7651	885.5609
2287	19872.1437	-9449.8399	3518.8322	2108.7651	885.9347
2288	19881.3040	-9453.8510	3518.8322	2108.7651	886.3084
2289	19890.4643	-9457.8621	3518.8322	2108.7651	886.6822
2290	19899.6246	-9461.8732	3518.8322	2108.7651	887.0560
2291	19908.7849	-9465.8843	3518.8322	2108.7651	887.4298
2292	19917.9452	-9469.8954	3518.8322	2108.7651	887.8036
2293	19927.1055	-9473.9066	3518.8322	2108.7651	888.1774
2294	19936.2658	-9477.9177	3518.8322	2108.7651	888.5512
2295	19945.4261	-9481.9288	3518.8322	2108.7651	888.9249
2296	19954.5864	-9485.9399	3518.8322	2108.7651	889.2987
2297	19963.7467	-9489.9510	3518.8322	2108.7651	889.6725
2298	19972.9070	-9493.9621	3518.8322	2108.7651	890.0463
2299	19982.0672	-9497.9732	3518.8322	2108.7651	890.4201
2300	19991.2275	-9501.9843	3518.8322	2108.7651	890.7939
2301	20000.3878	-9505.9954	3518.8322	2108.7651	891.1676
2302	20009.5481	-9510.0066	3518.8322	2108.7651	891.5414
2303	20018.7084	-9514.0177	3518.8322	2108.7651	891.9152
2304	20027.8687	-9518.0288	3518.8322	2108.7651	892.2890
2305	20037.0290	-9522.0399	3518.8322	2108.7651	892.6628
2306	20046.1893	-9526.0510	3518.8322	2108.7651	893.0366
2307	20055.3496	-9530.0621	3518.8322	2108.7651	893.4104
2308	20064.5099	-9534.0732	3518.8322	2108.7651	893.7841
2309	20073.6702	-9538.0843	3518.8322	2108.7651	894.1579
2310	20082.8305	-9542.0954	3518.8322	2108.7651	894.5317
2311	20091.9908	-9546.1065	3518.8322	2108.7651	894.9055
2312	20101.1511	-9550.1177	3518.8322	2108.7651	895.2793
2313	20110.3114	-9554.1288	3518.8322	2108.7651	895.6531
2314	20119.4717	-9558.1399	3518.8322	2108.7651	896.0269
2315	20128.6320	-9562.1510	3518.8322	2108.7651	896.4006
2316	20137.7922	-9566.1621	3518.8322	2108.7651	896.7744
2317	20146.9525	-9570.1732	3518.8322	2108.7651	897.1482
2318	20156.1128	-9574.1843	3518.8322	2108.7651	897.5220
2319	20165.2731	-9578.1954	3518.8322	2108.7651	897.8958
2320	20174.4334	-9582.2065	3518.8322	2108.7651	898.2696
2321	20183.5937	-9586.2177	3518.8322	2108.7651	898.6433
2322	20192.7540	-9590.2288	3518.8322	2108.7651	899.0171
2323	20201.9143	-9594.2399	3518.8322	2108.7651	899.3909
2324	20211.0746	-9598.2510	3518.8322	2108.7651	899.7647
2325	20220.2349	-9602.2621	3518.8322	2108.7651	900.1385
2326	20229.3952	-9606.2732	3518.8322	2108.7651	900.5123
2327	20238.5555	-9610.2843	3518.8322	2108.7651	900.8861
2328	20247.7158	-9614.2954	3518.8322	2108.7651	901.2598
2329	20256.8761	-9618.3065	3518.8322	2108.7651	901.6336
2330	20266.0364	-9622.3177	3518.8322	2108.7651	902.0074
2331	20275.1967	-9626.3288	3518.8322	2108.7651	902.3812
2332	20284.3570	-9630.3399	3518.8322	2108.7651	902.7550
2333	20293.5172	-9634.3510	3518.8322	2108.7651	903.1288
2334	20302.6775	-9638.3621	3518.8322	2108.7651	903.5026
2335	20311.8378	-9642.3732	3518.8322	2108.7651	903.8763
2336	20320.9981	-9646.3843	3518.8322	2108.7651	904.2501
2337	20330.1584	-9650.3954	3518.8322	2108.7651	904.6239
2338	20339.3187	-9654.4065	3518.8322	2108.7651	904.9977
2339	20348.4790	-9658.4177	3518.8322	2108.7651	905.3715
2340	20357.6393	-9662.4288	3518.8322	2108.7651	905.7453
2341	20366.7996	-9666.4399	3518.8322	2108.7651	906.1190
2342	20375.9599	-9670.4510	3518.8322	2108.7651	906.4928
2343	20385.1202	-9674.4621	3518.8322	2108.7651	906.8666
2344	20394.2805	-9678.4732	3518.8322	2108.7651	907.2404
2345	20403.4408	-9682.4843	3518.8322	2108.7651	907.6142
2346	20412.6011	-9686.4954	3518.8322	2108.7651	907.9880
2347	20421.7614	-9690.5065	3518.8322	2108.7651	908.3618
2348	20430.9217	-9694.5177	3518.8322	2108.7651	908.7355
2349	20440.0820	-9698.5288	3518.8322	2108.7651	909.1093
2350	20449.2422	-9702.5399	3518.8322	2108.7651	909.4831
2351	20458.4025	-9706.5510	3518.8322	2108.7651	909.8569
2352	20467.5628	-9710.5621	3518.8322	2108.7651	910.2307
2353	20476.7231	-9714.5732	3518.8322	2108.7651	910.6045
2354	20485.8834	-9718.5843	3518.8322	2108.7651	910.9783
2355	20495.0437	-9722.5954	3518.8322	2108.7651	911.3520
2356	20504.2040	-9726.6065	3518.8322	2108.7651	911.7258
2357	20513.3643	-9730.6176	3518.8322	2108.7651	912.0996
2358	20522.5246	-9734.6288	3518.8322	2108.7651	912.4734
2359	20531.6849	-9738.6399	3518.8322	2108.7651	912.8472
2360	20540.8452	-9742.6510	3518.8322	2108.7651	913.2210
2361	20550.0055	-9746.6621	3518.8322	2108.7651	913.5947
2362	20559.1658	-9750.6732	3518.8322	2108.7651	913.9685
2363	20568.3261	-9754.6843	3518.8322	2108.7651	914.3423
2364	20577.4864	-9758.6954	3518.8322	2108.7651	914.7161
2365	20586.6467	-9762.7065	3518.8322	2108.7651	915.0899
2366	20595.8070	-9766.7176	3518.8322	2108.7651	915.4637
2367	20604.9672	-9770.7288	3518.8322	2108.7651	915.8375
2368	20614.1275	-9774.7399	3518.8322	2108.7651	916.2112
2369	20623.2878	-9778.7510	3518.8322	2108.7651	916.5850
2370	20632.4481	-9782.7621	3518.8322	2108.7651	916.9588
2371	20641.6084	-9786.7732	3518.8322	2108.7651	917.3326
2372	20650.7687	-9790.7843	3518.8322	2108.7651	917.7064
2373	20659.9290	-9794.7954	3518.8322	2108.7651	918.0802
2374	20669.0893	-9798.8065	3518.8322	2108.7651	918.4540
2375	20678.2496	-9802.8176	3518.8322	2108.7651	918.8277
2376	20687.4099	-9806.8288	3518.8322	2108.7651	919.2015
2377	20696.5702	-9810.8399	3518.8322	2108.7651	919.5753
2378	20705.7305	-9814.8510	3518.8322	2108.7651	919.9491
2379	20714.8908	-9818.8621	3518.8322	2108.7651	920.3229
2380	20724.0511	-9822.8732	3518.8322	2108.7651	920.6967
2381	20733.2114	-9826.8843	3518.8322	2108.7651	921.0705
2382	20742.3717	-9830.8954	3518.8322	2108.7651	921.4442
2383	20751.5320	-9834.9065	3518.8322	2108.7651	921.8180
2384	20760.6923	-9838.9176	3518.8322	2108.7651	922.1918
2385	20769.8525	-9842.9288	3518.8322	2108.7651	922.5656
2386	20779.0128	-9846.9399	3518.8322	2108.7651	922.9394
2387	20788.1731	-9850.9510	3518.8322	2108.7651	923.3132
2388	20797.3334	-9854.9621	3518.8322	2108.7651	923.6869
2389	20806.4937	-9858.9732	3518.8322	2108.7651	924.0607
2390	20815.6540	-9862.9843	3518.8322	2108.7651	924.4345
2391	20824.8143	-9866.9954	3518.8322	2108.7651	924.8083
2392	20833.9746	-9871.0065	3518.8322	2108.7651	925.1821
2393	20843.1349	-9875.0176	3518.8322	2108.7651	925.5559
2394	20852.2952	-9879.0288	3518.8322	2108.7651	925.9297
2395	20861.4555	-9883.0399	3518.8322	2108.7651	926.3034
2396	20870.6158	-9887.0510	3518.8322	2108.7651	926.6772
2397	20879.7761	-9891.0621	3518.8322	2108.7651	927.0510
2398	20888.9364	-9895.0732	3518.8322	2108.7651	927.4248
2399	20898.0967	-9899.0843	3518.8322	2108.7651	927.7986
2400	20907.2570	-9903.0954	3518.8322	2108.7651	928.1724
2401	20916.4173	-9907.1065	3518.8322	2108.7651	928.5462
2402	20925.5775	-9911.1176	3518.8322	2108.7651	928.9199
2403	20934.7378	-9915.1287	3518.8322	2108.7651	929.2937
2404	20943.8981	-9919.1399	3518.8322	2108.7651	929.6675
2405	20953.0584	-9923.1510	3518.8322	2108.7651	930.0413
2406	20962.2187	-9927.1621	3518.8322	2108.7651	930.4151
2407	20971.3790	-9931.1732	3518.8322	2108.7651	930.7889
2408	20980.5393	-9935.1843	3518.8322	2108.7651	931.1626
2409	20989.6996	-9939.1954	3518.8322	2108.7651	931.5364
2410	20998.8599	-9943.2065	3518.8322	2108.7651	931.9102
2411	21008.0202	-9947.2176	3518.8322	2108.7651	932.2840
2412	21017.1805	-9951.2287	3518.8322	2108.7651	932.6578
2413	21026.3408	-9955.2399	3518.8322	2108.7651	933.0316
2414	21035.5011	-9959.2510	3518.8322	2108.7651	933.4054
2415	21044.6614	-9963.2621	3518.8322	2108.7651	933.7791
2416	21053.8217	-9967.2732	3518.8322	2108.7651	934.1529
2417	21062.9820	-9971.2843	3518.8322	2108.7651	934.5267
2418	21072.1423	-9975.2954	3518.8322	2108.7651	934.9005
2419	21081.3025	-9979.3065	3518.8322	2108.7651	935.2743
2420	21090.4628	-9983.3176	3518.8322	2108.7651	935.6481
2421	21099.6231	-9987.3287	3518.8322	2108.7651	936.0219
2422	21108.7834	-9991.3399	3518.8322	2108.7651	936.3956
2423	21117.9437	-9995.3510	3518.8322	2108.7651	936.7694
2424	21127.1040	-9999.3621	3518.8322	2108.7651	937.1432
2425	21136.2643	-10003.3732	3518.8322	2108.7651	937.5170
2426	21145.4246	-10007.3843	3518.8322	2108.7651	937.8908
2427	21154.5849	-10011.3954	3518.8322	2108.7651	938.2646
2428	21163.7452	-10015.4065	3518.8322	2108.7651	938.6383
2429	21172.9055	-10019.4176	3518.8322	2108.7651	939.0121
2430	21182.0658	-10023.4287	3518.8322	2108.7651	939.3859
2431	21191.2261	-10027.4399	3518.8322	2108.7651	939.7597
2432	21200.3864	-10031.4510	3518.8322	2108.7651	940.1335
2433	21209.5467	-10035.4621	3518.8322	2108.7651	940.5073
2434	21218.7070	-10039.4732	3518.8322	2108.7651	940.8811
2435	21227.8673	-10043.4843	3518.8322	2108.7651	941.2548
2436	21237.0275	-10047.4954	3518.8322	2108.7651	941.6286
2437	21246.1878	-10051.5065	3518.8322	2108.7651	942.0024
2438	21255.3481	-10055.5176	3518.8322	2108.7651	942.3762
2439	21264.5084	-10059.5287	3518.8322	2108.7651	942.7500
2440	21273.6687	-10063.5399	3518.8322	2108.7651	943.1238
2441	21282.8290	-10067.5510	3518.8322	2108.7651	943.4976
2442	21291.9893	-10071.5621	3518.8322	2108.7651	943.8713
2443	21301.1496	-10075.5732	3518.8322	2108.7651	944.2451
2444	21310.3099	-10079.5843	3518.8322	2108.7651	944.6189
2445	21319.4702	-10083.5954	3518.8322	2108.7651	944.9927
2446	21328.6305	-10087.6065	3518.8322	2108.7651	945.3665
2447	21337.7908	-10091.6176	3518.8322	2108.7651	945.7403
2448	21346.9511	-10095.6287	3518.8322	2108.7651	946.1140
2449	21356.1114	-10099.6398	3518.8322	2108.7651	946.4878
2450	21365.2717	-10103.6510	3518.8322	2108.7651	946.8616
2451	21374.4320	-10107.6621	3518.8322	2108.7651	947.2354
2452	21383.5923	-10111.6732	3518.8322	2108.7651	947.6092
2453	21392.7525	-10115.6843	3518.8322	2108.7651	947.9830
2454	21401.9128	-10119.6954	3518.8322	2108.7651	948.3568
2455	21411.0731	-10123.7065	3518.8322	2108.7651	948.7305
2456	21420.2334	-10127.7176	3518.8322	2108.7651	949.1043
2457	21429.3937	-10131.7287	3518.8322	2108.7651	949.4781
2458	21438.5540	-10135.7398	3518.8322	2108.7651	949.8519
2459	21447.7143	-10139.7510	3518.8322	2108.7651	950.2257
2460	21456.8746	-10143.7621	3518.8322	2108.7651	950.5995
2461	21466.0349	-10147.7732	3518.8322	2108.7651	950.9733
2462	21475.1952	-10151.7843	3518.8322	2108.7651	951.3470
2463	21484.3555	-10155.7954	3518.8322	2108.7651	951.7208
2464	21493.5158	-10159.8065	3518.8322	2108.7651	952.0946
2465	21502.6761	-10163.8176	3518.8322	2108.7651	952.4684
2466	21511.8364	-10167.8287	3518.8322	2108.7651	952.8422
2467	21520.9967	-10171.8398	3518.8322	2108.7651	953.2160
2468	21530.1570	-10175.8510	3518.8322	2108.7651	953.5897
2469	21539.3173	-10179.8621	3518.8322	2108.7651	953.9635
2470	21548.4776	-10183.8732	3518.8322	2108.7651	954.3373
2471	21557.6378	-10187.8843	3518.8322	2108.7651	954.7111
2472	21566.7981	-10191.8954	3518.8322	2108.7651	955.0849
2473	21575.9584	-10195.9065	3518.8322	2108.7651	955.4587
2474	21585.1187	-10199.9176	3518.8322	2108.7651	955.8325
2475	21594.2790	-10203.9287	3518.8322	2108.7651	956.2062
2476	21603.4393	-10207.9398	3518.8322	2108.7651	956.5800
2477	21612.5996	-10211.9510	3518.8322	2108.7651	956.9538
2478	21621.7599	-10215.9621	3518.8322	2108.7651	957.3276
2479	21630.9202	-10219.9732	3518.8322	2108.7651	957.7014
2480	21640.0805	-10223.9843	3518.8322	2108.7651	958.0752
2481	21649.2408	-10227.9954	3518.8322	2108.7651	958.4490
2482	21658.4011	-10232.0065	3518.8322	2108.7651	958.8227
2483	21667.5614	-10236.0176	3518.8322	2108.7651	959.1965
2484	21676.7217	-10240.0287	3518.8322	2108.7651	959.5703
2485	21685.8820	-10244.0398	3518.8322	2108.7651	959.9441
2486	21695.0423	-10248.0509	3518.8322	2108.7651	960.3179
2487	21704.2026	-10252.0621	3518.8322	2108.7651	960.6917
2488	21713.3628	-10256.0732	3518.8322	2108.7651	961.0654
2489	21722.5231	-10260.0843	3518.8322	2108.7651	961.4392
2490	21731.6834	-10264.0954	3518.8322	2108.7651	961.8130
2491	21740.8437	-10268.1065	3518.8322	2108.7651	962.1868
2492	21750.0040	-10272.1176	3518.8322	2108.7651	962.5606
2493	21759.1643	-10276.1287	3518.8322	2108.7651	962.9344
2494	21768.3246	-10280.1398	3518.8322	2108.7651	963.3082
2495	21777.4849	-10284.1509	3518.8322	2108.7651	963.6819
2496	21786.6452	-10288.1621	3518.8322	2108.7651	964.0557
2497	21795.8055	-10292.1732	3518.8322	2108.7651	964.4295
2498	21804.9658	-10296.1843	3518.8322	2108.7651	964.8033
2499	21814.1261	-10300.1954	3518.8322	2108.7651	965.1771
2500	21823.2864	-10304.2065	3518.8322	2108.7651	965.5509
2501	21832.4467	-10308.2176	3518.8322	2108.7651	965.9247
2502	21841.6070	-10312.2287	3518.8322	2108.7651	966.2984
2503	21850.7673	-10316.2398	3518.8322	2108.7651	966.6722
2504	21859.9276	-10320.2509	3518.8322	2108.7651	967.0460
2505	21869.0878	-10324.2621	3518.8322	2108.7651	967.4198
2506	21878.2481	-10328.2732	3518.8322	2108.7651	967.7936
2507	21887.4084	-10332.2843	3518.8322	2108.7651	968.1674
2508	21896.5687	-10336.2954	3518.8322	2108.7651	968.5412
2509	21905.7290	-10340.3065	3518.8322	2108.7651	968.9149
2510	21914.8893	-10344.3176	3518.8322	2108.7651	969.2887
2511	21924.0496	-10348.3287	3518.8322	2108.7651	969.6625
2512	21933.2099	-10352.3398	3518.8322	2108.7651	970.0363
2513	21942.3702	-10356.3509	3518.8322	2108.7651	970.4101
2514	21951.5305	-10360.3621	3518.8322	2108.7651	970.7839
2515	21960.6908	-10364.3732	3518.8322	2108.7651	971.1576
2516	21969.8511	-10368.3843	3518.8322	2108.7651	971.5314
2517	21979.0114	-10372.3954	3518.8322	2108.7651	971.9052
2518	21988.1717	-10376.4065	3518.8322	2108.7651	972.2790
2519	21997.3320	-10380.4176	3518.8322	2108.7651	972.6528
2520	22006.4923	-10384.4287	3518.8322	2108.7651	973.0266
2521	22015.6526	-10388.4398	3518.8322	2108.7651	973.4004
2522	22024.8128	-10392.4509	3518.8322	2108.7651	973.7741
2523	22033.9731	-10396.4621	3518.8322	2108.7651	974.1479
2524	22043.1334	-10400.4732	3518.8322	2108.7651	974.5217
2525	22052.2937	-10404.4843	3518.8322	2108.7651	974.8955
2526	22061.4540	-10408.4954	3518.8322	2108.7651	975.2693
2527	22070.6143	-10412.5065	3518.8322	2108.7651	975.6431
2528	22079.7746	-10416.5176	3518.8322	2108.7651	976.0169
2529	22088.9349	-10420.5287	3518.8322	2108.7651	976.3906
2530	22098.0952	-10424.5398	3518.8322	2108.7651	976.7644
2531	22107.2555	-10428.5509	3518.8322	2108.7651	977.1382
2532	22116.4158	-10432.5620	3518.8322	2108.7651	977.5120
2533	22125.5761	-10436.5732	3518.8322	2108.7651	977.8858
2534	22134.7364	-10440.5843	3518.8322	2108.7651	978.2596
2535	22143.8967	-10444.5954	3518.8322	2108.7651	978.6333
2536	22153.0570	-10448.6065	3518.8322	2108.7651	979.0071
2537	22162.2173	-10452.6176	3518.8322	2108.7651	979.3809
2538	22171.3776	-10456.6287	3518.8322	2108.7651	979.7547
2539	22180.5378	-10460.6398	3518.8322	2108.7651	980.1285
2540	22189.6981	-10464.6509	3518.8322	2108.7651	980.5023
2541	22198.8584	-10468.6620	3518.8322	2108.7651	980.8761
2542	22208.0187	-10472.6732	3518.8322	2108.7651	981.2498
2543	22217.1790	-10476.6843	3518.8322	2108.7651	981.6236
2544	22226.3393	-10480.6954	3518.8322	2108.7651	981.9974
2545	22235.4996	-10484.7065	3518.8322	2108.7651	982.3712
2546	22244.6599	-10488.7176	3518.8322	2108.7651	982.7450
2547	22253.8202	-10492.7287	3518.8322	2108.7651	983.1188
2548	22262.9805	-10496.7398	3518.8322	2108.7651	983.4926
2549	22272.1408	-10500.7509	3518.8322	2108.7651	983.8663
2550	22281.3011	-10504.7620	3518.8322	2108.7651	984.2401
2551	22290.4614	-10508.7732	3518.8322	2108.7651	984.6139
2552	22299.6217	-10512.7843	3518.8322	2108.7651	984.9877
2553	22308.7820	-10516.7954	3518.8322	2108.7651	985.3615
2554	22317.9423	-10520.8065	3518.8322	2108.7651	985.7353
2555	22327.1026	-10524.8176	3518.8322	2108.7651	986.1090
2556	22336.2629	-10528.8287	3518.8322	2108.7651	986.4828
2557	22345.4231	-10532.8398	3518.8322	2108.7651	986.8566
2558	22354.5834	-10536.8509	3518.8322	2108.7651	987.2304
2559	22363.7437	-10540.8620	3518.8322	2108.7651	987.6042
2560	22372.9040	-10544.8732	3518.8322	2108.7651	987.9780
2561	22382.0643	-10548.8843	3518.8322	2108.7651	988.3518
2562	22391.2246	-10552.8954	3518.8322	2108.7651	988.7255
2563	22400.3849	-10556.9065	3518.8322	2108.7651	989.0993
2564	22409.5452	-10560.9176	3518.8322	2108.7651	989.4731
2565	22418.7055	-10564.9287	3518.8322	2108.7651	989.8469
2566	22427.8658	-10568.9398	3518.8322	2108.7651	990.2207
2567	22437.0261	-10572.9509	3518.8322	2108.7651	990.5945
2568	22446.1864	-10576.9620	3518.8322	2108.7651	990.9683
2569	22455.3467	-10580.9732	3518.8322	2108.7651	991.3420
2570	22464.5070	-10584.9843	3518.8322	2108.7651	991.7158
2571	22473.6673	-10588.9954	3518.8322	2108.7651	992.0896
2572	22482.8276	-10593.0065	3518.8322	2108.7651	992.4634
2573	22491.9879	-10597.0176	3518.8322	2108.7651	992.8372
2574	22501.1481	-10601.0287	3518.8322	2108.7651	993.2110
2575	22510.3084	-10605.0398	3518.8322	2108.7651	993.5847
2576	22519.4687	-10609.0509	3518.8322	2108.7651	993.9585
2577	22528.6290	-10613.0620	3518.8322	2108.7651	994.3323
2578	22537.7893	-10617.0731	3518.8322	2108.7651	994.7061
2579	22546.9496	-10621.0843	3518.8322	2108.7651	995.0799
2580	22556.1099	-10625.0954	3518.8322	2108.7651	995.4537
2581	22565.2702	-10629.1065	3518.8322	2108.7651	995.8275
2582	22574.4305	-10633.1176	3518.8322	2108.7651	996.2012
2583	22583.5908	-10637.1287	3518.8322	2108.7651	996.5750
2584	22592.7511	-10641.1398	3518.8322	2108.7651	996.9488
2585	22601.9114	-10645.1509	3518.8322	2108.7651	997.3226
2586	22611.0717	-10649.1620	3518.8322	2108.7651	997.6964
2587	22620.2320	-10653.1731	3518.8322	2108.7651	998.0702
2588	22629.3923	-10657.1843	3518.8322	2108.7651	998.4440
2589	22638.5526	-10661.1954	3518.8322	2108.7651	998.8177
2590	22647.7129	-10665.2065	3518.8322	2108.7651	999.1915
2591	22656.8731	-10669.2176	3518.8322	2108.7651	999.5653
2592	22666.0334	-10673.2287	3518.8322	2108.7651	999.9391
2593	22675.1937	-10677.2398	3518.8322	2108.7651	1000.3129
2594	22684.3540	-10681.2509	3518.8322	2108.7651	1000.6867
2595	22693.5143	-10685.2620	3518.8322	2108.7651	1001.0604
2596	22702.6746	-10689.2731	3518.8322	2108.7651	1001.4342
2597	22711.8349	-10693.2843	3518.8322	2108.7651	1001.8080
2598	22720.9952	-10697.2954	3518.8322	2108.7651	1002.1818
2599	22730.1555	-10701.3065	3518.8322	2108.7651	1002.5556
2600	22739.3158	-10705.3176	3518.8322	2108.7651	1002.9294
2601	22748.4761	-10709.3287	3518.8322	2108.7651	1003.3032
2602	22757.6364	-10713.3398	3518.8322	2108.7651	1003.6769
2603	22766.7967	-10717.3509	3518.8322	2108.7651	1004.0507
2604	22775.9570	-10721.3620	3518.8322	2108.7651	1004.4245
2605	22785.1173	-10725.3731	3518.8322	2108.7651	1004.7983
2606	22794.2776	-10729.3843	3518.8322	2108.7651	1005.1721
2607	22803.4379	-10733.3954	3518.8322	2108.7651	1005.5459
2608	22812.5981	-10737.4065	3518.8322	2108.7651	1005.9197
2609	22821.7584	-10741.4176	3518.8322	2108.7651	1006.2934
2610	22830.9187	-10745.4287	3518.8322	2108.7651	1006.6672
2611	22840.0790	-10749.4398	3518.8322	2108.7651	1007.0410
2612	22849.2393	-10753.4509	3518.8322	2108.7651	1007.4148
2613	22858.3996	-10757.4620	3518.8322	2108.7651	1007.7886
2614	22867.5599	-10761.4731	3518.8322	2108.7651	1008.1624
2615	22876.7202	-10765.4843	3518.8322	2108.7651	1008.5361
2616	22885.8805	-10769.4954	3518.8322	2108.7651	1008.9099
2617	22895.0408	-10773.5065	3518.8322	2108.7651	1009.2837
2618	22904.2011	-10777.5176	3518.8322	2108.7651	1009.6575
2619	22913.3614	-10781.5287	3518.8322	2108.7651	1010.0313
2620	22922.5217	-10785.5398	3518.8322	2108.7651	1010.4051
2621	22931.6820	-10789.5509	3518.8322	2108.7651	1010.7789
2622	22940.8423	-10793.5620	3518.8322	2108.7651	1011.1526
2623	22950.0026	-10797.5731	3518.8322	2108.7651	1011.5264
2624	22959.1629	-10801.5842	3518.8322	2108.7651	1011.9002
2625	22968.3232	-10805.5954	3518.8322	2108.7651	1012.2740
2626	22977.4834	-10809.6065	3518.8322	2108.7651	1012.6478
2627	22986.6437	-10813.6176	3518.8322	2108.7651	1013.0216
2628	22995.8040	-10817.6287	3518.8322	2108.7651	1013.3954
2629	23004.9643	-10821.6398	3518.8322	2108.7651	1013.7691
2630	23014.1246	-10825.6509	3518.8322	2108.7651	1014.1429
2631	23023.2849	-10829.6620	3518.8322	2108.7651	1014.5167
2632	23032.4452	-10833.6731	3518.8322	2108.7651	1014.8905
2633	23041.6055	-10837.6842	3518.8322	2108.7651	1015.2643
2634	23050.7658	-10841.6954	3518.8322	2108.7651	1015.6381
2635	23059.9261	-10845.7065	3518.8322	2108.7651	1016.0119
2636	23069.0864	-10849.7176	3518.8322	2108.7651	1016.3856
2637	23078.2467	-10853.7287	3518.8322	2108.7651	1016.7594
2638	23087.4070	-10857.7398	3518.8322	2108.7651	1017.1332
2639	23096.5673	-10861.7509	3518.8322	2108.7651	1017.5070
2640	23105.7276	-10865.7620	3518.8322	2108.7651	1017.8808
2641	23114.8879	-10869.7731	3518.8322	2108.7651	1018.2546
2642	23124.0482	-10873.7842	3518.8322	2108.7651	1018.6283
2643	23133.2084	-10877.7954	3518.8322	2108.7651	1019.0021
2644	23142.3687	-10881.8065	3518.8322	2108.7651	1019.3759
2645	23151.5290	-10885.8176	3518.8322	2108.7651	1019.7497
2646	23160.6893	-10889.8287	3518.8322	2108.7651	1020.1235
2647	23169.8496	-10893.8398	3518.8322	2108.7651	1020.4973
2648	23179.0099	-10897.8509	3518.8322	2108.7651	1020.8711
2649	23188.1702	-10901.8620	3518.8322	2108.7651	1021.2448
2650	23197.3305	-10905.8731	3518.8322	2108.7651	1021.6186
2651	23206.4908	-10909.8842	3518.8322	2108.7651	1021.9924
2652	23215.6511	-10913.8954	3518.8322	2108.7651	1022.3662
2653	23224.8114	-10917.9065	3518.8322	2108.7651	1022.7400
2654	23233.9717	-10921.9176	3518.8322	2108.7651	1023.1138
2655	23243.1320	-10925.9287	3518.8322	2108.7651	1023.4876
2656	23252.2923	-10929.9398	3518.8322	2108.7651	1023.8613
2657	23261.4526	-10933.9509	3518.8322	2108.7651	1024.2351
2658	23270.6129	-10937.9620	3518.8322	2108.7651	1024.6089
2659	23279.7732	-10941.9731	3518.8322	2108.7651	1024.9827
2660	23288.9334	-10945.9842	3518.8322	2108.7651	1025.3565
2661	23298.0937	-10949.9954	3518.8322	2108.7651	1025.7303
2662	23307.2540	-10954.0065	3518.8322	2108.7651	1026.1040
2663	23316.4143	-10958.0176	3518.8322	2108.7651	1026.4778
2664	23325.5746	-10962.0287	3518.8322	2108.7651	1026.8516
2665	23334.7349	-10966.0398	3518.8322	2108.7651	1027.2254
2666	23343.8952	-10970.0509	3518.8322	2108.7651	1027.5992
2667	23353.0555	-10974.0620	3518.8322	2108.7651	1027.9730
2668	23362.2158	-10978.0731	3518.8322	2108.7651	1028.3468
2669	23371.3761	-10982.0842	3518.8322	2108.7651	1028.7205
2670	23380.5364	-10986.0953	3518.8322	2108.7651	1029.0943
2671	23389.6967	-10990.1065	3518.8322	2108.7651	1029.4681
2672	23398.8570	-10994.1176	3518.8322	2108.7651	1029.8419
2673	23408.0173	-10998.1287	3518.8322	2108.7651	1030.2157
2674	23417.1776	-11002.1398	3518.8322	2108.7651	1030.5895
2675	23426.3379	-11006.1509	3518.8322	2108.7651	1030.9633
