calc_step	x	y	z	R	time
109	365.7522	-468.0627	2187.6479	744.6650	38.3082
110	371.2254	-473.6113	2193.9134	750.4009	38.7338
111	376.7250	-479.1616	2200.1543	756.1208	39.1598
112	382.2508	-484.7133	2206.3707	761.8249	39.5861
113	387.8026	-490.2662	2212.5629	767.5132	40.0128
114	393.3801	-495.8201	2218.7310	773.1859	40.4399
115	398.9832	-501.3746	2224.8753	778.8431	40.8673
116	404.6117	-506.9297	2230.9959	784.4847	41.2950
117	410.2653	-512.4850	2237.0931	790.1110	41.7230
118	415.9438	-518.0404	2243.1669	795.7220	42.1513
119	421.6471	-523.5956	2249.2176	801.3177	42.5799
120	427.3750	-529.1506	2255.2454	806.8983	43.0089
121	433.1273	-534.7049	2261.2504	812.4638	43.4381
122	438.9038	-540.2586	2267.2328	818.0143	43.8676
123	444.7043	-545.8114	2273.1928	823.5498	44.2974
124	450.5286	-551.3630	2279.1305	829.0704	44.7275
125	456.3766	-556.9134	2285.0461	834.5763	45.1579
126	462.2481	-562.4624	2290.9396	840.0674	45.5885
127	468.1429	-568.0098	2296.8114	845.5438	46.0194
128	474.0609	-573.5554	2302.6615	851.0055	46.4505
129	480.0019	-579.0992	2308.4900	856.4527	46.8819
130	485.9657	-584.6408	2314.2972	861.8853	47.3136
131	491.9522	-590.1802	2320.0831	867.3035	47.7454
132	497.9612	-595.7173	2325.8479	872.7072	48.1776
133	503.9925	-601.2519	2331.5917	878.0966	48.6099
134	510.0461	-606.7838	2337.3147	883.4716	49.0425
135	516.1217	-612.3129	2343.0169	888.8323	49.4753
136	522.2192	-617.8391	2348.6985	894.1789	49.9083
137	528.3385	-623.3623	2354.3597	899.5112	50.3415
138	534.4794	-628.8823	2360.0005	904.8294	50.7750
139	540.6418	-634.3991	2365.6211	910.1334	51.2086
140	546.8255	-639.9124	2371.2215	915.4234	51.6425
141	553.0304	-645.4222	2376.8020	920.6994	52.0766
142	559.2564	-650.9283	2382.3626	925.9614	52.5108
143	565.5032	-656.4307	2387.9034	931.2094	52.9453
144	571.7709	-661.9292	2393.4245	936.4436	53.3799
145	578.0592	-667.4238	2398.9261	941.6638	53.8147
146	584.3680	-672.9142	2404.4082	946.8702	54.2497
147	590.6972	-678.4005	2409.8709	952.0628	54.6849
148	597.0467	-683.8825	2415.3144	957.2417	55.1203
149	603.4163	-689.3602	2420.7388	962.4067	55.5558
150	609.8059	-694.8333	2426.1441	967.5581	55.9915
151	616.2154	-700.3020	2431.5304	972.6958	56.4273
152	622.6447	-705.7659	2436.8979	977.8199	56.8634
153	629.0936	-711.2251	2442.2466	982.9303	57.2996
154	635.5620	-716.6795	2447.5766	988.0271	57.7359
155	642.0498	-722.1290	2452.8881	993.1104	58.1724
156	648.5569	-727.5734	2458.1811	998.1801	58.6090
157	655.0832	-733.0128	2463.4556	1003.2364	59.0458
158	661.6285	-738.4470	2468.7118	1008.2791	59.4828
159	668.1927	-743.8760	2473.9498	1013.3084	59.9198
160	674.7758	-749.2997	2479.1697	1018.3243	60.3571
161	681.3776	-754.7180	2484.3714	1023.3267	60.7944
162	687.9980	-760.1308	2489.5552	1028.3158	61.2319
163	694.6369	-765.5381	2494.7211	1033.2915	61.6695
164	701.2942	-770.9399	2499.8691	1038.2539	62.1073
165	707.9697	-776.3359	2504.9994	1043.2030	62.5452
166	714.6634	-781.7262	2510.1120	1048.1387	62.9832
167	721.3752	-787.1107	2515.2070	1053.0612	63.4213
168	728.1049	-792.4894	2520.2845	1057.9705	63.8596
169	734.8525	-797.8621	2525.3446	1062.8665	64.2979
170	741.6178	-803.2289	2530.3872	1067.7494	64.7364
171	748.4008	-808.5896	2535.4125	1072.6190	65.1750
172	755.2013	-813.9442	2540.4206	1077.4755	65.6137
173	762.0193	-819.2926	2545.4115	1082.3188	66.0526
174	768.8546	-824.6349	2550.3853	1087.1490	66.4915
175	775.7072	-829.9709	2555.3421	1091.9661	66.9305
176	782.5769	-835.3005	2560.2819	1096.7701	67.3697
177	789.4637	-840.6238	2565.2048	1101.5610	67.8089
178	796.3674	-845.9407	2570.1108	1106.3389	68.2483
179	803.2880	-851.2511	2575.0001	1111.1037	68.6877
180	810.2254	-856.5550	2579.8727	1115.8555	69.1272
181	817.1794	-861.8524	2584.7286	1120.5943	69.5669
182	824.1500	-867.1431	2589.5678	1125.3201	70.0066
183	831.1371	-872.4271	2594.3906	1130.0329	70.4464
184	838.1406	-877.7045	2599.1969	1134.7328	70.8863
185	845.1604	-882.9752	2603.9867	1139.4197	71.3263
186	852.1965	-888.2390	2608.7602	1144.0937	71.7664
