resolution x y mass_100 mass_res abs_diff rel_diff
1000 650000 3550000 1.75540000e-07 1.75540000e-07 0.00000000e+00 0.00000000e+00
1000 651000 3550000 1.84400000e-07 1.84400000e-07 0.00000000e+00 0.00000000e+00
1000 652000 3550000 1.92650000e-07 1.92650000e-07 0.00000000e+00 0.00000000e+00
1000 653000 3550000 2.00480000e-07 2.00480000e-07 0.00000000e+00 0.00000000e+00
1000 654000 3550000 2.07780000e-07 2.07780000e-07 0.00000000e+00 0.00000000e+00
1000 655000 3550000 2.14580000e-07 2.14580000e-07 0.00000000e+00 0.00000000e+00
1000 656000 3550000 2.20570000e-07 2.20570000e-07 0.00000000e+00 0.00000000e+00
1000 657000 3550000 2.25750000e-07 2.25750000e-07 0.00000000e+00 0.00000000e+00
1000 658000 3550000 2.29910000e-07 2.29910000e-07 0.00000000e+00 0.00000000e+00
1000 659000 3550000 2.32920000e-07 2.32920000e-07 0.00000000e+00 0.00000000e+00
1000 660000 3550000 2.34550000e-07 2.34550000e-07 0.00000000e+00 0.00000000e+00
1000 661000 3550000 2.34680000e-07 2.34680000e-07 0.00000000e+00 0.00000000e+00
1000 662000 3550000 2.33480000e-07 2.33480000e-07 0.00000000e+00 0.00000000e+00
1000 663000 3550000 2.31010000e-07 2.31010000e-07 0.00000000e+00 0.00000000e+00
1000 664000 3550000 2.27620000e-07 2.27620000e-07 0.00000000e+00 0.00000000e+00
1000 665000 3550000 2.23700000e-07 2.23700000e-07 0.00000000e+00 0.00000000e+00
1000 666000 3550000 2.19640000e-07 2.19640000e-07 0.00000000e+00 0.00000000e+00
1000 667000 3550000 2.16170000e-07 2.16170000e-07 0.00000000e+00 0.00000000e+00
1000 668000 3550000 2.15100000e-07 2.15100000e-07 0.00000000e+00 0.00000000e+00
1000 669000 3550000 2.16820000e-07 2.16820000e-07 0.00000000e+00 0.00000000e+00
1000 670000 3550000 2.19200000e-07 2.19200000e-07 0.00000000e+00 0.00000000e+00
1000 671000 3550000 2.21930000e-07 2.21930000e-07 0.00000000e+00 0.00000000e+00
1000 672000 3550000 2.24710000e-07 2.24710000e-07 0.00000000e+00 0.00000000e+00
1000 673000 3550000 2.27040000e-07 2.27040000e-07 0.00000000e+00 0.00000000e+00
1000 674000 3550000 2.28860000e-07 2.28860000e-07 0.00000000e+00 0.00000000e+00
1000 675000 3550000 2.29600000e-07 2.29600000e-07 0.00000000e+00 0.00000000e+00
1000 676000 3550000 2.29300000e-07 2.29300000e-07 0.00000000e+00 0.00000000e+00
1000 677000 3550000 2.27730000e-07 2.27730000e-07 0.00000000e+00 0.00000000e+00
1000 678000 3550000 2.24800000e-07 2.24800000e-07 0.00000000e+00 0.00000000e+00
1000 679000 3550000 2.20180000e-07 2.20180000e-07 0.00000000e+00 0.00000000e+00
1000 680000 3550000 2.17010000e-07 2.17010000e-07 0.00000000e+00 0.00000000e+00
1000 681000 3550000 2.14060000e-07 2.14060000e-07 0.00000000e+00 0.00000000e+00
1000 682000 3550000 2.09600000e-07 2.09600000e-07 0.00000000e+00 0.00000000e+00
1000 683000 3550000 2.03430000e-07 2.03430000e-07 0.00000000e+00 0.00000000e+00
1000 684000 3550000 1.95590000e-07 1.95590000e-07 0.00000000e+00 0.00000000e+00
1000 685000 3550000 1.86070000e-07 1.86070000e-07 0.00000000e+00 0.00000000e+00
1000 686000 3550000 1.75020000e-07 1.75020000e-07 0.00000000e+00 0.00000000e+00
1000 687000 3550000 1.66530000e-07 1.66530000e-07 0.00000000e+00 0.00000000e+00
1000 688000 3550000 1.56790000e-07 1.56790000e-07 0.00000000e+00 0.00000000e+00
1000 689000 3550000 1.45640000e-07 1.45640000e-07 0.00000000e+00 0.00000000e+00
1000 690000 3550000 1.33610000e-07 1.33610000e-07 0.00000000e+00 0.00000000e+00
1000 691000 3550000 1.21110000e-07 1.21110000e-07 0.00000000e+00 0.00000000e+00
1000 692000 3550000 1.12040000e-07 1.12040000e-07 0.00000000e+00 0.00000000e+00
1000 693000 3550000 1.03910000e-07 1.03910000e-07 0.00000000e+00 0.00000000e+00
1000 694000 3550000 9.73530000e-08 9.73530000e-08 0.00000000e+00 0.00000000e+00
1000 695000 3550000 9.31250000e-08 9.31250000e-08 0.00000000e+00 0.00000000e+00
1000 696000 3550000 9.20140000e-08 9.20140000e-08 0.00000000e+00 0.00000000e+00
1000 697000 3550000 9.45820000e-08 9.45820000e-08 0.00000000e+00 0.00000000e+00
1000 698000 3550000 1.01460000e-07 1.01460000e-07 0.00000000e+00 0.00000000e+00
1000 699000 3550000 1.13100000e-07 1.13100000e-07 0.00000000e+00 0.00000000e+00
1000 700000 3550000 1.29900000e-07 1.29900000e-07 0.00000000e+00 0.00000000e+00
1000 701000 3550000 1.52140000e-07 1.52140000e-07 0.00000000e+00 0.00000000e+00
1000 702000 3550000 1.81120000e-07 1.81120000e-07 0.00000000e+00 0.00000000e+00
1000 703000 3550000 2.21490000e-07 2.21490000e-07 0.00000000e+00 0.00000000e+00
1000 704000 3550000 2.69280000e-07 2.69280000e-07 0.00000000e+00 0.00000000e+00
1000 705000 3550000 3.23980000e-07 3.23980000e-07 0.00000000e+00 0.00000000e+00
1000 706000 3550000 3.97640000e-07 3.97640000e-07 0.00000000e+00 0.00000000e+00
1000 707000 3550000 4.82000000e-07 4.82000000e-07 0.00000000e+00 0.00000000e+00
1000 708000 3550000 5.72730000e-07 5.72730000e-07 0.00000000e+00 0.00000000e+00
1000 709000 3550000 6.92030000e-07 6.92030000e-07 0.00000000e+00 0.00000000e+00
1000 710000 3550000 8.25300000e-07 8.25300000e-07 0.00000000e+00 0.00000000e+00
1000 711000 3550000 9.59040000e-07 9.59040000e-07 0.00000000e+00 0.00000000e+00
1000 712000 3550000 1.09610000e-06 1.09610000e-06 0.00000000e+00 0.00000000e+00
1000 713000 3550000 1.26040000e-06 1.26040000e-06 0.00000000e+00 0.00000000e+00
1000 714000 3550000 1.41080000e-06 1.41080000e-06 0.00000000e+00 0.00000000e+00
1000 715000 3550000 1.54450000e-06 1.54450000e-06 0.00000000e+00 0.00000000e+00
1000 716000 3550000 1.65930000e-06 1.65930000e-06 0.00000000e+00 0.00000000e+00
1000 717000 3550000 1.75560000e-06 1.75560000e-06 0.00000000e+00 0.00000000e+00
1000 718000 3550000 1.83310000e-06 1.83310000e-06 0.00000000e+00 0.00000000e+00
1000 719000 3550000 1.89390000e-06 1.89390000e-06 0.00000000e+00 0.00000000e+00
1000 720000 3550000 1.93880000e-06 1.93880000e-06 0.00000000e+00 0.00000000e+00
1000 721000 3550000 1.97080000e-06 1.97080000e-06 0.00000000e+00 0.00000000e+00
1000 722000 3550000 1.99160000e-06 1.99160000e-06 0.00000000e+00 0.00000000e+00
1000 723000 3550000 2.00600000e-06 2.00600000e-06 0.00000000e+00 0.00000000e+00
1000 724000 3550000 2.01790000e-06 2.01790000e-06 0.00000000e+00 0.00000000e+00
1000 725000 3550000 2.03440000e-06 2.03440000e-06 0.00000000e+00 0.00000000e+00
1000 726000 3550000 2.05560000e-06 2.05560000e-06 0.00000000e+00 0.00000000e+00
1000 727000 3550000 2.08580000e-06 2.08580000e-06 0.00000000e+00 0.00000000e+00
1000 728000 3550000 2.12100000e-06 2.12100000e-06 0.00000000e+00 0.00000000e+00
1000 729000 3550000 2.15930000e-06 2.15930000e-06 0.00000000e+00 0.00000000e+00
1000 730000 3550000 2.19850000e-06 2.19850000e-06 0.00000000e+00 0.00000000e+00
1000 731000 3550000 2.23430000e-06 2.23430000e-06 0.00000000e+00 0.00000000e+00
1000 732000 3550000 2.26550000e-06 2.26550000e-06 0.00000000e+00 0.00000000e+00
1000 733000 3550000 2.29420000e-06 2.29420000e-06 0.00000000e+00 0.00000000e+00
1000 734000 3550000 2.31810000e-06 2.31810000e-06 0.00000000e+00 0.00000000e+00
1000 735000 3550000 2.33930000e-06 2.33930000e-06 0.00000000e+00 0.00000000e+00
1000 736000 3550000 2.35220000e-06 2.35220000e-06 0.00000000e+00 0.00000000e+00
1000 737000 3550000 2.36480000e-06 2.36480000e-06 0.00000000e+00 0.00000000e+00
1000 738000 3550000 2.37690000e-06 2.37690000e-06 0.00000000e+00 0.00000000e+00
1000 739000 3550000 2.38870000e-06 2.38870000e-06 0.00000000e+00 0.00000000e+00
1000 740000 3550000 2.40030000e-06 2.40030000e-06 0.00000000e+00 0.00000000e+00
1000 741000 3550000 2.41150000e-06 2.41150000e-06 0.00000000e+00 0.00000000e+00
1000 742000 3550000 2.42260000e-06 2.42260000e-06 0.00000000e+00 0.00000000e+00
1000 743000 3550000 2.43360000e-06 2.43360000e-06 0.00000000e+00 0.00000000e+00
1000 744000 3550000 2.44450000e-06 2.44450000e-06 0.00000000e+00 0.00000000e+00
1000 745000 3550000 2.45530000e-06 2.45530000e-06 0.00000000e+00 0.00000000e+00
1000 746000 3550000 2.46610000e-06 2.46610000e-06 0.00000000e+00 0.00000000e+00
1000 747000 3550000 2.47700000e-06 2.47700000e-06 0.00000000e+00 0.00000000e+00
1000 748000 3550000 2.48790000e-06 2.48790000e-06 0.00000000e+00 0.00000000e+00
1000 749000 3550000 2.49900000e-06 2.49900000e-06 0.00000000e+00 0.00000000e+00
1000 750000 3550000 2.51020000e-06 2.51020000e-06 0.00000000e+00 0.00000000e+00
1000 650000 3549000 1.84820000e-07 1.84820000e-07 0.00000000e+00 0.00000000e+00
1000 651000 3549000 1.94270000e-07 1.94270000e-07 0.00000000e+00 0.00000000e+00
1000 652000 3549000 2.03000000e-07 2.03000000e-07 0.00000000e+00 0.00000000e+00
1000 653000 3549000 2.11290000e-07 2.11290000e-07 0.00000000e+00 0.00000000e+00
1000 654000 3549000 2.18940000e-07 2.18940000e-07 0.00000000e+00 0.00000000e+00
1000 655000 3549000 2.25940000e-07 2.25940000e-07 0.00000000e+00 0.00000000e+00
1000 656000 3549000 2.32190000e-07 2.32190000e-07 0.00000000e+00 0.00000000e+00
1000 657000 3549000 2.37350000e-07 2.37350000e-07 0.00000000e+00 0.00000000e+00
1000 658000 3549000 2.41400000e-07 2.41400000e-07 0.00000000e+00 0.00000000e+00
1000 659000 3549000 2.43820000e-07 2.43820000e-07 0.00000000e+00 0.00000000e+00
1000 660000 3549000 2.44750000e-07 2.44750000e-07 0.00000000e+00 0.00000000e+00
1000 661000 3549000 2.43910000e-07 2.43910000e-07 0.00000000e+00 0.00000000e+00
1000 662000 3549000 2.41350000e-07 2.41350000e-07 0.00000000e+00 0.00000000e+00
1000 663000 3549000 2.37120000e-07 2.37120000e-07 0.00000000e+00 0.00000000e+00
1000 664000 3549000 2.31600000e-07 2.31600000e-07 0.00000000e+00 0.00000000e+00
1000 665000 3549000 2.25180000e-07 2.25180000e-07 0.00000000e+00 0.00000000e+00
1000 666000 3549000 2.19020000e-07 2.19020000e-07 0.00000000e+00 0.00000000e+00
1000 667000 3549000 2.16720000e-07 2.16720000e-07 0.00000000e+00 0.00000000e+00
1000 668000 3549000 2.17000000e-07 2.17000000e-07 0.00000000e+00 0.00000000e+00
1000 669000 3549000 2.18510000e-07 2.18510000e-07 0.00000000e+00 0.00000000e+00
1000 670000 3549000 2.21130000e-07 2.21130000e-07 0.00000000e+00 0.00000000e+00
1000 671000 3549000 2.24390000e-07 2.24390000e-07 0.00000000e+00 0.00000000e+00
1000 672000 3549000 2.27850000e-07 2.27850000e-07 0.00000000e+00 0.00000000e+00
1000 673000 3549000 2.30880000e-07 2.30880000e-07 0.00000000e+00 0.00000000e+00
1000 674000 3549000 2.33270000e-07 2.33270000e-07 0.00000000e+00 0.00000000e+00
1000 675000 3549000 2.34820000e-07 2.34820000e-07 0.00000000e+00 0.00000000e+00
1000 676000 3549000 2.35440000e-07 2.35440000e-07 0.00000000e+00 0.00000000e+00
1000 677000 3549000 2.35170000e-07 2.35170000e-07 0.00000000e+00 0.00000000e+00
1000 678000 3549000 2.33810000e-07 2.33810000e-07 0.00000000e+00 0.00000000e+00
1000 679000 3549000 2.32420000e-07 2.32420000e-07 0.00000000e+00 0.00000000e+00
1000 680000 3549000 2.32750000e-07 2.32750000e-07 0.00000000e+00 0.00000000e+00
1000 681000 3549000 2.31640000e-07 2.31640000e-07 0.00000000e+00 0.00000000e+00
1000 682000 3549000 2.29040000e-07 2.29040000e-07 0.00000000e+00 0.00000000e+00
1000 683000 3549000 2.24730000e-07 2.24730000e-07 0.00000000e+00 0.00000000e+00
1000 684000 3549000 2.18960000e-07 2.18960000e-07 0.00000000e+00 0.00000000e+00
1000 685000 3549000 2.11440000e-07 2.11440000e-07 0.00000000e+00 0.00000000e+00
1000 686000 3549000 2.02160000e-07 2.02160000e-07 0.00000000e+00 0.00000000e+00
1000 687000 3549000 1.93600000e-07 1.93600000e-07 0.00000000e+00 0.00000000e+00
1000 688000 3549000 1.84860000e-07 1.84860000e-07 0.00000000e+00 0.00000000e+00
1000 689000 3549000 1.74010000e-07 1.74010000e-07 0.00000000e+00 0.00000000e+00
1000 690000 3549000 1.61330000e-07 1.61330000e-07 0.00000000e+00 0.00000000e+00
1000 691000 3549000 1.47260000e-07 1.47260000e-07 0.00000000e+00 0.00000000e+00
1000 692000 3549000 1.34190000e-07 1.34190000e-07 0.00000000e+00 0.00000000e+00
1000 693000 3549000 1.24010000e-07 1.24010000e-07 0.00000000e+00 0.00000000e+00
1000 694000 3549000 1.15310000e-07 1.15310000e-07 0.00000000e+00 0.00000000e+00
1000 695000 3549000 1.09180000e-07 1.09180000e-07 0.00000000e+00 0.00000000e+00
1000 696000 3549000 1.06760000e-07 1.06760000e-07 0.00000000e+00 0.00000000e+00
1000 697000 3549000 1.08890000e-07 1.08890000e-07 0.00000000e+00 0.00000000e+00
1000 698000 3549000 1.16390000e-07 1.16390000e-07 0.00000000e+00 0.00000000e+00
1000 699000 3549000 1.29620000e-07 1.29620000e-07 0.00000000e+00 0.00000000e+00
1000 700000 3549000 1.48810000e-07 1.48810000e-07 0.00000000e+00 0.00000000e+00
1000 701000 3549000 1.74110000e-07 1.74110000e-07 0.00000000e+00 0.00000000e+00
1000 702000 3549000 2.07260000e-07 2.07260000e-07 0.00000000e+00 0.00000000e+00
1000 703000 3549000 2.52420000e-07 2.52420000e-07 0.00000000e+00 0.00000000e+00
1000 704000 3549000 3.05520000e-07 3.05520000e-07 0.00000000e+00 0.00000000e+00
1000 705000 3549000 3.66720000e-07 3.66720000e-07 0.00000000e+00 0.00000000e+00
1000 706000 3549000 4.49250000e-07 4.49250000e-07 0.00000000e+00 0.00000000e+00
1000 707000 3549000 5.44810000e-07 5.44810000e-07 0.00000000e+00 0.00000000e+00
1000 708000 3549000 6.48570000e-07 6.48570000e-07 0.00000000e+00 0.00000000e+00
