s	phi4.0	phi3.9	phi3.8	phi3.7	phi3.6	phi3.5	phi3.4	phi3.3	phi3.2	phi3.1
0	8135.2018	10301.4573	13011.8901	16394.3070	20604.2211	25830.2875	32300.6696	40290.4685	50130.3522	62216.5406
1	8130.3216	10294.3590	13001.5915	16379.4026	20582.7055	25799.3062	32256.1708	40226.7154	50039.2446	62086.6713
2	8125.4443	10287.2656	12991.3009	16364.5118	20561.2123	25768.3621	32211.7332	40163.0632	49948.3027	61957.0729
3	8120.5699	10280.1770	12981.0186	16349.6345	20539.7416	25737.4551	32167.3569	40099.5117	49857.5260	61827.7452
4	8115.6985	10273.0934	12970.7443	16334.7707	20518.2933	25706.5851	32123.0417	40036.0608	49766.9142	61698.6873
5	8110.8300	10266.0146	12960.4782	16319.9204	20496.8674	25675.7522	32078.7876	39972.7103	49676.4672	61569.8989
6	8105.9644	10258.9407	12950.2203	16305.0837	20475.4639	25644.9563	32034.5944	39909.4600	49586.1845	61441.3793
7	8101.1017	10251.8717	12939.9704	16290.2604	20454.0827	25614.1973	31990.4621	39846.3098	49496.0659	61313.1280
8	8096.2420	10244.8075	12929.7287	16275.4506	20432.7239	25583.4752	31946.3906	39783.2596	49406.1111	61185.1443
9	8091.3851	10237.7482	12919.4950	16260.6542	20411.3874	25552.7900	31902.3798	39720.3091	49316.3198	61057.4278
10	8086.5312	10230.6938	12909.2695	16245.8714	20390.0731	25522.1416	31858.4297	39657.4582	49226.6917	60929.9780
11	8081.6802	10223.6442	12899.0520	16231.1019	20368.7811	25491.5299	31814.5401	39594.7068	49137.2265	60802.7941
12	8076.8321	10216.5995	12888.8427	16216.3459	20347.5113	25460.9549	31770.7109	39532.0546	49047.9238	60675.8757
13	8071.9869	10209.5597	12878.6414	16201.6033	20326.2638	25430.4166	31726.9422	39469.5016	48958.7835	60549.2223
14	8067.1446	10202.5247	12868.4482	16186.8741	20305.0384	25399.9150	31683.2337	39407.0476	48869.8051	60422.8332
15	8062.3052	10195.4945	12858.2630	16172.1583	20283.8352	25369.4499	31639.5855	39344.6924	48780.9885	60296.7080
16	8057.4687	10188.4692	12848.0860	16157.4559	20262.6541	25339.0214	31595.9974	39282.4359	48692.3333	60170.8460
17	8052.6351	10181.4488	12837.9170	16142.7668	20241.4952	25308.6293	31552.4693	39220.2778	48603.8392	60045.2468
18	8047.8045	10174.4331	12827.7560	16128.0911	20220.3583	25278.2737	31509.0012	39158.2182	48515.5060	59919.9097
19	8042.9767	10167.4223	12817.6031	16113.4287	20199.2435	25247.9545	31465.5930	39096.2567	48427.3333	59794.8342
20	8038.1518	10160.4164	12807.4582	16098.7797	20178.1508	25217.6717	31422.2446	39034.3933	48339.3208	59670.0198
21	8033.3298	10153.4152	12797.3213	16084.1440	20157.0801	25187.4252	31378.9559	38972.6277	48251.4683	59545.4660
22	8028.5107	10146.4189	12787.1925	16069.5216	20136.0314	25157.2150	31335.7268	38910.9599	48163.7754	59421.1721
23	8023.6945	10139.4274	12777.0716	16054.9124	20115.0047	25127.0410	31292.5573	38849.3897	48076.2419	59297.1377
24	8018.8812	10132.4408	12766.9588	16040.3166	20093.9999	25096.9033	31249.4473	38787.9169	47988.8675	59173.3622
25	8014.0707	10125.4589	12756.8540	16025.7340	20073.0171	25066.8016	31206.3966	38726.5414	47901.6519	59049.8451
26	8009.2632	10118.4819	12746.7572	16011.1647	20052.0561	25036.7361	31163.4053	38665.2630	47814.5949	58926.5858
27	8004.4585	10111.5096	12736.6684	15996.6086	20031.1171	25006.7066	31120.4732	38604.0815	47727.6960	58803.5838
28	7999.6568	10104.5422	12726.5875	15982.0658	20010.1999	24976.7131	31077.6002	38542.9969	47640.9550	58680.8385
29	7994.8579	10097.5796	12716.5147	15967.5362	19989.3046	24946.7557	31034.7863	38482.0089	47554.3717	58558.3495
30	7990.0618	10090.6217	12706.4498	15953.0198	19968.4311	24916.8341	30992.0314	38421.1174	47467.9458	58436.1161
