i	x_from_vent	y_from_vent	x_coord	y_coord	cloud_sigma2	mass_released
0	9847.2644	-14554.4559	687810.2644	3517608.5441	5649672.0102	1.7765e+06
1	11270.1028	-16930.5940	689233.1028	3515232.4060	6057604.4417	1.7689e+06
2	12726.0048	-19323.8989	690689.0048	3512839.1011	6450778.4035	1.7614e+06
3	14264.5824	-21708.0259	692227.5824	3510454.9741	6834463.2411	1.7540e+06
4	15892.1020	-24065.8460	693855.1020	3508097.1540	7211755.5156	1.7465e+06
5	17595.0526	-26382.0381	695558.0526	3505780.9619	68283367.6972	1.7391e+06
6	19354.0647	-28643.3109	697317.0647	3503519.6891	76847135.1507	1.7318e+06
7	21179.5550	-30845.8166	699142.5550	3501317.1834	85628535.5048	1.7244e+06
8	23041.4870	-32959.2084	701004.4870	3499203.7916	94549648.0437	1.7171e+06
9	24890.2257	-34975.8321	702853.2257	3497187.1679	103568664.4908	1.7098e+06
10	26734.9192	-36896.5994	704697.9192	3495266.4006	112667409.2126	1.7026e+06
11	28589.2788	-38719.6924	706552.2788	3493443.3076	121831708.8265	1.6954e+06
12	30410.7149	-40465.6659	708373.7149	3491697.3341	131052710.1360	1.6882e+06
13	32246.8311	-42121.4238	710209.8311	3490041.5762	140309650.4075	1.6811e+06
14	34054.6058	-43706.5792	712017.6058	3488456.4208	149592585.2405	1.6740e+06
15	35855.3818	-45216.1733	713818.3818	3486946.8267	158883199.2380	1.6669e+06
16	37637.7359	-46656.6692	715600.7359	3485506.3308	168167506.1388	1.6598e+06
17	39402.4904	-48030.8811	717365.4904	3484132.1189	177430039.1696	1.6528e+06
18	41146.7813	-49341.0375	719109.7813	3482821.9625	186656011.8949	1.6458e+06
19	42873.1092	-50588.3060	720836.1092	3481574.6940	195830086.2063	1.6388e+06
20	44566.4331	-51781.7927	722529.4331	3480381.2073	204940020.3111	1.6319e+06
21	46250.7971	-52909.1434	724213.7971	3479253.8566	213967344.8316	1.6250e+06
