x(m)	y(m)	z(m)	distfromvent(m)	ttlmassloading(kg/sq-m)	F(percent)	Mean(phi)	5phi	4phi	3phi	2phi	1phi	0phi	-1phi	-2phi	-3phi	-4phi
733000	3514000	60	57956.6	8.8676e-03	99.9993	3.0147	2.2005e-06	1.3030e-04	8.7327e-03	5.1914e-07	1.8369e-06	6.1660e-08	4.5669e-11	7.7030e-15	2.5522e-20	4.8609e-28
734000	3514000	0	58907.0	9.3529e-03	99.9997	3.0156	2.3014e-06	1.4313e-04	9.2064e-03	2.5001e-07	8.4418e-07	2.6308e-08	1.7170e-11	2.5316e-15	6.8878e-21	9.8669e-29
735000	3514000	0	59859.1	9.1302e-03	99.9999	3.0156	2.3090e-06	1.3886e-04	8.9886e-03	1.0876e-07	3.6111e-07	1.0645e-08	6.1620e-12	7.9592e-16	1.7797e-21	1.9172e-29
736000	3514000	0	60812.7	8.8828e-03	100.0000	3.0157	2.3157e-06	1.3505e-04	8.7453e-03	4.6384e-08	1.5093e-07	4.1924e-09	2.1463e-12	2.4250e-16	4.4509e-22	3.6023e-30
737000	3514000	0	61767.8	8.6135e-03	100.0000	3.0158	2.3216e-06	1.3167e-04	8.4795e-03	1.9396e-08	6.1636e-08	1.6071e-09	7.2562e-13	7.1604e-17	1.0774e-22	6.5453e-31
738000	3514000	0	62724.3	8.3254e-03	100.0000	3.0160	2.3267e-06	1.2870e-04	8.1944e-03	7.9520e-09	2.4596e-08	5.9966e-10	2.3810e-13	2.0489e-17	2.5246e-23	1.1500e-31
739000	3514000	0	63682.1	8.0217e-03	100.0000	3.0163	2.3310e-06	1.2609e-04	7.8933e-03	3.1965e-09	9.5919e-09	2.1780e-10	7.5828e-14	5.6818e-18	5.7257e-24	1.9540e-32
740000	3514000	0	64641.2	7.7055e-03	100.0000	3.0167	2.3345e-06	1.2383e-04	7.5794e-03	1.2599e-09	3.6556e-09	7.6998e-11	2.3439e-14	1.5269e-18	1.2569e-24	3.2106e-33
741000	3514000	0	65601.5	7.3801e-03	100.0000	3.0171	2.3372e-06	1.2189e-04	7.2559e-03	4.8689e-10	1.3617e-09	2.6497e-11	7.0322e-15	3.9766e-19	2.6706e-25	5.1010e-34
742000	3514000	0	66563.0	7.0485e-03	100.0000	3.0177	2.3391e-06	1.2025e-04	6.9259e-03	1.8450e-10	4.9575e-10	8.8763e-12	2.0477e-15	1.0036e-19	5.4924e-26	7.8372e-35
743000	3514000	0	67525.6	6.7137e-03	100.0000	3.0184	2.3403e-06	1.1889e-04	6.5924e-03	6.8553e-11	1.7643e-10	2.8944e-12	5.7876e-16	2.4547e-20	1.0933e-26	1.1643e-35
744000	3514000	0	68489.3	6.3783e-03	100.0000	3.0192	2.3406e-06	1.1778e-04	6.2581e-03	2.4978e-11	6.1382e-11	9.1877e-13	1.5877e-16	5.8183e-21	2.1065e-27	1.6727e-36
745000	3514000	0	69454.0	6.0448e-03	100.0000	3.0201	2.3403e-06	1.1692e-04	5.9255e-03	8.9244e-12	2.0878e-11	2.8390e-13	4.2273e-17	1.3365e-21	3.9284e-28	2.3238e-37
746000	3514000	0	70419.7	5.7155e-03	100.0000	3.0212	2.3392e-06	1.1628e-04	5.5969e-03	3.1270e-12	6.9431e-12	8.5400e-14	1.0925e-17	2.9749e-22	7.0908e-29	3.1216e-38
747000	3514000	0	71386.3	5.3924e-03	100.0000	3.0224	2.3373e-06	1.1585e-04	5.2742e-03	1.0745e-12	2.2578e-12	2.5008e-14	2.7402e-18	6.4175e-23	1.2388e-29	4.0548e-39
748000	3514000	0	72353.8	5.0771e-03	100.0000	3.0237	2.3348e-06	1.1562e-04	4.9592e-03	3.6212e-13	7.1797e-13	7.1289e-15	6.6713e-19	1.3416e-23	2.0948e-30	5.0929e-40
749000	3514000	0	73322.2	4.7712e-03	100.0000	3.0252	2.3316e-06	1.1556e-04	4.6533e-03	1.1970e-13	2.2329e-13	1.9784e-15	1.5764e-19	2.7179e-24	3.4285e-31	6.1821e-41
750000	3514000	0	74291.5	4.4758e-03	100.0000	3.0269	2.3278e-06	1.1567e-04	4.3578e-03	3.8808e-14	6.7918e-14	5.3449e-16	3.6157e-20	5.3358e-25	5.4311e-32	7.2251e-42
650000	3513000	31	33899.1	1.2516e-06	100.0000	4.3191	3.9989e-07	8.5122e-07	5.3515e-10	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
651000	3513000	28	33079.1	1.4199e-06	100.0000	4.2935	4.1765e-07	1.0013e-06	8.8487e-10	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
652000	3513000	26	32269.1	1.6115e-06	100.0000	4.2689	4.3484e-07	1.1752e-06	1.4462e-09	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
653000	3513000	25	31470.2	1.8335e-06	100.0000	4.2451	4.5179e-07	1.3793e-06	2.3445e-09	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
654000	3513000	24	30683.0	2.0934e-06	100.0000	4.2221	4.6861e-07	1.6210e-06	3.7729e-09	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
655000	3513000	23	29908.5	2.4008e-06	100.0000	4.1997	4.8541e-07	1.9094e-06	6.0310e-09	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
656000	3513000	23	29147.8	2.7670e-06	100.0000	4.1780	5.0215e-07	2.2553e-06	9.5698e-09	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
657000	3513000	24	28401.9	3.2062e-06	100.0000	4.1571	5.1882e-07	2.6723e-06	1.5063e-08	0.0000e+00	0.0000e+00	4.9045e-44	3.5032e-44	0.0000e+00	0.0000e+00	0.0000e+00
