s	phi-2.0	phi-2.1	phi-2.2	phi-2.3	phi-2.4	phi-2.5	phi-2.6	phi-2.7	phi-2.8	phi-2.9
0	3013969.5174	2957829.5487	2895390.4723	2827094.6312	2753418.5754	2674867.5353	2591969.6719	2505270.1928	2415325.4255	2322696.9389
1	2852864.1296	2794306.4531	2729838.9068	2659919.5147	2585037.5741	2505707.9638	2422465.2668	2335857.7993	2246441.6398	2154774.7470
2	2700370.2908	2639823.7036	2573753.1874	2502629.9957	2426953.6493	2347246.1036	2264045.7688	2177901.4792	2089366.5043	1998992.6936
3	2556027.6887	2493881.5062	2426592.0796	2354641.5073	2278537.0994	2198805.4276	2115986.2697	2030626.5452	1943274.3375	1854473.0927
4	2419400.6161	2356007.6980	2287845.2952	2215404.0499	2139196.7312	2059752.1926	1977609.2671	1893310.6963	1807397.1909	1720401.7116
5	2290076.6558	2225756.2194	2157031.7231	2084400.1472	2008377.5050	1929492.7335	1848281.5646	1765280.4752	1681020.8126	1596023.1835
6	2167665.4351	2102705.6714	2033697.7610	1961142.9228	1885558.3237	1807470.9288	1727411.3744	1645907.9655	1563480.8920	1480636.7520
7	2051797.4483	1986457.9516	1917415.7426	1845174.2909	1770249.9571	1693165.8263	1614445.6091	1534607.7119	1454159.5686	1373592.3225
8	1942122.9404	1876636.9669	1807782.4545	1736063.2539	1661993.0932	1586089.4190	1508867.3512	1430833.8490	1352482.1837	1274286.7998
9	1838310.8522	1772887.4164	1704417.7380	1633404.3002	1560356.5082	1485784.5617	1410193.4872	1334077.4242	1257914.2597	1182160.6903
10	1740047.8203	1674873.6419	1606963.1709	1536815.8977	1464935.3494	1391823.0191	1317972.4975	1243863.9014	1169958.6906	1096694.9496
11	1647037.2317	1582278.5420	1515080.8251	1445939.0753	1375349.5221	1303803.6378	1231782.3902	1159750.8340	1088153.1291	1017408.0583
12	1558998.3281	1494802.5461	1428452.0941	1360436.0891	1291242.1758	1221350.6334	1151228.7697	1081325.6944	1012067.5557	943853.3089
13	1475665.3585	1412162.6456	1346776.5886	1279989.1670	1212278.2826	1144111.9863	1075943.0324	1008203.8513	941302.0189	875616.2893
14	1396786.7772	1334091.4777	1269771.0949	1204299.3277	1138143.3026	1071757.9385	1005580.6799	940026.6830	875484.5325	812312.5478
15	1322124.4841	1260336.4608	1197168.5929	1133085.2700	1068541.9312	1003979.5864	939819.7426	876459.8187	814269.1200	753585.4271
16	1251453.1066	1190658.9773	1128717.3299	1066082.3264	1003196.9227	940487.5613	878359.3065	817191.4987	757333.9965	699104.0548
17	1184559.3185	1124833.6015	1064179.9479	1003041.4805	941847.9859	881010.7945	820918.1360	761931.0449	704379.8765	648561.4794
18	1121241.1970	1062647.3702	1003332.6604	943728.4407	884250.7472	825295.3594	767233.3873	710407.4358	655128.4013	601672.9407
19	1061307.6121	1003899.0939	945964.4766	887922.7700	830175.7774	773103.3882	717059.4056	662367.9771	609320.6757	558174.2658
20	1004577.6507	948398.7059	891876.4697	835417.0665	779407.6778	724212.0558	670166.6007	617577.0621	566715.9064	517820.3804
21	950880.0698	895966.6473	840881.0868	786016.1926	731744.2218	678412.6285	626340.3970	575815.0164	527090.1373	480383.9280
22	900052.7799	846433.2860	792801.4990	739536.5498	686995.5498	635509.5733	585380.2509	536877.0206	490235.0714	445653.9894
23	851942.3557	799638.3680	747470.9881	695805.3965	644983.4127	595319.7225	547098.7338	500572.1058	455956.9762	413434.8938
24	806403.5728	755430.4990	704732.3684	654660.2056	605540.4621	557671.4922	511320.6742	466722.2165	424075.6655	383545.1168
25	763298.9695	713666.6544	664437.4417	615948.0610	568509.5834	522404.1493	477882.3559	435161.3382	394423.5520	355816.2575
26	722498.4320	674211.7167	626446.4834	579525.0889	533743.2701	489367.1256	446630.7694	405734.6823	366844.7661	330092.0896
27	683878.8012	636938.0384	590627.7581	545255.9233	501103.0363	458419.3750	417422.9111	378297.9276	341194.3373	306227.6817
28	647323.5013	601725.0290	556857.0626	513013.2026	470458.8648	429428.7712	390125.1294	352716.5123	317337.4314	284088.5801
29	612722.1880	568458.7647	525017.2954	482677.0968	441688.6896	402271.5434	364612.5130	328864.9738	295148.6422	263550.0517
30	579970.4149	537031.6201	494998.0507	454134.8616	414677.9095	376831.7484	340768.3192	306626.3336	274511.3320	244496.3811
31	548969.3188	507341.9198	466695.2352	427280.4197	389318.9313	353000.7750	318483.4399	285891.5237	255317.0187	226820.2187
32	519625.3210	479293.6094	440010.7077	402013.9666	365510.7417	330676.8808	297655.9022	266558.8516	237464.8054	210421.9760
33	491849.8447	452795.9450	414851.9382	378241.5994	343158.5047	309764.7576	278190.4018	248533.5012	220860.8502	195209.2640
34	465559.0480	427763.1994	391131.6875	355874.9680	322173.1837	290175.1245	259997.8670	231727.0683	205417.8725	181096.3736
35	440673.5704	404114.3848	368767.7045	334830.9469	302471.1872	271824.3467	242995.0508	216057.1269	191054.6950	168003.7916
36	417118.2935	381772.9909	347682.4411	315031.3258	283974.0354	254634.0786	227104.1506	201446.8245	177695.8159	155857.7538
37	394822.1143	360666.7370	327802.7831	296402.5194	266608.0479	238530.9292	212252.4513	187824.5059	165271.0131	144589.8285
38	373717.7304	340727.3388	309059.7968	278875.2937	250304.0502	223446.1486	198371.9936	175123.3613	153714.9743	134136.5315
