s	phi1.0	phi0.9	phi0.8	phi0.7	phi0.6	phi0.5	phi0.4	phi0.3	phi0.2	phi0.1
0	968478.3360	1061174.1452	1159804.8860	1264398.0623	1374935.5714	1491349.6220	1613518.9294	1741265.2738	1874350.5069	2012474.0928
1	957466.3488	1048247.4480	1144669.3351	1246721.5795	1354344.5216	1467425.0570	1585792.7328	1709216.2477	1837400.4508	1969983.9348
2	946579.5722	1035478.2175	1129731.3044	1229292.2168	1334061.8436	1443884.2953	1558542.9745	1677757.1030	1801178.8106	1928390.8881
3	935816.5827	1022864.5354	1114988.2163	1212106.5192	1314082.9192	1420721.1798	1531761.4673	1646876.9827	1765671.2265	1887676.0119
4	925175.9727	1010404.5069	1100437.5267	1195161.0804	1294403.1993	1397929.6521	1505440.1650	1616565.2294	1730863.6221	1847820.7648
5	914656.3507	998096.2603	1086076.7249	1178452.5415	1275018.2032	1375503.7513	1479571.1597	1586811.3820	1696742.1983	1808806.9973
6	904256.3410	985937.9467	1071903.3327	1161977.5906	1255923.5170	1353437.6118	1454146.6790	1557605.1719	1663293.4281	1770616.9428
7	893974.5836	973927.7396	1057914.9045	1145732.9621	1237114.7929	1331725.4622	1429159.0846	1528936.5196	1630504.0510	1733233.2100
8	883809.7339	962063.8349	1044109.0264	1129715.4360	1218587.7486	1310361.6238	1404600.8691	1500795.5309	1598361.0682	1696638.7746
9	873760.4626	950344.4504	1030483.3162	1113921.8374	1200338.1654	1289340.5089	1380464.6541	1473172.4938	1566851.7368	1660816.9720
10	863825.4555	938767.8257	1017035.4226	1098349.0358	1182361.8883	1268656.6194	1356743.1882	1446057.8753	1535963.5655	1625751.4892
11	854003.4135	927332.2216	1003763.0252	1082993.9445	1164654.8240	1248304.5455	1333429.3444	1419442.3175	1505684.3089	1591426.3578
12	844293.0521	916035.9204	990663.8337	1067853.5197	1147212.9409	1228278.9642	1310516.1183	1393316.6349	1476001.9632	1557825.9464
13	834693.1013	904877.2251	977735.5877	1052924.7604	1130032.2676	1208574.6377	1287996.6258	1367671.8110	1446904.7611	1524934.9536
14	825202.3059	893854.4595	964976.0564	1038204.7075	1113108.8923	1189186.4124	1265864.1011	1342498.9955	1418381.1675	1492738.4014
15	815819.4245	882965.9678	952383.0381	1023690.4432	1096438.9617	1170109.2174	1244111.8947	1317789.5006	1390419.8745	1461221.6277
16	806543.2304	872210.1143	939954.3597	1009379.0906	1080018.6801	1151338.0630	1222733.4713	1293534.7987	1363009.7971	1430370.2800
17	797372.5102	861585.2833	927687.8766	995267.8130	1063844.3088	1132868.0397	1201722.4079	1269726.5191	1336140.0690	1400170.3090
18	788306.0649	851089.8787	915581.4722	981353.8133	1047912.1650	1114694.3167	1181072.3919	1246356.4451	1309800.0380	1370607.9618
19	779342.7086	840722.3239	903633.0573	967634.3334	1032218.6213	1096812.1406	1160777.2193	1223416.5112	1283979.2618	1341669.7761
20	770481.2693	830481.0615	891840.5702	954106.6540	1016760.1042	1079216.8343	1140830.7924	1200898.8005	1258667.5041	1313342.5738
21	761720.5881	820364.5531	880201.9761	940768.0937	1001533.0940	1061903.7960	1121227.1187	1178795.5417	1233854.7304	1285613.4548
22	753059.5194	810371.2790	868715.2666	927616.0086	986534.1237	1044868.4972	1101960.3082	1157099.1066	1209531.1040	1258469.7916
23	744496.9306	800499.7379	857378.4597	914647.7916	971759.7781	1028106.4826	1083024.5724	1135802.0073	1185686.9820	1231899.2233
24	736031.7017	790748.4471	846189.5990	901860.8724	957206.6933	1011613.3679	1064414.2224	1114896.8938	1162312.9117	1205889.6498
25	727662.7260	781115.9417	835146.7539	889252.7163	942871.5556	995384.8395	1046123.6666	1094376.5514	1139399.6267	1180429.2268
26	719388.9088	771600.7747	824248.0188	876820.8242	928751.1011	979416.6527	1028147.4100	1074233.8981	1116938.0433	1155506.3596
27	711209.1683	762201.5168	813491.5132	864562.7318	914842.1147	963704.6312	1010480.0516	1054461.9824	1094919.2570	1131109.6988
28	703122.4347	752916.7559	802875.3808	852476.0096	901141.4294	948244.6655	993116.2835	1035053.9806	1073334.5385	1107228.1343
29	695127.6505	743745.0974	792397.7899	840558.2616	887645.9257	933032.7120	976050.8889	1016003.1946	1052175.3309	1083850.7906
30	687223.7702	734685.1635	782056.9324	828807.1256	874352.5309	918064.7921	959278.7406	997303.0497	1031433.2459	1060967.0220
31	679409.7602	725735.5932	771851.0239	817220.2723	861258.2180	903336.9909	942794.7996	978947.0922	1011100.0605	1038566.4075
32	671684.5986	716895.0421	761778.3034	805795.4050	848360.0058	888845.4564	926594.1134	960928.9870	991167.7139	1016638.7459
33	664047.2753	708162.1823	751837.0328	794530.2591	835654.9572	874586.3983	910671.8146	943242.5157	971628.3041	995174.0517
34	656496.7913	699535.7018	742025.4966	783422.6018	823140.1797	860556.0873	895023.1196	925881.5745	952474.0850	974162.5500
35	649032.1594	691014.3048	732342.0017	772470.2312	810812.8235	846750.8536	879643.3267	908840.1718	933697.4630	953594.6724
36	641652.4033	682596.7113	722784.8773	761670.9765	798670.0820	833167.0866	864527.8153	892112.4263	915290.9944	933461.0526
37	634356.5580	674281.6567	713352.4741	751022.6971	786709.1904	819801.2334	849672.0441	875692.5649	897247.3823	913752.5217
38	627143.6695	666067.8919	704043.1646	740523.2823	774927.4251	806649.7983	835071.5497	859574.9209	879559.4733	894460.1049
39	620012.7943	657954.1832	694855.3424	730170.6509	763322.1037	793709.3414	820721.9456	843753.9317	862220.2554	875575.0165
40	612963.0001	649939.3117	685787.4220	719962.7510	751890.5837	780976.4782	806618.9205	828224.1373	845222.8546	857088.6563
41	605993.3648	642022.0733	676837.8387	709897.5591	740630.2623	768447.8785	792758.2373	812980.1779	828560.5324	838992.6060
42	599102.9771	634201.2788	668005.0482	699973.0801	729538.5756	756120.2653	779135.7317	798016.7928	812226.6834	821278.6247
43	592290.9359	626475.7534	659287.5264	690187.3469	718612.9981	743990.4145	765747.3109	783328.8177	796214.8322	803938.6456
