s	phi-1.0	phi-1.1	phi-1.2	phi-1.3	phi-1.4	phi-1.5	phi-1.6	phi-1.7	phi-1.8	phi-1.9
0	3233171.1450	3254131.8930	3266971.1467	3271589.2268	3267948.3420	3256073.0973	3236050.2184	3208027.4967	3172211.9721	3128867.3866
1	3107336.3836	3123106.1466	3130887.5522	3130612.5452	3122274.8881	3105930.3401	3081696.0440	3049749.1323	3010324.5748	2963712.3046
2	2986399.1011	2997356.0764	3000472.4329	2995710.7169	2983095.0360	2962710.9065	2934704.3051	2899279.9406	2856698.7721	2807274.8183
3	2870168.6878	2876669.2603	2875489.6720	2866621.9693	2850119.3241	2826095.5508	2794723.8260	2756234.6308	2710912.9503	2659094.7756
4	2758461.9529	2760841.8294	2755712.9881	2743095.8098	2723071.1941	2695779.7485	2661420.1812	2620246.9220	2572567.0120	2518736.3130
5	2651102.8352	2649678.1233	2640925.5254	2624892.5398	2601686.4154	2571473.0170	2534474.8969	2490968.6045	2441281.2777	2385786.5740
6	2547922.1257	2542990.3598	2530919.4611	2511782.7897	2485712.5363	2452898.2684	2413584.6900	2368068.6491	2316695.4443	2259854.4942
7	2448757.2011	2440598.3176	2425495.6290	2403547.0737	2374908.3581	2339791.1919	2298460.7435	2251232.3586	2198467.5960	2140569.6514
8	2353451.7674	2342329.0321	2324463.1593	2299975.3637	2269043.4340	2231899.6642	2188828.0164	2140160.5626	2086273.2659	2027581.1758
9	2261855.6136	2248016.5027	2227639.1325	2200866.6822	2167897.5897	2128983.1880	2084424.5867	2034568.8513	1979804.5456	1920556.7180
10	2173824.3747	2157501.4130	2134848.2486	2106028.7120	2071260.4656	2030812.3557	1985001.0258	1934186.8470	1878769.2403	1819181.4716
11	2089219.3045	2070630.8612	2045922.5097	2015277.4231	1978931.0790	1937168.3381	1890319.8021	1838757.5120	1782890.0666	1723157.2468
12	2007907.0569	1987258.1022	1960700.9156	1928436.7154	1890717.4063	1847842.3965	1800154.7142	1748036.4905	1691903.8919	1632201.5937
13	1929759.4755	1907242.2993	1879029.1725	1845338.0774	1806435.9838	1762635.4174	1714290.3499	1661791.4827	1605561.0120	1546046.9714
14	1854653.3916	1830448.2866	1800759.4136	1765820.2588	1725911.5258	1681357.4689	1632521.5720	1579801.6500	1523624.4655	1464439.9606
15	1782470.4305	1756746.3407	1725749.9315	1689728.9579	1648976.5603	1603827.3771	1554653.0278	1501857.0496	1445869.3844	1387140.5190
16	1713096.8245	1686011.9611	1653864.9214	1616916.5218	1575471.0804	1529872.3223	1480498.6827	1427758.0970	1372082.3760	1313921.2745
17	1646423.2336	1618125.6605	1584974.2355	1547241.6605	1505242.2121	1459327.4537	1409881.3756	1357315.0548	1302060.9377	1244566.8567
18	1582344.5735	1552972.7628	1518953.1470	1480569.1721	1438143.8957	1392035.5223	1342632.3958	1290347.5469	1235612.9014	1178873.2635
19	1520759.8498	1490443.2090	1455682.1248	1416769.6806	1374036.5823	1327846.5299	1278591.0797	1226684.0966	1172555.9057	1116647.2607
20	1461571.9985	1430431.3716	1395046.6166	1355719.3854	1312786.9438	1266617.3949	1217604.4271	1166161.6875	1112716.8957	1057705.8141
21	1404687.7337	1372835.8763	1336936.8417	1297299.8202	1254267.5951	1208211.6337	1159526.7356	1108625.3463	1055931.6481	1001875.5507
22	1350017.3999	1317559.4304	1281247.5923	1241397.6237	1198356.8299	1152499.0558	1104219.2528	1053927.7458	1002044.3204	948992.2487
23	1297474.8310	1264508.6588	1227878.0429	1187904.3196	1144938.3666	1099355.4743	1051549.8442	1001928.8275	950907.0230	898900.3550
24	1246977.2148	1213593.9460	1176731.5681	1136716.1057	1093901.1075	1048662.4287	1001392.6782	952495.4432	902379.4137	851452.5269
25	1198444.9617	1164729.2848	1127715.5669	1087733.6530	1045138.9069	1000306.9208	953627.9250	905501.0141	856328.3125	806509.1993
26	1151801.5800	1117832.1310	1080741.2960	1040861.9126	998550.3509	954181.1630	908141.4704	860825.2064	812627.3357	763938.1739
27	1106973.5550	1072823.2640	1035723.7082	996009.9314	954038.5461	910182.3379	864824.6436	818353.6235	771156.5495	723614.2303
28	1063890.2331	1029626.6532	992581.2993	953090.6756	911510.9185	868212.3693	823573.9569	777977.5129	731802.1407	685418.7580
29	1022483.7106	988169.3291	951235.9599	912020.8617	870879.0205	828177.7033	784290.8588	739593.4877	694456.1043	649239.4071
30	982688.7267	948381.2602	911612.8342	872720.7951	832058.3472	789989.1000	746881.4986	703103.2620	659015.9470	614969.7580
31	944442.5604	910195.2350	873640.1844	835114.2152	794968.1608	753561.4345	711256.5023	668413.3990	625384.4061	582509.0083
32	907684.9317	873546.7481	837249.2610	799128.1476	759531.3223	718813.5071	677330.7586	635435.0721	593469.1827	551761.6767
33	872357.9071	838373.8914	802374.1783	764692.7627	725674.1313	685667.8625	645023.2161	604083.8371	563182.6879	522637.3216
34	838405.8074	804617.2495	768951.7949	731741.2395	693326.1729	654050.6167	614256.6892	574279.4162	534441.8029	495050.2752
35	805775.1206	772219.7994	736921.5995	700209.6368	662420.1708	623891.2929	584957.6742	545945.4924	507167.6506	468919.3918
36	774414.4176	741126.8140	706225.6014	670036.7685	632891.8478	595122.6639	557056.1730	519009.5139	481285.3793	444167.8089
37	744274.2707	711285.7697	676808.2255	641164.0850	604679.7919	567680.6025	530485.5267	493402.5087	456723.9571	420722.7210
38	715307.1758	682646.2578	648616.2116	613535.5599	577725.3285	541503.9387	505182.2558	469058.9075	433415.9773	398515.1657
39	687467.4780	655159.8994	621598.5180	587097.5809	551972.3988	516534.3229	481085.9084	445916.3762	411297.4728	377479.8207
40	660711.2989	628780.2634	595706.2291	561798.8459	527367.4426	492716.0961	458138.9165	423915.6562	390307.7414	357554.8117
41	634996.4682	603462.7883	570892.4670	537590.2636	503859.2874	469996.1660	436286.4577	403000.4126	370389.1783	338681.5304
42	610282.4566	579164.7067	547112.3063	514424.8580	481399.0417	448323.8883	415476.3245	383117.0898	351487.1186	320804.4621
43	586530.3124	555844.9733	524322.6929	492257.6774	459939.9935	427650.9542	395658.7998	364214.7748	333549.6871	303871.0224
44	563702.5998	533464.1956	502482.3664	471045.7070	439437.5129	407931.2822	376786.5379	346245.0663	316527.6560	287831.4025
45	541763.3398	511984.5671	481551.7847	450747.7857	419848.9596	389120.9160	358814.4512	329161.9513	300374.3098	272638.4227
46	520677.9541	491369.8033	461493.0529	431324.5260	401133.5940	371177.9259	341699.6030	312921.6867	285045.3167	258247.3938
47	500413.2100	471585.0812	442269.8549	412738.2378	383252.4924	354062.3160	325401.1043	297482.6879	270498.6077	244615.9853
48	480937.1680	452596.9795	423847.3868	394952.8548	366168.4665	337735.9342	309880.0168	282805.4218	256694.2605	231704.1012
49	462219.1320	434373.4228	406192.2949	377933.8653	349845.9853	322162.3882	295099.2591	268852.3058	243594.3901	219473.7618
50	444229.6005	416883.6272	389272.6145	361648.2443	334251.1020	307306.9633	281023.5188	255587.6118	231163.0450	207888.9924
51	426940.2201	400098.0480	373057.7127	346064.3901	319351.3829	293136.5459	267619.1677	242977.3741	219366.1083	196915.7170
52	410323.7411	383988.3306	357518.2321	331152.0628	305115.8399	279619.5493	254854.1817	230989.3032	208171.2044	186521.6583
53	394353.9740	368527.2616	342626.0388	316882.3255	291514.8666	266725.8430	242698.0642	219592.7022	197547.6096	176676.2427
54	379005.7490	353688.7237	328354.1702	303227.4882	278520.1761	254426.6862	231121.7731	208758.3893	187466.1684	167350.5105
55	364254.8757	339447.6509	314676.7871	290161.0541	266104.7423	242694.6633	220097.6517	198458.6221	177899.2131	158517.0305
56	350078.1051	325779.9868	301569.1267	277657.6682	254242.7443	231503.6228	209599.3624	188667.0271	168820.4880	150149.8197
57	336453.0934	312662.6432	289007.4576	265693.0681	242909.5117	220828.6192	199601.8239	179358.5319	160205.0772	142224.2662
58	323358.3660	300073.4620	276969.0367	254244.0369	232081.4741	210645.8571	190081.1513	170509.3013	152029.3363	134717.0575
59	310773.2844	287991.1769	265432.0685	243288.3582	221736.1117	200932.6385	181014.5988	162096.6760	144270.8278	127606.1116
60	298678.0131	276395.3780	254375.6654	232804.7726	211851.9085	191667.3120	172380.5057	154099.1146	136908.2590	120870.5121
61	287053.4888	265266.4773	243779.8097	222772.9373	202408.3078	182829.2245	164158.2443	146496.1387	129921.4240	114490.4464
62	275881.3901	254585.6754	233625.3176	213173.3858	193385.6691	174398.6755	156328.1711	139268.2801	123291.1479	108447.1481
63	265144.1085	244334.9298	223893.8044	203987.4903	184765.2273	166356.8726	148871.5792	132397.0311	116999.2345	102722.8410
64	254824.7211	234496.9246	214567.6511	195197.4261	176529.0541	158685.8902	141770.6542	125864.7974	111028.4161	97300.6875
65	244906.9634	225055.0410	205629.9728	186786.1362	168660.0199	151368.6291	135008.4315	119654.8524	105362.3063	92164.7386
66	235375.2041	215993.3294	197064.5877	178737.2988	161141.7592	144388.7786	128568.7555	113751.2950	99985.3549	87299.8872
67	226214.4200	207296.4824	188855.9883	171035.2955	153958.6357	137730.7803	122436.2412	108139.0087	94882.8054	82691.8236
68	217410.1729	198949.8089	180989.3128	163665.1806	147095.7101	131379.7929	116596.2376	102803.6226	90040.6540	78326.9933
69	208948.5865	190939.2094	173450.3187	156612.6528	140538.7092	125321.6598	111034.7924	97731.4749	85445.6121	74192.5576
70	200816.3243	183251.1521	166225.3566	149864.0268	134273.9960	119542.8769	105738.6188	92909.5779	81085.0687	70276.3553
71	193000.5690	175872.6500	159301.3456	143406.2071	128288.5413	114030.5629	100695.0638	88325.5848	76947.0569	66566.8669
72	185489.0024	168791.2391	152665.7499	137226.6626	122569.8968	108772.4306	95892.0780	83967.7577	73020.2201	63053.1812
73	178269.7853	161994.9571	146306.5557	131313.4021	117106.1690	103756.7592	91318.1865	79824.9381	69293.7814	59724.9631
74	171331.5396	155472.3234	140212.2497	125654.9510	111885.9946	98972.3685	86962.4620	75886.5178	65757.5139	56572.4226
75	164663.3298	149212.3199	134371.7981	120240.3293	106898.5170	94408.5937	82814.4982	72142.4121	62401.7127	53586.2867
76	158254.6462	143204.3717	128774.6267	115059.0301	102133.3633	90055.2619	78864.3854	68583.0339	59217.1680	50757.7719
77	152095.3881	137438.3302	123410.6020	110100.9992	97580.6231	85902.6692	75102.6863	65199.2692	56195.1401	48078.5584
78	146175.8478	131904.4550	118270.0123	105356.6159	93230.8278	81941.5593	71520.4140	61982.4533	53327.3352	45540.7652
79	140486.6956	126593.3981	113343.5505	100816.6736	89074.9308	78163.1024	68109.0101	58924.3494	50605.8829	43136.9277
80	135018.9646	121496.1878	108622.2974	96472.3629	85104.2888	74558.8763	64860.3244	56017.1270	48023.3144	40859.9751
81	129764.0374	116604.2138	104097.7050	92315.2538	81310.6439	71120.8469	61766.5955	53253.3417	45572.5421	38703.2098
82	124713.6315	111909.2123	99761.5817	88337.2794	77686.1061	67841.3504	58820.4324	50625.9166	43246.8399	36660.2879
83	119859.7869	107403.2523	95606.0768	84530.7207	74223.1372	64713.0769	56014.7963	48128.1240	41039.8253	34725.2001
84	115194.8537	103078.7222	91623.6668	80888.1911	70914.5351	61729.0530	53342.9844	45753.5681	38945.4411	32892.2547
85	110711.4792	98928.3168	87807.1415	77402.6225	67753.4186	58882.6273	50798.6134	43496.1685	36957.9396	31156.0600
86	106402.5973	94945.0251	84149.5912	74067.2512	64733.2135	56167.4548	48375.6046	41350.1450	35071.8662	29511.5091
87	102261.4168	91122.1184	80644.3937	70875.6050	61847.6382	53577.4833	46068.1693	39310.0025	33282.0447	27953.7647
88	98281.4106	87453.1388	77285.2031	67821.4906	59090.6916	51106.9396	43870.7948	37370.5170	31583.5631	26478.2447
89	94456.3060	83931.8885	74065.9374	64898.9817	56456.6399	48750.3166	41778.2314	35526.7222	29971.7601	25080.6090
90	90780.0742	80552.4194	70980.7681	62102.4072	53940.0047	46502.3612	39785.4797	33773.8970	28442.2122	23756.7466
91	87246.9210	77309.0226	68024.1096	59426.3404	51535.5521	44358.0627	37887.7790	32107.5530	26990.7216	22502.7633
92	83851.2778	74196.2193	65190.6088	56865.5885	49238.2814	42312.6412	36080.5954	30523.4235	25613.3049	21314.9706
93	80587.7928	71208.7513	62475.1356	54415.1825	47043.4149	40361.5374	34359.6115	29017.4522	24306.1819	20189.8748
