massloading(kg/m2)	area(sqkm)	sqrtA(km)	dist_from_vent(m)	x(m)	y(m)	dir(deg)	Mean(phi)	F(percent)
6.7310e+00	103.6000	10.1784	20157.8853	15437.00	-12963.00	130.0	0.8743	80.5984
6.7097e+00	103.7600	10.1863	20184.3984	15637.00	-12763.00	129.2	0.8482	79.2667
6.6638e+00	104.4400	10.2196	20311.4534	15637.00	-12963.00	129.7	0.8724	80.7437
6.6205e+00	105.3600	10.2645	20339.7330	15837.00	-12763.00	128.9	0.8473	79.4396
6.5988e+00	105.6000	10.2762	20439.6756	15637.00	-13163.00	130.1	0.8965	82.1518
6.5892e+00	105.6800	10.2801	20465.8237	15837.00	-12963.00	129.3	0.8709	80.8969
6.5385e+00	106.5200	10.3209	20593.0847	15837.00	-13163.00	129.7	0.8945	82.2874
6.5072e+00	106.9600	10.3421	20620.9781	16037.00	-12963.00	128.9	0.8697	81.0537
6.4710e+00	107.4400	10.3653	20747.2875	16037.00	-13163.00	129.4	0.8928	82.4351
6.4182e+00	108.6400	10.4231	20776.8991	16237.00	-12963.00	128.6	0.8688	81.2173
6.4159e+00	108.7600	10.4288	20874.7488	16037.00	-13363.00	129.8	0.9158	83.7466
6.3964e+00	109.2000	10.4499	20902.2663	16237.00	-13163.00	129.0	0.8915	82.5892
6.3551e+00	109.9200	10.4843	21028.7883	16237.00	-13363.00	129.5	0.9140	83.8841
6.3148e+00	110.4800	10.5109	21058.0041	16437.00	-13163.00	128.7	0.8905	82.7452
6.2960e+00	111.0800	10.5394	21156.4444	16237.00	-13563.00	129.9	0.9364	85.1187
6.2870e+00	111.2000	10.5451	21183.5960	16437.00	-13363.00	129.1	0.9124	84.0231
6.2410e+00	111.8000	10.5736	21310.3247	16437.00	-13563.00	129.5	0.9343	85.2367
6.2114e+00	112.4000	10.6019	21339.1550	16637.00	-13363.00	128.8	0.9110	84.1526
6.1787e+00	113.1600	10.6377	21464.9654	16637.00	-13563.00	129.2	0.9324	85.3536
6.1285e+00	114.2000	10.6864	21591.8952	16637.00	-13763.00	129.6	0.9537	86.4902
6.1090e+00	114.5200	10.7014	21620.3501	16837.00	-13563.00	128.9	0.9306	85.4643
6.0720e+00	115.4400	10.7443	21746.3730	16837.00	-13763.00	129.3	0.9516	86.5945
6.0318e+00	116.0800	10.7740	21776.4629	17037.00	-13563.00	128.5	0.9290	85.5691
6.0181e+00	116.5200	10.7944	21873.4985	16837.00	-13963.00	129.7	0.9726	87.6630
6.0083e+00	116.6800	10.8019	21901.5876	17037.00	-13763.00	128.9	0.9497	86.6948
5.9671e+00	117.5600	10.8425	22027.8174	17037.00	-13963.00	129.3	0.9703	87.7548
5.9372e+00	118.2000	10.8720	22057.5234	17237.00	-13763.00	128.6	0.9480	86.7889
5.9096e+00	118.6000	10.8904	22155.1334	17037.00	-14163.00	129.7	0.9909	88.7557
5.9086e+00	118.6400	10.8922	22182.8659	17237.00	-13963.00	129.0	0.9681	87.8364
5.8635e+00	119.5200	10.9325	22309.2971	17237.00	-14163.00	129.4	0.9883	88.8277
5.8434e+00	119.9600	10.9526	22338.6288	17437.00	-13963.00	128.7	0.9662	87.9208
5.8103e+00	120.4400	10.9745	22464.1834	17437.00	-14163.00	129.1	0.9860	88.8965
5.7714e+00	121.4400	11.0200	22495.0914	17637.00	-13963.00	128.4	0.9646	88.0037
5.7608e+00	121.7200	11.0327	22590.8109	17437.00	-14363.00	129.5	1.0056	89.8107
5.7504e+00	122.0000	11.0454	22619.7776	17637.00	-14163.00	128.8	0.9840	88.9692
5.7126e+00	122.9200	11.0869	22745.5389	17637.00	-14363.00	129.2	1.0032	89.8699
5.6834e+00	123.6400	11.1194	22776.0650	17837.00	-14163.00	128.5	0.9821	89.0364
5.6596e+00	124.1600	11.1427	22872.3575	17637.00	-14563.00	129.5	1.0225	90.7185
5.6579e+00	124.2000	11.1445	22900.9681	17837.00	-14363.00	128.8	1.0011	89.9351
5.6161e+00	125.0800	11.1839	23026.9307	17837.00	-14563.00	129.2	1.0199	90.7699
5.5947e+00	125.5600	11.2054	23057.0843	18037.00	-14363.00	128.5	0.9988	89.9738
5.5650e+00	126.2000	11.2339	23182.1987	18037.00	-14563.00	128.9	1.0174	90.8082
5.5258e+00	127.2000	11.2783	23213.8738	18237.00	-14363.00	128.2	0.9969	90.0242
5.5202e+00	127.3200	11.2836	23308.3577	18037.00	-14763.00	129.3	1.0361	91.5893
5.5072e+00	127.6000	11.2960	23338.1477	18237.00	-14563.00	128.6	1.0151	90.8461
5.4744e+00	128.3200	11.3278	23463.4682	18237.00	-14763.00	129.0	1.0337	91.6315
5.4436e+00	128.9200	11.3543	23494.7641	18437.00	-14563.00	128.3	1.0133	90.8933
5.4281e+00	129.3600	11.3737	23589.8185	18237.00	-14963.00	129.4	1.0530	92.3867
5.4219e+00	129.6000	11.3842	23619.2535	18437.00	-14763.00	128.7	1.0316	91.6704
5.3865e+00	130.6800	11.4315	23744.7750	18437.00	-14963.00	129.1	1.0505	92.4154
5.3635e+00	131.5600	11.4700	23775.7006	18637.00	-14763.00	128.4	1.0299	91.7138
5.3388e+00	131.9600	11.4874	23900.4004	18637.00	-14963.00	128.8	1.0484	92.4485
5.2996e+00	132.8400	11.5256	24026.1178	18637.00	-15163.00	129.1	1.0671	93.1385
5.2847e+00	133.4400	11.5516	24056.6818	18837.00	-14963.00	128.5	1.0465	92.4803
5.2559e+00	134.1200	11.5810	24181.5868	18837.00	-15163.00	128.8	1.0649	93.1596
5.2247e+00	134.8800	11.6138	24213.6065	19037.00	-14963.00	128.2	1.0450	92.5129
5.2130e+00	135.1600	11.6258	24307.4955	18837.00	-15363.00	129.2	1.0835	93.7943
5.2064e+00	135.4800	11.6396	24337.7061	19037.00	-15163.00	128.5	1.0630	93.1853
5.1738e+00	136.4000	11.6790	24462.8113	19037.00	-15363.00	128.9	1.0813	93.8134
5.1507e+00	137.0000	11.7047	24494.4634	19237.00	-15163.00	128.2	1.0615	93.2101
5.1282e+00	137.6400	11.7320	24618.7721	19237.00	-15363.00	128.6	1.0794	93.8301
5.0919e+00	138.8400	11.7830	24744.0728	19237.00	-15563.00	129.0	1.0977	94.4085
5.0765e+00	139.2400	11.8000	24775.3655	19437.00	-15363.00	128.3	1.0778	93.8457
5.0503e+00	140.2400	11.8423	24899.8783	19437.00	-15563.00	128.7	1.0958	94.4192
5.0190e+00	140.9600	11.8727	24932.5799	19637.00	-15363.00	128.0	1.0765	93.8610
5.0107e+00	141.1200	11.8794	25025.3699	19437.00	-15763.00	129.0	1.1141	94.9522
5.0027e+00	141.4400	11.8929	25056.3113	19637.00	-15563.00	128.4	1.0942	94.4293
4.9729e+00	142.4400	11.9348	25181.0234	19637.00	-15763.00	128.8	1.1123	94.9581
4.9492e+00	142.8000	11.9499	25213.3603	19837.00	-15563.00	128.1	1.0929	94.4388
4.9303e+00	143.3600	11.9733	25306.7014	19637.00	-15963.00	129.1	1.1307	95.4503
4.9291e+00	143.4000	11.9750	25337.2993	19837.00	-15763.00	128.5	1.1108	94.9638
4.8962e+00	144.4000	12.0167	25462.2061	19837.00	-15963.00	128.8	1.1290	95.4533
4.8796e+00	144.9200	12.0383	25494.1864	20037.00	-15763.00	128.2	1.1095	94.9690
4.8561e+00	145.5600	12.0648	25618.3282	20037.00	-15963.00	128.5	1.1275	95.4546
4.8242e+00	146.7200	12.1128	25651.6732	20237.00	-15763.00	127.9	1.1085	94.9725
4.8201e+00	146.9600	12.1227	25743.4251	20037.00	-16163.00	128.9	1.1459	95.9053
4.8102e+00	147.2800	12.1359	25775.0565	20237.00	-15963.00	128.3	1.1264	95.4547
4.7835e+00	148.0400	12.1672	25899.3965	20237.00	-16163.00	128.6	1.1445	95.9027
4.7589e+00	148.6800	12.1934	25932.3801	20437.00	-15963.00	128.0	1.1256	95.4566
4.7450e+00	149.0400	12.2082	26024.6794	20237.00	-16363.00	129.0	1.1633	96.3215
4.7411e+00	149.2000	12.2147	26055.9693	20437.00	-16163.00	128.3	1.1434	95.8992
4.7119e+00	150.3200	12.2605	26180.5030	20437.00	-16363.00	128.7	1.1621	96.3169
4.6941e+00	150.9200	12.2850	26213.1329	20637.00	-16163.00	128.1	1.1430	95.9022
4.6732e+00	151.4800	12.3077	26336.9235	20637.00	-16363.00	128.4	1.1613	96.3122
4.6403e+00	152.5600	12.3515	26370.8767	20837.00	-16163.00	127.8	1.1423	95.8945
4.6403e+00	152.6000	12.3531	26461.6465	20637.00	-16563.00	128.8	1.1799	96.6906
4.6287e+00	152.9200	12.3661	26493.9302	20837.00	-16363.00	128.1	1.1605	96.3046
4.6049e+00	153.7600	12.4000	26617.9176	20837.00	-16563.00	128.5	1.1791	96.6833
4.5788e+00	154.9200	12.4467	26651.5129	21037.00	-16363.00	127.9	1.1600	96.2967
4.5692e+00	155.3200	12.4627	26742.8259	20837.00	-16763.00	128.8	1.1980	97.0309
4.5640e+00	155.4400	12.4676	26774.7705	21037.00	-16563.00	128.2	1.1785	96.6746
4.5369e+00	156.6000	12.5140	26898.9505	21037.00	-16763.00	128.5	1.1973	97.0207
4.5174e+00	157.2000	12.5379	26932.1952	21237.00	-16563.00	128.0	1.1781	96.6641
4.4990e+00	157.8400	12.5634	27055.6526	21237.00	-16763.00	128.3	1.1968	97.0096
4.4691e+00	158.8400	12.6032	27180.0209	21237.00	-16963.00	128.6	1.2159	97.3269
4.4561e+00	159.3200	12.6222	27212.9223	21437.00	-16763.00	128.0	1.1967	96.9994
4.4346e+00	160.0000	12.6491	27336.5751	21437.00	-16963.00	128.4	1.2156	97.3162
4.4081e+00	160.8800	12.6838	27370.7497	21637.00	-16763.00	127.8	1.1968	96.9894
4.4019e+00	161.0400	12.6902	27461.1278	21437.00	-17163.00	128.7	1.2349	97.6059
4.3948e+00	161.3600	12.7028	27493.6927	21637.00	-16963.00	128.1	1.2156	97.3045
4.3707e+00	162.5200	12.7483	27617.5368	21637.00	-17163.00	128.4	1.2350	97.5959
4.3548e+00	163.3600	12.7812	27651.3641	21837.00	-16963.00	127.8	1.2180	97.3178
4.3392e+00	163.9200	12.8031	27774.5052	21837.00	-17163.00	128.2	1.2378	97.6119
4.3068e+00	165.0000	12.8452	27898.5365	21837.00	-17363.00	128.5	1.2546	97.8483
4.2961e+00	165.4800	12.8639	27932.0235	22037.00	-17163.00	127.9	1.2373	97.5899
4.2731e+00	166.2000	12.8919	28055.3585	22037.00	-17363.00	128.2	1.2549	97.8353
4.2516e+00	167.0000	12.9228	28090.0826	22237.00	-17163.00	127.7	1.2386	97.5850
4.2430e+00	167.4000	12.9383	28179.5731	22037.00	-17563.00	128.6	1.2745	98.0754
4.2391e+00	167.6400	12.9476	28212.7265	22237.00	-17363.00	128.0	1.2578	97.8450
4.2121e+00	168.5600	12.9831	28336.2513	22237.00	-17563.00	128.3	1.2748	98.0621
4.1962e+00	169.2000	13.0077	28370.6316	22437.00	-17363.00	127.7	1.2586	97.8328
4.1799e+00	169.6800	13.0261	28460.6454	22237.00	-17763.00	128.6	1.2950	98.2826
4.1767e+00	169.9600	13.0369	28493.4718	22437.00	-17563.00	128.1	1.2756	98.0508
4.1518e+00	171.2800	13.0874	28617.1826	22437.00	-17763.00	128.4	1.2954	98.2697
4.1369e+00	171.8000	13.1072	28651.2258	22637.00	-17563.00	127.8	1.2768	98.0409
4.1196e+00	172.5200	13.1347	28774.2583	22637.00	-17763.00	128.1	1.2966	98.2599
4.0916e+00	173.6000	13.1757	28898.1511	22637.00	-17963.00	128.4	1.3162	98.4562
4.0858e+00	174.0000	13.1909	28931.8637	22837.00	-17763.00	127.9	1.2997	98.2629
4.0652e+00	174.8000	13.2212	29055.0845	22837.00	-17963.00	128.2	1.3197	98.4604
4.0451e+00	175.4800	13.2469	29089.9903	23037.00	-17763.00	127.6	1.3017	98.2552
4.0344e+00	175.8400	13.2605	29179.1559	22837.00	-18163.00	128.5	1.3396	98.6375
4.0308e+00	175.9200	13.2635	29212.5442	23037.00	-17963.00	127.9	1.3208	98.4485
4.0080e+00	176.8400	13.2981	29335.9496	23037.00	-18163.00	128.3	1.3414	98.6300
3.9921e+00	177.7200	13.3312	29370.5216	23237.00	-17963.00	127.7	1.3223	98.4374
3.9759e+00	178.6000	13.3641	29493.2660	23237.00	-18163.00	128.0	1.3422	98.6163
3.9483e+00	179.7200	13.4060	29616.8523	23237.00	-18363.00	128.3	1.3606	98.7700
3.9391e+00	180.2000	13.4239	29651.0967	23437.00	-18163.00	127.8	1.3430	98.6020
3.9171e+00	181.2400	13.4625	29774.0279	23437.00	-18363.00	128.1	1.3604	98.7519
3.8990e+00	182.0800	13.4937	29809.4337	23637.00	-18163.00	127.5	1.3448	98.5918
3.8895e+00	182.5200	13.5100	29897.7915	23437.00	-18563.00	128.4	1.3805	98.8990
3.8855e+00	182.7200	13.5174	29931.7146	23637.00	-18363.00	127.8	1.3632	98.7477
3.8618e+00	183.7600	13.5558	30054.8289	23637.00	-18563.00	128.1	1.3812	98.8860
3.8474e+00	184.4000	13.5794	30089.9043	23837.00	-18363.00	127.6	1.3646	98.7361
3.8335e+00	185.0800	13.6044	30178.7663	23637.00	-18763.00	128.4	1.4025	99.0240
3.8303e+00	185.3600	13.6147	30212.3739	23837.00	-18563.00	127.9	1.3824	98.8747
3.8081e+00	186.7600	13.6660	30335.6678	23837.00	-18763.00	128.2	1.4030	99.0112
3.7968e+00	187.2400	13.6836	30370.4188	24037.00	-18563.00	127.7	1.3851	98.8699
3.7784e+00	188.2000	13.7186	30493.0736	24037.00	-18763.00	128.0	1.4038	98.9988
3.7571e+00	189.1200	13.7521	30528.9557	24237.00	-18563.00	127.4	1.3866	98.8587
3.7550e+00	189.2400	13.7565	30616.5435	24037.00	-18963.00	128.3	1.4253	99.1252
3.7453e+00	189.7200	13.7739	30650.9761	24237.00	-18763.00	127.7	1.4052	98.9885
3.7268e+00	190.6000	13.8058	30773.8125	24237.00	-18963.00	128.0	1.4253	99.1106
3.7072e+00	191.4800	13.8376	30809.3677	24437.00	-18763.00	127.5	1.4060	98.9754
3.7010e+00	191.8000	13.8492	30897.4552	24237.00	-19163.00	128.3	1.4466	99.2239
3.6954e+00	192.0000	13.8564	30931.5751	24437.00	-18963.00	127.8	1.4261	99.0990
3.6757e+00	193.3200	13.9040	31054.5896	24437.00	-19163.00	128.1	1.4469	99.2120
3.6597e+00	194.2400	13.9370	31089.8237	24637.00	-18963.00	127.6	1.4268	99.0866
3.6483e+00	194.7600	13.9556	31178.4018	24437.00	-19363.00	128.4	1.4687	99.3152
3.6460e+00	194.9200	13.9614	31212.2146	24637.00	-19163.00	127.9	1.4472	99.1995
3.6251e+00	196.0800	14.0029	31335.4039	24637.00	-19363.00	128.2	1.4688	99.3038
3.6127e+00	196.6800	14.0243	31370.3226	24837.00	-19163.00	127.7	1.4479	99.1879
3.5975e+00	197.3600	14.0485	31492.8935	24837.00	-19363.00	127.9	1.4688	99.2916
3.5753e+00	198.2400	14.0798	31528.9064	25037.00	-19163.00	127.4	1.4484	99.1760
3.5741e+00	198.4000	14.0855	31616.2543	24837.00	-19563.00	128.2	1.4900	99.3843
3.5660e+00	198.9200	14.1039	31650.8631	25037.00	-19363.00	127.7	1.4690	99.2797
3.5491e+00	199.6800	14.1308	31773.6107	25037.00	-19563.00	128.0	1.4901	99.3738
3.5308e+00	200.7600	14.1690	31809.3058	25237.00	-19363.00	127.5	1.4692	99.2680
3.5242e+00	201.1600	14.1831	31897.1400	25037.00	-19763.00	128.3	1.5117	99.4582
3.5199e+00	201.3600	14.1901	31931.4443	25237.00	-19563.00	127.8	1.4902	99.3630
3.5009e+00	202.6000	14.2338	32054.3654	25237.00	-19763.00	128.1	1.5113	99.4475
3.4896e+00	203.2400	14.2562	32089.7482	25437.00	-19563.00	127.6	1.4926	99.3579
3.4758e+00	203.9600	14.2815	32212.0651	25437.00	-19763.00	127.8	1.5134	99.4423
3.4549e+00	205.0000	14.3178	32248.5153	25637.00	-19563.00	127.3	1.4943	99.3510
3.4527e+00	205.1600	14.3234	32335.1564	25437.00	-19963.00	128.1	1.5321	99.5131
3.4506e+00	205.2800	14.3276	32370.2323	25637.00	-19763.00	127.6	1.5191	99.4450
3.4306e+00	206.5200	14.3708	32492.7244	25637.00	-19963.00	127.9	1.5355	99.5109
3.4188e+00	207.0400	14.3889	32528.8601	25837.00	-19763.00	127.4	1.5208	99.4389
3.4092e+00	207.4400	14.4028	32650.7571	25837.00	-19963.00	127.7	1.5435	99.5181
3.3864e+00	209.2800	14.4665	32773.4212	25837.00	-20163.00	128.0	1.5591	99.5752
3.3844e+00	209.4000	14.4707	32809.2478	26037.00	-19963.00	127.5	1.5499	99.5221
3.3682e+00	210.3600	14.5038	32931.3215	26037.00	-20163.00	127.8	1.5688	99.5845
3.3474e+00	211.3600	14.5382	32968.1898	26237.00	-19963.00	127.3	1.5462	99.5064
3.3458e+00	211.4000	14.5396	33089.6772	26237.00	-20163.00	127.5	1.5755	99.5890
3.3216e+00	213.0000	14.5945	33211.9246	26237.00	-20363.00	127.8	1.5859	99.6308
3.3147e+00	213.3600	14.6068	33248.4817	26437.00	-20163.00	127.3	1.5746	99.5802
3.3015e+00	214.0800	14.6315	33370.1474	26437.00	-20363.00	127.6	1.5938	99.6369
3.2776e+00	215.5600	14.6820	33492.5654	26437.00	-20563.00	127.9	1.6066	99.6779
3.2771e+00	215.6800	14.6860	33528.8165	26637.00	-20363.00	127.4	1.5982	99.6375
3.2544e+00	217.3600	14.7431	33650.6573	26637.00	-20563.00	127.7	1.6074	99.6733
3.2400e+00	218.2800	14.7743	33687.9257	26837.00	-20363.00	127.2	1.5922	99.6215
3.2339e+00	218.8400	14.7932	33809.1931	26837.00	-20563.00	127.5	1.6153	99.6791
3.2098e+00	220.2800	14.8418	33931.2060	26837.00	-20763.00	127.7	1.6234	99.7099
3.2084e+00	220.3600	14.8445	33968.1665	27037.00	-20563.00	127.3	1.6189	99.6789
3.1933e+00	221.1200	14.8701	34089.6104	27037.00	-20763.00	127.5	1.6349	99.7202
3.1722e+00	222.7600	14.9251	34211.7924	27037.00	-20963.00	127.8	1.6504	99.7565
3.1682e+00	222.9200	14.9305	34248.4502	27237.00	-20763.00	127.3	1.6368	99.7178
3.1556e+00	223.7600	14.9586	34370.0675	27237.00	-20963.00	127.6	1.6582	99.7613
3.1349e+00	225.2000	15.0067	34492.4157	27237.00	-21163.00	127.8	1.6794	99.7991
3.1198e+00	226.3200	15.0439	34528.7755	27437.00	-20963.00	127.4	1.6445	99.7406
3.1100e+00	227.0400	15.0678	34650.5633	27437.00	-21163.00	127.6	1.6699	99.7855
3.0897e+00	228.2800	15.1089	34773.0749	27437.00	-21363.00	127.9	1.6926	99.8215
3.0790e+00	229.2000	15.1394	34809.1416	27637.00	-21163.00	127.4	1.6600	99.7706
3.0714e+00	229.7600	15.1578	34931.0970	27637.00	-21363.00	127.7	1.6916	99.8173
3.0571e+00	230.6400	15.1868	34968.1446	27837.00	-21163.00	127.2	1.6656	99.7732
3.0504e+00	231.0800	15.2013	35053.7692	27637.00	-21563.00	128.0	1.7201	99.8538
3.0446e+00	231.4400	15.2132	35089.5474	27837.00	-21363.00	127.5	1.6832	99.8058
3.0333e+00	232.1200	15.2355	35211.6676	27837.00	-21563.00	127.8	1.7146	99.8466
3.0197e+00	233.3200	15.2748	35248.4204	28037.00	-21363.00	127.3	1.6828	99.8021
3.0150e+00	233.7200	15.2879	35369.9921	28037.00	-21563.00	127.6	1.7141	99.8436
2.9964e+00	235.0400	15.3310	35492.2743	28037.00	-21763.00	127.8	1.7426	99.8760
2.9869e+00	235.7600	15.3545	35528.7368	28237.00	-21563.00	127.4	1.7049	99.8326
2.9781e+00	236.6400	15.3831	35650.4746	28237.00	-21763.00	127.6	1.7358	99.8687
2.9538e+00	238.2000	15.4337	35772.9163	28237.00	-21963.00	127.9	1.7576	99.8926
2.9503e+00	238.4400	15.4415	35809.0930	28437.00	-21763.00	127.4	1.7227	99.8559
2.9369e+00	239.1200	15.4635	35930.9941	28437.00	-21963.00	127.7	1.7497	99.8854
2.9286e+00	239.7200	15.4829	35968.1239	28637.00	-21763.00	127.2	1.7235	99.8543
2.9126e+00	241.0800	15.5268	36053.5926	28437.00	-22163.00	127.9	1.7767	99.9099
2.9122e+00	241.1200	15.5280	36089.4879	28637.00	-21963.00	127.5	1.7380	99.8748
2.8991e+00	242.0800	15.5589	36211.5498	28637.00	-22163.00	127.7	1.7702	99.9044
2.8908e+00	242.8800	15.5846	36248.3922	28837.00	-21963.00	127.3	1.7373	99.8722
2.8752e+00	244.3200	15.6307	36369.9208	28837.00	-22163.00	127.5	1.7543	99.8924
2.8567e+00	245.4000	15.6652	36492.1408	28837.00	-22363.00	127.8	1.7794	99.9148
2.8458e+00	246.1200	15.6882	36528.7002	29037.00	-22163.00	127.4	1.7414	99.8816
2.8402e+00	246.6800	15.7060	36650.3907	29037.00	-22363.00	127.6	1.7741	99.9102
2.8329e+00	247.3600	15.7277	36687.8827	29237.00	-22163.00	127.2	1.7524	99.8876
2.8253e+00	248.0400	15.7493	36727.5147	29437.00	-21963.00	126.7	1.7462	99.8732
2.8189e+00	248.4400	15.7620	36847.4631	29437.00	-22163.00	127.0	1.7618	99.8924
2.8044e+00	249.5200	15.7962	36968.1043	29437.00	-22363.00	127.2	1.7742	99.9074
2.7950e+00	250.4400	15.8253	37127.5577	29637.00	-22363.00	127.0	1.7863	99.9133
2.7736e+00	252.3600	15.8858	37287.4019	29837.00	-22363.00	126.9	1.7863	99.9120
2.7621e+00	253.2000	15.9123	37407.6936	29837.00	-22563.00	127.1	1.8021	99.9265
2.7492e+00	254.2000	15.9437	37567.4106	30037.00	-22563.00	126.9	1.8092	99.9291
2.7294e+00	256.1600	16.0050	37687.8699	30037.00	-22763.00	127.2	1.8180	99.9382
2.7177e+00	257.3200	16.0412	37727.5117	30237.00	-22563.00	126.7	1.7991	99.9226
2.7020e+00	258.6400	16.0823	37847.4614	30237.00	-22763.00	127.0	1.8079	99.9323
2.6847e+00	259.9200	16.1220	37887.9920	30437.00	-22563.00	126.5	1.7922	99.9175
2.6803e+00	260.3600	16.1357	37968.0858	30237.00	-22963.00	127.2	1.8126	99.9391
2.6746e+00	260.7600	16.1481	38007.4353	30437.00	-22763.00	126.8	1.8022	99.9284
2.6602e+00	262.2400	16.1938	38089.3783	30237.00	-23163.00	127.5	1.8219	99.9472
2.6589e+00	262.4000	16.1988	38127.5535	30437.00	-22963.00	127.0	1.8099	99.9369
2.6473e+00	263.3200	16.2271	38167.7867	30637.00	-22763.00	126.6	1.7994	99.9258
2.6439e+00	263.6800	16.2382	38248.3403	30437.00	-23163.00	127.3	1.8216	99.9463
2.6435e+00	263.8000	16.2419	38287.4018	30637.00	-22963.00	126.9	1.8150	99.9384
2.6275e+00	265.0000	16.2788	38407.6859	30637.00	-23163.00	127.1	1.8234	99.9462
2.6173e+00	266.1200	16.3132	38447.6259	30837.00	-22963.00	126.7	1.8117	99.9359
2.6110e+00	266.6400	16.3291	38528.6327	30637.00	-23363.00	127.3	1.8346	99.9543
2.6045e+00	267.2800	16.3487	38567.4103	30837.00	-23163.00	126.9	1.8201	99.9439
2.5875e+00	269.0000	16.4012	38687.8578	30837.00	-23363.00	127.1	1.8266	99.9504
2.5692e+00	270.7200	16.4536	38808.9621	30837.00	-23563.00	127.4	1.8336	99.9563
2.5555e+00	271.9600	16.4912	38847.4599	31037.00	-23363.00	127.0	1.8147	99.9445
2.5505e+00	272.2800	16.5009	38968.0682	31037.00	-23563.00	127.2	1.8318	99.9550
2.5414e+00	273.1600	16.5276	39127.5496	31237.00	-23563.00	127.0	1.8422	99.9582
2.5226e+00	275.2400	16.5904	39287.4018	31437.00	-23563.00	126.9	1.8426	99.9577
2.5060e+00	276.8400	16.6385	39407.6787	31437.00	-23763.00	127.1	1.8485	99.9626
2.4945e+00	278.4000	16.6853	39447.6202	31637.00	-23563.00	126.7	1.8367	99.9548
2.4843e+00	279.0800	16.7057	39567.4100	31637.00	-23763.00	126.9	1.8456	99.9610
2.4726e+00	280.0400	16.7344	39687.8462	31637.00	-23963.00	127.1	1.8559	99.9670
2.4641e+00	281.4000	16.7750	39727.5061	31837.00	-23763.00	126.7	1.8459	99.9606
2.4567e+00	282.0800	16.7952	39808.9228	31637.00	-24163.00	127.4	1.8646	99.9717
2.4476e+00	282.9600	16.8214	39847.4584	31837.00	-23963.00	127.0	1.8490	99.9642
2.4358e+00	284.0000	16.8523	39930.6341	31637.00	-24363.00	127.6	1.8681	99.9745
2.4355e+00	284.1200	16.8559	39968.0515	31837.00	-24163.00	127.2	1.8579	99.9693
2.4224e+00	285.4000	16.8938	40007.4335	32037.00	-23963.00	126.8	1.8450	99.9623
2.4207e+00	285.6400	16.9009	40089.2796	31837.00	-24363.00	127.4	1.8666	99.9737
2.4084e+00	286.8800	16.9375	40127.5459	32037.00	-24163.00	127.0	1.8492	99.9661
2.4022e+00	287.5200	16.9564	40211.1370	31837.00	-24563.00	127.7	1.8720	99.9768
2.4000e+00	287.9200	16.9682	40248.2936	32037.00	-24363.00	127.3	1.8608	99.9717
2.3934e+00	288.6000	16.9882	40287.4017	32237.00	-24163.00	126.9	1.8541	99.9672
2.3895e+00	289.1600	17.0047	40369.6710	32037.00	-24563.00	127.5	1.8751	99.9772
2.3855e+00	289.6400	17.0188	40407.6718	32237.00	-24363.00	127.1	1.8644	99.9723
2.3802e+00	290.1200	17.0329	40528.5719	32237.00	-24563.00	127.3	1.8834	99.9788
2.3700e+00	291.0400	17.0599	40687.8353	32437.00	-24563.00	127.1	1.8895	99.9799
2.3534e+00	293.3600	17.1278	40808.8855	32437.00	-24763.00	127.4	1.8981	99.9830
2.3504e+00	293.8800	17.1429	40847.4569	32637.00	-24563.00	127.0	1.8853	99.9786
2.3380e+00	295.0800	17.1779	40968.0356	32637.00	-24763.00	127.2	1.8953	99.9822
2.3251e+00	296.4800	17.2186	41007.4327	32837.00	-24563.00	126.8	1.8786	99.9767
2.3186e+00	297.0000	17.2337	41089.2338	32637.00	-24963.00	127.4	1.8979	99.9839
2.3121e+00	297.6400	17.2522	41127.5423	32837.00	-24763.00	127.0	1.8836	99.9794
2.3022e+00	298.6800	17.2824	41248.2719	32837.00	-24963.00	127.2	1.8944	99.9830
2.2977e+00	299.4800	17.3055	41287.4017	33037.00	-24763.00	126.9	1.8872	99.9799
2.2899e+00	300.4400	17.3332	41369.6161	32837.00	-25163.00	127.5	1.9085	99.9867
2.2869e+00	301.0800	17.3517	41407.6652	33037.00	-24963.00	127.1	1.8951	99.9829
2.2803e+00	301.6400	17.3678	41447.6096	33237.00	-24763.00	126.7	1.8883	99.9798
2.2800e+00	301.7200	17.3701	41528.5437	33037.00	-25163.00	127.3	1.9130	99.9872
2.2692e+00	302.8800	17.4034	41567.4096	33237.00	-24963.00	126.9	1.8944	99.9825
2.2651e+00	303.4000	17.4184	41687.8248	33237.00	-25163.00	127.1	1.9107	99.9866
2.2560e+00	304.6400	17.4539	41727.5010	33437.00	-24963.00	126.7	1.8985	99.9830
2.2516e+00	305.0000	17.4642	41847.4556	33437.00	-25163.00	127.0	1.9122	99.9866
2.2363e+00	307.1200	17.5248	41968.0204	33437.00	-25363.00	127.2	1.9179	99.9885
2.2289e+00	307.9200	17.5476	42007.4319	33637.00	-25163.00	126.8	1.9059	99.9853
2.2196e+00	308.7600	17.5716	42127.5390	33637.00	-25363.00	127.0	1.9149	99.9878
2.2058e+00	310.2000	17.6125	42167.7500	33837.00	-25163.00	126.6	1.9019	99.9843
2.2033e+00	310.7200	17.6273	42248.2513	33637.00	-25563.00	127.2	1.9175	99.9890
2.1944e+00	311.5600	17.6511	42287.4016	33837.00	-25363.00	126.9	1.9061	99.9861
