massloading(kg/m2)	area(sqkm)	sqrtA(km)	dist_from_vent(m)	x(m)	y(m)	dir(deg)	Mean(phi)	F(percent)
4.2189e+01	13.8400	3.7202	6273.2717	3837.00	-4963.00	142.3	-0.1987	25.6930
4.1328e+01	14.2800	3.7789	6397.5572	4037.00	-4963.00	140.9	-0.2092	24.9946
4.0174e+01	14.8400	3.8523	6525.6063	4237.00	-4963.00	139.5	-0.2244	24.1209
3.9551e+01	15.2000	3.8987	6553.9254	4037.00	-5163.00	142.0	-0.1681	26.4347
3.8779e+01	15.5200	3.9395	6678.9773	4237.00	-5163.00	140.6	-0.1793	25.7124
3.7727e+01	15.9600	3.9950	6807.6088	4437.00	-5163.00	139.3	-0.1928	24.8966
3.7139e+01	16.2800	4.0348	6834.7595	4237.00	-5363.00	141.7	-0.1370	27.2332
3.6500e+01	16.6800	4.0841	6939.6209	4637.00	-5163.00	138.1	-0.2110	23.9011
3.6451e+01	16.7600	4.0939	6960.5128	4437.00	-5363.00	140.4	-0.1489	26.4826
3.5514e+01	17.0400	4.1280	7089.6783	4637.00	-5363.00	139.2	-0.1627	25.6559
3.4897e+01	17.4800	4.1809	7115.7528	4437.00	-5563.00	141.4	-0.1035	28.1712
3.4407e+01	17.6000	4.1952	7222.0730	4837.00	-5363.00	138.0	-0.1795	24.7059
3.4290e+01	17.6800	4.2048	7242.1501	4637.00	-5563.00	140.2	-0.1164	27.3777
3.3461e+01	18.4000	4.2895	7371.8070	4837.00	-5563.00	139.0	-0.1307	26.5273
3.2810e+01	19.0800	4.3681	7396.8870	4637.00	-5763.00	141.2	-0.0679	29.2349
3.2458e+01	19.3200	4.3955	7504.5545	5037.00	-5563.00	137.8	-0.1461	25.6272
3.2299e+01	19.4000	4.4045	7523.8779	4837.00	-5763.00	140.0	-0.0834	28.3365
3.1567e+01	19.8400	4.4542	7653.9884	5037.00	-5763.00	138.8	-0.0982	27.4624
3.0900e+01	20.3600	4.5122	7678.1468	4837.00	-5963.00	141.0	-0.0335	30.2988
3.0656e+01	20.4800	4.5255	7787.0622	5237.00	-5763.00	137.7	-0.1122	26.6134
3.0432e+01	20.6000	4.5387	7805.6863	5037.00	-5963.00	139.8	-0.0480	29.4428
2.9810e+01	21.0400	4.5869	7936.2169	5237.00	-5963.00	138.7	-0.0650	28.4755
2.9217e+01	21.5200	4.6390	7959.5187	5037.00	-6163.00	140.7	-0.0051	31.1539
2.8996e+01	21.5600	4.6433	8069.5934	5437.00	-5963.00	137.6	-0.0788	27.6329
2.8781e+01	21.7600	4.6648	8087.5669	5237.00	-6163.00	139.6	-0.0182	30.3567
2.8161e+01	22.5200	4.7455	8218.4876	5437.00	-6163.00	138.6	-0.0298	29.6157
2.7561e+01	23.2000	4.8166	8240.9913	5237.00	-6363.00	140.5	0.0310	32.3753
2.7489e+01	23.3600	4.8332	8352.1457	5637.00	-6163.00	137.6	-0.0478	28.5950
2.7184e+01	23.6400	4.8621	8369.5124	5437.00	-6363.00	139.5	0.0171	31.5480
2.6684e+01	24.0400	4.9031	8500.7963	5637.00	-6363.00	138.5	0.0012	30.6253
2.6124e+01	24.5600	4.9558	8522.5547	5437.00	-6563.00	140.4	0.0592	33.3002
2.6036e+01	24.6400	4.9639	8634.7170	5837.00	-6363.00	137.5	-0.0123	29.8010
2.5728e+01	24.9200	4.9920	8651.5165	5637.00	-6563.00	139.3	0.0502	32.6930
2.5300e+01	25.3600	5.0359	8771.1537	6037.00	-6363.00	136.5	-0.0262	28.9541
2.5280e+01	25.4000	5.0398	8783.1394	5837.00	-6563.00	138.4	0.0350	31.8016
2.4740e+01	26.0400	5.1029	8917.3055	6037.00	-6563.00	137.4	0.0185	30.8419
2.4374e+01	26.4000	5.1381	8933.5736	5837.00	-6763.00	139.2	0.0835	33.8869
2.4064e+01	26.6400	5.1614	9053.9018	6237.00	-6563.00	136.5	0.0064	30.0793
2.4034e+01	26.7600	5.1730	9065.5137	6037.00	-6763.00	138.2	0.0637	32.7853
2.3471e+01	27.6400	5.2574	9199.9097	6237.00	-6763.00	137.3	0.0546	32.1743
