x(m)	y(m)	z(m)	distfromvent(m)	ttlmassloading(kg/sq-m)	F(percent)	Mean(phi)	5phi	4phi	3phi	2phi	1phi	0phi	-1phi	-2phi	-3phi	-4phi
722000	3516500	476	46739.6	1.3650e-03	98.6990	2.6167	0.0000e+00	1.3615e-06	1.0843e-03	5.1971e-05	2.0961e-04	1.7704e-05	5.4567e-08	4.6570e-11	1.4491e-15	1.0157e-21
722500	3516500	452	47211.0	1.3527e-03	99.0916	2.7308	0.0000e+00	1.3746e-06	1.1568e-03	3.5930e-05	1.4634e-04	1.2253e-05	3.6084e-08	2.9036e-11	8.2488e-16	5.0310e-22
723000	3516500	420	47682.9	1.4277e-03	99.4086	2.8238	0.0000e+00	1.3868e-06	1.2917e-03	2.4670e-05	1.0144e-04	8.4188e-06	2.3691e-08	1.7975e-11	4.6625e-16	2.4748e-22
723500	3516500	385	48155.5	1.5057e-03	99.6174	2.8854	0.0000e+00	1.3980e-06	1.4118e-03	1.6854e-05	6.9901e-05	5.7448e-06	1.5440e-08	1.1043e-11	2.6150e-16	1.2079e-22
724000	3516500	367	48628.5	1.5500e-03	99.7479	2.9239	0.0000e+00	1.4005e-06	1.4851e-03	1.1517e-05	4.8050e-05	3.8969e-06	9.9777e-09	6.7185e-12	1.4507e-16	5.8255e-23
724500	3516500	301	49102.2	2.6325e-03	99.9002	2.9698	0.0000e+00	1.4089e-06	2.5881e-03	7.7446e-06	3.2595e-05	2.6209e-06	6.4180e-09	4.0773e-12	8.0435e-17	2.8134e-23
725000	3516500	382	49576.3	1.5340e-03	99.8850	2.9646	0.0000e+00	1.3745e-06	1.5030e-03	5.3624e-06	2.2484e-05	1.7595e-06	4.0610e-09	2.4144e-12	4.3212e-17	1.3078e-23
725500	3516500	342	50050.9	1.8532e-03	99.9368	2.9806	0.0000e+00	1.3889e-06	1.8319e-03	3.5958e-06	1.5145e-05	1.1686e-06	2.5691e-09	1.4379e-12	2.3468e-17	6.1763e-24
726000	3516500	368	50526.1	1.6084e-03	99.9519	2.9852	0.0000e+00	1.3661e-06	1.5936e-03	2.4301e-06	1.0228e-05	7.7192e-07	1.6060e-09	8.4309e-13	1.2509e-17	2.8541e-24
726500	3516500	494	51001.7	1.3450e-03	99.9623	2.9882	0.0000e+00	1.2040e-06	1.3347e-03	1.6558e-06	6.9291e-06	5.0652e-07	9.8871e-10	4.8443e-13	6.5047e-18	1.2813e-24
727000	3516500	628	51477.7	6.3110e-04	99.9477	2.9833	0.0000e+00	8.6517e-07	6.2414e-04	1.1156e-06	4.6491e-06	3.2936e-07	6.0294e-10	2.7564e-13	3.3484e-18	5.6923e-25
727500	3516500	614	51954.2	6.7404e-04	99.9684	2.9902	0.0000e+00	8.8286e-07	6.6915e-04	7.3298e-07	3.0575e-06	2.1246e-07	3.6893e-10	1.5840e-13	1.7512e-18	2.5843e-25
