source	x	y	z	R	time
431	38485.8615	-17600.4172	3518.8322	2108.7651	1645.4659
432	38577.4645	-17640.5283	3518.8322	2108.7651	1649.2037
433	38669.0674	-17680.6394	3518.8322	2108.7651	1652.9416
434	38760.6703	-17720.7505	3518.8322	2108.7651	1656.6794
435	38852.2733	-17760.8616	3518.8322	2108.7651	1660.4173
436	38943.8762	-17800.9727	3518.8322	2108.7651	1664.1551
437	39035.4792	-17841.0838	3518.8322	2108.7651	1667.8930
438	39127.0821	-17881.1949	3518.8322	2108.7651	1671.6308
439	39218.6850	-17921.3060	3518.8322	2108.7651	1675.3687
440	39310.2880	-17961.4171	3518.8322	2108.7651	1679.1065
441	39401.8909	-18001.5282	3518.8322	2108.7651	1682.8444
442	39493.4939	-18041.6394	3518.8322	2108.7651	1686.5822
443	39585.0968	-18081.7505	3518.8322	2108.7651	1690.3201
444	39676.6998	-18121.8616	3518.8322	2108.7651	1694.0579
445	39768.3027	-18161.9727	3518.8322	2108.7651	1697.7958
446	39859.9056	-18202.0838	3518.8322	2108.7651	1701.5336
447	39951.5086	-18242.1949	3518.8322	2108.7651	1705.2715
448	40043.1115	-18282.3060	3518.8322	2108.7651	1709.0093
449	40134.7145	-18322.4171	3518.8322	2108.7651	1712.7472
450	40226.3174	-18362.5282	3518.8322	2108.7651	1716.4850
451	40317.9203	-18402.6393	3518.8322	2108.7651	1720.2229
452	40409.5233	-18442.7504	3518.8322	2108.7651	1723.9607
453	40501.1262	-18482.8615	3518.8322	2108.7651	1727.6986
454	40592.7292	-18522.9727	3518.8322	2108.7651	1731.4364
455	40684.3321	-18563.0838	3518.8322	2108.7651	1735.1743
456	40775.9351	-18603.1949	3518.8322	2108.7651	1738.9121
457	40867.5380	-18643.3060	3518.8322	2108.7651	1742.6500
458	40959.1409	-18683.4171	3518.8322	2108.7651	1746.3878
459	41050.7439	-18723.5282	3518.8322	2108.7651	1750.1257
460	41142.3468	-18763.6393	3518.8322	2108.7651	1753.8635
461	41233.9498	-18803.7504	3518.8322	2108.7651	1757.6014
462	41325.5527	-18843.8615	3518.8322	2108.7651	1761.3392
463	41417.1557	-18883.9726	3518.8322	2108.7651	1765.0771
464	41508.7586	-18924.0837	3518.8322	2108.7651	1768.8149
465	41600.3615	-18964.1949	3518.8322	2108.7651	1772.5528
466	41691.9645	-19004.3060	3518.8322	2108.7651	1776.2906
467	41783.5674	-19044.4171	3518.8322	2108.7651	1780.0285
468	41875.1704	-19084.5282	3518.8322	2108.7651	1783.7663
469	41966.7733	-19124.6393	3518.8322	2108.7651	1787.5042
470	42058.3762	-19164.7504	3518.8322	2108.7651	1791.2420
471	42149.9792	-19204.8615	3518.8322	2108.7651	1794.9799
472	42241.5821	-19244.9726	3518.8322	2108.7651	1798.7177
473	42333.1851	-19285.0837	3518.8322	2108.7651	1802.4556
474	42424.7880	-19325.1948	3518.8322	2108.7651	1806.1934
475	42516.3910	-19365.3059	3518.8322	2108.7651	1809.9313
476	42607.9939	-19405.4170	3518.8322	2108.7651	1813.6691
477	42699.5968	-19445.5282	3518.8322	2108.7651	1817.4070
478	42791.1998	-19485.6393	3518.8322	2108.7651	1821.1448
479	42882.8027	-19525.7504	3518.8322	2108.7651	1824.8827
480	42974.4057	-19565.8615	3518.8322	2108.7651	1828.6205
481	43066.0086	-19605.9726	3518.8322	2108.7651	1832.3584
482	43157.6115	-19646.0837	3518.8322	2108.7651	1836.0962
483	43249.2145	-19686.1948	3518.8322	2108.7651	1839.8341
484	43340.8174	-19726.3059	3518.8322	2108.7651	1843.5719
485	43432.4204	-19766.4170	3518.8322	2108.7651	1847.3098
486	43524.0233	-19806.5281	3518.8322	2108.7651	1851.0476
487	43615.6263	-19846.6392	3518.8322	2108.7651	1854.7855
488	43707.2292	-19886.7503	3518.8322	2108.7651	1858.5233
489	43798.8321	-19926.8615	3518.8322	2108.7651	1862.2612
490	43890.4351	-19966.9726	3518.8322	2108.7651	1865.9990
491	43982.0380	-20007.0837	3518.8322	2108.7651	1869.7369
492	44073.6410	-20047.1948	3518.8322	2108.7651	1873.4747
493	44165.2439	-20087.3059	3518.8322	2108.7651	1877.2126
494	44256.8468	-20127.4170	3518.8322	2108.7651	1880.9504
495	44348.4498	-20167.5281	3518.8322	2108.7651	1884.6883
496	44440.0527	-20207.6392	3518.8322	2108.7651	1888.4261
497	44531.6557	-20247.7503	3518.8322	2108.7651	1892.1640
498	44623.2586	-20287.8614	3518.8322	2108.7651	1895.9018
499	44714.8616	-20327.9725	3518.8322	2108.7651	1899.6397
500	44806.4645	-20368.0837	3518.8322	2108.7651	1903.3775
501	44898.0674	-20408.1948	3518.8322	2108.7651	1907.1154
502	44989.6704	-20448.3059	3518.8322	2108.7651	1910.8532
503	45081.2733	-20488.4170	3518.8322	2108.7651	1914.5911
504	45172.8763	-20528.5281	3518.8322	2108.7651	1918.3289
505	45264.4792	-20568.6392	3518.8322	2108.7651	1922.0668
506	45356.0822	-20608.7503	3518.8322	2108.7651	1925.8046
507	45447.6851	-20648.8614	3518.8322	2108.7651	1929.5425
508	45539.2880	-20688.9725	3518.8322	2108.7651	1933.2803
509	45630.8910	-20729.0836	3518.8322	2108.7651	1937.0182
510	45722.4939	-20769.1947	3518.8322	2108.7651	1940.7560
511	45814.0969	-20809.3058	3518.8322	2108.7651	1944.4939
512	45905.6998	-20849.4170	3518.8322	2108.7651	1948.2317
513	45997.3027	-20889.5281	3518.8322	2108.7651	1951.9696
514	46088.9057	-20929.6392	3518.8322	2108.7651	1955.7074
515	46180.5086	-20969.7503	3518.8322	2108.7651	1959.4453
516	46272.1116	-21009.8614	3518.8322	2108.7651	1963.1831
517	46363.7145	-21049.9725	3518.8322	2108.7651	1966.9210
518	46455.3175	-21090.0836	3518.8322	2108.7651	1970.6588
519	46546.9204	-21130.1947	3518.8322	2108.7651	1974.3967
520	46638.5233	-21170.3058	3518.8322	2108.7651	1978.1345
521	46730.1263	-21210.4169	3518.8322	2108.7651	1981.8724
522	46821.7292	-21250.5280	3518.8322	2108.7651	1985.6102
523	46913.3322	-21290.6392	3518.8322	2108.7651	1989.3481
524	47004.9351	-21330.7503	3518.8322	2108.7651	1993.0859
525	47096.5380	-21370.8614	3518.8322	2108.7651	1996.8238
526	47188.1410	-21410.9725	3518.8322	2108.7651	2000.5616
527	47279.7439	-21451.0836	3518.8322	2108.7651	2004.2995
528	47371.3469	-21491.1947	3518.8322	2108.7651	2008.0373
529	47462.9498	-21531.3058	3518.8322	2108.7651	2011.7752
530	47554.5528	-21571.4169	3518.8322	2108.7651	2015.5130
531	47646.1557	-21611.5280	3518.8322	2108.7651	2019.2509
532	47737.7586	-21651.6391	3518.8322	2108.7651	2022.9887
533	47829.3616	-21691.7502	3518.8322	2108.7651	2026.7266
534	47920.9645	-21731.8613	3518.8322	2108.7651	2030.4644
535	48012.5675	-21771.9725	3518.8322	2108.7651	2034.2023
536	48104.1704	-21812.0836	3518.8322	2108.7651	2037.9401
537	48195.7734	-21852.1947	3518.8322	2108.7651	2041.6780
538	48287.3763	-21892.3058	3518.8322	2108.7651	2045.4158
539	48378.9792	-21932.4169	3518.8322	2108.7651	2049.1537
540	48470.5822	-21972.5280	3518.8322	2108.7651	2052.8915
541	48562.1851	-22012.6391	3518.8322	2108.7651	2056.6294
542	48653.7881	-22052.7502	3518.8322	2108.7651	2060.3672
543	48745.3910	-22092.8613	3518.8322	2108.7651	2064.1051
544	48836.9939	-22132.9724	3518.8322	2108.7651	2067.8429
545	48928.5969	-22173.0835	3518.8322	2108.7651	2071.5808
546	49020.1998	-22213.1946	3518.8322	2108.7651	2075.3187
547	49111.8028	-22253.3058	3518.8322	2108.7651	2079.0565
548	49203.4057	-22293.4169	3518.8322	2108.7651	2082.7944
549	49295.0087	-22333.5280	3518.8322	2108.7651	2086.5322
550	49386.6116	-22373.6391	3518.8322	2108.7651	2090.2701
551	49478.2145	-22413.7502	3518.8322	2108.7651	2094.0079
552	49569.8175	-22453.8613	3518.8322	2108.7651	2097.7458
553	49661.4204	-22493.9724	3518.8322	2108.7651	2101.4836
554	49753.0234	-22534.0835	3518.8322	2108.7651	2105.2215
555	49844.6263	-22574.1946	3518.8322	2108.7651	2108.9593
556	49936.2292	-22614.3057	3518.8322	2108.7651	2112.6972
557	50027.8322	-22654.4168	3518.8322	2108.7651	2116.4350
558	50119.4351	-22694.5280	3518.8322	2108.7651	2120.1729
559	50211.0381	-22734.6391	3518.8322	2108.7651	2123.9107
560	50302.6410	-22774.7502	3518.8322	2108.7651	2127.6486
561	50394.2440	-22814.8613	3518.8322	2108.7651	2131.3864
562	50485.8469	-22854.9724	3518.8322	2108.7651	2135.1243
563	50577.4498	-22895.0835	3518.8322	2108.7651	2138.8621
564	50669.0528	-22935.1946	3518.8322	2108.7651	2142.6000
565	50760.6557	-22975.3057	3518.8322	2108.7651	2146.3378
566	50852.2587	-23015.4168	3518.8322	2108.7651	2150.0757
567	50943.8616	-23055.5279	3518.8322	2108.7651	2153.8135
568	51035.4646	-23095.6390	3518.8322	2108.7651	2157.5514
569	51127.0675	-23135.7501	3518.8322	2108.7651	2161.2892
570	51218.6704	-23175.8613	3518.8322	2108.7651	2165.0271
571	51310.2734	-23215.9724	3518.8322	2108.7651	2168.7649
572	51401.8763	-23256.0835	3518.8322	2108.7651	2172.5028
573	51493.4793	-23296.1946	3518.8322	2108.7651	2176.2406
574	51585.0822	-23336.3057	3518.8322	2108.7651	2179.9785
575	51676.6851	-23376.4168	3518.8322	2108.7651	2183.7163
576	51768.2881	-23416.5279	3518.8322	2108.7651	2187.4542
577	51859.8910	-23456.6390	3518.8322	2108.7651	2191.1920
578	51951.4940	-23496.7501	3518.8322	2108.7651	2194.9299
579	52043.0969	-23536.8612	3518.8322	2108.7651	2198.6677
580	52134.6999	-23576.9723	3518.8322	2108.7651	2202.4056
581	52226.3028	-23617.0834	3518.8322	2108.7651	2206.1434
582	52317.9057	-23657.1946	3518.8322	2108.7651	2209.8813
583	52409.5087	-23697.3057	3518.8322	2108.7651	2213.6191
584	52501.1116	-23737.4168	3518.8322	2108.7651	2217.3570
585	52592.7146	-23777.5279	3518.8322	2108.7651	2221.0948
586	52684.3175	-23817.6390	3518.8322	2108.7651	2224.8327
587	52775.9204	-23857.7501	3518.8322	2108.7651	2228.5705
588	52867.5234	-23897.8612	3518.8322	2108.7651	2232.3084
589	52959.1263	-23937.9723	3518.8322	2108.7651	2236.0462
590	53050.7293	-23978.0834	3518.8322	2108.7651	2239.7841
591	53142.3322	-24018.1945	3518.8322	2108.7651	2243.5219
592	53233.9352	-24058.3056	3518.8322	2108.7651	2247.2598
593	53325.5381	-24098.4168	3518.8322	2108.7651	2250.9976
594	53417.1410	-24138.5279	3518.8322	2108.7651	2254.7355
595	53508.7440	-24178.6390	3518.8322	2108.7651	2258.4733
596	53600.3469	-24218.7501	3518.8322	2108.7651	2262.2112
597	53691.9499	-24258.8612	3518.8322	2108.7651	2265.9490
598	53783.5528	-24298.9723	3518.8322	2108.7651	2269.6869
599	53875.1557	-24339.0834	3518.8322	2108.7651	2273.4247
600	53966.7587	-24379.1945	3518.8322	2108.7651	2277.1626
601	54058.3616	-24419.3056	3518.8322	2108.7651	2280.9004
602	54149.9646	-24459.4167	3518.8322	2108.7651	2284.6383
603	54241.5675	-24499.5278	3518.8322	2108.7651	2288.3761
604	54333.1705	-24539.6389	3518.8322	2108.7651	2292.1140
605	54424.7734	-24579.7501	3518.8322	2108.7651	2295.8518
606	54516.3763	-24619.8612	3518.8322	2108.7651	2299.5897
607	54607.9793	-24659.9723	3518.8322	2108.7651	2303.3275
608	54699.5822	-24700.0834	3518.8322	2108.7651	2307.0654
609	54791.1852	-24740.1945	3518.8322	2108.7651	2310.8032
610	54882.7881	-24780.3056	3518.8322	2108.7651	2314.5411
611	54974.3911	-24820.4167	3518.8322	2108.7651	2318.2789
612	55065.9940	-24860.5278	3518.8322	2108.7651	2322.0168
613	55157.5969	-24900.6389	3518.8322	2108.7651	2325.7546
614	55249.1999	-24940.7500	3518.8322	2108.7651	2329.4925
615	55340.8028	-24980.8611	3518.8322	2108.7651	2333.2303
616	55432.4058	-25020.9723	3518.8322	2108.7651	2336.9682
617	55524.0087	-25061.0834	3518.8322	2108.7651	2340.7060
618	55615.6116	-25101.1945	3518.8322	2108.7651	2344.4439
619	55707.2146	-25141.3056	3518.8322	2108.7651	2348.1817
620	55798.8175	-25181.4167	3518.8322	2108.7651	2351.9196
621	55890.4205	-25221.5278	3518.8322	2108.7651	2355.6574
622	55982.0234	-25261.6389	3518.8322	2108.7651	2359.3953
623	56073.6264	-25301.7500	3518.8322	2108.7651	2363.1331
624	56165.2293	-25341.8611	3518.8322	2108.7651	2366.8710
625	56256.8322	-25381.9722	3518.8322	2108.7651	2370.6088
626	56348.4352	-25422.0833	3518.8322	2108.7651	2374.3467
627	56440.0381	-25462.1944	3518.8322	2108.7651	2378.0845
628	56531.6411	-25502.3056	3518.8322	2108.7651	2381.8224
629	56623.2440	-25542.4167	3518.8322	2108.7651	2385.5602
630	56714.8469	-25582.5278	3518.8322	2108.7651	2389.2981
631	56806.4499	-25622.6389	3518.8322	2108.7651	2393.0359
632	56898.0528	-25662.7500	3518.8322	2108.7651	2396.7738
633	56989.6558	-25702.8611	3518.8322	2108.7651	2400.5116
634	57081.2587	-25742.9722	3518.8322	2108.7651	2404.2495
635	57172.8617	-25783.0833	3518.8322	2108.7651	2407.9873
636	57264.4646	-25823.1944	3518.8322	2108.7651	2411.7252
637	57356.0675	-25863.3055	3518.8322	2108.7651	2415.4630
638	57447.6705	-25903.4166	3518.8322	2108.7651	2419.2009
639	57539.2734	-25943.5277	3518.8322	2108.7651	2422.9387
640	57630.8764	-25983.6389	3518.8322	2108.7651	2426.6766
641	57722.4793	-26023.7500	3518.8322	2108.7651	2430.4144
642	57814.0823	-26063.8611	3518.8322	2108.7651	2434.1523
643	57905.6852	-26103.9722	3518.8322	2108.7651	2437.8901
644	57997.2881	-26144.0833	3518.8322	2108.7651	2441.6280
645	58088.8911	-26184.1944	3518.8322	2108.7651	2445.3658
646	58180.4940	-26224.3055	3518.8322	2108.7651	2449.1037
647	58272.0970	-26264.4166	3518.8322	2108.7651	2452.8415
648	58363.6999	-26304.5277	3518.8322	2108.7651	2456.5794
649	58455.3028	-26344.6388	3518.8322	2108.7651	2460.3172
650	58546.9058	-26384.7499	3518.8322	2108.7651	2464.0551
651	58638.5087	-26424.8611	3518.8322	2108.7651	2467.7929
652	58730.1117	-26464.9722	3518.8322	2108.7651	2471.5308
653	58821.7146	-26505.0833	3518.8322	2108.7651	2475.2686
654	58913.3176	-26545.1944	3518.8322	2108.7651	2479.0065
655	59004.9205	-26585.3055	3518.8322	2108.7651	2482.7443
656	59096.5234	-26625.4166	3518.8322	2108.7651	2486.4822
657	59188.1264	-26665.5277	3518.8322	2108.7651	2490.2200
658	59279.7293	-26705.6388	3518.8322	2108.7651	2493.9579
659	59371.3323	-26745.7499	3518.8322	2108.7651	2497.6957
660	59462.9352	-26785.8610	3518.8322	2108.7651	2501.4336
661	59554.5381	-26825.9721	3518.8322	2108.7651	2505.1714
662	59646.1411	-26866.0832	3518.8322	2108.7651	2508.9093
663	59737.7440	-26906.1944	3518.8322	2108.7651	2512.6471
664	59829.3470	-26946.3055	3518.8322	2108.7651	2516.3850
665	59920.9499	-26986.4166	3518.8322	2108.7651	2520.1228
666	60012.5529	-27026.5277	3518.8322	2108.7651	2523.8607
667	60104.1558	-27066.6388	3518.8322	2108.7651	2527.5985
668	60195.7587	-27106.7499	3518.8322	2108.7651	2531.3364
669	60287.3617	-27146.8610	3518.8322	2108.7651	2535.0742
670	60378.9646	-27186.9721	3518.8322	2108.7651	2538.8121
671	60470.5676	-27227.0832	3518.8322	2108.7651	2542.5499
672	60562.1705	-27267.1943	3518.8322	2108.7651	2546.2878
673	60653.7735	-27307.3054	3518.8322	2108.7651	2550.0256
674	60745.3764	-27347.4166	3518.8322	2108.7651	2553.7635
675	60836.9793	-27387.5277	3518.8322	2108.7651	2557.5014
676	60928.5823	-27427.6388	3518.8322	2108.7651	2561.2392
677	61020.1852	-27467.7499	3518.8322	2108.7651	2564.9771
678	61111.7882	-27507.8610	3518.8322	2108.7651	2568.7149
679	61203.3911	-27547.9721	3518.8322	2108.7651	2572.4528
680	61294.9940	-27588.0832	3518.8322	2108.7651	2576.1906
681	61386.5970	-27628.1943	3518.8322	2108.7651	2579.9285
682	61478.1999	-27668.3054	3518.8322	2108.7651	2583.6663
683	61569.8029	-27708.4165	3518.8322	2108.7651	2587.4042
684	61661.4058	-27748.5276	3518.8322	2108.7651	2591.1420
685	61753.0088	-27788.6387	3518.8322	2108.7651	2594.8799
686	61844.6117	-27828.7499	3518.8322	2108.7651	2598.6177
687	61936.2146	-27868.8610	3518.8322	2108.7651	2602.3556
688	62027.8176	-27908.9721	3518.8322	2108.7651	2606.0934
689	62119.4205	-27949.0832	3518.8322	2108.7651	2609.8313
690	62211.0235	-27989.1943	3518.8322	2108.7651	2613.5691
691	62302.6264	-28029.3054	3518.8322	2108.7651	2617.3070
692	62394.2293	-28069.4165	3518.8322	2108.7651	2621.0448
693	62485.8323	-28109.5276	3518.8322	2108.7651	2624.7827
694	62577.4352	-28149.6387	3518.8322	2108.7651	2628.5205
695	62669.0382	-28189.7498	3518.8322	2108.7651	2632.2584
696	62760.6411	-28229.8609	3518.8322	2108.7651	2635.9962
697	62852.2441	-28269.9720	3518.8322	2108.7651	2639.7341
698	62943.8470	-28310.0832	3518.8322	2108.7651	2643.4719
699	63035.4499	-28350.1943	3518.8322	2108.7651	2647.2098
700	63127.0529	-28390.3054	3518.8322	2108.7651	2650.9476
701	63218.6558	-28430.4165	3518.8322	2108.7651	2654.6855
702	63310.2588	-28470.5276	3518.8322	2108.7651	2658.4233
703	63401.8617	-28510.6387	3518.8322	2108.7651	2662.1612
704	63493.4647	-28550.7498	3518.8322	2108.7651	2665.8990
705	63585.0676	-28590.8609	3518.8322	2108.7651	2669.6369
706	63676.6705	-28630.9720	3518.8322	2108.7651	2673.3747
707	63768.2735	-28671.0831	3518.8322	2108.7651	2677.1126
708	63859.8764	-28711.1942	3518.8322	2108.7651	2680.8504
709	63951.4794	-28751.3054	3518.8322	2108.7651	2684.5883
710	64043.0823	-28791.4165	3518.8322	2108.7651	2688.3261
711	64134.6852	-28831.5276	3518.8322	2108.7651	2692.0640
712	64226.2882	-28871.6387	3518.8322	2108.7651	2695.8018
713	64317.8911	-28911.7498	3518.8322	2108.7651	2699.5397
714	64409.4941	-28951.8609	3518.8322	2108.7651	2703.2775
715	64501.0970	-28991.9720	3518.8322	2108.7651	2707.0154
716	64592.7000	-29032.0831	3518.8322	2108.7651	2710.7532
717	64684.3029	-29072.1942	3518.8322	2108.7651	2714.4911
718	64775.9058	-29112.3053	3518.8322	2108.7651	2718.2289
719	64867.5088	-29152.4164	3518.8322	2108.7651	2721.9668
720	64959.1117	-29192.5275	3518.8322	2108.7651	2725.7046
721	65050.7147	-29232.6387	3518.8322	2108.7651	2729.4425
722	65142.3176	-29272.7498	3518.8322	2108.7651	2733.1803
723	65233.9205	-29312.8609	3518.8322	2108.7651	2736.9182
724	65325.5235	-29352.9720	3518.8322	2108.7651	2740.6560
725	65417.1264	-29393.0831	3518.8322	2108.7651	2744.3939
726	65508.7294	-29433.1942	3518.8322	2108.7651	2748.1317
727	65600.3323	-29473.3053	3518.8322	2108.7651	2751.8696
728	65691.9353	-29513.4164	3518.8322	2108.7651	2755.6074
729	65783.5382	-29553.5275	3518.8322	2108.7651	2759.3453
730	65875.1411	-29593.6386	3518.8322	2108.7651	2763.0831
731	65966.7441	-29633.7497	3518.8322	2108.7651	2766.8210
732	66058.3470	-29673.8609	3518.8322	2108.7651	2770.5588
733	66149.9500	-29713.9720	3518.8322	2108.7651	2774.2967
734	66241.5529	-29754.0831	3518.8322	2108.7651	2778.0345
735	66333.1558	-29794.1942	3518.8322	2108.7651	2781.7724
736	66424.7588	-29834.3053	3518.8322	2108.7651	2785.5102
737	66516.3617	-29874.4164	3518.8322	2108.7651	2789.2481
738	66607.9647	-29914.5275	3518.8322	2108.7651	2792.9859
739	66699.5676	-29954.6386	3518.8322	2108.7651	2796.7238
740	66791.1706	-29994.7497	3518.8322	2108.7651	2800.4616
741	66882.7735	-30034.8608	3518.8322	2108.7651	2804.1995
742	66974.3764	-30074.9719	3518.8322	2108.7651	2807.9373
743	67065.9794	-30115.0830	3518.8322	2108.7651	2811.6752
744	67157.5823	-30155.1942	3518.8322	2108.7651	2815.4130
745	67249.1853	-30195.3053	3518.8322	2108.7651	2819.1509
746	67340.7882	-30235.4164	3518.8322	2108.7651	2822.8887
747	67432.3912	-30275.5275	3518.8322	2108.7651	2826.6266
748	67523.9941	-30315.6386	3518.8322	2108.7651	2830.3644
749	67615.5970	-30355.7497	3518.8322	2108.7651	2834.1023
750	67707.2000	-30395.8608	3518.8322	2108.7651	2837.8401
751	67798.8029	-30435.9719	3518.8322	2108.7651	2841.5780
752	67890.4059	-30476.0830	3518.8322	2108.7651	2845.3158
753	67982.0088	-30516.1941	3518.8322	2108.7651	2849.0537
754	68073.6117	-30556.3052	3518.8322	2108.7651	2852.7915
755	68165.2147	-30596.4163	3518.8322	2108.7651	2856.5294
756	68256.8176	-30636.5275	3518.8322	2108.7651	2860.2672
757	68348.4206	-30676.6386	3518.8322	2108.7651	2864.0051
758	68440.0235	-30716.7497	3518.8322	2108.7651	2867.7429
759	68531.6265	-30756.8608	3518.8322	2108.7651	2871.4808
760	68623.2294	-30796.9719	3518.8322	2108.7651	2875.2186
761	68714.8323	-30837.0830	3518.8322	2108.7651	2878.9565
762	68806.4353	-30877.1941	3518.8322	2108.7651	2882.6943
763	68898.0382	-30917.3052	3518.8322	2108.7651	2886.4322
764	68989.6412	-30957.4163	3518.8322	2108.7651	2890.1700
765	69081.2441	-30997.5274	3518.8322	2108.7651	2893.9079
766	69172.8470	-31037.6385	3518.8322	2108.7651	2897.6457
767	69264.4500	-31077.7497	3518.8322	2108.7651	2901.3836
768	69356.0529	-31117.8608	3518.8322	2108.7651	2905.1214
769	69447.6559	-31157.9719	3518.8322	2108.7651	2908.8593
770	69539.2588	-31198.0830	3518.8322	2108.7651	2912.5971
771	69630.8618	-31238.1941	3518.8322	2108.7651	2916.3350
772	69722.4647	-31278.3052	3518.8322	2108.7651	2920.0728
773	69814.0676	-31318.4163	3518.8322	2108.7651	2923.8107
774	69905.6706	-31358.5274	3518.8322	2108.7651	2927.5485
775	69997.2735	-31398.6385	3518.8322	2108.7651	2931.2864
776	70088.8765	-31438.7496	3518.8322	2108.7651	2935.0242
777	70180.4794	-31478.8607	3518.8322	2108.7651	2938.7621
778	70272.0824	-31518.9718	3518.8322	2108.7651	2942.4999
779	70363.6853	-31559.0830	3518.8322	2108.7651	2946.2378
780	70455.2882	-31599.1941	3518.8322	2108.7651	2949.9756
781	70546.8912	-31639.3052	3518.8322	2108.7651	2953.7135
782	70638.4941	-31679.4163	3518.8322	2108.7651	2957.4513
783	70730.0971	-31719.5274	3518.8322	2108.7651	2961.1892
784	70821.7000	-31759.6385	3518.8322	2108.7651	2964.9270
785	70913.3029	-31799.7496	3518.8322	2108.7651	2968.6649
786	71004.9059	-31839.8607	3518.8322	2108.7651	2972.4027
787	71096.5088	-31879.9718	3518.8322	2108.7651	2976.1406
788	71188.1118	-31920.0829	3518.8322	2108.7651	2979.8784
789	71279.7147	-31960.1940	3518.8322	2108.7651	2983.6163
790	71371.3177	-32000.3051	3518.8322	2108.7651	2987.3541
791	71462.9206	-32040.4163	3518.8322	2108.7651	2991.0920
792	71554.5235	-32080.5274	3518.8322	2108.7651	2994.8298
793	71646.1265	-32120.6385	3518.8322	2108.7651	2998.5677
794	71737.7294	-32160.7496	3518.8322	2108.7651	3002.3055
795	71829.3324	-32200.8607	3518.8322	2108.7651	3006.0434
796	71920.9353	-32240.9718	3518.8322	2108.7651	3009.7812
797	72012.5382	-32281.0829	3518.8322	2108.7651	3013.5191
798	72104.1412	-32321.1940	3518.8322	2108.7651	3017.2569
799	72195.7441	-32361.3051	3518.8322	2108.7651	3020.9948
800	72287.3471	-32401.4162	3518.8322	2108.7651	3024.7326
801	72378.9500	-32441.5273	3518.8322	2108.7651	3028.4705
802	72470.5530	-32481.6385	3518.8322	2108.7651	3032.2083
803	72562.1559	-32521.7496	3518.8322	2108.7651	3035.9462
804	72653.7588	-32561.8607	3518.8322	2108.7651	3039.6840
805	72745.3618	-32601.9718	3518.8322	2108.7651	3043.4219
806	72836.9647	-32642.0829	3518.8322	2108.7651	3047.1598
807	72928.5677	-32682.1940	3518.8322	2108.7651	3050.8976
808	73020.1706	-32722.3051	3518.8322	2108.7651	3054.6355
809	73111.7736	-32762.4162	3518.8322	2108.7651	3058.3733
810	73203.3765	-32802.5273	3518.8322	2108.7651	3062.1112
811	73294.9794	-32842.6384	3518.8322	2108.7651	3065.8490
812	73386.5824	-32882.7495	3518.8322	2108.7651	3069.5869
813	73478.1853	-32922.8606	3518.8322	2108.7651	3073.3247
814	73569.7883	-32962.9718	3518.8322	2108.7651	3077.0626
815	73661.3912	-33003.0829	3518.8322	2108.7651	3080.8004
816	73752.9941	-33043.1940	3518.8322	2108.7651	3084.5383
817	73844.5971	-33083.3051	3518.8322	2108.7651	3088.2761
818	73936.2000	-33123.4162	3518.8322	2108.7651	3092.0140
819	74027.8030	-33163.5273	3518.8322	2108.7651	3095.7518
820	74119.4059	-33203.6384	3518.8322	2108.7651	3099.4897
821	74211.0089	-33243.7495	3518.8322	2108.7651	3103.2275
822	74302.6118	-33283.8606	3518.8322	2108.7651	3106.9654
823	74394.2147	-33323.9717	3518.8322	2108.7651	3110.7032
824	74485.8177	-33364.0828	3518.8322	2108.7651	3114.4411
825	74577.4206	-33404.1940	3518.8322	2108.7651	3118.1789
826	74669.0236	-33444.3051	3518.8322	2108.7651	3121.9168
827	74760.6265	-33484.4162	3518.8322	2108.7651	3125.6546
828	74852.2294	-33524.5273	3518.8322	2108.7651	3129.3925
829	74943.8324	-33564.6384	3518.8322	2108.7651	3133.1303
830	75035.4353	-33604.7495	3518.8322	2108.7651	3136.8682
831	75127.0383	-33644.8606	3518.8322	2108.7651	3140.6060
832	75218.6412	-33684.9717	3518.8322	2108.7651	3144.3439
833	75310.2442	-33725.0828	3518.8322	2108.7651	3148.0817
834	75401.8471	-33765.1939	3518.8322	2108.7651	3151.8196
835	75493.4500	-33805.3050	3518.8322	2108.7651	3155.5574
836	75585.0530	-33845.4161	3518.8322	2108.7651	3159.2953
837	75676.6559	-33885.5273	3518.8322	2108.7651	3163.0331
838	75768.2589	-33925.6384	3518.8322	2108.7651	3166.7710
839	75859.8618	-33965.7495	3518.8322	2108.7651	3170.5088
840	75951.4647	-34005.8606	3518.8322	2108.7651	3174.2467
841	76043.0677	-34045.9717	3518.8322	2108.7651	3177.9845
842	76134.6706	-34086.0828	3518.8322	2108.7651	3181.7224
843	76226.2736	-34126.1939	3518.8322	2108.7651	3185.4602
844	76317.8765	-34166.3050	3518.8322	2108.7651	3189.1981
845	76409.4795	-34206.4161	3518.8322	2108.7651	3192.9359
846	76501.0824	-34246.5272	3518.8322	2108.7651	3196.6738
847	76592.6853	-34286.6383	3518.8322	2108.7651	3200.4116
848	76684.2883	-34326.7494	3518.8322	2108.7651	3204.1495
849	76775.8912	-34366.8606	3518.8322	2108.7651	3207.8873
850	76867.4942	-34406.9717	3518.8322	2108.7651	3211.6252
851	76959.0971	-34447.0828	3518.8322	2108.7651	3215.3630
852	77050.7001	-34487.1939	3518.8322	2108.7651	3219.1009
853	77142.3030	-34527.3050	3518.8322	2108.7651	3222.8387
