s	phi5.0	phi4.9	phi4.8	phi4.7	phi4.6	phi4.5	phi4.4	phi4.3	phi4.2	phi4.1
0	604.4142	784.7609	1016.3743	1313.0568	1692.1028	2175.1201	2789.0281	3567.2659	4551.2516	5792.1361
1	604.3323	784.6387	1016.1925	1312.7870	1691.7034	2174.5304	2788.1594	3565.9897	4549.3814	5789.4021
2	604.2504	784.5165	1016.0107	1312.5172	1691.3041	2173.9408	2787.2910	3564.7140	4547.5118	5786.6693
3	604.1684	784.3944	1015.8290	1312.2475	1690.9048	2173.3513	2786.4229	3563.4387	4545.6431	5783.9378
4	604.0865	784.2722	1015.6472	1311.9778	1690.5057	2172.7621	2785.5551	3562.1638	4543.7751	5781.2076
5	604.0046	784.1501	1015.4655	1311.7082	1690.1067	2172.1729	2784.6876	3560.8895	4541.9079	5778.4787
6	603.9227	784.0279	1015.2839	1311.4387	1689.7077	2171.5840	2783.8203	3559.6155	4540.0414	5775.7511
7	603.8409	783.9058	1015.1023	1311.1692	1689.3089	2170.9952	2782.9533	3558.3421	4538.1758	5773.0248
8	603.7590	783.7837	1014.9207	1310.8998	1688.9101	2170.4065	2782.0865	3557.0691	4536.3108	5770.2997
9	603.6771	783.6617	1014.7391	1310.6304	1688.5115	2169.8181	2781.2200	3555.7965	4534.4467	5767.5760
10	603.5953	783.5396	1014.5576	1310.3611	1688.1129	2169.2297	2780.3538	3554.5244	4532.5833	5764.8535
11	603.5134	783.4176	1014.3761	1310.0918	1687.7145	2168.6416	2779.4879	3553.2528	4530.7207	5762.1323
12	603.4316	783.2956	1014.1946	1309.8226	1687.3161	2168.0536	2778.6222	3551.9816	4528.8588	5759.4124
13	603.3498	783.1736	1014.0132	1309.5534	1686.9178	2167.4657	2777.7568	3550.7109	4526.9978	5756.6938
14	603.2680	783.0516	1013.8318	1309.2843	1686.5196	2166.8781	2776.8917	3549.4406	4525.1374	5753.9764
15	603.1862	782.9297	1013.6504	1309.0153	1686.1215	2166.2905	2776.0268	3548.1708	4523.2779	5751.2604
16	603.1044	782.8078	1013.4691	1308.7463	1685.7235	2165.7032	2775.1622	3546.9014	4521.4191	5748.5456
17	603.0227	782.6859	1013.2878	1308.4774	1685.3256	2165.1160	2774.2979	3545.6325	4519.5611	5745.8321
18	602.9409	782.5640	1013.1065	1308.2085	1684.9278	2164.5289	2773.4339	3544.3640	4517.7038	5743.1199
19	602.8592	782.4421	1012.9253	1307.9397	1684.5301	2163.9420	2772.5701	3543.0960	4515.8473	5740.4090
20	602.7774	782.3202	1012.7441	1307.6709	1684.1325	2163.3553	2771.7066	3541.8285	4513.9916	5737.6993
21	602.6957	782.1984	1012.5629	1307.4022	1683.7350	2162.7688	2770.8433	3540.5614	4512.1366	5734.9910
22	602.6140	782.0766	1012.3818	1307.1335	1683.3375	2162.1823	2769.9803	3539.2947	4510.2824	5732.2839
23	602.5323	781.9548	1012.2007	1306.8649	1682.9402	2161.5961	2769.1176	3538.0285	4508.4289	5729.5781
24	602.4506	781.8330	1012.0196	1306.5964	1682.5429	2161.0100	2768.2552	3536.7628	4506.5762	5726.8735
25	602.3689	781.7112	1011.8385	1306.3279	1682.1458	2160.4241	2767.3930	3535.4975	4504.7243	5724.1703
26	602.2873	781.5895	1011.6575	1306.0594	1681.7487	2159.8383	2766.5311	3534.2327	4502.8731	5721.4683
27	602.2056	781.4678	1011.4765	1305.7911	1681.3518	2159.2527	2765.6695	3532.9683	4501.0227	5718.7676
28	602.1240	781.3461	1011.2956	1305.5227	1680.9549	2158.6672	2764.8081	3531.7044	4499.1731	5716.0681
29	602.0423	781.2244	1011.1147	1305.2545	1680.5581	2158.0819	2763.9470	3530.4409	4497.3242	5713.3700
30	601.9607	781.1027	1010.9338	1304.9862	1680.1614	2157.4968	2763.0862	3529.1779	4495.4761	5710.6731
31	601.8791	780.9811	1010.7530	1304.7181	1679.7648	2156.9118	2762.2256	3527.9153	4493.6287	5707.9775
32	601.7975	780.8595	1010.5721	1304.4500	1679.3683	2156.3270	2761.3653	3526.6532	4491.7821	5705.2831
33	601.7159	780.7378	1010.3914	1304.1819	1678.9719	2155.7423	2760.5053	3525.3915	4489.9362	5702.5901
34	601.6343	780.6163	1010.2106	1303.9139	1678.5756	2155.1578	2759.6456	3524.1303	4488.0912	5699.8983
35	601.5528	780.4947	1010.0299	1303.6460	1678.1794	2154.5735	2758.7861	3522.8695	4486.2468	5697.2077
36	601.4712	780.3731	1009.8492	1303.3781	1677.7833	2153.9893	2757.9268	3521.6092	4484.4033	5694.5185
37	601.3896	780.2516	1009.6685	1303.1103	1677.3873	2153.4053	2757.0679	3520.3493	4482.5604	5691.8305
38	601.3081	780.1301	1009.4879	1302.8425	1676.9913	2152.8214	2756.2092	3519.0899	4480.7184	5689.1438
39	601.2266	780.0086	1009.3073	1302.5748	1676.5955	2152.2377	2755.3508	3517.8309	4478.8771	5686.4583
40	601.1451	779.8871	1009.1268	1302.3071	1676.1997	2151.6541	2754.4926	3516.5724	4477.0365	5683.7742
41	601.0636	779.7657	1008.9463	1302.0395	1675.8041	2151.0708	2753.6347	3515.3144	4475.1967	5681.0912
42	600.9821	779.6442	1008.7658	1301.7719	1675.4085	2150.4875	2752.7771	3514.0568	4473.3577	5678.4096
43	600.9006	779.5228	1008.5853	1301.5044	1675.0130	2149.9044	2751.9198	3512.7996	4471.5194	5675.7292
44	600.8191	779.4014	1008.4049	1301.2370	1674.6177	2149.3215	2751.0627	3511.5429	4469.6819	5673.0501
45	600.7377	779.2800	1008.2245	1300.9696	1674.2224	2148.7388	2750.2059	3510.2866	4467.8451	5670.3722
46	600.6562	779.1587	1008.0441	1300.7022	1673.8272	2148.1561	2749.3493	3509.0308	4466.0091	5667.6956
47	600.5748	779.0373	1007.8638	1300.4350	1673.4321	2147.5737	2748.4931	3507.7754	4464.1739	5665.0203
48	600.4934	778.9160	1007.6835	1300.1677	1673.0371	2146.9914	2747.6370	3506.5205	4462.3394	5662.3463
49	600.4120	778.7947	1007.5032	1299.9006	1672.6422	2146.4093	2746.7813	3505.2660	4460.5056	5659.6735
50	600.3306	778.6734	1007.3230	1299.6334	1672.2474	2145.8273	2745.9258	3504.0120	4458.6726	5657.0019
51	600.2492	778.5521	1007.1428	1299.3664	1671.8527	2145.2455	2745.0706	3502.7585	4456.8404	5654.3316
52	600.1678	778.4309	1006.9626	1299.0994	1671.4580	2144.6638	2744.2156	3501.5053	4455.0089	5651.6626
53	600.0864	778.3096	1006.7825	1298.8324	1671.0635	2144.0823	2743.3610	3500.2527	4453.1781	5648.9949
54	600.0051	778.1884	1006.6024	1298.5655	1670.6690	2143.5010	2742.5065	3499.0004	4451.3482	5646.3284
55	599.9237	778.0672	1006.4223	1298.2987	1670.2747	2142.9198	2741.6524	3497.7487	4449.5189	5643.6631
56	599.8424	777.9461	1006.2422	1298.0319	1669.8804	2142.3388	2740.7985	3496.4973	4447.6904	5640.9991
57	599.7610	777.8249	1006.0622	1297.7652	1669.4863	2141.7579	2739.9449	3495.2465	4445.8627	5638.3364
58	599.6797	777.7038	1005.8823	1297.4985	1669.0922	2141.1772	2739.0915	3493.9960	4444.0357	5635.6749
59	599.5984	777.5827	1005.7023	1297.2319	1668.6982	2140.5967	2738.2384	3492.7460	4442.2095	5633.0147
60	599.5171	777.4616	1005.5224	1296.9653	1668.3043	2140.0163	2737.3856	3491.4965	4440.3840	5630.3558
61	599.4358	777.3405	1005.3425	1296.6988	1667.9105	2139.4360	2736.5331	3490.2474	4438.5593	5627.6981
62	599.3546	777.2194	1005.1627	1296.4323	1667.5168	2138.8559	2735.6808	3488.9988	4436.7353	5625.0416
63	599.2733	777.0984	1004.9829	1296.1659	1667.1232	2138.2760	2734.8287	3487.7506	4434.9121	5622.3864
