#source	-4	-3	-2	-1	0	1	2	3	4	5
33	1.5629e+05	9.6348e+05	3.3335e+06	7.1040e+06	9.9190e+06	8.4495e+06	4.3982e+06	1.5446e+06	2.6575e+05	2.6533e+04
34	1.3840e+05	8.8289e+05	3.1309e+06	6.7920e+06	9.6206e+06	8.3127e+06	4.3616e+06	1.5380e+06	2.6535e+05	2.6523e+04
35	1.2258e+05	8.0910e+05	2.9408e+06	6.4939e+06	9.3313e+06	8.1782e+06	4.3253e+06	1.5316e+06	2.6496e+05	2.6512e+04
36	1.0858e+05	7.4152e+05	2.7623e+06	6.2090e+06	9.0510e+06	8.0459e+06	4.2894e+06	1.5251e+06	2.6456e+05	2.6502e+04
37	9.6195e+04	6.7964e+05	2.5948e+06	5.9367e+06	8.7793e+06	7.9159e+06	4.2537e+06	1.5187e+06	2.6416e+05	2.6492e+04
38	8.5229e+04	6.2296e+05	2.4375e+06	5.6765e+06	8.5160e+06	7.7880e+06	4.2183e+06	1.5123e+06	2.6377e+05	2.6482e+04
39	7.5522e+04	5.7105e+05	2.2898e+06	5.4278e+06	8.2607e+06	7.6623e+06	4.1833e+06	1.5059e+06	2.6338e+05	2.6472e+04
40	6.6928e+04	5.2350e+05	2.1512e+06	5.1900e+06	8.0133e+06	7.5387e+06	4.1485e+06	1.4996e+06	2.6298e+05	2.6462e+04
41	5.9319e+04	4.7994e+05	2.0210e+06	4.9628e+06	7.7735e+06	7.4171e+06	4.1141e+06	1.4932e+06	2.6259e+05	2.6452e+04
42	5.2580e+04	4.4003e+05	1.8987e+06	4.7456e+06	7.5411e+06	7.2976e+06	4.0799e+06	1.4869e+06	2.6220e+05	2.6442e+04
43	4.6613e+04	4.0347e+05	1.7840e+06	4.5381e+06	7.3157e+06	7.1801e+06	4.0460e+06	1.4807e+06	2.6181e+05	2.6432e+04
44	4.1327e+04	3.6997e+05	1.6762e+06	4.3396e+06	7.0973e+06	7.0645e+06	4.0125e+06	1.4744e+06	2.6142e+05	2.6421e+04
45	3.6644e+04	3.3927e+05	1.5750e+06	4.1500e+06	6.8855e+06	6.9509e+06	3.9792e+06	1.4682e+06	2.6103e+05	2.6411e+04
46	3.2496e+04	3.1114e+05	1.4800e+06	3.9687e+06	6.6802e+06	6.8391e+06	3.9462e+06	1.4621e+06	2.6064e+05	2.6401e+04
47	2.8820e+04	2.8536e+05	1.3907e+06	3.7954e+06	6.4812e+06	6.7293e+06	3.9135e+06	1.4559e+06	2.6025e+05	2.6391e+04
48	2.5563e+04	2.6174e+05	1.3069e+06	3.6297e+06	6.2883e+06	6.6212e+06	3.8810e+06	1.4498e+06	2.5986e+05	2.6381e+04
