i	x_from_vent	y_from_vent	x_coord	y_coord	cloud_sigma2	mass_released
0	344.9839	-509.8491	678307.9839	3531653.1509	207716.7829	1.7927e+07
1	406.6514	-612.8214	678369.6514	3531550.1786	244238.6397	1.6387e+07
2	475.8607	-727.2013	678438.8607	3531435.7987	285007.6774	1.4981e+07
3	552.6639	-846.6355	678515.6639	3531316.3645	331671.6537	1.3696e+07
4	636.6462	-968.6232	678599.6462	3531194.3768	385753.4782	1.2522e+07
5	727.0538	-1091.7867	678690.0538	3531071.2133	447711.3430	1.1450e+07
6	823.0534	-1215.1175	678786.0534	3530947.8825	517359.0884	1.0471e+07
7	924.7482	-1337.9700	678887.7482	3530825.0300	594099.4943	9.5760e+06
8	1030.9495	-1458.9969	678993.9495	3530704.0031	676724.1351	8.7583e+06
9	1139.7475	-1577.6348	679102.7475	3530585.3652	764173.3934	8.0110e+06
10	1251.1035	-1693.4974	679214.1035	3530469.5026	855838.3848	7.3280e+06
11	1365.1743	-1806.2091	679328.1743	3530356.7909	951355.3150	6.7038e+06
12	1480.4858	-1916.3255	679443.4858	3530246.6745	1050379.0599	6.1332e+06
13	1598.2962	-2023.1603	679561.2962	3530139.8397	1152523.9262	5.6116e+06
14	1717.1763	-2127.3237	679680.1763	3530035.6763	1257448.9033	5.1347e+06
15	1837.6378	-2228.5136	679800.6378	3529934.4864	1364790.5759	4.6988e+06
16	1959.2247	-2326.8913	679922.2247	3529836.1087	1474207.6492	4.3002e+06
17	2081.8636	-2422.4852	680044.8636	3529740.5148	1585361.3292	3.9356e+06
18	2205.3715	-2515.3297	680168.3715	3529647.6703	1697922.3784	3.6023e+06
19	2329.7386	-2605.4197	680292.7386	3529557.5803	1811567.1058	3.2974e+06
20	2454.4450	-2693.0519	680417.4450	3529469.9481	1925987.3367	3.0186e+06
21	2580.1112	-2777.7627	680543.1112	3529385.2373	2040864.6501	2.7635e+06
22	2705.3816	-2860.5366	680668.3816	3529302.4634	2155919.2181	2.5302e+06
23	2831.9029	-2940.0455	680794.9029	3529222.9545	2270830.2120	2.3168e+06
24	2957.9427	-3017.6714	680920.9427	3529145.3286	2385338.4142	2.1215e+06
25	3084.1037	-3092.8763	681047.1037	3529070.1237	2499153.4711	1.9428e+06
26	3210.5203	-3165.5361	681173.5203	3528997.4639	2611999.6374	1.7793e+06
27	3336.2815	-3236.4441	681299.2815	3528926.5559	2723625.3319	1.6297e+06
28	3462.1856	-3304.9829	681425.1856	3528858.0171	2833758.2095	1.4927e+06
29	3587.8367	-3371.4583	681550.8367	3528791.5417	2942214.2755	1.3674e+06
30	3712.6122	-3436.4432	681675.6122	3528726.5568	3045566.0831	1.2527e+06
31	3836.8140	-3500.1514	681799.8140	3528662.8486	3150593.9750	1.1476e+06
