i	x_from_vent	y_from_vent	x_coord	y_coord	cloud_sigma2	mass_released
0	4464.4005	-6593.0902	682427.4005	3525569.9098	2581592.4284	5.8029e+06
1	5104.5630	-7662.1532	683067.5630	3524500.8468	2775963.1925	5.7542e+06
2	5760.8622	-8741.3741	683723.8622	3523421.6259	2965933.4161	5.7058e+06
3	6454.4689	-9816.4374	684417.4689	3522346.5626	3154812.4499	5.6579e+06
4	7187.7226	-10878.9623	685150.7226	3521284.0377	3344861.2670	5.6104e+06
5	7954.4764	-11922.0116	685917.4764	3520240.9884	3536758.0838	5.5633e+06
6	8746.1835	-12939.7721	686709.1835	3519223.2279	3730410.5944	5.5167e+06
7	9566.8751	-13930.0501	687529.8751	3518232.9499	3925238.9419	5.4704e+06
8	10403.5173	-14879.9940	688366.5173	3517283.0060	4120197.4788	5.4245e+06
9	11235.1138	-15787.1184	689198.1138	3516375.8816	4314824.0527	5.3790e+06
10	12065.3599	-16651.5530	690028.3599	3515511.4470	4509008.4015	5.3340e+06
11	12899.7035	-17472.1803	690862.7035	3514690.8197	4702740.2810	5.2893e+06
12	13720.5262	-18258.7666	691683.5262	3513904.2334	4896183.1033	5.2450e+06
13	14547.3273	-19004.7031	692510.3273	3513158.2969	5089021.3333	5.2010e+06
14	15362.3653	-19719.3545	693325.3653	3512443.6455	5281310.4859	5.1575e+06
15	16174.3524	-20400.1666	694137.3524	3511762.8334	5472781.3299	5.1143e+06
16	16978.5285	-21050.1924	694941.5285	3511112.8076	5663293.5711	5.0716e+06
17	17775.2253	-21670.6352	695738.2253	3510492.3648	5852637.0778	5.0291e+06
18	18563.1904	-22262.5539	696526.1904	3509900.4461	6040607.4357	4.9871e+06
19	19343.4298	-22826.4141	697306.4298	3509336.5859	6226969.5951	4.9454e+06
20	20109.8157	-23366.4414	698072.8157	3508796.5586	6411564.3437	4.9041e+06
21	20871.9862	-23876.9209	698834.9862	3508286.0791	6594047.7056	4.8631e+06
22	21611.9987	-24370.9064	699574.9987	3507792.0936	6774396.8568	4.8225e+06
23	22353.7457	-24831.1878	700316.7457	3507331.8122	6952093.4981	4.7822e+06
24	23073.8586	-25275.9495	701036.8586	3506887.0505	7127183.3013	4.7423e+06
25	23781.5854	-25698.1701	701744.5854	3506464.8299	7299321.5788	4.7027e+06
26	24479.5689	-26096.2208	702442.5689	3506066.7792	7468246.0336	4.6635e+06
27	25155.7567	-26480.4846	703118.7567	3505682.5154	7633875.8668	4.6246e+06
28	25822.0174	-26842.7545	703785.0174	3505320.2455	7795845.6253	4.5861e+06
29	26473.4668	-27186.9430	704436.4668	3504976.0570	7954054.0155	4.5478e+06
30	27103.0502	-27518.5543	705066.0502	3504644.4457	8105171.9788	4.5100e+06
31	27718.1585	-27835.5643	705681.1585	3504327.4357	8255934.1195	4.4724e+06
32	28319.9140	-28138.0082	706282.9140	3504024.9918	8402712.9571	4.4351e+06
33	28900.2207	-28429.2579	706863.2207	3503733.7421	8545490.4172	4.3982e+06
34	29459.5205	-28709.5507	707422.5205	3503453.4493	8684153.2336	4.3616e+06
35	30008.6457	-28977.6398	707971.6457	3503185.3602	8818457.3254	4.3253e+06
36	30539.3930	-29234.9624	708502.3930	3502928.0376	8948424.0186	4.2894e+06
37	31049.7719	-29482.0630	709012.7719	3502680.9370	9073998.4664	4.2537e+06
38	31540.1581	-29719.1389	709503.1581	3502443.8611	9195100.8641	4.2183e+06
39	32015.3819	-29945.6136	709978.3819	3502217.3864	9311597.5029	4.1833e+06
40	32476.7814	-30161.4955	710439.7814	3502001.5045	9423407.8314	4.1485e+06
41	32918.6749	-30367.9798	710881.6749	3501795.0202	9530551.7741	4.1141e+06
42	33341.3743	-30565.2269	711304.3743	3501597.7731	9632973.2226	4.0799e+06
43	33745.1749	-30753.3892	711708.1749	3501409.6108	9730621.0869	4.0460e+06
44	34130.3554	-30932.6115	712093.3554	3501230.3885	9823449.0266	4.0125e+06
45	34502.3954	-31101.9873	712465.3954	3501061.0127	9911344.3731	3.9792e+06
46	34857.9774	-31262.3611	712820.9774	3500900.6389	9994318.0862	3.9462e+06
47	35195.2076	-31414.2834	713158.2076	3500748.7166	10072365.7726	3.9135e+06
48	35514.3142	-31557.8706	713477.3142	3500605.1294	10145458.0716	3.8810e+06
49	35815.5128	-31693.2337	713778.5128	3500469.7663	10213569.5558	3.8489e+06
50	36099.0067	-31820.4778	714062.0067	3500342.5222	10276678.6397	3.8170e+06
51	36364.9878	-31939.7032	714327.9878	3500223.2968	10334767.5064	3.7854e+06
52	36613.6374	-32051.0050	714576.6374	3500111.9950	10387822.0490	3.7541e+06
53	36845.1263	-32154.4734	714808.1263	3500008.5266	10435831.8250	3.7230e+06
54	37059.6157	-32250.1947	715022.6157	3499912.8053	10478790.0219	3.6922e+06
55	37192.3671	-32308.9262	715155.3671	3499854.0738	10511265.8716	3.6617e+06
56	37300.9157	-32356.6814	715263.9157	3499806.3186	10538060.0827	3.6314e+06
57	37406.3416	-32402.9993	715369.3416	3499760.0007	10560928.4744	3.6014e+06
58	37508.6598	-32447.8997	715471.6598	3499715.1003	10579869.1652	3.5716e+06
59	37607.8843	-32491.4017	715570.8843	3499671.5983	10594884.3612	3.5421e+06
