s	phi-3.0	phi-3.1	phi-3.2	phi-3.3	phi-3.4	phi-3.5	phi-3.6	phi-3.7	phi-3.8	phi-3.9
0	2227945.7967	2131627.0241	2034284.3624	1936445.3769	1838616.9757	1741281.3880	1644892.6385	1549873.5471	1456613.2695	1365465.3863
1	2061411.2547	1966896.0211	1871759.5072	1776513.0474	1681644.5667	1587614.7905	1494853.9786	1403759.2094	1314692.2239	1227977.8338
2	1907324.8404	1814895.3424	1722219.2323	1629789.6368	1538073.7186	1447509.1391	1358501.0747	1271419.8017	1186598.8591	1104333.7864
3	1764756.0807	1674641.1954	1584626.1620	1495184.2117	1406760.2694	1319767.6920	1234585.5826	1151556.6924	1070985.9135	993139.3534
4	1632844.0539	1545225.8142	1458025.7996	1371695.9394	1286657.7405	1203299.3187	1121973.0254	1042993.6785	966637.3923	893140.9935
5	1510792.1903	1425811.5849	1341539.9059	1258406.6468	1176808.9967	1097109.1800	1019632.4074	944665.4433	872455.7778	803211.3838
6	1397863.4620	1315625.6238	1234360.4069	1154473.9932	1076338.6184	1000290.2305	926626.7750	855607.1031	787450.4859	722336.7103
7	1293375.9328	1213954.7751	1135743.7876	1059125.2076	984445.9251	912015.4707	842104.6389	774944.7385	710727.4472	649605.2391
8	1196698.6398	1120140.9956	1045005.9350	971651.3425	900398.5948	831530.8832	765292.1779	701886.8187	641479.7035	584197.0381
9	1107247.7833	1033577.0950	961517.3917	891402.0029	823526.8274	758148.9918	695486.1552	635716.4347	578978.9203	525374.7334
10	1024483.2013	953702.8067	884698.9892	817780.5104	753218.0074	691242.9899	632047.4795	575784.2641	522567.7263	472475.1968
11	947905.1082	880001.1609	814017.8309	750239.4666	688911.8214	630241.3855	574395.3540	521502.1993	471652.7994	424902.0696
12	877051.0761	811995.1391	748983.5945	688276.6831	630095.7931	574623.1207	522001.9593	472337.5764	425698.6263	382119.0403
13	811493.2427	749244.5865	689145.1312	631431.4477	576301.1986	523913.1203	474387.6211	427807.9486	384221.8696	343643.7980
14	750835.7277	691343.3633	634087.3356	579281.0986	527099.3319	477678.2343	431116.4183	387476.3517	346786.2849	309042.5952
15	694712.2421	637916.7157	583428.2663	531437.8821	482098.0875	435523.5374	391792.1924	350947.0164	312998.1318	277925.3582
16	642783.8759	588618.8511	536816.4965	487546.0690	440938.8362	397088.9567	356054.9205	317861.4844	282502.0331	249941.2894
17	594737.0525	543130.6993	493928.6756	447279.3104	403293.5668	362046.1949	323577.4190	287895.0911	254977.2365	224774.9128
18	550281.6340	501157.8477	454467.2866	410338.2105	368862.2722	330095.9269	294062.3484	260753.7797	230134.2416	202142.5173
19	509149.1702	462428.6357	418158.5821	376448.1010	337370.5585	300965.2429	267239.4910	236171.2156	207711.7546	181788.9586
20	471091.2767	426692.3966	384750.6848	345356.9985	308567.4581	274405.3169	242863.2769	213906.1728	187473.9399	163484.7824
21	435878.1355	393717.8351	354011.8410	316833.7311	282223.4300	250189.2817	220710.5359	193740.1671	169207.9402	147023.6382
22	403297.1069	363291.5301	325728.8122	290666.2196	258128.5303	228110.2909	200578.4542	175475.3117	152721.6372	132219.9527
23	373151.4458	335216.5538	299705.3963	266659.9005	236090.7390	207979.7523	182282.7175	158932.3757	137841.6310	118906.8377
24	345259.1132	309311.1968	275761.0663	244636.2795	215934.4299	189625.7165	165655.8241	143949.0250	124411.4167	106934.2090
25	319451.6773	285407.7920	253729.7179	224431.6042	197498.9710	172891.4087	150545.5505	130378.2299	112289.7378	96167.0941
26	295573.2962	263351.6296	233458.5177	205895.6467	180637.4443	157633.8894	136813.5584	118086.8215	101349.1008	86484.1109
27	273479.7769	242999.9557	214806.8422	188890.5864	165215.4749	143722.8331	124334.1281	106954.1857	91474.4342	77776.0991
28	253037.7045	224221.0483	197645.3030	173289.9855	151110.1602	131039.4156	112993.0074	96871.0792	82561.8782	69944.8896
29	234123.6365	206893.3649	181854.8487	158977.8487	138209.0904	119475.2989	102686.3655	87738.5576	74517.6922	62902.1979
30	216623.3577	190904.7557	167325.9394	145847.7610	126409.4529	108931.7057	93319.8425	79467.0046	67257.2690	56568.6289
31	200431.1901	176151.7377	153957.7867	133802.0961	115617.2125	99318.5756	84807.6857	71975.2523	60704.2449	50872.7816
32	185449.3551	162538.8250	141657.6543	122751.2907	105746.3625	90553.7960	77071.9641	65189.7850	54789.6963	45750.4443
