z	h(m)	phi2.0	phi1.9	phi1.8	phi1.7	phi1.6	phi1.5	phi1.4	phi1.3	phi1.2	phi1.1
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	35.9157	33.5105	31.2664	29.1726	27.2190	25.3962	23.6955	22.1087	20.6282	19.2468
43	4300.0	108.7450	101.4627	94.6681	88.3284	82.4133	76.8944	71.7450	66.9404	62.4576	58.2750
42	4200.0	181.8803	169.7004	158.3360	147.7327	137.8395	128.6088	119.9963	111.9605	104.4628	97.4673
41	4100.0	255.3184	238.2205	222.2676	207.3830	193.4952	180.5374	168.4473	157.1669	146.6419	136.8218
40	4000.0	329.0721	307.0351	286.4739	267.2896	249.3900	232.6891	217.1066	202.5676	189.0023	176.3454
39	3900.0	403.1419	376.1447	350.9554	327.4530	305.5245	285.0644	265.9745	248.1630	231.5442	216.0384
38	3800.0	477.5284	445.5497	415.7126	387.8736	361.8988	337.6636	315.0512	293.9532	274.2680	255.9011
37	3700.0	552.2319	515.2506	480.7458	448.5517	418.5135	390.4869	364.3372	339.9386	317.1740	295.9338
36	3600.0	627.2531	585.2478	546.0555	509.4878	475.3689	443.5349	413.8327	386.1196	360.2623	336.1366
35	3500.0	702.5923	655.5418	611.6421	570.6823	532.4654	496.8078	463.5381	432.4963	403.5333	376.5099
34	3400.0	778.2502	726.1331	677.5061	632.1356	589.8033	550.3060	513.4536	479.0692	446.9873	417.0539
33	3300.0	854.2271	797.0220	743.6478	693.8480	647.3830	604.0297	563.5797	525.8384	490.6246	457.7689
32	3200.0	930.5235	868.2091	810.0678	755.8199	705.2049	657.9795	613.9166	572.8044	534.4454	498.6552
31	3100.0	1007.1400	939.6948	876.7663	818.0519	763.2694	712.1555	664.4646	619.9674	578.4500	539.7130
30	3000.0	1084.0603	1011.4640	943.7293	880.5306	821.5641	766.5464	715.2131	667.3174	622.6292	580.9335
29	2900.0	1161.2863	1083.5185	1010.9585	943.2576	880.0905	821.1534	766.1633	714.8556	666.9839	622.3179
28	2800.0	1238.8369	1155.8757	1078.4702	1006.2483	938.8628	875.9900	817.3276	762.5936	711.5250	663.8763
