s	phi5.0	phi4.9	phi4.8	phi4.7	phi4.6	phi4.5	phi4.4	phi4.3	phi4.2	phi4.1
166	23.7873	40.2087	67.2532	111.2982	182.2241	295.1335	472.7945	749.0411	1173.4033	1817.2543
167	23.7837	40.2018	67.2399	111.2731	182.1768	295.0454	472.6323	748.7459	1172.8721	1816.3093
168	23.7802	40.1949	67.2267	111.2479	182.1294	294.9572	472.4701	748.4508	1172.3411	1815.3648
169	23.7766	40.1880	67.2134	111.2227	182.0820	294.8691	472.3080	748.1558	1171.8103	1814.4208
170	23.7731	40.1811	67.2002	111.1975	182.0347	294.7810	472.1459	747.8610	1171.2798	1813.4772
171	23.7695	40.1742	67.1869	111.1723	181.9873	294.6930	471.9839	747.5662	1170.7496	1812.5342
172	23.7660	40.1673	67.1737	111.1472	181.9400	294.6050	471.8220	747.2716	1170.2196	1811.5917
173	23.7624	40.1604	67.1604	111.1220	181.8927	294.5170	471.6601	746.9771	1169.6898	1810.6496
174	23.7589	40.1535	67.1472	111.0968	181.8454	294.4290	471.4983	746.6827	1169.1603	1809.7080
175	23.7553	40.1466	67.1340	111.0717	181.7981	294.3411	471.3365	746.3884	1168.6310	1808.7670
176	23.7518	40.1397	67.1207	111.0465	181.7508	294.2531	471.1748	746.0942	1168.1019	1807.8264
177	23.7482	40.1329	67.1075	111.0214	181.7036	294.1652	471.0131	745.8002	1167.5731	1806.8863
178	23.7447	40.1260	67.0943	110.9963	181.6563	294.0774	470.8515	745.5062	1167.0445	1805.9467
179	23.7411	40.1191	67.0811	110.9711	181.6091	293.9895	470.6899	745.2124	1166.5162	1805.0075
180	23.7376	40.1122	67.0678	110.9460	181.5619	293.9017	470.5284	744.9187	1165.9881	1804.0689
181	23.7341	40.1053	67.0546	110.9209	181.5146	293.8139	470.3670	744.6251	1165.4602	1803.1308
182	23.7305	40.0984	67.0414	110.8958	181.4674	293.7262	470.2056	744.3316	1164.9326	1802.1931
183	23.7270	40.0916	67.0282	110.8707	181.4203	293.6384	470.0443	744.0383	1164.4052	1801.2559
184	23.7234	40.0847	67.0150	110.8456	181.3731	293.5507	469.8830	743.7450	1163.8780	1800.3192
185	23.7199	40.0778	67.0018	110.8205	181.3259	293.4630	469.7218	743.4519	1163.3511	1799.3831
186	23.7163	40.0709	66.9886	110.7954	181.2788	293.3754	469.5606	743.1589	1162.8245	1798.4473
187	23.7128	40.0640	66.9754	110.7703	181.2316	293.2877	469.3995	742.8660	1162.2980	1797.5121
188	23.7093	40.0572	66.9622	110.7453	181.1845	293.2001	469.2384	742.5732	1161.7719	1796.5774
189	23.7057	40.0503	66.9490	110.7202	181.1374	293.1125	469.0774	742.2805	1161.2459	1795.6431
190	23.7022	40.0434	66.9358	110.6951	181.0903	293.0250	468.9165	741.9880	1160.7202	1794.7094
191	23.6986	40.0366	66.9226	110.6701	181.0432	292.9375	468.7556	741.6956	1160.1947	1793.7761
192	23.6951	40.0297	66.9094	110.6450	180.9961	292.8500	468.5948	741.4032	1159.6695	1792.8433
193	23.6915	40.0228	66.8962	110.6200	180.9490	292.7625	468.4340	741.1110	1159.1445	1791.9110
194	23.6880	40.0160	66.8830	110.5949	180.9020	292.6750	468.2732	740.8189	1158.6197	1790.9792
195	23.6845	40.0091	66.8698	110.5699	180.8549	292.5876	468.1126	740.5270	1158.0952	1790.0478
196	23.6809	40.0022	66.8567	110.5448	180.8079	292.5002	467.9520	740.2351	1157.5709	1789.1170
197	23.6774	39.9954	66.8435	110.5198	180.7609	292.4128	467.7914	739.9434	1157.0468	1788.1866
198	23.6739	39.9885	66.8303	110.4948	180.7139	292.3255	467.6309	739.6517	1156.5230	1787.2567
199	23.6703	39.9816	66.8171	110.4698	180.6669	292.2382	467.4704	739.3602	1155.9995	1786.3273
200	23.6668	39.9748	66.8040	110.4448	180.6199	292.1509	467.3100	739.0688	1155.4761	1785.3984
201	23.6633	39.9679	66.7908	110.4198	180.5729	292.0636	467.1497	738.7775	1154.9530	1784.4700
202	23.6597	39.9611	66.7776	110.3948	180.5260	291.9764	466.9894	738.4864	1154.4301	1783.5420
203	23.6562	39.9542	66.7645	110.3698	180.4790	291.8892	466.8292	738.1953	1153.9075	1782.6145
204	23.6527	39.9474	66.7513	110.3448	180.4321	291.8020	466.6690	737.9044	1153.3851	1781.6875
205	23.6491	39.9405	66.7382	110.3198	180.3852	291.7148	466.5089	737.6135	1152.8630	1780.7610
206	23.6456	39.9336	66.7250	110.2948	180.3383	291.6277	466.3488	737.3228	1152.3411	1779.8350
207	23.6421	39.9268	66.7119	110.2699	180.2914	291.5406	466.1888	737.0322	1151.8194	1778.9095
208	23.6385	39.9199	66.6987	110.2449	180.2445	291.4535	466.0289	736.7418	1151.2979	1777.9844
209	23.6350	39.9131	66.6856	110.2200	180.1976	291.3664	465.8690	736.4514	1150.7767	1777.0598
210	23.6315	39.9062	66.6724	110.1950	180.1508	291.2794	465.7091	736.1611	1150.2557	1776.1357
211	23.6279	39.8994	66.6593	110.1701	180.1039	291.1924	465.5493	735.8710	1149.7350	1775.2121
212	23.6244	39.8926	66.6462	110.1451	180.0571	291.1054	465.3896	735.5810	1149.2145	1774.2890
213	23.6209	39.8857	66.6330	110.1202	180.0103	291.0185	465.2299	735.2911	1148.6942	1773.3663
214	23.6173	39.8789	66.6199	110.0952	179.9635	290.9315	465.0703	735.0013	1148.1742	1772.4441
215	23.6138	39.8720	66.6068	110.0703	179.9167	290.8446	464.9107	734.7116	1147.6544	1771.5224
216	23.6103	39.8652	66.5936	110.0454	179.8699	290.7577	464.7512	734.4220	1147.1348	1770.6012
217	23.6068	39.8583	66.5805	110.0205	179.8231	290.6709	464.5917	734.1326	1146.6155	1769.6805
218	23.6032	39.8515	66.5674	109.9956	179.7763	290.5841	464.4323	733.8432	1146.0964	1768.7602
219	23.5997	39.8447	66.5543	109.9707	179.7296	290.4973	464.2730	733.5540	1145.5776	1767.8404
220	23.5962	39.8378	66.5411	109.9458	179.6829	290.4105	464.1137	733.2649	1145.0589	1766.9211
221	23.5927	39.8310	66.5280	109.9209	179.6361	290.3238	463.9544	732.9759	1144.5406	1766.0023
222	23.5891	39.8242	66.5149	109.8960	179.5894	290.2370	463.7952	732.6870	1144.0224	1765.0839
223	23.5856	39.8173	66.5018	109.8711	179.5427	290.1503	463.6361	732.3982	1143.5045	1764.1661
224	23.5821	39.8105	66.4887	109.8463	179.4960	290.0637	463.4770	732.1096	1142.9868	1763.2487
225	23.5786	39.8037	66.4756	109.8214	179.4493	289.9770	463.3180	731.8210	1142.4694	1762.3317
226	23.5751	39.7968	66.4625	109.7965	179.4027	289.8904	463.1590	731.5326	1141.9521	1761.4153
227	23.5715	39.7900	66.4494	109.7717	179.3560	289.8038	463.0001	731.2443	1141.4352	1760.4993
228	23.5680	39.7832	66.4363	109.7468	179.3094	289.7173	462.8413	730.9561	1140.9184	1759.5839
229	23.5645	39.7764	66.4232	109.7220	179.2628	289.6307	462.6824	730.6680	1140.4019	1758.6688
230	23.5610	39.7695	66.4101	109.6971	179.2161	289.5442	462.5237	730.3800	1139.8856	1757.7543
231	23.5575	39.7627	66.3970	109.6723	179.1695	289.4577	462.3650	730.0922	1139.3696	1756.8402
232	23.5539	39.7559	66.3840	109.6475	179.1230	289.3712	462.2064	729.8044	1138.8538	1755.9267
233	23.5504	39.7491	66.3709	109.6227	179.0764	289.2848	462.0478	729.5168	1138.3382	1755.0135
234	23.5469	39.7422	66.3578	109.5978	179.0298	289.1984	461.8892	729.2293	1137.8228	1754.1009
235	23.5434	39.7354	66.3447	109.5730	178.9833	289.1120	461.7307	728.9419	1137.3077	1753.1887
236	23.5399	39.7286	66.3316	109.5482	178.9367	289.0257	461.5723	728.6546	1136.7929	1752.2771
237	23.5363	39.7218	66.3186	109.5234	178.8902	288.9393	461.4139	728.3674	1136.2782	1751.3658
238	23.5328	39.7150	66.3055	109.4986	178.8437	288.8530	461.2556	728.0803	1135.7638	1750.4551
239	23.5293	39.7082	66.2924	109.4738	178.7971	288.7667	461.0974	727.7934	1135.2496	1749.5448
240	23.5258	39.7014	66.2794	109.4491	178.7507	288.6805	460.9392	727.5065	1134.7357	1748.6351
241	23.5223	39.6945	66.2663	109.4243	178.7042	288.5942	460.7810	727.2198	1134.2220	1747.7257
242	23.5188	39.6877	66.2532	109.3995	178.6577	288.5080	460.6229	726.9332	1133.7085	1746.8169
243	23.5153	39.6809	66.2402	109.3747	178.6112	288.4219	460.4649	726.6467	1133.1952	1745.9085
244	23.5118	39.6741	66.2271	109.3500	178.5648	288.3357	460.3069	726.3603	1132.6822	1745.0006
245	23.5082	39.6673	66.2141	109.3252	178.5184	288.2496	460.1489	726.0740	1132.1694	1744.0932
246	23.5047	39.6605	66.2010	109.3005	178.4719	288.1635	459.9910	725.7879	1131.6569	1743.1862
247	23.5012	39.6537	66.1880	109.2757	178.4255	288.0774	459.8332	725.5018	1131.1446	1742.2797
248	23.4977	39.6469	66.1749	109.2510	178.3791	287.9914	459.6754	725.2159	1130.6325	1741.3737
249	23.4942	39.6401	66.1619	109.2263	178.3327	287.9053	459.5177	724.9301	1130.1206	1740.4682
250	23.4907	39.6333	66.1489	109.2015	178.2864	287.8193	459.3601	724.6443	1129.6090	1739.5631
