s	phi-4.0	phi-4.1	phi-4.2	phi-4.3	phi-4.4	phi-4.5	phi-4.6	phi-4.7	phi-4.8	phi-4.9
22	11.6948	6.6984	3.7875	2.1139	1.1645	0.6331	0.3396	0.1798	0.0939	0.0483
23	10.5470	6.0190	3.3905	1.8850	1.0342	0.5599	0.2991	0.1576	0.0819	0.0420
24	9.5119	5.4085	3.0352	1.6809	0.9185	0.4952	0.2633	0.1381	0.0715	0.0365
25	8.5783	4.8600	2.7171	1.4988	0.8157	0.4379	0.2319	0.1211	0.0624	0.0317
26	7.7364	4.3671	2.4323	1.3365	0.7244	0.3873	0.2042	0.1062	0.0544	0.0275
27	6.9771	3.9241	2.1774	1.1918	0.6434	0.3425	0.1798	0.0931	0.0475	0.0239
28	6.2924	3.5261	1.9492	1.0627	0.5714	0.3029	0.1583	0.0816	0.0414	0.0207
29	5.6748	3.1685	1.7449	0.9476	0.5075	0.2679	0.1394	0.0715	0.0362	0.0180
30	5.1179	2.8472	1.5620	0.8450	0.4507	0.2369	0.1228	0.0627	0.0315	0.0156
31	4.6156	2.5584	1.3983	0.7535	0.4003	0.2096	0.1081	0.0550	0.0275	0.0136
32	4.1626	2.2989	1.2518	0.6719	0.3555	0.1853	0.0952	0.0482	0.0240	0.0118
33	3.7540	2.0657	1.1206	0.5991	0.3157	0.1639	0.0838	0.0422	0.0210	0.0102
34	3.3856	1.8562	1.0031	0.5343	0.2804	0.1450	0.0738	0.0370	0.0183	0.0089
35	3.0533	1.6680	0.8980	0.4764	0.2490	0.1282	0.0650	0.0325	0.0160	0.0077
36	2.7537	1.4988	0.8039	0.4248	0.2211	0.1134	0.0572	0.0285	0.0139	0.0067
37	2.4834	1.3468	0.7196	0.3788	0.1964	0.1003	0.0504	0.0249	0.0121	0.0058
38	2.2397	1.2102	0.6442	0.3378	0.1744	0.0887	0.0444	0.0219	0.0106	0.0051
39	2.0199	1.0874	0.5767	0.3012	0.1549	0.0784	0.0391	0.0192	0.0093	0.0044
40	1.8216	0.9771	0.5162	0.2686	0.1376	0.0694	0.0344	0.0168	0.0081	0.0038
41	1.6428	0.8780	0.4621	0.2395	0.1222	0.0613	0.0303	0.0147	0.0070	0.0033
42	1.4816	0.7890	0.4137	0.2136	0.1085	0.0543	0.0267	0.0129	0.0061	0.0029
43	1.3362	0.7090	0.3703	0.1904	0.0964	0.0480	0.0235	0.0113	0.0054	0.0025
44	1.2051	0.6371	0.3315	0.1698	0.0856	0.0424	0.0207	0.0099	0.0047	0.0022
45	1.0868	0.5724	0.2968	0.1514	0.0760	0.0375	0.0182	0.0087	0.0041	0.0019
46	0.9801	0.5144	0.2657	0.1350	0.0675	0.0332	0.0160	0.0076	0.0036	0.0016
47	0.8839	0.4622	0.2378	0.1204	0.0600	0.0294	0.0141	0.0067	0.0031	0.0014
48	0.7972	0.4153	0.2129	0.1074	0.0532	0.0260	0.0124	0.0059	0.0027	0.0012
49	0.7189	0.3732	0.1906	0.0957	0.0473	0.0230	0.0110	0.0051	0.0024	0.0011
50	0.6484	0.3354	0.1706	0.0854	0.0420	0.0203	0.0096	0.0045	0.0021	0.0009
51	0.5847	0.3013	0.1527	0.0761	0.0373	0.0180	0.0085	0.0039	0.0018	0.0008
52	0.5274	0.2708	0.1367	0.0679	0.0331	0.0159	0.0075	0.0035	0.0016	0.0007
53	0.4756	0.2433	0.1224	0.0605	0.0294	0.0140	0.0066	0.0030	0.0014	0.0006
54	0.4289	0.2186	0.1096	0.0540	0.0261	0.0124	0.0058	0.0027	0.0012	0.0005
55	0.3868	0.1965	0.0981	0.0481	0.0232	0.0110	0.0051	0.0023	0.0010	0.0005
56	0.3489	0.1765	0.0878	0.0429	0.0206	0.0097	0.0045	0.0020	0.0009	0.0004
57	0.3146	0.1586	0.0786	0.0383	0.0183	0.0086	0.0040	0.0018	0.0008	0.0003
58	0.2837	0.1425	0.0704	0.0341	0.0163	0.0076	0.0035	0.0016	0.0007	0.0003
59	0.2559	0.1281	0.0630	0.0304	0.0144	0.0067	0.0031	0.0014	0.0006	0.0003
60	0.2308	0.1151	0.0564	0.0271	0.0128	0.0059	0.0027	0.0012	0.0005	0.0002
61	0.2081	0.1034	0.0505	0.0242	0.0114	0.0053	0.0024	0.0011	0.0005	0.0002
62	0.1877	0.0929	0.0452	0.0216	0.0101	0.0046	0.0021	0.0009	0.0004	0.0002
63	0.1693	0.0835	0.0405	0.0192	0.0090	0.0041	0.0018	0.0008	0.0004	0.0001
64	0.1527	0.0750	0.0362	0.0172	0.0080	0.0036	0.0016	0.0007	0.0003	0.0001
65	0.1377	0.0674	0.0324	0.0153	0.0071	0.0032	0.0014	0.0006	0.0003	0.0001
66	0.1242	0.0606	0.0290	0.0136	0.0063	0.0028	0.0013	0.0005	0.0002	0.0001
67	0.1120	0.0544	0.0260	0.0122	0.0056	0.0025	0.0011	0.0005	0.0002	0.0001
68	0.1010	0.0489	0.0233	0.0108	0.0050	0.0022	0.0010	0.0004	0.0002	0.0001
69	0.0911	0.0440	0.0208	0.0097	0.0044	0.0020	0.0009	0.0004	0.0002	0.0001
70	0.0821	0.0395	0.0186	0.0086	0.0039	0.0017	0.0008	0.0003	0.0001	0.0001
71	0.0741	0.0355	0.0167	0.0077	0.0035	0.0015	0.0007	0.0003	0.0001	0.0000
